year,total_units,RESSF,RESMF,growth_rate,scenario_name
2025,213725,163029,50696,0.01,baseline
2026,215862,164508,51526,0.01,baseline
2027,218021,166023,52347,0.01,baseline
2028,220201,167529,53179,0.01,baseline
2029,222403,169071,54022,0.01,baseline
2030,224627,170627,54899,0.01,baseline
2031,226873,172174,55765,0.01,baseline
2032,229142,173758,56644,0.01,baseline
2033,231434,175334,57534,0.01,baseline
2034,233748,176947,58437,0.01,baseline
2035,236085,178551,59375,0.01,baseline
