Age,Reservation,Year,Population,Source
 10-14,Celilo Village,2000,7,Estimate
15-19,Celilo Village,2000,2,Estimate
20-24,Celilo Village,2000,2,Estimate
25-29,Celilo Village,2000,3,Estimate
30-34,Celilo Village,2000,1,Estimate
35-39,Celilo Village,2000,5,Estimate
40-44,Celilo Village,2000,1,Estimate
45-49,Celilo Village,2000,3,Estimate
50-54,Celilo Village,2000,2,Estimate
55-59,Celilo Village,2000,3,Estimate
60-64,Celilo Village,2000,2,Estimate
65-69,Celilo Village,2000,1,Estimate
70-74,Celilo Village,2000,0,Estimate
75-79,Celilo Village,2000,0,Estimate
80-84,Celilo Village,2000,1,Estimate
85+,Celilo Village,2000,1,Estimate
