"SiteID","Primary_Panel","Electrical_Panel_Label","Electrical_Panel_Type","Electrical_Panel_Brand","Electrical_Panel_Brand_Other","Electrical_Panel_Vintage","Electrical_Panel_Capacity"
"SITE_1050","Primary",NA,"Breaker Panel","General Electric",NA,"2009","200"
"SITE_1051","Primary",NA,"Breaker Panel","Square D",NA,"2021","200"
"SITE_1051","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1052","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2018","200"
"SITE_1053","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","200"
"SITE_1054","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1054","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1054","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_1055","Primary",NA,"Breaker Panel","Siemens",NA,"2020","200"
"SITE_1056","Primary",NA,"Breaker Panel","Square D",NA,"2009","200"
"SITE_1058","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1058","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","125"
"SITE_1059","Primary",NA,"Breaker Panel","Square D",NA,"2021","200"
"SITE_106","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_1060","Primary",NA,"Breaker Panel","Square D",NA,"2008","200"
"SITE_1061","Primary",NA,"Unknown","Unknown",NA,"Unknown","Unknown"
"SITE_1062","Primary",NA,"Breaker Panel","Westinghouse",NA,"1995","200"
"SITE_1063","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1064","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1065","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1066","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1067","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1067","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1067","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1068","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2018","125"
"SITE_1068","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1069","Primary",NA,"Breaker Panel","Square D",NA,"2008","200"
"SITE_107","Secondary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","125"
"SITE_107","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"2008","125"
"SITE_1070","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1974","200"
"SITE_1071","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1072","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1073","Primary",NA,"Breaker Panel","Siemens",NA,"1996","200"
"SITE_1074","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","100"
"SITE_1074","Primary",NA,"Breaker Panel","Unknown",NA,"2019","150"
"SITE_1075","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1076","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1077","Primary",NA,"Breaker Panel","Bryant",NA,"1976","200"
"SITE_1077","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","125"
"SITE_1078","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1078","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1079","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_108","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1080","Primary",NA,"Breaker Panel","General Electric",NA,"1974","200"
"SITE_1081","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","100"
"SITE_1082","Primary",NA,"Breaker Panel","Unknown",NA,"2019","200"
"SITE_1083","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1084","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2004","200"
"SITE_1084","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","Unknown"
"SITE_1085","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1086","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1087","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","100"
"SITE_1088","Primary",NA,"Breaker Panel","Square D",NA,"2021","200"
"SITE_1089","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1089","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","225"
"SITE_1089","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_109","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_1090","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1091","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1092","Primary",NA,"Breaker Panel","Square D",NA,"2016","200"
"SITE_1093","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_1094","Primary",NA,"Breaker Panel","Square D",NA,"2011","200"
"SITE_1095","Primary",NA,"Breaker Panel","Unknown",NA,"1978","200"
"SITE_1095","Secondary",NA,"Breaker Panel","Unknown",NA,"1978","Unknown"
"SITE_1096","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1096","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_1097","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1098","Primary",NA,"Breaker Panel","Siemens",NA,"1994","200"
"SITE_1099","Unknown","panel 1","Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1099","Unknown","panel 2","Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_11","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_110","Primary",NA,"Breaker Panel","Siemens",NA,"2014","200"
"SITE_1100","Unknown","Staircase panel 2","Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","200"
"SITE_1100","Unknown","Staircase panel","Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","200"
"SITE_1101","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_1101","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","100"
"SITE_1102","Primary",NA,"Breaker Panel","Other","Electri-Center","Unknown","Unknown"
"SITE_1102","Secondary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_1103","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2008","125"
"SITE_1104","Primary",NA,"Breaker Panel","Square D",NA,"2021","200"
"SITE_1105","Primary",NA,"Breaker Panel","General Electric",NA,"2001","Unknown"
