"SiteID","Primary_Panel","Electrical_Panel_Label","Electrical_Panel_Type","Electrical_Panel_Brand","Electrical_Panel_Brand_Other","Electrical_Panel_Vintage","Electrical_Panel_Capacity"
"SITE_1467","Unknown","Main 1","Breaker Panel","Unknown",NA,"Unknown","225"
"SITE_1467","Unknown","Main 2","Breaker Panel","Unknown",NA,"Unknown","225"
"SITE_1468","Primary",NA,"Breaker Panel","General Electric",NA,"1987","200"
"SITE_1469","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1469","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_147","Primary",NA,"Breaker Panel","Unknown",NA,"2007","200"
"SITE_1470","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1471","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_1473","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1474","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1475","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1476","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","100"
"SITE_1477","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1478","Unknown","Panel 1","Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1478","Unknown","Panel 2","Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1479","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_148","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1480","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","200"
"SITE_1481","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1481","Secondary",NA,"Breaker Panel","Square D",NA,"1985","Unknown"
"SITE_1481","Secondary",NA,"Breaker Panel","Square D",NA,"1985","Unknown"
"SITE_1482","Primary",NA,"Breaker Panel","Westinghouse",NA,"1993","200"
"SITE_1483","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1483","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1483","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","100"
"SITE_1483","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1484","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1485","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1486","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1486","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1486","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1487","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2019","200"
"SITE_1488","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","150"
"SITE_1489","Primary",NA,"Breaker Panel","Homeline",NA,"Unknown","200"
"SITE_1489","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_149","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_1490","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1491","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1492","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1493","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1494","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1495","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1496","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1496","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1496","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1496","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","100"
"SITE_1496","Primary",NA,"Fuse Panel","Square D",NA,"Unknown","Unknown"
"SITE_1496","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1497","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_1498","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1499","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_15","Primary",NA,"Breaker Panel","Square D",NA,"1976","200"
"SITE_150","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1500","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1502","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1503","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_1504","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1505","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1505","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1506","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1507","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1509","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_151","Primary",NA,"Breaker Panel","Siemens",NA,"2002","125"
"SITE_151","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_1510","Primary",NA,"Breaker Panel","Other","Walker","Unknown","Unknown"
"SITE_1511","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"1972","200"
"SITE_1512","Primary",NA,"Breaker Panel","Magnetrip",NA,"Unknown","200"
"SITE_1513","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1514","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1515","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1515","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","100"
"SITE_1516","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1517","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1518","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","200"
"SITE_1519","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_152","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2018","200"
"SITE_152","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2018","Unknown"
"SITE_1520","Primary",NA,"Breaker Panel","Murray",NA,"1976","Unknown"
"SITE_1521","Primary",NA,"Breaker Panel","General Electric",NA,"1975","200"
"SITE_1522","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1523","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","200"
"SITE_1524","Primary",NA,"Breaker Panel","Siemens",NA,"2020","200"
"SITE_1525","Primary",NA,"Breaker Panel","Siemens",NA,"2002","200"
"SITE_1526","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1527","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_1528","Primary",NA,"Breaker Panel","Westinghouse",NA,"1988","200"
"SITE_1529","Unknown","Left","Breaker Panel","Square D",NA,"2021","200"
"SITE_1529","Unknown","Right","Breaker Panel","Square D",NA,"2021","200"
"SITE_153","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1530","Secondary",NA,"Breaker Panel","Square D",NA,"1987","Unknown"
"SITE_1530","Secondary",NA,"Breaker Panel","Unknown",NA,"Unknown","125"
"SITE_1530","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1531","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1532","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","225"
"SITE_1533","Primary",NA,"Breaker Panel","Thomas & Betts",NA,"Unknown","100"
"SITE_1534","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1535","Primary",NA,"Breaker Panel","Westinghouse",NA,"1994","200"
"SITE_1536","Primary",NA,"Breaker Panel","Siemens",NA,"2019","200"
"SITE_1537","Unknown","1","Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1537","Unknown","2","Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1538","Unknown","Main 1 house","Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_1538","Unknown","Main 2","Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_1539","Primary",NA,"Breaker Panel","Square D",NA,"2020","200"
"SITE_1539","Secondary",NA,"Breaker Panel","Square D",NA,"2020","100"
"SITE_154","Primary",NA,"Breaker Panel","WSE",NA,"2012","200"
"SITE_1540","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1541","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1542","Unknown","Panel left","Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1542","Unknown","Panel right","Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1543","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1543","Secondary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1544","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2007","200"
"SITE_1544","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","100"
"SITE_1545","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1546","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1547","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","Unknown"
"SITE_1547","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1548","Primary",NA,"Breaker Panel","Siemens",NA,"2007","200"
"SITE_1548","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1549","Primary",NA,"Breaker Panel","General Electric",NA,"1982","200"
"SITE_1549","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_155","Primary",NA,"Breaker Panel","Siemens",NA,"2005","200"
"SITE_1550","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","100"
"SITE_1551","Primary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_1552","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1552","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","Unknown"
"SITE_1553","Primary",NA,"Breaker Panel","Siemens",NA,"2018","200"
"SITE_1553","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1554","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1554","Secondary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_1554","Primary",NA,"Breaker Panel","Square D",NA,"1999","200"
"SITE_1555","Unknown","Main2","Breaker Panel","Square D",NA,"2022","200"
"SITE_1555","Unknown","Main1","Breaker Panel","Square D",NA,"2018","200"
"SITE_1556","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"1990","200"
"SITE_1557","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1558","Primary",NA,"Breaker Panel","General Electric",NA,"1978","200"
"SITE_1559","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1560","Primary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_1561","Primary",NA,"Breaker Panel","General Electric",NA,"1987","Unknown"
"SITE_1562","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1980","200"
"SITE_1562","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_1563","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1992","200"
"SITE_1564","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1565","Primary",NA,"Breaker Panel","General Electric",NA,"1996","200"
"SITE_1565","Secondary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1566","Secondary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1566","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_1567","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","100"
"SITE_1568","Primary",NA,"Breaker Panel","Crouse-Hinds",NA,"1997","200"
"SITE_157","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_1571","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1572","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1573","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","100"
"SITE_1574","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1575","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_1576","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","Unknown"
"SITE_1577","Primary",NA,"Breaker Panel","Gould",NA,"2014","200"
"SITE_1578","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1579","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_158","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1580","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1581","Primary",NA,"Breaker Panel","Siemens",NA,"1999","200"
"SITE_1582","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1583","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1584","Primary",NA,"Breaker Panel","General Electric",NA,"2007","200"
"SITE_1585","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1586","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1586","Secondary",NA,"Breaker Panel","Other","Generac","Unknown","200"
"SITE_1587","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","200"
"SITE_1588","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1589","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_159","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_1590","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_1590","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1593","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","125"
"SITE_1594","Secondary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_1594","Primary",NA,"Breaker Panel","Siemens",NA,"2016","200"
"SITE_1594","Secondary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1595","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1596","Primary",NA,"Breaker Panel","Square D",NA,"2015","200"
"SITE_1597","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1998","200"
"SITE_1598","Primary",NA,"Breaker Panel","Square D",NA,"2017","200"
"SITE_1599","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_16","Secondary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","225"
"SITE_16","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_160","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1990","200"
"SITE_160","Secondary",NA,"Breaker Panel","Square D",NA,"2014","125"
"SITE_160","Secondary",NA,"Breaker Panel","Square D",NA,"2009","125"
"SITE_1600","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2019","200"
"SITE_1601","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1602","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"2007","200"
"SITE_1603","Primary",NA,"Breaker Panel","Murray",NA,"1980","200"
"SITE_1604","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1989","200"
"SITE_1605","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","Unknown"
"SITE_1606","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1607","Primary",NA,"Breaker Panel","Siemens",NA,"2004","200"
"SITE_1608","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2009","200"
"SITE_1609","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_161","Primary",NA,"Breaker Panel","Homeline",NA,"Unknown","100"
"SITE_1610","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1611","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1612","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"1975","200"
"SITE_1612","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_1613","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2002","200"
"SITE_1614","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","Unknown"
"SITE_1615","Primary",NA,"Breaker Panel","Siemens",NA,"2013","200"
"SITE_1616","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1617","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1618","Primary",NA,"Breaker Panel","Square D",NA,"2001","200"
"SITE_1619","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_162","Primary",NA,"Breaker Panel","Siemens",NA,"1996","200"
"SITE_1620","Primary",NA,"Breaker Panel","Siemens",NA,"2001","200"
"SITE_1620","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","Unknown"
"SITE_1621","Primary",NA,"Breaker Panel","Siemens",NA,"1989","200"
"SITE_1622","Primary",NA,"Breaker Panel","American Switch",NA,"Unknown","200"
"SITE_1623","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2004","200"
"SITE_1624","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"1987","200"
"SITE_1624","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","150"
"SITE_1625","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1627","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","100"
"SITE_1627","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1628","Primary",NA,"Breaker Panel","Homeline",NA,"1995","200"
"SITE_1629","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_163","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1995","200"
"SITE_1630","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1631","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1631","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_1631","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","200"
"SITE_1632","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2000","200"
"SITE_1632","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","100"
"SITE_1633","Primary",NA,"Breaker Panel","General Electric",NA,"2003","200"
"SITE_1634","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","100"
"SITE_1634","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2008","200"
"SITE_1635","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2021","200"
"SITE_1636","Primary",NA,"Breaker Panel","Square D",NA,"2006","200"
"SITE_1637","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1638","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1639","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","200"
"SITE_164","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"1987","200"
"SITE_1640","Primary",NA,"Breaker Panel","Siemens",NA,"2007","200"
"SITE_1641","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1642","Primary",NA,"Breaker Panel","Siemens",NA,"2007","200"
"SITE_1643","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1644","Unknown","Main1","Breaker Panel","Arrow-Hart/Murray",NA,"2003","200"
"SITE_1644","Unknown","Main2","Breaker Panel","Arrow-Hart/Murray",NA,"2014","200"
"SITE_1645","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1646","Primary",NA,"Breaker Panel","Siemens",NA,"2021","200"
"SITE_1647","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_165","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_166","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_167","Primary",NA,"Breaker Panel","Square D",NA,"1994","200"
"SITE_168","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2016","200"
"SITE_169","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_17","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_17","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_170","Primary",NA,"Breaker Panel","General Electric",NA,"2005","200"
"SITE_171","Primary",NA,"Breaker Panel","Westinghouse",NA,"1975","Unknown"
"SITE_172","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1727","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"1975","200"
"SITE_1728","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","100"
"SITE_1728","Primary",NA,"Fuse Panel","Bulldog Electric",NA,"Unknown","60"
"SITE_1728","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_173","Primary",NA,"Breaker Panel","Siemens",NA,"1995","200"
"SITE_1730","Primary",NA,"Breaker Panel","Square D",NA,"1990","200"
"SITE_1732","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1733","Primary",NA,"Breaker Panel","Siemens",NA,"2004","200"
"SITE_1734","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_1735","Primary",NA,"Breaker Panel","Square D",NA,"1995","200"
"SITE_1736","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1738","Primary",NA,"Breaker Panel","Siemens",NA,"2021","100"
"SITE_1739","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1999","200"
"SITE_174","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","100"
"SITE_1740","Primary",NA,"Breaker Panel","Sylvania (non-Challenger)",NA,"Unknown","225"
"SITE_1741","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_1741","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1742","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2017","150"
"SITE_1743","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1745","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","125"
"SITE_1746","Primary",NA,"Breaker Panel","Siemens",NA,"2017","125"
"SITE_1747","Primary",NA,"Breaker Panel","Square D",NA,"1999","200"
"SITE_1749","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_175","Primary",NA,"Fuse Panel","General Switch Corp",NA,"Unknown","150"
"SITE_1750","Primary",NA,"Breaker Panel","Siemens",NA,"2016","200"
"SITE_1751","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","125"
"SITE_1752","Primary",NA,"Breaker Panel","Siemens",NA,"2002","200"
"SITE_1753","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1754","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1755","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2018","200"
"SITE_1756","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1757","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","200"
"SITE_1758","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_176","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2005","200"
"SITE_1760","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1762","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","200"
"SITE_1763","Primary",NA,"Breaker Panel","Siemens",NA,"1995","200"
"SITE_1764","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","200"
"SITE_1765","Primary",NA,"Breaker Panel","Square D",NA,"2014","100"
"SITE_1765","Primary",NA,"Breaker Panel","Square D",NA,"2005","200"
"SITE_1766","Primary",NA,"Fuse Panel","Federal Pacific/FPE/Noark",NA,"Unknown","200"
"SITE_1768","Primary",NA,"Breaker Panel","Siemens",NA,"2002","200"
"SITE_1769","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2017","200"
"SITE_177","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2006","200"
"SITE_1771","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","100"
"SITE_1772","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1773","Primary",NA,"Breaker Panel","Square D",NA,"2002","200"
"SITE_1774","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1973","200"
"SITE_1775","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1776","Primary",NA,"Breaker Panel","General Electric",NA,"2015","200"
"SITE_1777","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1778","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1778","Primary",NA,"Breaker Panel","Unknown",NA,"2012","200"
"SITE_1779","Primary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_178","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","200"
"SITE_1780","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"1992","200"
"SITE_1781","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_1782","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2005","200"
