"SiteID","Meter_ID","Meter_Type","Smart_Meter","Meter_Serves"
"SITE_107","MTR_1","Electric","Yes","Residence"
"SITE_107","MTR_2","Gas","No","Residence"
"SITE_1070","MTR_1","Electric","Yes","Residence"
"SITE_1070","MTR_2","Gas","No","Residence"
"SITE_1071","MTR_1","Electric","Yes","The whole house"
"SITE_1072","MTR_1","Gas","No","House"
"SITE_1072","MTR_2","Electric","Yes","House"
"SITE_1073","MTR_1","Electric","Yes","House"
"SITE_1075","MTR_1","Electric","Yes","House"
"SITE_1075","MTR_2","Gas","No","House"
"SITE_1076","MTR_1","Gas","No","House"
"SITE_1076","MTR_2","Electric","Yes","House"
"SITE_1077","MTR_1","Electric","Yes","Property,  home and barn"
"SITE_1078","MTR_1","Electric","Yes","Lower"
"SITE_1078","MTR_2","Electric","Yes","Upper"
"SITE_1079","MTR_1","Electric","Yes","House and garage"
"SITE_108","MTR_1","Electric","Yes","House"
"SITE_108","MTR_2","Gas","No","House"
"SITE_1080","MTR_1","Electric","Yes","Residence"
"SITE_1081","MTR_1","Electric","Yes","House"
"SITE_1081","MTR_2","Gas","No","House"
"SITE_1082","MTR_1","Electric","Yes","Unknown"
"SITE_1083","MTR_1","Electric","Yes","House"
"SITE_1084","MTR_1","Electric","Yes","Unknown"
"SITE_1085","MTR_1","Electric","Yes","House"
"SITE_1086","MTR_1","Electric","Yes","House"
"SITE_1086","MTR_2","Gas","No","House"
"SITE_1087","MTR_1","Electric","Yes","Whole house"
"SITE_1087","MTR_2","Electric","No","Whole house"
"SITE_1088","MTR_1","Electric","No","House"
"SITE_1089","MTR_1","Electric","Yes","Whole property"
"SITE_109","MTR_1","Electric","Yes","Whole house"
"SITE_109","MTR_2","Gas","No","Whole house"
"SITE_1090","MTR_1","Electric","Yes","House and garage"
"SITE_1090","MTR_2","Gas","No","House"
"SITE_1091","MTR_1","Electric","Yes","House"
"SITE_1092","MTR_1","Electric","Yes","House"
"SITE_1092","MTR_2","Gas","No","House"
"SITE_1093","MTR_1","Electric","No","Unknown"
"SITE_1093","MTR_2","Gas","No","Unknown"
"SITE_1094","MTR_1","Electric","Yes","Unknown"
"SITE_1095","MTR_1","Electric","Yes","House"
"SITE_1096","MTR_1","Electric","Yes","Whole home"
"SITE_1097","MTR_1","Electric","Yes","House and sheds"
"SITE_1098","MTR_1","Electric","Yes","Unknown"
"SITE_1099","MTR_1","Electric","No","House"
"SITE_11","MTR_1","Gas","No","Whole house"
"SITE_11","MTR_2","Electric","No","Whole house"
"SITE_110","MTR_1","Electric","Yes","Whole house"
"SITE_1100","MTR_1","Electric","Yes","Whole home plus shop"
"SITE_1100","MTR_2","Gas","No","Whole home"
"SITE_1101","MTR_1","Electric","Yes","House"
"SITE_1101","MTR_2","Gas","No","House"
"SITE_1102","MTR_1","Electric","Yes","Whole house"
"SITE_1102","MTR_2","Gas","No","Whole house"
"SITE_1103","MTR_1","Electric","Yes","Unit ####"
"SITE_1104","MTR_1","Electric","Yes","House"
"SITE_1104","MTR_2","Gas","No","House"
"SITE_1105","MTR_1","Electric","Yes","House"
"SITE_1105","MTR_2","Gas","No","House"
"SITE_1106","MTR_1","Electric","Yes","Home"
"SITE_1107","MTR_1","Electric","Yes","House"
"SITE_1107","MTR_2","Gas","No","House"
"SITE_1108","MTR_1","Electric","Yes","House and outbuilding"
"SITE_1109","MTR_1","Electric","Yes","House"
"SITE_111","MTR_1","Electric","Yes","Whole house"
"SITE_111","MTR_2","Gas","Unknown","Whole house"
"SITE_1110","MTR_1","Electric","Yes","Unknown"
"SITE_1111","MTR_1","Electric","Yes","House"
"SITE_1111","MTR_2","Gas","No","House"
"SITE_1113","MTR_1","Electric","Yes","Outside extension cords and electric fence"
"SITE_1113","MTR_2","Electric","Yes","House"
"SITE_1114","MTR_1","Electric","Yes","House"
"SITE_1114","MTR_2","Gas","No","House"
"SITE_1115","MTR_1","Electric","Yes","Unknown"
"SITE_1116","MTR_1","Electric","Yes","Whole house"
"SITE_1116","MTR_2","Gas","No","Whole house"
"SITE_1117","MTR_1","Electric","Yes","House"
"SITE_1117","MTR_2","Gas","No","House"
"SITE_1118","MTR_1","Gas","No","House"
"SITE_1118","MTR_2","Electric","Yes","House"
"SITE_112","MTR_1","Electric","Yes","Residence"
"SITE_112","MTR_2","Gas","No","Residence"
"SITE_1120","MTR_1","Gas","No","Residence"
"SITE_1120","MTR_2","Electric","Yes","Residence"
"SITE_1121","MTR_1","Electric","Yes","House and garage"
"SITE_1122","MTR_1","Electric","Yes","Home"
"SITE_1123","MTR_1","Gas","No","House"
"SITE_1123","MTR_2","Electric","Yes","House and out buildings"
"SITE_1124","MTR_1","Electric","No","Whole house"
"SITE_1125","MTR_1","Electric","Yes","House"
"SITE_1125","MTR_2","Gas","No","House"
"SITE_1126","MTR_1","Electric","Yes","House and outbuildings"
"SITE_1127","MTR_1","Gas","No","House"
"SITE_1127","MTR_2","Electric","Yes","House"
"SITE_1128","MTR_1","Electric","Yes","House"
"SITE_113","MTR_1","Electric","No","Whole house"
"SITE_113","MTR_2","Gas","No","Whole house"
"SITE_1130","MTR_1","Electric","Yes","House"
"SITE_1130","MTR_2","Gas","No","House"
"SITE_1132","MTR_1","Electric","Yes","Whole house"
"SITE_1132","MTR_2","Gas","No","Whole house"
"SITE_1133","MTR_1","Electric","No","House"
"SITE_1134","MTR_1","Electric","Yes","Residence and garage"
"SITE_1135","MTR_1","Electric","No","House and garage"
"SITE_1135","MTR_2","Gas","No","House"
"SITE_1136","MTR_1","Electric","Yes","Unknown"
"SITE_1137","MTR_1","Gas","No","House"
"SITE_1137","MTR_2","Electric","Yes","House"
"SITE_1138","MTR_1","Electric","Yes","Whole house"
"SITE_1139","MTR_1","Electric","No","House and outbuilding"
"SITE_114","MTR_1","Electric","No","Unit ### (whole unit)"
"SITE_1140","MTR_1","Electric","Yes","Whole house"
"SITE_1141","MTR_1","Electric","Yes","Whole unit"
"SITE_1141","MTR_2","Gas","No","Whole unit"
"SITE_1142","MTR_1","Electric","Yes","House"
"SITE_1144","MTR_1","Gas","No","Whole house"
"SITE_1144","MTR_2","Electric","Yes","Whole house"
"SITE_1145","MTR_1","Electric","Unknown","House"
"SITE_1145","MTR_2","Gas","No","House"
"SITE_1146","MTR_1","Electric","Yes","Residence"
"SITE_1147","MTR_1","Electric","Yes","House and outbuildings"
"SITE_1148","MTR_1","Electric","Yes","House"
"SITE_1149","MTR_1","Electric","Yes","Unknown"
"SITE_115","MTR_1","Electric","Yes","Residence"
"SITE_115","MTR_2","Gas","No","Residence"
"SITE_1150","MTR_1","Electric","Yes","House and outbuildings"
"SITE_1150","MTR_2","Gas","No","House"
"SITE_1151","MTR_1","Electric","Yes","Only electric heaters"
"SITE_1151","MTR_2","Electric","Yes","House (including electric heaters) and outbuilding"
"SITE_1152","MTR_1","Electric","Yes","Home"
"SITE_1152","MTR_2","Gas","No","Home"
"SITE_1153","MTR_1","Electric","Yes","Property"
"SITE_1154","MTR_1","Electric","Yes","Whole house"
"SITE_1155","MTR_1","Gas","No","Whole home"
"SITE_1155","MTR_2","Electric","Yes","Unknown"
"SITE_1156","MTR_1","Gas","No","Unknown"
"SITE_1156","MTR_2","Electric","Yes","Unknown"
"SITE_1157","MTR_1","Electric","Yes","Apartment ###"
"SITE_1157","MTR_2","Gas","No","Apartment ###,  one of these numbers should correspond to gas account,  were not labeled and did not have gas account information."
"SITE_1158","MTR_1","Electric","Yes","Whole home"
"SITE_1159","MTR_1","Electric","Yes","Property-house and buildings"
"SITE_116","MTR_1","Electric","No","Residence"
"SITE_1160","MTR_1","Electric","Yes","Whole property"
"SITE_1161","MTR_1","Electric","Yes","House"
"SITE_1162","MTR_1","Electric","Yes","House"
"SITE_1163","MTR_1","Electric","Yes","Customers home"
"SITE_1163","MTR_2","Gas","No","Customers home"
"SITE_1164","MTR_1","Electric","Yes","House"
"SITE_1164","MTR_2","Gas","No","House"
"SITE_1165","MTR_1","Electric","Yes","House"
"SITE_1166","MTR_1","Electric","No","House"
"SITE_1166","MTR_2","Gas","No","House"
"SITE_1167","MTR_1","Electric","Yes","House"
"SITE_1168","MTR_1","Electric","Yes","Unknown"
"SITE_1169","MTR_1","Electric","Yes","House"
"SITE_1169","MTR_2","Gas","No","House"
"SITE_117","MTR_1","Gas","Unknown","Whole house"
"SITE_117","MTR_2","Electric","Unknown","Whole house"
"SITE_1170","MTR_1","Gas","No","House"
"SITE_1170","MTR_2","Electric","Yes","House"
"SITE_1171","MTR_1","Electric","Yes","House"
"SITE_1172","MTR_1","Electric","Yes","House"
"SITE_1173","MTR_1","Electric","Yes","House"
"SITE_1174","MTR_1","Electric","Yes","House and back garage"
"SITE_1174","MTR_2","Gas","No","House"
"SITE_1175","MTR_1","Electric","Yes","House"
"SITE_1176","MTR_1","Electric","Yes","The whole house"
"SITE_1176","MTR_2","Gas","No","The whole house"
"SITE_1177","MTR_1","Electric","Yes","House"
"SITE_1178","MTR_1","Electric","Yes","House"
"SITE_1179","MTR_1","Electric","Yes","House and detatched garage"
"SITE_118","MTR_1","Gas","No","House"
"SITE_1180","MTR_1","Electric","Yes","House"
"SITE_1180","MTR_2","Gas","No","House"
"SITE_1181","MTR_1","Electric","Yes","Unknown"
"SITE_1182","MTR_1","Gas","No","Residence"
"SITE_1182","MTR_2","Electric","Yes","Residence"
"SITE_1183","MTR_1","Electric","Yes","House (and semi-attached garage)"
"SITE_1183","MTR_2","Gas","No","House"
"SITE_1184","MTR_1","Electric","Yes","House"
"SITE_1184","MTR_2","Gas","No","House"
"SITE_1185","MTR_1","Electric","Yes","House and outbuildings"
"SITE_1185","MTR_2","Gas","No","House and shop"
"SITE_1186","MTR_1","Electric","Yes","House"
"SITE_1187","MTR_1","Electric","Yes","Unknown"
"SITE_1188","MTR_1","Electric","Yes","Whole house"
"SITE_1189","MTR_1","Electric","Yes","House and garage"
"SITE_1189","MTR_2","Gas","No","House"
"SITE_119","MTR_1","Electric","Yes","Residence"
"SITE_1190","MTR_1","Electric","Yes","Unknown"
"SITE_1191","MTR_1","Electric","Yes","House"
"SITE_1192","MTR_1","Electric","Yes","House"
"SITE_1192","MTR_2","Gas","No","House"
"SITE_1193","MTR_1","Electric","Yes","Residence"
"SITE_1193","MTR_2","Gas","No","Residence"
"SITE_1195","MTR_1","Electric","Yes","House"
"SITE_1195","MTR_2","Gas","No","House"
"SITE_1196","MTR_1","Electric","Yes","Unit ###"
"SITE_1197","MTR_1","Electric","Yes","Home"
"SITE_1198","MTR_1","Electric","Yes","House"
"SITE_1199","MTR_1","Electric","Yes","House"
"SITE_1199","MTR_2","Gas","No","House"
"SITE_12","MTR_1","Gas","No","Whole house"
"SITE_12","MTR_2","Electric","Yes","Whole house"
"SITE_120","MTR_1","Electric","Yes","Residence and other unit at this address"
"SITE_1200","MTR_1","Electric","Yes","House"
"SITE_1200","MTR_2","Gas","No","House"
"SITE_1201","MTR_1","Gas","No","House"
"SITE_1201","MTR_2","Electric","No","House"
"SITE_1202","MTR_1","Electric","Yes","Unknown"
"SITE_1203","MTR_1","Electric","Yes","House and outbuilding"
"SITE_1204","MTR_1","Electric","Yes","Residence"
"SITE_1205","MTR_1","Electric","Yes","House and outbuildings"
"SITE_1206","MTR_1","Electric","Yes","Whole house"
"SITE_1207","MTR_1","Electric","Yes","House"
"SITE_1207","MTR_2","Gas","No","House"
"SITE_1208","MTR_1","Gas","No","House"
"SITE_1208","MTR_2","Electric","Yes","House and shop"
"SITE_1209","MTR_1","Electric","No","Whole house"
