"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","WiFi_Capable"
"SITE_805","ROOM_15761","APPL_109397","Medify Air","MA-14","2020","No","No"
"SITE_807","ROOM_30561","APPL_37115","Winix","5500-2","2021","Yes","No"
"SITE_807","ROOM_36470","APPL_51763","Coway","AP-1512HH(W)","2021","No","No"
"SITE_809","ROOM_25527","APPL_15952","Levoit","CORE200S","Unknown","Yes","Yes"
"SITE_827","ROOM_32653","APPL_126317","Oreck","Unknown","Unknown","No","No"
"SITE_836","ROOM_9845","APPL_66167","Taotronics","TT-AP006","Unknown","No","No"
"SITE_837","ROOM_13872","APPL_135284","Holmes","HAPS650B","Unknown","No","No"
"SITE_853","ROOM_29901","APPL_15822","Honeywell","17000-S","Unknown","No","No"
"SITE_86","ROOM_24595","APPL_13116","Envion","Unknown","Unknown","No","No"
"SITE_860","ROOM_19460","APPL_139408","Livepure","LP550THP","2022","Yes","No"
"SITE_861","ROOM_3387","APPL_30669","Filtrete","Unknown","Unknown","Yes","No"
"SITE_861","ROOM_54","APPL_91632","Filtrete","Unknown","Unknown","Yes","No"
"SITE_865","ROOM_468","APPL_137688","Honeywell","50250 SERIES","Unknown","No","No"
"SITE_865","ROOM_28870","APPL_67141","Austin Air","HEALTH MATE","Unknown","No","No"
"SITE_887","ROOM_3207","APPL_111313","Intertek","MA-14","2020","No","No"
"SITE_89","ROOM_6961","APPL_141048","Levoit","LV-H132","Unknown","No","No"
"SITE_89","ROOM_1276","APPL_85021","Levoit","LV-H132","Unknown","No","No"
"SITE_91","ROOM_30575","APPL_10779","Honeywell","Unknown","Unknown","No","No"
"SITE_91","ROOM_295","APPL_132629","Blueair","Unknown","Unknown","No","No"
"SITE_91","ROOM_8895","APPL_153817","Blueair","Unknown","Unknown","No","No"
"SITE_911","ROOM_31623","APPL_75738","Winix","C535","Unknown","Yes","No"
"SITE_914","ROOM_39570","APPL_146382","Winix","Plasmawave","Unknown","Yes","No"
"SITE_929","ROOM_35943","APPL_38563","3m","FAP-C01-F1","Unknown","Yes","No"
"SITE_93","ROOM_44043","APPL_68632","Winix","C545","Unknown","Unknown","Unknown"
"SITE_930","ROOM_46170","APPL_85621","Blueair","PURE 211+","Unknown","No","No"
"SITE_932","ROOM_16099","APPL_58824","Kenmore","#85244","Unknown","No","No"
"SITE_937","ROOM_44375","APPL_134865","Unknown","Unknown","Unknown","No","No"
"SITE_944","ROOM_7280","APPL_157478","Sharp","KC-850U","Unknown","Yes","No"
"SITE_95","ROOM_25050","APPL_2317","Honeywell","HPA300","Unknown","Yes","No"
"SITE_971","ROOM_16328","APPL_141909","Blueair","Unknown","Unknown","Unknown","Yes"
"SITE_971","ROOM_22361","APPL_14279","Blueair","Unknown","Unknown","No","Yes"
"SITE_972","ROOM_44884","APPL_79735","Coway","AP-1512HH(W)","2021","No","No"
"SITE_972","ROOM_33940","APPL_10744","Coway","AP-1512HH(W)","2020","No","No"
"SITE_972","ROOM_37163","APPL_45581","Coway","AP-1512HH(W)","2020","No","No"
"SITE_978","ROOM_38420","APPL_68558","Germguardian","AC4825E","Unknown","Yes","No"
"SITE_989","ROOM_23243","APPL_74743","Rabbit Air","Unknown","Unknown","No","No"
"SITE_993","ROOM_35944","APPL_96592","Unknown","GXZ-AP01","Unknown","No","No"
"SITE_995","ROOM_22761","APPL_39626","Honeywell","HPA060","Unknown","Yes","No"
"SITE_999","ROOM_33712","APPL_140112","Germguardian","AC5000E","Unknown","Yes","No"
"SITE_3045","ROOM_14408","APPL_75658","Levoit","CORE 30","2021","Yes","No"
"SITE_3047","ROOM_40915","APPL_86655","Honeywell","HPA200","2022","Yes","No"
"SITE_3050","ROOM_8340","APPL_120574","Blueair","Unknown","Unknown","Unknown","Unknown"
"SITE_3052","ROOM_14076","APPL_156049","Envion","CA500","Unknown","No","No"
"SITE_3053","ROOM_30660","APPL_140169","Storebary","C350","Unknown","Yes","No"
"SITE_3057","ROOM_43581","APPL_490","Hokeki","Unknown","Unknown","Unknown","No"
"SITE_3091","ROOM_6434","APPL_39536","Coway","AO-1512HH (W)","Unknown","No","No"
"SITE_3093","ROOM_31977","APPL_164591","Medify Air","MA-40","Unknown","Unknown","No"
"SITE_3093","ROOM_12586","APPL_40102","Medify Air","MA-40","Unknown","No","No"
"SITE_3101","ROOM_23328","APPL_6524","Winix","55000-2","Unknown","Unknown","Unknown"
"SITE_3106","ROOM_20431","APPL_160767","Instant","AP100","Unknown","No","No"
"SITE_3106","ROOM_39299","APPL_55568","Instant","Unknown","Unknown","No","No"
"SITE_3109","ROOM_31739","APPL_4725","Levoit","Unknown","Unknown","Unknown","No"
"SITE_3114","ROOM_30727","APPL_164352","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_3114","ROOM_36291","APPL_149210","Blueair","PURE211PLUS","Unknown","No","No"
"SITE_3116","ROOM_45674","APPL_46770","Bissell","2780A","Unknown","No","No"
"SITE_3139","ROOM_32319","APPL_4194","Membrane Solutions","MSA3","Unknown","No","No"
"SITE_3139","ROOM_35326","APPL_96016","Levoit","LV-H126","Unknown","No","No"
"SITE_3152","ROOM_46079","APPL_28352","Germguardian","Unknown","Unknown","Yes","Unknown"
"SITE_3153","ROOM_439","APPL_63617","Levoit","LVH132","2020","No","No"
"SITE_3153","ROOM_3545","APPL_113400","Germguardian","AC4825E","Unknown","Yes","No"
"SITE_3154","ROOM_23512","APPL_172807","Levoit","LV-PUR131","Unknown","No","No"
"SITE_3160","ROOM_12983","APPL_57703","Coway","Unknown","Unknown","No","No"
"SITE_3166","ROOM_22020","APPL_116342","Ikea","#E1916","Unknown","No","No"
"SITE_3166","ROOM_15164","APPL_134892","Ikea","#E1916","Unknown","No","No"
"SITE_3169","ROOM_46112","APPL_128590","Honeywell","Unknown","Unknown","Yes","No"
"SITE_3178","ROOM_44960","APPL_14714","Yiou","P1802","Unknown","No","No"
"SITE_3178","ROOM_15527","APPL_95827","Bissell","AIR220","Unknown","Unknown","No"
"SITE_3178","ROOM_42301","APPL_96964","Blueair","PURE 211+","Unknown","No","No"
"SITE_3191","ROOM_45158","APPL_17614","Smartmi","Unknown","Unknown","Unknown","Unknown"
"SITE_3195","ROOM_29109","APPL_15447","Blue","Unknown","2020","No","No"
"SITE_3212","ROOM_41568","APPL_80616","Winix","C909","Unknown","Yes","No"
"SITE_3212","ROOM_37551","APPL_155453","Winix","C545","Unknown","Yes","No"
"SITE_3216","ROOM_30286","APPL_21423","Holmes","HAP8650B","Unknown","Unknown","Unknown"
"SITE_3227","ROOM_9550","APPL_131157","Envion","IONIC PRO PLATINUM","Unknown","No","No"
"SITE_3238","ROOM_33042","APPL_146985","Blueair","Unknown","2022","No","No"
"SITE_3243","ROOM_12172","APPL_87513","Envion","Unknown","Unknown","No","No"
"SITE_3247","ROOM_24442","APPL_37741","Airthereal","APH260","Unknown","No","No"
"SITE_3248","ROOM_23866","APPL_57844","Holmes","HAP242B","Unknown","No","Unknown"
"SITE_3248","ROOM_11841","APPL_157065","Holmes","HAP242B","Unknown","No","No"
"SITE_3259","ROOM_7957","APPL_58434","Coway","AP-1512HH(W)","2018","No","No"
"SITE_3260","ROOM_44401","APPL_92831","Shark","#HE401","Unknown","No","No"
"SITE_3269","ROOM_27421","APPL_64254","Levoit","CORE 300","Unknown","Yes","No"
"SITE_3269","ROOM_22800","APPL_93996","Levoit","LUV-PUR1315","Unknown","No","No"
"SITE_3271","ROOM_26529","APPL_8152","Winix","Unknown","Unknown","Yes","Yes"
"SITE_3271","ROOM_8839","APPL_139960","Winix","Unknown","Unknown","Yes","Yes"
"SITE_3274","ROOM_28476","APPL_73059","Coway","AIRMEGA","Unknown","Unknown","No"
"SITE_3274","ROOM_11440","APPL_148913","Aura","#2967015","Unknown","Unknown","Unknown"
"SITE_3277","ROOM_31063","APPL_146891","Medify Air","MA-112","Unknown","No","No"
"SITE_3281","ROOM_13854","APPL_120492","Dyson","Unknown","Unknown","No","Yes"
"SITE_3287","ROOM_3091","APPL_82835","Dyson","Unknown","Unknown","No","No"
"SITE_3288","ROOM_855","APPL_146225","Thera Pure","TPP220H","Unknown","No","No"
"SITE_3292","ROOM_32324","APPL_40203","Dyson","Unknown","Unknown","Unknown","Yes"
"SITE_3312","ROOM_21495","APPL_72334","Winix","Unknown","Unknown","No","Yes"
"SITE_3316","ROOM_27591","APPL_164360","Envion","CA-200B","Unknown","No","No"
"SITE_3331","ROOM_30419","APPL_70336","Coway","AP-1512HH","2020","Unknown","No"
"SITE_3342","ROOM_44221","APPL_163959","Medify Air","MA-125","Unknown","Unknown","No"
"SITE_3359","ROOM_21367","APPL_43050","Okaysou","AIRMAX 10L PRO","2022","No","No"
"SITE_3359","ROOM_39123","APPL_67501","Okaysou","AIRMAX 10L PRO","Unknown","No","No"
"SITE_3364","ROOM_34399","APPL_6374","Levoit","Unknown","Unknown","Yes","Unknown"
"SITE_3367","ROOM_30799","APPL_64944","Blue","PURE 211I","Unknown","No","No"
"SITE_3376","ROOM_26725","APPL_147333","Levoit","Unknown","Unknown","Unknown","No"
"SITE_3386","ROOM_39997","APPL_153637","Levoit","LV-H132","Unknown","No","No"
"SITE_3387","ROOM_16193","APPL_101553","Pure","PURE ZONE","Unknown","No","No"
"SITE_3388","ROOM_44818","APPL_43016","Winix","Unknown","Unknown","Yes","Unknown"
"SITE_3391","ROOM_30397","APPL_104864","Instant","AP100","2022","No","No"
"SITE_3398","ROOM_33391","APPL_172782","Envion","Unknown","Unknown","No","No"
"SITE_3409","ROOM_45852","APPL_56233","Clorox","AP30","Unknown","No","No"
"SITE_3422","ROOM_30665","APPL_161364","Tredy","TD1500","2022","No","No"
"SITE_3427","ROOM_39144","APPL_44221","Blue","PURE 211+","Unknown","No","No"
