"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","WiFi_Capable"
"SITE_1412","ROOM_9586","APPL_171105","Levoit","LV-H132","Unknown","No","No"
"SITE_1417","ROOM_41397","APPL_86997","Hunter","#30057","Unknown","No","No"
"SITE_1427","ROOM_39294","APPL_36912","Levoit","LV-H132","Unknown","No","No"
"SITE_1429","ROOM_17312","APPL_19245","Levoit","CORE 400S","Unknown","No","No"
"SITE_1429","ROOM_40508","APPL_63304","Levoit","CORE 400S","Unknown","No","No"
"SITE_144","ROOM_1342","APPL_34730","Coway","AP-1512HH(W)","2020","No","No"
"SITE_144","ROOM_16634","APPL_14644","Blueair","PURE 211+","Unknown","No","No"
"SITE_1440","ROOM_19568","APPL_98168","Winix","Unknown","Unknown","No","No"
"SITE_1440","ROOM_9489","APPL_54182","Winix","Unknown","Unknown","No","No"
"SITE_1455","ROOM_6255","APPL_171479","Levoit","LG-H132","2018","No","No"
"SITE_1455","ROOM_12092","APPL_163463","Levoit","LV-H132","2018","No","No"
"SITE_1469","ROOM_9798","APPL_18526","Holmes","HAP8615","Unknown","No","No"
"SITE_1469","ROOM_33892","APPL_166115","Winix","MODEL 5300","Unknown","No","No"
"SITE_1500","ROOM_31259","APPL_125149","Envion","Unknown","Unknown","No","No"
"SITE_1516","ROOM_27575","APPL_116433","Homedics","#1461901","Unknown","No","No"
"SITE_152","ROOM_21353","APPL_93717","Plasma Wave","Unknown","Unknown","Yes","No"
"SITE_1520","ROOM_12996","APPL_4005","Levoit","LV-H132","Unknown","No","No"
"SITE_153","ROOM_42521","APPL_76465","Coway","AP-1512HH","Unknown","No","No"
"SITE_1530","ROOM_29344","APPL_102956","Rabbit Air","SPA-780A","2020","Yes","No"
"SITE_1538","ROOM_4771","APPL_7882","Honeywell","Unknown","Unknown","Yes","No"
"SITE_154","ROOM_39186","APPL_11007","Spt","AC-2062","Unknown","Unknown","No"
"SITE_1545","ROOM_4929","APPL_134414","Hejiko","HJ-H23","2022","No","No"
"SITE_1547","ROOM_3334","APPL_17959","Germguardian","Unknown","Unknown","Unknown","No"
"SITE_1554","ROOM_38502","APPL_125773","Moosoo","AC04","Unknown","No","No"
"SITE_1554","ROOM_44364","APPL_18936","Winix","C535","2018","Yes","No"
"SITE_1557","ROOM_19361","APPL_12700","Levoit","VITAL 100","Unknown","No","No"
"SITE_1558","ROOM_33953","APPL_114679","Winix","Unknown","Unknown","Yes","No"
"SITE_1562","ROOM_19684","APPL_122156","Idylis","AC-2154(ITEM#797600)","Unknown","No","No"
"SITE_1562","ROOM_31242","APPL_172844","Winix","D480","Unknown","Yes","No"
"SITE_1562","ROOM_7951","APPL_104750","Idylis","AC-2063(ITEM#560732)","Unknown","No","No"
"SITE_1565","ROOM_19208","APPL_88672","Filtrete","FAP-T03-A2","Unknown","Unknown","Unknown"
"SITE_157","ROOM_1285","APPL_81154","Levoit","LV-PUR131","Unknown","No","No"
"SITE_1571","ROOM_28790","APPL_143896","Envion","CA-500","Unknown","No","No"
"SITE_1578","ROOM_10433","APPL_20461","Holmes","HTF3110A","Unknown","Unknown","Unknown"
"SITE_1578","ROOM_11544","APPL_151762","Coway","AP-1512HH","2020","Unknown","No"
"SITE_1578","ROOM_19155","APPL_1385","Coway","AP-1512HH(W)","2020","Unknown","No"
"SITE_1594","ROOM_28585","APPL_96267","Levoit","CORE 300","Unknown","Yes","No"
"SITE_1594","ROOM_11365","APPL_105914","Winix","C535","Unknown","No","No"
"SITE_1594","ROOM_8096","APPL_22375","Winix","C535","Unknown","No","No"
"SITE_160","ROOM_2348","APPL_75114","Shop Fox","Unknown","Unknown","Unknown","Unknown"
"SITE_1601","ROOM_3906","APPL_27043","Honeywell","HPA300","Unknown","No","No"
"SITE_1601","ROOM_36855","APPL_18224","Honeywell","HPA5100W","Unknown","Yes","No"
"SITE_1601","ROOM_802","APPL_1557","Levoit","LV-PUR131","Unknown","No","No"
"SITE_1612","ROOM_19787","APPL_127763","Blueair","Unknown","Unknown","No","No"
"SITE_1614","ROOM_8288","APPL_115444","Winix","D480","Unknown","No","No"
"SITE_1627","ROOM_4976","APPL_107261","Coway","AP-1512HH(W)","Unknown","No","No"
"SITE_171","ROOM_40194","APPL_96","Taotronics","TT-AP006","2018","No","No"
"SITE_1727","ROOM_21942","APPL_137450","Bissell","2780A","Unknown","Unknown","No"
"SITE_174","ROOM_11844","APPL_40042","Winix","C5451","Unknown","Yes","Unknown"
"SITE_1742","ROOM_13175","APPL_150697","Mooka","B-D02L","2021","No","No"
"SITE_1743","ROOM_35280","APPL_73426","Winix","Plasmawave","Unknown","Yes","No"
"SITE_1743","ROOM_13114","APPL_71221","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1747","ROOM_30152","APPL_111418","Winix","5300-2","Unknown","No","No"
"SITE_1753","ROOM_27641","APPL_113937","Air Doctor","AD3000","Unknown","No","No"
"SITE_1759","ROOM_31544","APPL_141507","Sharp","CV-2P10SC","Unknown","No","No"
"SITE_1779","ROOM_17233","APPL_170991","Levoit","CORE 300","2020","Yes","No"
"SITE_178","ROOM_38996","APPL_46813","Winix","C545","Unknown","No","No"
"SITE_178","ROOM_12272","APPL_68424","Winix","C535","Unknown","Yes","No"
"SITE_178","ROOM_27192","APPL_64742","Dyson","SN6-US-MGB1469A","Unknown","Unknown","No"
"SITE_178","ROOM_27192","APPL_79068","Dyson","SN6-US-MGB1469A","Unknown","Unknown","No"
"SITE_178","ROOM_27192","APPL_28079","Dyson","KN3-US-DDA3210A","Unknown","Unknown","No"
"SITE_1781","ROOM_24703","APPL_67060","Levoit","CORE 300","Unknown","No","No"
"SITE_1785","ROOM_33986","APPL_21593","Whirlpool","Unknown","Unknown","Yes","No"
"SITE_1785","ROOM_15488","APPL_18330","Puregermguardian","ULTRASONIC HUMIDIFIER","2017","Unknown","No"
"SITE_1807","ROOM_36166","APPL_1","Taotronics","TY-AP001","Unknown","No","No"
"SITE_1807","ROOM_25996","APPL_104632","Germguardian","Unknown","Unknown","Unknown","Unknown"
"SITE_1807","ROOM_46089","APPL_60008","Afloia","HALO","Unknown","Unknown","Unknown"
"SITE_1807","ROOM_39384","APPL_129062","Afloia","HALO","Unknown","Unknown","Unknown"
"SITE_1807","ROOM_24626","APPL_31106","Koios","GL-FS32","Unknown","No","Unknown"
"SITE_1821","ROOM_25794","APPL_56112","Winix","#9500","Unknown","Unknown","Unknown"
"SITE_1826","ROOM_30199","APPL_33338","Home","Unknown","Unknown","Yes","Unknown"
"SITE_1829","ROOM_37001","APPL_109560","Holmes","HAP242","Unknown","No","No"
"SITE_1829","ROOM_36235","APPL_123472","Germguardian","AC4825E","Unknown","No","No"
"SITE_1840","ROOM_17841","APPL_132787","Airthereal","APH230C","Unknown","No","No"
"SITE_1851","ROOM_21299","APPL_95840","Bedroom Machine","Unknown","Unknown","Unknown","No"
"SITE_1852","ROOM_7634","APPL_56196","Blue","Unknown","Unknown","Unknown","No"
"SITE_186","ROOM_29843","APPL_138158","Coway","AP-1512HH","Unknown","No","No"
"SITE_186","ROOM_26402","APPL_26733","Coway","Unknown","Unknown","No","No"
"SITE_1862","ROOM_20021","APPL_125501","Lasko","Unknown","Unknown","No","No"
"SITE_1902","ROOM_11654","APPL_136759","Coocheer","Unknown","Unknown","No","No"
"SITE_1907","ROOM_39548","APPL_56959","Winix","C535","2018","Yes","No"
"SITE_192","ROOM_35465","APPL_127261","Pure","Unknown","Unknown","Unknown","Unknown"
"SITE_192","ROOM_1655","APPL_153052","Blueair","Unknown","Unknown","No","No"
"SITE_1945","ROOM_19366","APPL_138362","Medify Air","MA-25","Unknown","No","No"
"SITE_1950","ROOM_40835","APPL_37494","Renpho","Unknown","Unknown","No","No"
"SITE_1972","ROOM_21559","APPL_51467","Filtrete","Unknown","Unknown","Yes","No"
"SITE_1976","ROOM_46393","APPL_42620","Levoit","LUV-PUR-131","2019","No","No"
"SITE_199","ROOM_2843","APPL_139251","Hamilton Beach","TRUE AIR","Unknown","No","No"
"SITE_1996","ROOM_39753","APPL_66968","Arris","F159E","Unknown","Yes","No"
"SITE_1996","ROOM_28812","APPL_99263","Aerus","F159E","Unknown","Unknown","No"
"SITE_2","ROOM_18241","APPL_42009","Filtrete","Unknown","Unknown","Yes","No"
"SITE_2","ROOM_6457","APPL_141089","Filtrete","Unknown","Unknown","Yes","No"
"SITE_2016","ROOM_4377","APPL_17970","Honeywell","Unknown","Unknown","Yes","No"
"SITE_2033","ROOM_8215","APPL_96164","Coway","AP-1512HH","2020","No","No"
"SITE_209","ROOM_38255","APPL_43733","Aer","Unknown","Unknown","No","No"
"SITE_213","ROOM_38580","APPL_11481","Edenpure","Unknown","Unknown","Unknown","No"
"SITE_213","ROOM_38580","APPL_64202","Envion","AD3000","Unknown","Unknown","No"
"SITE_214","ROOM_10756","APPL_83096","Dylis","Unknown","Unknown","Unknown","No"
"SITE_216","ROOM_15722","APPL_98838","Winix","C545","Unknown","Yes","No"
"SITE_217","ROOM_3304","APPL_6752","Oreck","447628-002","Unknown","No","No"
"SITE_217","ROOM_41195","APPL_146736","Enviroresearch","Unknown","Unknown","No","No"
"SITE_221","ROOM_44362","APPL_112833","Blueair","Unknown","Unknown","No","No"
"SITE_221","ROOM_10901","APPL_141071","Blueair","Unknown","Unknown","Unknown","Unknown"
"SITE_221","ROOM_12534","APPL_144736","Blueair","Unknown","Unknown","Unknown","Unknown"
"SITE_223","ROOM_10417","APPL_147854","Honeywell","HPA5200B","Unknown","Yes","Unknown"
"SITE_227","ROOM_2026","APPL_126845","Filterqueen","DEFENDER","Unknown","Unknown","Unknown"
"SITE_231","ROOM_43057","APPL_95105","Filterqueen","Unknown","Unknown","No","No"
"SITE_231","ROOM_15875","APPL_89268","Filterqueen","Unknown","Unknown","No","No"
"SITE_233","ROOM_16399","APPL_118214","Germguardian","AC5000E","Unknown","Yes","Unknown"
"SITE_234","ROOM_14287","APPL_81931","Levoit","CORE 400S","Unknown","Unknown","Unknown"
"SITE_237","ROOM_38145","APPL_133974","Alexa Pure","AP-B102","Unknown","No","No"
"SITE_238","ROOM_25874","APPL_62780","Dyson","SN6-US-KAC0716A","Unknown","Unknown","No"
"SITE_240","ROOM_28408","APPL_155372","Airmega","AP-1515H","Unknown","Yes","No"
"SITE_250","ROOM_26244","APPL_114280","Taotronics","TT-AP002","2020","Unknown","No"
"SITE_254","ROOM_20486","APPL_125532","Honeywell","#4009965","Unknown","Yes","No"
"SITE_254","ROOM_20292","APPL_156655","Honeywell","HPA200","Unknown","Yes","No"
"SITE_270","ROOM_4860","APPL_52370","Germguardian","AC4825E","2019","Yes","No"
"SITE_270","ROOM_23178","APPL_150279","Blueair","Unknown","Unknown","Unknown","Unknown"
"SITE_272","ROOM_33574","APPL_69391","Blueair","Unknown","Unknown","Unknown","Unknown"
"SITE_272","ROOM_2830","APPL_167923","Blueair","Unknown","Unknown","No","No"
"SITE_272","ROOM_11845","APPL_115123","Blueair","Unknown","Unknown","No","No"
"SITE_272","ROOM_14744","APPL_96899","Blueair","Unknown","Unknown","Unknown","Unknown"
"SITE_276","ROOM_9431","APPL_114728","Toppin","TPAP002","2020","Unknown","No"
"SITE_277","ROOM_4186","APPL_144880","Hunter","#30090","2017","No","No"
"SITE_281","ROOM_26564","APPL_172806","Honeywell","QUIET CARE","Unknown","No","No"
"SITE_284","ROOM_45363","APPL_9344","Home","HME020391N","2021","Yes","No"
"SITE_287","ROOM_8209","APPL_69909","Levoit","LV-H132","Unknown","No","No"
"SITE_294","ROOM_41388","APPL_15298","Airsource","Unknown","Unknown","Unknown","Unknown"
"SITE_296","ROOM_32244","APPL_78602","Airmega","400 AP-2016F","Unknown","Yes","No"
"SITE_3","ROOM_8254","APPL_132283","Levoit","Unknown","Unknown","No","Unknown"
"SITE_3","ROOM_37129","APPL_50738","Levoit","Unknown","Unknown","Unknown","Unknown"
"SITE_30","ROOM_11603","APPL_90111","Dyson","PM25","Unknown","No","Yes"
"SITE_309","ROOM_30031","APPL_36651","Allergy Pro","AP200","Unknown","Unknown","No"
"SITE_31","ROOM_7489","APPL_24746","Honeywell","HPA180","Unknown","No","No"
"SITE_31","ROOM_46803","APPL_81439","Honeywell","HPA200","Unknown","Yes","No"
"SITE_312","ROOM_10490","APPL_83230","Bissell","AIR320","Unknown","No","No"
"SITE_316","ROOM_10068","APPL_121927","April Aire","#5000","Unknown","No","No"
"SITE_32","ROOM_8546","APPL_34340","Coway","Unknown","Unknown","Yes","No"
"SITE_321","ROOM_31153","APPL_67810","Austin Air","Unknown","Unknown","No","No"
"SITE_323","ROOM_10164","APPL_17552","Lasko","#2551","Unknown","Unknown","No"
"SITE_324","ROOM_4413","APPL_8158","Coway","AP-1512HH(W)","Unknown","No","No"
"SITE_324","ROOM_46782","APPL_152532","Germguardian","AC4825E","Unknown","Yes","No"
"SITE_330","ROOM_17606","APPL_4829","Coway","AP-1512HH","Unknown","No","No"
"SITE_331","ROOM_10149","APPL_21782","Intey","NY-BG60","Unknown","No","No"
"SITE_338","ROOM_29066","APPL_124394","Winix","Plasmawave C535","Unknown","Yes","No"
"SITE_338","ROOM_28224","APPL_44856","Winix","Plasmawave","Unknown","Unknown","Unknown"
"SITE_344","ROOM_22945","APPL_44083","Blueair","Unknown","Unknown","Unknown","Unknown"
"SITE_346","ROOM_19922","APPL_116876","Airdoctor","AD3000","2015","No","No"
"SITE_35","ROOM_36607","APPL_145918","Levoit","LV-PUR131","2018","Yes","Unknown"
"SITE_35","ROOM_424","APPL_22156","Levoit","VISTA 200","2019","Unknown","No"
"SITE_354","ROOM_45589","APPL_73407","Mooka","GL-FS32","2020","No","No"
"SITE_354","ROOM_30704","APPL_63302","Mooka","GL-FS32","Unknown","No","No"
"SITE_359","ROOM_33899","APPL_146255","Holmes","Unknown","Unknown","No","No"
"SITE_36","ROOM_27392","APPL_12624","Levoit","LV-PUR131","Unknown","Yes","No"
"SITE_368","ROOM_17131","APPL_105188","Medify Air","MA-14","2020","No","No"
"SITE_370","ROOM_41820","APPL_153929","Coway","Unknown","Unknown","No","No"
"SITE_376","ROOM_26030","APPL_114166","Veva","VEVA9000","Unknown","No","No"
"SITE_380","ROOM_25846","APPL_128165","Defender","RAC-3000A","Unknown","No","No"
"SITE_384","ROOM_28378","APPL_113940","Germguardian","AC4870","Unknown","Yes","No"
"SITE_385","ROOM_1454","APPL_24200","Midea","MAP08S1WGR","2021","No","No"
"SITE_397","ROOM_46675","APPL_132690","Levoit","CORE 300","Unknown","No","No"
"SITE_397","ROOM_7676","APPL_149689","Levoit","CORE 300","Unknown","Yes","No"
"SITE_399","ROOM_45040","APPL_109744","Floia","Unknown","Unknown","No","No"
"SITE_403","ROOM_25341","APPL_106985","Levoit","#CORE300","Unknown","Yes","No"
"SITE_403","ROOM_25341","APPL_129681","Levoit","#CORE300","Unknown","Yes","No"
"SITE_415","ROOM_19757","APPL_111775","Mooka","KJ120G-C10","2020","Unknown","No"
"SITE_422","ROOM_9640","APPL_156034","Aircare","Unknown","Unknown","No","No"
"SITE_424","ROOM_24924","APPL_25161","Levoit","Unknown","Unknown","Unknown","No"
"SITE_424","ROOM_6481","APPL_135952","Levoit","Unknown","Unknown","No","No"
"SITE_424","ROOM_20886","APPL_32433","Homedics","Unknown","Unknown","Unknown","No"
"SITE_430","ROOM_30098","APPL_133936","Lasko","TYPE WTA","Unknown","No","No"
"SITE_443","ROOM_19207","APPL_42117","Levoit","LV-H132","Unknown","No","No"
"SITE_443","ROOM_20505","APPL_95860","Levoit","LV-PUR131","2017","No","No"
"SITE_445","ROOM_37892","APPL_157492","Winix","HR900","2020","Yes","No"
"SITE_455","ROOM_9311","APPL_30562","Winix","D360","2020","Yes","No"
"SITE_458","ROOM_1110","APPL_131770","Intertek","04386A","Unknown","No","No"
"SITE_46","ROOM_20569","APPL_134825","Germguardian","Unknown","Unknown","Yes","No"
"SITE_461","ROOM_43318","APPL_16379","Winix","C535","Unknown","No","No"
"SITE_467","ROOM_20310","APPL_79981","Holmes","HAP412","Unknown","No","No"
"SITE_476","ROOM_13540","APPL_16752","Germguardian","Unknown","Unknown","Yes","No"
"SITE_476","ROOM_21548","APPL_154240","Germguardian","Unknown","Unknown","Yes","No"
"SITE_476","ROOM_22042","APPL_90891","Germguardian","Unknown","Unknown","Yes","No"
