SiteID,Mechanical_ID,System_Type,Ventilation_Controls
SITE_1120,MECH_124218,Small Capacity Exhaust,On/off
SITE_1121,MECH_39614,Recirculating Only,On/off
SITE_1123,MECH_63353,High Capacity Exhaust,On/off
SITE_1124,MECH_165336,Small Capacity Exhaust,On/off
SITE_1125,MECH_174201,Recirculating Only,On/off
SITE_1126,MECH_94379,High Capacity Exhaust,On/off
SITE_1127,MECH_104565,High Capacity Exhaust,On/off
SITE_1128,MECH_8985,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1128,MECH_135633,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1129,MECH_28384,Small Capacity Exhaust,On/off
SITE_1130,MECH_158663,Small Capacity Exhaust,On/off
SITE_1131,MECH_30876,Recirculating Only,On/off
SITE_1132,MECH_127328,Recirculating Only,On/off
SITE_1133,MECH_109425,Small Capacity Exhaust,On/off
SITE_1135,MECH_77906,Recirculating Only,On/off
SITE_1137,MECH_106483,Small Capacity Exhaust,On/off
SITE_1138,MECH_62524,High Capacity Exhaust,On/off
SITE_1139,MECH_43964,Recirculating Only,On/off
SITE_114,MECH_135579,Small Capacity Exhaust,On/off
SITE_1140,MECH_49534,Small Capacity Exhaust,On/off
SITE_1141,MECH_149139,Small Capacity Exhaust,On/off
SITE_1144,MECH_75511,Small Capacity Exhaust,On/off
SITE_1145,MECH_33495,High Capacity Exhaust,On/off
SITE_1146,MECH_53467,Small Capacity Exhaust,On/off
SITE_1148,MECH_72007,Recirculating Only,On/off
SITE_1149,MECH_71137,Recirculating Only,On/off
SITE_1150,MECH_87550,High Capacity Exhaust,On/off
SITE_1151,MECH_5186,High Capacity Exhaust,On/off
SITE_1152,MECH_143740,Recirculating Only,On/off
SITE_1154,MECH_75902,Recirculating Only,On/off
SITE_1155,MECH_165341,Small Capacity Exhaust,On/off
SITE_1156,MECH_141689,Recirculating Only,On/off
SITE_1157,MECH_43232,Recirculating Only,On/off
SITE_1160,MECH_7704,Small Capacity Exhaust,On/off
SITE_1161,MECH_33670,High Capacity Exhaust,On/off
SITE_1161,MECH_76772,Small Capacity Exhaust,On/off
SITE_1162,MECH_154599,Recirculating Only,Manual thermostat - Digital
SITE_1163,MECH_153676,High Capacity Exhaust,On/off
SITE_1165,MECH_105981,Recirculating Only,On/off
SITE_1166,MECH_18712,High Capacity Exhaust,On/off
SITE_1169,MECH_95433,Recirculating Only,On/off
SITE_1170,MECH_56252,Recirculating Only,On/off
SITE_1171,MECH_84139,Recirculating Only,On/off
SITE_1172,MECH_106579,High Capacity Exhaust,Manual thermostat - Analog
SITE_1175,MECH_139453,High Capacity Exhaust,On/off
SITE_1178,MECH_23813,Small Capacity Exhaust,On/off
SITE_1179,MECH_80646,High Capacity Exhaust,On/off
SITE_118,MECH_40455,High Capacity Exhaust,On/off
SITE_1180,MECH_54051,Small Capacity Exhaust,On/off
SITE_1181,MECH_142002,High Capacity Exhaust,On/off
SITE_1182,MECH_106383,Small Capacity Exhaust,On/off
SITE_1183,MECH_169392,Unknown,On/off
SITE_1184,MECH_138031,Recirculating Only,On/off
SITE_1185,MECH_69265,High Capacity Exhaust,On/off
SITE_1186,MECH_156525,Recirculating Only,On/off
SITE_1187,MECH_153159,Recirculating Only,On/off
SITE_1188,MECH_63081,Small Capacity Exhaust,On/off
SITE_119,MECH_50564,Small Capacity Exhaust,On/off
SITE_1190,MECH_18186,Small Capacity Exhaust,On/off
SITE_1191,MECH_160131,Recirculating Only,Manual thermostat - Analog
SITE_1192,MECH_102194,Recirculating Only,On/off
SITE_1193,MECH_509,Small Capacity Exhaust,On/off
SITE_1194,MECH_19454,Small Capacity Exhaust,On/off
SITE_1195,MECH_18295,Recirculating Only,On/off
SITE_1196,MECH_78990,Recirculating Only,Manual thermostat - Analog
SITE_1197,MECH_17428,Recirculating Only,Manual thermostat - Analog
SITE_1198,MECH_93886,Recirculating Only,Manual thermostat - Digital
SITE_1199,MECH_86887,Recirculating Only,On/off
SITE_12,MECH_11547,Unknown,On/off
SITE_1200,MECH_154818,Small Capacity Exhaust,On/off
SITE_1201,MECH_140359,High Capacity Exhaust,On/off
SITE_1202,MECH_142920,Recirculating Only,On/off
SITE_1203,MECH_167163,High Capacity Exhaust,On/off
SITE_1205,MECH_19009,High Capacity Exhaust,On/off
SITE_1206,MECH_166410,Small Capacity Exhaust,On/off
SITE_1207,MECH_22410,High Capacity Exhaust,On/off
SITE_1208,MECH_59147,Recirculating Only,On/off
SITE_1209,MECH_16082,Recirculating Only,On/off
SITE_121,MECH_4890,Small Capacity Exhaust,On/off
SITE_1210,MECH_106236,High Capacity Exhaust,On/off
SITE_1211,MECH_38414,Small Capacity Exhaust,On/off
SITE_1212,MECH_76441,High Capacity Exhaust,On/off
SITE_1213,MECH_28060,Recirculating Only,On/off
SITE_1216,MECH_2158,High Capacity Exhaust,On/off
SITE_1217,MECH_23435,High Capacity Exhaust,On/off
SITE_1218,MECH_151513,High Capacity Exhaust,On/off
SITE_1219,MECH_154784,Recirculating Only,On/off
SITE_122,MECH_32715,Unknown,On/off
SITE_1220,MECH_81812,Small Capacity Exhaust,On/off
SITE_1221,MECH_122253,Recirculating Only,On/off
SITE_1222,MECH_116215,High Capacity Exhaust,On/off
SITE_1224,MECH_14741,Recirculating Only,On/off
SITE_1224,MECH_90155,Small Capacity Exhaust,On/off
SITE_1227,MECH_164166,Unknown,On/off
SITE_1228,MECH_153013,Recirculating Only,On/off
SITE_1229,MECH_166325,Recirculating Only,On/off
SITE_1230,MECH_23013,Unknown,On/off
SITE_1234,MECH_113501,Recirculating Only,On/off
SITE_1235,MECH_119952,High Capacity Exhaust,On/off
SITE_1237,MECH_173935,Recirculating Only,On/off
SITE_1238,MECH_37349,Recirculating Only,On/off
SITE_1239,MECH_19889,Recirculating Only,On/off
SITE_124,MECH_15059,Recirculating Only,On/off
SITE_1240,MECH_46421,Recirculating Only,On/off
SITE_1241,MECH_111224,Small Capacity Exhaust,On/off
SITE_1242,MECH_71413,High Capacity Exhaust,On/off
SITE_1243,MECH_62056,Small Capacity Exhaust,On/off
SITE_1244,MECH_125544,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1245,MECH_49179,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1246,MECH_74319,Recirculating Only,Manual thermostat - Analog
SITE_1248,MECH_153943,Recirculating Only,Manual thermostat - Digital
