SiteID,Mechanical_ID,System_Type,Ventilation_Controls
SITE_1535,MECH_24065,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1536,MECH_94843,Recirculating Only,On/off
SITE_1538,MECH_174144,Recirculating Only,On/off
SITE_1539,MECH_85103,Small Capacity Exhaust,On/off
SITE_1540,MECH_64837,Recirculating Only,On/off
SITE_1541,MECH_109534,Small Capacity Exhaust,On/off
SITE_1542,MECH_142440,Recirculating Only,On/off
SITE_1543,MECH_69715,Small Capacity Exhaust,On/off
SITE_1544,MECH_49809,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1545,MECH_170550,Small Capacity Exhaust,On/off
SITE_1547,MECH_150387,Recirculating Only,Manual thermostat - Digital
SITE_1548,MECH_45274,Small Capacity Exhaust,Manual thermostat - Analog
SITE_155,MECH_15397,Small Capacity Exhaust,On/off
SITE_1551,MECH_22631,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1553,MECH_123705,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1555,MECH_94391,Recirculating Only,On/off
SITE_1557,MECH_62382,Small Capacity Exhaust,On/off
SITE_1558,MECH_171476,Small Capacity Exhaust,On/off
SITE_1559,MECH_74882,Recirculating Only,On/off
SITE_156,MECH_143574,Small Capacity Exhaust,On/off
SITE_1560,MECH_102905,High Capacity Exhaust,On/off
SITE_1562,MECH_46296,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1563,MECH_135468,Recirculating Only,On/off
SITE_1564,MECH_157994,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1566,MECH_117116,Small Capacity Exhaust,On/off
SITE_1567,MECH_14750,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1568,MECH_57500,Recirculating Only,Manual thermostat - Analog
SITE_1571,MECH_92866,High Capacity Exhaust,On/off
SITE_1572,MECH_42846,Small Capacity Exhaust,Unknown
SITE_1577,MECH_17346,Recirculating Only,On/off
SITE_1579,MECH_80096,Unknown,On/off
SITE_1580,MECH_59213,Small Capacity Exhaust,On/off
SITE_1581,MECH_152670,Recirculating Only,On/off
SITE_1582,MECH_98881,Small Capacity Exhaust,On/off
SITE_1583,MECH_131480,Recirculating Only,On/off
SITE_1584,MECH_146300,Recirculating Only,On/off
SITE_1586,MECH_106572,Small Capacity Exhaust,On/off
SITE_1587,MECH_116804,Small Capacity Exhaust,On/off
SITE_1588,MECH_84333,Recirculating Only,On/off
SITE_1589,MECH_12918,Recirculating Only,On/off
SITE_159,MECH_15398,Unknown,On/off
SITE_1590,MECH_118303,Recirculating Only,On/off
SITE_1592,MECH_49138,Small Capacity Exhaust,On/off
SITE_1595,MECH_84327,Recirculating Only,On/off
SITE_1596,MECH_4947,Recirculating Only,On/off
SITE_1597,MECH_136511,Small Capacity Exhaust,On/off
SITE_1598,MECH_27285,Unknown,On/off
SITE_1599,MECH_173320,High Capacity Exhaust,On/off
SITE_16,MECH_110365,Small Capacity Exhaust,On/off
SITE_160,MECH_21801,High Capacity Exhaust,On/off
SITE_1600,MECH_119009,High Capacity Exhaust,On/off
SITE_1602,MECH_17071,Recirculating Only,On/off
SITE_1604,MECH_58802,Recirculating Only,On/off
SITE_1605,MECH_148314,High Capacity Exhaust,On/off
SITE_1605,MECH_148314,Unknown,On/off
SITE_1606,MECH_167877,Recirculating Only,On/off
SITE_1607,MECH_99337,Small Capacity Exhaust,On/off
SITE_1608,MECH_131325,Small Capacity Exhaust,On/off
SITE_161,MECH_164114,Recirculating Only,On/off
SITE_1611,MECH_81449,Small Capacity Exhaust,On/off
SITE_1612,MECH_438,Small Capacity Exhaust,On/off
SITE_1613,MECH_48146,Unknown,On/off
SITE_1613,MECH_77293,High Capacity Exhaust,On/off
SITE_1614,MECH_44034,Unknown,On/off
SITE_1615,MECH_135015,Small Capacity Exhaust,On/off
SITE_1618,MECH_105074,High Capacity Exhaust,On/off
SITE_162,MECH_125694,Small Capacity Exhaust,On/off
SITE_1620,MECH_166455,Recirculating Only,On/off
SITE_1621,MECH_152614,High Capacity Exhaust,On/off
SITE_1622,MECH_164408,Small Capacity Exhaust,On/off
SITE_1623,MECH_11057,Recirculating Only,On/off
SITE_1624,MECH_62896,Small Capacity Exhaust,On/off
SITE_1625,MECH_88898,High Capacity Exhaust,On/off
SITE_1627,MECH_21096,High Capacity Exhaust,On/off
SITE_1628,MECH_30024,Small Capacity Exhaust,On/off
SITE_1629,MECH_32931,Small Capacity Exhaust,On/off
SITE_163,MECH_89864,Small Capacity Exhaust,On/off
SITE_1630,MECH_65092,Recirculating Only,On/off
SITE_1631,MECH_122866,High Capacity Exhaust,On/off
SITE_1632,MECH_29150,Recirculating Only,On/off
SITE_1633,MECH_45931,High Capacity Exhaust,On/off
SITE_1635,MECH_173243,Recirculating Only,On/off
SITE_1636,MECH_79589,Recirculating Only,On/off
SITE_1637,MECH_61544,Recirculating Only,On/off
SITE_1637,MECH_124540,Small Capacity Exhaust,On/off
SITE_1639,MECH_72309,Small Capacity Exhaust,On/off
SITE_164,MECH_66224,Small Capacity Exhaust,On/off
SITE_1640,MECH_167611,Recirculating Only,On/off
SITE_1641,MECH_2629,Small Capacity Exhaust,On/off
SITE_1642,MECH_87772,Recirculating Only,On/off
SITE_1643,MECH_44389,Small Capacity Exhaust,On/off
SITE_1644,MECH_155256,Recirculating Only,On/off
SITE_1645,MECH_152082,Recirculating Only,On/off
SITE_1646,MECH_27142,Recirculating Only,On/off
SITE_1647,MECH_87635,High Capacity Exhaust,On/off
SITE_165,MECH_55115,Small Capacity Exhaust,On/off
SITE_166,MECH_120914,Small Capacity Exhaust,On/off
SITE_167,MECH_11993,High Capacity Exhaust,On/off
SITE_168,MECH_151862,High Capacity Exhaust,On/off
SITE_169,MECH_57294,Small Capacity Exhaust,On/off
SITE_17,MECH_28263,Small Capacity Exhaust,On/off
SITE_170,MECH_73801,Small Capacity Exhaust,On/off
SITE_171,MECH_57023,Small Capacity Exhaust,On/off
SITE_173,MECH_136806,Recirculating Only,On/off
SITE_1731,MECH_174954,Small Capacity Exhaust,On/off
SITE_1733,MECH_134512,Small Capacity Exhaust,On/off
SITE_1734,MECH_173518,Unknown,On/off
SITE_1735,MECH_23002,Small Capacity Exhaust,On/off
SITE_1736,MECH_1918,Small Capacity Exhaust,On/off
SITE_1739,MECH_86737,Small Capacity Exhaust,On/off
SITE_174,MECH_52988,High Capacity Exhaust,On/off
SITE_1740,MECH_80853,Unknown,On/off
SITE_1741,MECH_171356,High Capacity Exhaust,On/off
SITE_1742,MECH_86116,High Capacity Exhaust,On/off
SITE_1743,MECH_41296,High Capacity Exhaust,On/off
SITE_1745,MECH_14215,Small Capacity Exhaust,On/off
SITE_1747,MECH_155873,Small Capacity Exhaust,On/off
SITE_1750,MECH_113753,Recirculating Only,On/off
SITE_1754,MECH_46746,Small Capacity Exhaust,On/off
SITE_1755,MECH_100825,High Capacity Exhaust,On/off
SITE_1757,MECH_105528,Small Capacity Exhaust,On/off
SITE_1759,MECH_44407,High Capacity Exhaust,On/off
SITE_176,MECH_119432,Small Capacity Exhaust,On/off
SITE_1760,MECH_88793,High Capacity Exhaust,On/off
SITE_1762,MECH_96159,Recirculating Only,On/off
SITE_1763,MECH_120197,Small Capacity Exhaust,On/off
SITE_1764,MECH_83086,Recirculating Only,On/off
SITE_1765,MECH_121261,High Capacity Exhaust,On/off
SITE_1766,MECH_23345,Small Capacity Exhaust,On/off
SITE_1768,MECH_148969,Small Capacity Exhaust,On/off
SITE_1769,MECH_22105,Recirculating Only,On/off
SITE_177,MECH_86119,Small Capacity Exhaust,On/off
SITE_1772,MECH_78947,Small Capacity Exhaust,On/off
SITE_1774,MECH_147621,Small Capacity Exhaust,On/off
SITE_1776,MECH_174535,Small Capacity Exhaust,On/off
SITE_1779,MECH_112083,Small Capacity Exhaust,On/off
SITE_178,MECH_153346,Small Capacity Exhaust,Timer
SITE_1780,MECH_166493,Recirculating Only,On/off
SITE_1782,MECH_38326,Small Capacity Exhaust,On/off
SITE_1784,MECH_122868,Small Capacity Exhaust,On/off
SITE_1786,MECH_145120,Small Capacity Exhaust,On/off
SITE_1787,MECH_93676,Recirculating Only,On/off
SITE_1789,MECH_144697,Small Capacity Exhaust,On/off
SITE_1791,MECH_155521,Small Capacity Exhaust,On/off
SITE_1792,MECH_82074,Small Capacity Exhaust,On/off
SITE_1793,MECH_106846,Recirculating Only,On/off
SITE_1794,MECH_39473,Small Capacity Exhaust,On/off
SITE_1795,MECH_34842,Small Capacity Exhaust,On/off
SITE_1798,MECH_158096,Unknown,On/off
SITE_180,MECH_163159,Small Capacity Exhaust,On/off
SITE_1800,MECH_24023,Small Capacity Exhaust,On/off
SITE_1802,MECH_121943,Recirculating Only,On/off
SITE_1804,MECH_77890,Recirculating Only,On/off
SITE_1805,MECH_29410,High Capacity Exhaust,Programmable thermostat
SITE_1807,MECH_140406,Recirculating Only,Manual thermostat - Digital
SITE_1809,MECH_127566,Small Capacity Exhaust,On/off
SITE_181,MECH_168967,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1812,MECH_148013,Small Capacity Exhaust,On/off
SITE_1813,MECH_55722,Small Capacity Exhaust,Timer
SITE_1814,MECH_123910,Small Capacity Exhaust,On/off
SITE_1815,MECH_42668,Recirculating Only,On/off
SITE_1816,MECH_27468,Recirculating Only,On/off
SITE_1817,MECH_103734,Small Capacity Exhaust,On/off
SITE_1818,MECH_154646,Recirculating Only,On/off
SITE_1819,MECH_158535,Small Capacity Exhaust,On/off
SITE_182,MECH_31527,Small Capacity Exhaust,On/off
SITE_1820,MECH_38843,Small Capacity Exhaust,On/off
SITE_1822,MECH_42728,High Capacity Exhaust,On/off
SITE_1825,MECH_122821,Recirculating Only,On/off
SITE_1826,MECH_89709,Recirculating Only,On/off
SITE_1827,MECH_121860,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1828,MECH_171026,Small Capacity Exhaust,On/off
SITE_1829,MECH_65779,Small Capacity Exhaust,On/off
SITE_1829,MECH_131838,Recirculating Only,On/off
SITE_1831,MECH_115687,Small Capacity Exhaust,On/off
SITE_1833,MECH_17884,High Capacity Exhaust,On/off
SITE_1834,MECH_66834,High Capacity Exhaust,Manual thermostat - Analog
SITE_1836,MECH_43398,Small Capacity Exhaust,On/off
SITE_1839,MECH_51103,Small Capacity Exhaust,On/off
SITE_1840,MECH_62784,High Capacity Exhaust,On/off
SITE_1842,MECH_104835,Small Capacity Exhaust,On/off
SITE_1844,MECH_172640,Recirculating Only,Manual thermostat - Digital
SITE_1845,MECH_17171,Recirculating Only,On/off
SITE_1846,MECH_45520,Recirculating Only,On/off
SITE_1847,MECH_170195,Recirculating Only,On/off
SITE_1848,MECH_134171,Recirculating Only,On/off
SITE_185,MECH_107458,Recirculating Only,On/off
SITE_1851,MECH_75665,Recirculating Only,Unknown
SITE_1852,MECH_86295,Small Capacity Exhaust,On/off
SITE_1853,MECH_40608,Recirculating Only,On/off
SITE_186,MECH_3614,High Capacity Exhaust,On/off
SITE_1863,MECH_57153,Small Capacity Exhaust,On/off
SITE_1864,MECH_132425,Recirculating Only,On/off
SITE_1867,MECH_26615,Recirculating Only,On/off
SITE_1868,MECH_102333,Small Capacity Exhaust,On/off
SITE_1869,MECH_79902,Small Capacity Exhaust,On/off
SITE_187,MECH_174229,Unknown,On/off
SITE_1872,MECH_673,Small Capacity Exhaust,On/off
SITE_1873,MECH_111787,Recirculating Only,Manual thermostat - Analog
SITE_1874,MECH_155531,Recirculating Only,On/off
SITE_1876,MECH_34204,Small Capacity Exhaust,Timer
SITE_1878,MECH_153642,Small Capacity Exhaust,On/off
SITE_188,MECH_154485,High Capacity Exhaust,On/off
SITE_188,MECH_119387,Recirculating Only,On/off
SITE_1888,MECH_8416,Small Capacity Exhaust,On/off
SITE_1889,MECH_114424,Small Capacity Exhaust,On/off
SITE_189,MECH_22078,Small Capacity Exhaust,On/off
SITE_1891,MECH_52266,Small Capacity Exhaust,On/off
SITE_1891,MECH_32175,Small Capacity Exhaust,On/off
SITE_1892,MECH_95785,Recirculating Only,Manual thermostat - Digital
SITE_1893,MECH_37948,Recirculating Only,Manual thermostat - Digital
SITE_1894,MECH_96457,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1895,MECH_63537,Recirculating Only,On/off
SITE_1896,MECH_115296,Recirculating Only,Manual thermostat - Digital
SITE_19,MECH_126163,Small Capacity Exhaust,On/off
SITE_190,MECH_94398,Recirculating Only,On/off
SITE_1901,MECH_62370,Small Capacity Exhaust,On/off
SITE_1903,MECH_118575,Small Capacity Exhaust,None
SITE_1904,MECH_82878,Small Capacity Exhaust,On/off
SITE_1906,MECH_15353,Small Capacity Exhaust,On/off
SITE_1907,MECH_63224,Recirculating Only,On/off
SITE_1909,MECH_14522,Recirculating Only,Manual thermostat - Digital
SITE_1910,MECH_120568,Recirculating Only,On/off
SITE_1911,MECH_89343,Recirculating Only,On/off
SITE_1914,MECH_140730,Recirculating Only,On/off
SITE_1915,MECH_168136,High Capacity Exhaust,Manual thermostat - Analog
SITE_1916,MECH_145384,Recirculating Only,On/off
SITE_192,MECH_86058,Small Capacity Exhaust,On/off
SITE_1920,MECH_159517,Recirculating Only,On/off
SITE_1921,MECH_108657,Small Capacity Exhaust,On/off
SITE_1921,MECH_108657,Recirculating Only,On/off
SITE_1924,MECH_137857,Recirculating Only,On/off
SITE_1925,MECH_3939,Recirculating Only,On/off
SITE_1926,MECH_101070,Recirculating Only,On/off
SITE_1928,MECH_88565,Small Capacity Exhaust,On/off
SITE_193,MECH_109997,High Capacity Exhaust,On/off
SITE_1932,MECH_129718,Recirculating Only,On/off
SITE_1934,MECH_77452,Recirculating Only,Manual thermostat - Digital
SITE_1935,MECH_152350,Recirculating Only,On/off
SITE_1936,MECH_125429,Recirculating Only,On/off
SITE_1937,MECH_87050,Small Capacity Exhaust,On/off
SITE_1939,MECH_27643,Recirculating Only,On/off
SITE_194,MECH_85399,Small Capacity Exhaust,On/off
SITE_1940,MECH_25194,Recirculating Only,Manual thermostat - Analog
SITE_1942,MECH_24477,High Capacity Exhaust,On/off
SITE_1944,MECH_89534,Recirculating Only,On/off
SITE_1946,MECH_171965,Unknown,On/off
SITE_1947,MECH_41203,Recirculating Only,On/off
SITE_1948,MECH_70653,Recirculating Only,On/off
SITE_1950,MECH_40477,Small Capacity Exhaust,On/off
SITE_1951,MECH_92697,Recirculating Only,On/off
SITE_1955,MECH_27835,High Capacity Exhaust,On/off
SITE_1956,MECH_94495,Recirculating Only,On/off
SITE_1956,MECH_118719,Small Capacity Exhaust,On/off
SITE_1957,MECH_60524,Unknown,On/off
SITE_1958,MECH_112284,Small Capacity Exhaust,On/off
SITE_1958,MECH_112284,High Capacity Exhaust,On/off
SITE_196,MECH_90812,Small Capacity Exhaust,On/off
SITE_1967,MECH_11768,Recirculating Only,On/off
SITE_1968,MECH_17225,Small Capacity Exhaust,On/off
SITE_1969,MECH_33470,Recirculating Only,Manual thermostat - Analog
SITE_197,MECH_149069,Recirculating Only,On/off
SITE_1971,MECH_72989,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1972,MECH_98603,Recirculating Only,On/off
SITE_1972,MECH_98603,Small Capacity Exhaust,On/off
SITE_1974,MECH_167776,Recirculating Only,On/off
SITE_1978,MECH_162788,Small Capacity Exhaust,Manual thermostat - Analog
SITE_198,MECH_120613,Small Capacity Exhaust,On/off
SITE_1980,MECH_143848,Recirculating Only,Manual thermostat - Analog
SITE_1980,MECH_163275,Small Capacity Exhaust,On/off
SITE_1981,MECH_130026,High Capacity Exhaust,Manual thermostat - Analog
SITE_1982,MECH_748,Recirculating Only,On/off
SITE_1983,MECH_151697,Recirculating Only,On/off
SITE_1984,MECH_106307,Recirculating Only,Manual thermostat - Digital
SITE_1985,MECH_48035,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1988,MECH_112692,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1990,MECH_142130,Recirculating Only,Manual thermostat - Digital
SITE_1991,MECH_80665,Recirculating Only,On/off
SITE_1994,MECH_16782,Small Capacity Exhaust,On/off
SITE_1996,MECH_122750,Small Capacity Exhaust,On/off
SITE_1998,MECH_122566,Recirculating Only,Manual thermostat - Analog
SITE_1999,MECH_25843,Recirculating Only,On/off
SITE_2,MECH_19544,Recirculating Only,On/off
SITE_20,MECH_38579,Small Capacity Exhaust,On/off
SITE_20,MECH_72174,Small Capacity Exhaust,On/off
SITE_200,MECH_163822,Small Capacity Exhaust,On/off
SITE_2007,MECH_167259,Recirculating Only,On/off
SITE_2008,MECH_114211,Recirculating Only,On/off
SITE_201,MECH_109890,Small Capacity Exhaust,On/off
SITE_2010,MECH_54683,Unknown,On/off
SITE_2011,MECH_76166,High Capacity Exhaust,On/off
SITE_2013,MECH_57660,High Capacity Exhaust,On/off
SITE_2015,MECH_96927,Small Capacity Exhaust,On/off
SITE_2016,MECH_119119,High Capacity Exhaust,On/off
SITE_2017,MECH_167060,Recirculating Only,On/off
SITE_202,MECH_84546,Small Capacity Exhaust,On/off
SITE_2020,MECH_118602,Recirculating Only,On/off
SITE_2022,MECH_96677,Recirculating Only,On/off
SITE_2025,MECH_136977,Small Capacity Exhaust,On/off
SITE_2027,MECH_111694,Recirculating Only,On/off
SITE_2028,MECH_132253,Small Capacity Exhaust,On/off
SITE_2029,MECH_49025,Small Capacity Exhaust,On/off
SITE_203,MECH_18944,Recirculating Only,On/off
SITE_2030,MECH_83175,Recirculating Only,On/off
SITE_2031,MECH_121043,Small Capacity Exhaust,Manual thermostat - Analog
SITE_2033,MECH_126299,Small Capacity Exhaust,On/off
SITE_2035,MECH_26509,Recirculating Only,On/off
SITE_2036,MECH_129857,Recirculating Only,On/off
SITE_2037,MECH_154716,Small Capacity Exhaust,On/off
SITE_2038,MECH_157034,Recirculating Only,On/off
SITE_2039,MECH_167653,Small Capacity Exhaust,On/off
SITE_204,MECH_945,Small Capacity Exhaust,On/off
SITE_2040,MECH_117429,Small Capacity Exhaust,On/off
SITE_2041,MECH_118687,Recirculating Only,On/off
SITE_2043,MECH_172502,Small Capacity Exhaust,On/off
SITE_2044,MECH_40126,Recirculating Only,On/off
SITE_205,MECH_123354,Unknown,On/off
SITE_206,MECH_25392,Small Capacity Exhaust,On/off
SITE_207,MECH_83894,Small Capacity Exhaust,On/off
SITE_208,MECH_110361,Small Capacity Exhaust,On/off
SITE_21,MECH_62741,Recirculating Only,On/off
SITE_210,MECH_21738,Small Capacity Exhaust,On/off
SITE_211,MECH_66008,Small Capacity Exhaust,On/off
SITE_214,MECH_46797,Recirculating Only,On/off
SITE_215,MECH_164530,Small Capacity Exhaust,On/off
SITE_216,MECH_48143,Small Capacity Exhaust,On/off
SITE_217,MECH_172862,Unknown,On/off
SITE_218,MECH_140927,Unknown,On/off
SITE_219,MECH_78818,Small Capacity Exhaust,On/off
SITE_22,MECH_14628,Small Capacity Exhaust,On/off
SITE_220,MECH_88140,Small Capacity Exhaust,On/off
SITE_221,MECH_156185,Small Capacity Exhaust,None
SITE_222,MECH_84436,Small Capacity Exhaust,On/off
SITE_223,MECH_151983,Recirculating Only,On/off
SITE_224,MECH_18551,Unknown,On/off
SITE_225,MECH_83472,High Capacity Exhaust,On/off
SITE_227,MECH_73724,Small Capacity Exhaust,On/off
SITE_23,MECH_19036,Small Capacity Exhaust,On/off
SITE_231,MECH_42583,Small Capacity Exhaust,On/off
SITE_232,MECH_27618,Small Capacity Exhaust,On/off
SITE_234,MECH_32668,Unknown,On/off
SITE_235,MECH_159926,High Capacity Exhaust,Timer
SITE_236,MECH_71164,Small Capacity Exhaust,On/off
SITE_237,MECH_164785,Small Capacity Exhaust,Manual thermostat - Analog
SITE_238,MECH_18441,Small Capacity Exhaust,On/off
SITE_239,MECH_115929,Small Capacity Exhaust,On/off
SITE_240,MECH_37678,High Capacity Exhaust,On/off
SITE_241,MECH_150814,Small Capacity Exhaust,On/off
SITE_243,MECH_73510,Small Capacity Exhaust,On/off
SITE_244,MECH_55142,Recirculating Only,Manual thermostat - Digital
SITE_245,MECH_63658,Unknown,On/off
SITE_246,MECH_52612,Small Capacity Exhaust,On/off
SITE_247,MECH_107579,Unknown,On/off
SITE_248,MECH_79417,High Capacity Exhaust,On/off
SITE_249,MECH_35285,Small Capacity Exhaust,On/off
SITE_25,MECH_26002,High Capacity Exhaust,On/off
SITE_250,MECH_73676,Small Capacity Exhaust,On/off
SITE_251,MECH_66914,Unknown,On/off
SITE_253,MECH_53741,Small Capacity Exhaust,On/off
SITE_254,MECH_42827,Small Capacity Exhaust,On/off
SITE_255,MECH_26946,Recirculating Only,On/off
SITE_256,MECH_169193,Unknown,On/off
SITE_259,MECH_161847,Small Capacity Exhaust,On/off
SITE_26,MECH_234,Recirculating Only,On/off
SITE_260,MECH_31003,Small Capacity Exhaust,On/off
SITE_262,MECH_90647,Small Capacity Exhaust,On/off
SITE_263,MECH_58525,Small Capacity Exhaust,On/off
SITE_264,MECH_153454,Small Capacity Exhaust,On/off
SITE_267,MECH_114457,Small Capacity Exhaust,On/off
SITE_268,MECH_126861,High Capacity Exhaust,On/off
SITE_27,MECH_70168,Small Capacity Exhaust,On/off
SITE_270,MECH_161827,Recirculating Only,On/off
SITE_273,MECH_131862,Small Capacity Exhaust,On/off
SITE_274,MECH_52571,Small Capacity Exhaust,On/off
SITE_275,MECH_48140,Small Capacity Exhaust,On/off
SITE_277,MECH_42197,Small Capacity Exhaust,On/off
SITE_278,MECH_61076,Unknown,On/off
SITE_279,MECH_25972,High Capacity Exhaust,On/off
SITE_28,MECH_163420,Small Capacity Exhaust,On/off
SITE_280,MECH_146592,Small Capacity Exhaust,On/off
SITE_281,MECH_15668,Small Capacity Exhaust,On/off
SITE_282,MECH_31744,Small Capacity Exhaust,On/off
SITE_283,MECH_54173,Small Capacity Exhaust,On/off
SITE_284,MECH_55194,Small Capacity Exhaust,On/off
SITE_285,MECH_124851,Small Capacity Exhaust,On/off
SITE_286,MECH_132586,High Capacity Exhaust,On/off
SITE_288,MECH_83394,Small Capacity Exhaust,On/off
SITE_29,MECH_44931,Small Capacity Exhaust,On/off
SITE_290,MECH_104182,Small Capacity Exhaust,On/off
SITE_292,MECH_169224,Small Capacity Exhaust,On/off
SITE_295,MECH_116843,Small Capacity Exhaust,On/off
SITE_298,MECH_161600,Unknown,On/off
SITE_299,MECH_100381,High Capacity Exhaust,On/off
SITE_3,MECH_91757,Small Capacity Exhaust,On/off
SITE_30,MECH_174898,Small Capacity Exhaust,On/off
SITE_301,MECH_3895,High Capacity Exhaust,Timer
SITE_302,MECH_30307,Small Capacity Exhaust,On/off
SITE_303,MECH_136140,Small Capacity Exhaust,On/off
SITE_304,MECH_78058,High Capacity Exhaust,On/off
SITE_305,MECH_37666,Small Capacity Exhaust,On/off
SITE_306,MECH_33186,Small Capacity Exhaust,On/off
SITE_307,MECH_133142,Small Capacity Exhaust,On/off
SITE_308,MECH_79428,Small Capacity Exhaust,On/off
SITE_309,MECH_163864,Small Capacity Exhaust,On/off
SITE_31,MECH_55715,Unknown,On/off
SITE_310,MECH_97110,Small Capacity Exhaust,On/off
SITE_311,MECH_49494,Small Capacity Exhaust,On/off
SITE_312,MECH_82288,High Capacity Exhaust,On/off
SITE_313,MECH_30728,Unknown,On/off
SITE_314,MECH_39916,High Capacity Exhaust,On/off
SITE_315,MECH_166836,Small Capacity Exhaust,On/off
SITE_316,MECH_112557,Small Capacity Exhaust,On/off
SITE_32,MECH_1561,Small Capacity Exhaust,On/off
SITE_320,MECH_89759,Unknown,On/off
SITE_323,MECH_96057,Small Capacity Exhaust,On/off
SITE_324,MECH_140756,High Capacity Exhaust,On/off
SITE_326,MECH_76218,Unknown,On/off
SITE_327,MECH_164944,Small Capacity Exhaust,On/off
SITE_329,MECH_41823,Small Capacity Exhaust,On/off
SITE_330,MECH_9960,Small Capacity Exhaust,On/off
SITE_331,MECH_162253,Unknown,On/off
SITE_333,MECH_119340,High Capacity Exhaust,On/off
SITE_334,MECH_96868,Unknown,On/off
SITE_336,MECH_59497,Small Capacity Exhaust,On/off
SITE_337,MECH_161838,High Capacity Exhaust,On/off
SITE_338,MECH_39302,Small Capacity Exhaust,On/off
SITE_339,MECH_2507,Recirculating Only,On/off
SITE_34,MECH_84277,Unknown,On/off
SITE_34,MECH_23539,High Capacity Exhaust,On/off
SITE_340,MECH_164350,Recirculating Only,On/off
SITE_341,MECH_73140,Small Capacity Exhaust,On/off
SITE_342,MECH_130005,Recirculating Only,On/off
SITE_343,MECH_23017,Small Capacity Exhaust,On/off
SITE_344,MECH_135103,High Capacity Exhaust,On/off
SITE_344,MECH_100242,High Capacity Exhaust,On/off
SITE_345,MECH_51069,Unknown,On/off
SITE_346,MECH_118684,Recirculating Only,On/off
SITE_349,MECH_123958,Small Capacity Exhaust,On/off
SITE_35,MECH_168354,Small Capacity Exhaust,On/off
SITE_351,MECH_101598,Small Capacity Exhaust,On/off
SITE_352,MECH_60371,Recirculating Only,On/off
SITE_353,MECH_7762,Small Capacity Exhaust,On/off
SITE_354,MECH_35979,Recirculating Only,On/off
SITE_355,MECH_88736,Small Capacity Exhaust,On/off
SITE_356,MECH_32265,Small Capacity Exhaust,On/off
SITE_357,MECH_8576,Small Capacity Exhaust,On/off
SITE_358,MECH_106025,High Capacity Exhaust,On/off
SITE_36,MECH_170803,Small Capacity Exhaust,On/off
SITE_36,MECH_120500,Small Capacity Exhaust,On/off
SITE_362,MECH_5562,Small Capacity Exhaust,On/off
SITE_364,MECH_71261,Small Capacity Exhaust,On/off
SITE_366,MECH_106607,Small Capacity Exhaust,On/off
SITE_367,MECH_84691,Small Capacity Exhaust,On/off
SITE_368,MECH_8935,Small Capacity Exhaust,None
SITE_369,MECH_93642,Small Capacity Exhaust,On/off
SITE_371,MECH_103090,High Capacity Exhaust,On/off
SITE_373,MECH_14488,Small Capacity Exhaust,Timer
SITE_374,MECH_31101,Recirculating Only,On/off
SITE_375,MECH_65162,Small Capacity Exhaust,On/off
SITE_378,MECH_28459,Recirculating Only,On/off
SITE_379,MECH_165344,Recirculating Only,On/off
SITE_38,MECH_142454,Small Capacity Exhaust,On/off
SITE_381,MECH_19455,Recirculating Only,On/off
SITE_383,MECH_7588,Recirculating Only,On/off
SITE_385,MECH_103231,Small Capacity Exhaust,On/off
SITE_387,MECH_65677,High Capacity Exhaust,Timer
SITE_389,MECH_101393,Recirculating Only,On/off
SITE_39,MECH_4027,Recirculating Only,On/off
SITE_391,MECH_127771,Recirculating Only,On/off
SITE_392,MECH_76501,Small Capacity Exhaust,On/off
SITE_393,MECH_89577,High Capacity Exhaust,Timer
SITE_395,MECH_626,Small Capacity Exhaust,On/off
SITE_397,MECH_47611,Small Capacity Exhaust,On/off
SITE_398,MECH_141963,Unknown,On/off
SITE_399,MECH_8307,Small Capacity Exhaust,On/off
SITE_4,MECH_7427,Small Capacity Exhaust,On/off
SITE_40,MECH_165524,Unknown,On/off
SITE_400,MECH_82077,Recirculating Only,On/off
SITE_402,MECH_82609,Small Capacity Exhaust,On/off
SITE_404,MECH_105758,Small Capacity Exhaust,On/off
SITE_405,MECH_66536,Small Capacity Exhaust,On/off
SITE_407,MECH_2242,Small Capacity Exhaust,On/off
SITE_408,MECH_32994,Recirculating Only,On/off
SITE_409,MECH_157527,Recirculating Only,On/off
SITE_410,MECH_7828,High Capacity Exhaust,On/off
SITE_411,MECH_93045,Small Capacity Exhaust,On/off
SITE_414,MECH_163688,High Capacity Exhaust,On/off
SITE_415,MECH_17060,High Capacity Exhaust,On/off
SITE_416,MECH_2758,Recirculating Only,On/off
SITE_418,MECH_31506,Small Capacity Exhaust,On/off
SITE_419,MECH_111221,Recirculating Only,On/off
SITE_42,MECH_105373,Small Capacity Exhaust,On/off
