"SiteID","RoomID","ApplianceID","Type","Type_Other","Make","Model","Vintage","Energy_Star","Room_Type"
"SITE_1423","ROOM_46493","APPL_53771","Water Circulator Pump",NA,"Taco","007-F5-1IFC","Unknown","No","Mechanical"
"SITE_1423","ROOM_46493","APPL_4888","Water Circulator Pump",NA,"Taco","OOR-F6-4IFC","Unknown","No","Mechanical"
"SITE_1423","ROOM_46493","APPL_152167","Water Circulator Pump",NA,"Taco","007-F5-1IFC","Unknown","No","Mechanical"
"SITE_1423","ROOM_46493","APPL_160790","Water Circulator Pump",NA,"Taco","OOR-F6-IFC","Unknown","No","Mechanical"
"SITE_1423","ROOM_46493","APPL_149630","Whole House Vacuum","House Vacuum","NuTone","CV-450W","Unknown","No","Mechanical"
"SITE_1436","ROOM_32074","APPL_128103","Exercise Equipment","Stationary Bike","Peloton","Unknown","Unknown","No","Basement"
"SITE_1436","ROOM_32074","APPL_121748","Exercise Equipment","Treadmill","ProForm","PFEL199142","Unknown","No","Basement"
"SITE_144","ROOM_946","APPL_157085","Garage door opener","Garage door opener","Moore-O-Matic","Unknown","Unknown","Unknown","Garage"
"SITE_146","ROOM_7111","APPL_116231","Exercise Equipment","Treadmill","Horizon","7 4AT-02","Unknown","No","Living Room"
"SITE_1469","ROOM_35908","APPL_148535","Hot Tub",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1478","ROOM_41713","APPL_77043","Exercise Equipment","Treadmill","Spirit","Unknown","Unknown","Unknown","Other"
"SITE_148","ROOM_38498","APPL_107257","Garage door opener","Garage door opener","Sears","Unknown","Unknown","Unknown","Garage"
"SITE_1480","ROOM_29212","APPL_59508","Water feature",NA,"Unknown","Unknown","Unknown","Unknown","Dining Room"
"SITE_1483","ROOM_41894","APPL_146015","Hot Tub",NA,"Sundance Spas","Unknown","Unknown","Unknown","Outside"
"SITE_1487","ROOM_9748","APPL_68056","Hot Tub",NA,"Intex","S-HWF10","Unknown","No","Outside"
"SITE_1496","ROOM_8489","APPL_110558","Water Circulator Pump",NA,"Geo-flo","UPS26-99U","Unknown","No","Garage"
"SITE_1496","ROOM_8489","APPL_172557","Water Circulator Pump",NA,"Geo-flo","UPS26-99U","Unknown","No","Garage"
"SITE_1496","ROOM_22615","APPL_39931","Hot Tub",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_15","ROOM_36379","APPL_144985","Whole House Vacuum","Central Vacuum","Ametek","#115334","Unknown","Unknown","Garage"
"SITE_15","ROOM_36379","APPL_117245","Garage door opener","Garage door","LiftMaster","FORMULA1 41AB050-2M","2011","Unknown","Garage"
"SITE_15","ROOM_14741","APPL_79240","Exercise Equipment","Treadmill","ProForm","PRO SHOX3","Unknown","Unknown","Basement"
"SITE_151","ROOM_41921","APPL_76364","Garage door opener","Garage door opener","Genie","PROMAX","Unknown","Unknown","Garage"
"SITE_1519","ROOM_39039","APPL_77622","Hot Tub",NA,"Jacuzzi","Unknown","Unknown","No","Outside"
"SITE_1521","ROOM_4594","APPL_5979","Sauna",NA,"Metos Sauna","MSPO","Unknown","No","Basement"
"SITE_154","ROOM_20785","APPL_172135","Garage door opener","Garage door opener","Chamberlain","LIFT MASTER","Unknown","Unknown","Garage"
