"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_1031","All Metal","Unknown",NA,NA,"No","Attic, In Walls and Ceilings","Attic, In Walls and Ceilings","25","25","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1032","All Metal","No",NA,NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1033","Metal Plenum, Flex Runs","Yes","Duct or Foil tape, Mastic",NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","90","90","0","50","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1034","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","0","0","0","75","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1036","Metal Plenum, Flex Runs","Unknown",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","25","100","100","No","Unknown","R6","Yes","Fiberglass batts","2","100",NA
"SITE_1038","Metal Plenum, Flex Runs","Yes","Duct or Foil tape, Other","Masking tape","No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","100","100","0","90","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_104","Metal Plenum, Flex Runs","No",NA,NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","90","100","0","75","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_1040","Unknown","Unknown",NA,NA,"No","Attic, Crawlspace / Basement","Crawlspace / Basement, Attic","25","25","75","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1041","Duct Board Plenum, Flex Runs","No",NA,NA,"Yes","In Walls and Ceilings","In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","0.25"
"SITE_1042","Metal Plenum, Flex Runs","Yes","Mastic",NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","100","No","Unknown","R4","Yes","Unknown","Unknown","Unknown",NA
"SITE_1043","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","0","100","No","Unknown","Unknown","Yes","Duct board","1","50",NA
"SITE_1044","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
