"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_1325","All Metal","Yes","Duct or Foil tape",NA,"No","Attic","Attic","0","0","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1326","All Metal","Unknown",NA,NA,"No","In Walls and Ceilings, Attic","Attic","0","0","25","90","No","Unknown",NA,"Yes","Foil-faced fiberglass","2","90",NA
"SITE_1327","All Metal","No",NA,NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1328","Unknown","No",NA,NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","25","100","Unknown","100","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_133","All Metal","No",NA,NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1330","All Metal","Unknown",NA,NA,"Unknown","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings","25","100","75","Unknown","No","Unknown",NA,"Yes","Foil-faced fiberglass","1.5","Unknown",NA
"SITE_1332","Metal Plenum, Flex Runs","No",NA,NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","90","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_1333","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","0","0","90","No","Unknown","Unknown","Yes","Foil-faced fiberglass","1","90",NA
"SITE_1334","Metal Plenum, Flex Runs","Unknown",NA,NA,"No","Crawlspace / Basement, Attic","Attic","0","0","0","Unknown","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1335","90 Flex (spider system)","No",NA,NA,"No","Attic, In Walls and Ceilings","In Walls and Ceilings","0","0","25","100","No","Unknown","Unknown","Yes",NA,NA,"100",NA
"SITE_1336","90 Flex (spider system)","No",NA,NA,"Yes","Attic, In Walls and Ceilings","In Walls and Ceilings","0","50","Unknown","100","No","Unknown","Unknown","Unknown",NA,NA,"Unknown",NA
"SITE_1337","90 Flex (spider system)","Yes","Duct or Foil tape, Mastic",NA,"No","In Walls and Ceilings","In Walls and Ceilings, Attic","90","50","0","100","No","Unknown","R6","Yes",NA,NA,"Unknown",NA
"SITE_1338","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings","Attic, In Walls and Ceilings","0","0","100","75","No","Unknown","Unknown","Yes",NA,NA,"75",NA
"SITE_134","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic","Attic","0","0","0","96","No","Unknown","R8","Yes","Unknown","Unknown","100",NA
"SITE_1340","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic, Crawlspace / Basement","Attic, In Walls and Ceilings","0","25","0","90","No","Unknown","R8","Yes","Foam board","0.5","90",NA
"SITE_1342","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1344","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","0","0","90","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_1345","90 Flex (spider system)","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Attic","0","0","50","100","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_1347","All Metal","Yes","Duct or Foil tape",NA,"Yes","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1349","Unknown","Unknown",NA,NA,"Unknown","In Walls and Ceilings","Attic","100","0","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_135","All Metal","Unknown",NA,NA,"No","Garage, In Walls and Ceilings","In Walls and Ceilings, Garage","90","90","0","100","No","Unknown",NA,"Yes","Foil-faced fiberglass","2","100",NA
"SITE_1350","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","50","50","50","50","Unknown","Unknown",NA,"Yes","Fiberglass batts","Unknown","50",NA
"SITE_1351","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement, Attic","Attic","0","0","0","100","No","Unknown","R8","Yes","Fiberglass batts","2","100",NA
"SITE_1352","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, Attic","Attic","0","0","0","100","No","Unknown","R8","Yes","Foil-faced bubble wrap","1","100",NA
"SITE_1353","Unknown","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings","In Walls and Ceilings","0","0","100","100","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1354","All Metal","Yes","Duct or Foil tape",NA,"Yes","In Walls and Ceilings","In Walls and Ceilings","75","90","0","Unknown","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1355","90 Flex (spider system)","Unknown",NA,NA,"No","Crawlspace / Basement, Attic","Attic","0","0","0","100","No","Unknown","Unknown","Yes",NA,NA,"90",NA
"SITE_1356","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Attic","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Fiberglass batts","2","90",NA
"SITE_1357","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1358","Metal Plenum, Flex Runs","No",NA,NA,"No","In Walls and Ceilings, Crawlspace / Basement, Attic","In Walls and Ceilings","0","0","75","90","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA
"SITE_1359","All Metal","No",NA,NA,"No","Crawlspace / Basement","Attic","0","0","0","100","No","Unknown",NA,"Yes","Foil-faced fiberglass","Unknown","100",NA
"SITE_136","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace","Attic","0","0","0","100","No","Unknown",NA,"Yes","Unknown","Unknown","0",NA
"SITE_1360","All Metal","No",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","Unknown","0","50","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1361","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic, In Walls and Ceilings","0","90","100","100","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_1364","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","0","25","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1366","All Metal","No",NA,NA,"Unknown","Garage, In Walls and Ceilings","In Walls and Ceilings, Garage","0","0","90","0","Unknown","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1367","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings, Attic","In Walls and Ceilings, Crawlspace / Basement","50","100","50","100","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1368","All Metal","Unknown",NA,NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_137","All Metal","Unknown","Unknown",NA,"Unknown","In Walls","In Walls","0","0","100","Unknown","Unknown","Unknown",NA,"Yes","Unknown","Unknown","0",NA
"SITE_1370","All Metal","Yes","Mastic",NA,"No","Crawlspace / Basement","Crawlspace / Basement","100","100","0","100","No","Unknown",NA,"Yes","Fiberglass batts","6.25","25",NA
"SITE_1373","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","25","25","75","90","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1375","All Metal","No",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","100","90","No","Unknown",NA,"Yes","Fiberglass batts","Unknown","100",NA
"SITE_1378","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1379","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_138","All Metal","Unknown",NA,NA,"No","Crawlspace / Basement, Garage","In Walls and Ceilings","0","100","50","100","No","Unknown",NA,"Yes","Fiberglass batts","1","75",NA
"SITE_1380","Unknown","Unknown",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","100","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1382","All Metal","Yes","Mastic",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","0","0","0","50","No","Unknown",NA,"Yes","Fiberglass batts","3","50",NA
"SITE_1383","Metal Plenum, Flex Runs","Unknown",NA,NA,"Yes","Crawlspace / Basement","Unknown","0","Unknown","90","Unknown","Yes","Connected","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1384","Metal Plenum, Flex Runs","Unknown",NA,NA,"Yes","Crawlspace / Basement","Unknown","0","Unknown","100","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA
"SITE_1385","90 Flex (spider system)","Unknown",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","100","100","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","100",NA
"SITE_1387","All Metal","Yes","Mastic",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1388","All Metal","No",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_139","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","75","25","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1393","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","25","100","100","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_1395","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","Attic, Crawlspace / Basement, In Walls and Ceilings","0","0","0","90","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1396","Metal Plenum, Flex Runs","Yes","Duct or Foil tape, Mastic",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","50","100","50","Unknown","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1399","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","25","25","50","75","No","Unknown","R6","Yes","Unknown","Unknown","Unknown",NA
"SITE_140","Unknown","Unknown",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1402","Unknown","No",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1403","All Metal","Yes","Caulking",NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1408","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","25","25","25","90","No","Unknown",NA,"Yes","Fiberglass batts","5","90",NA
"SITE_1409","All Metal","Yes","Duct or Foil tape, Mastic",NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_141","All Metal","Yes","Duct or Foil tape",NA,"No","Attic, Crawlspace","Attic","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","3","100",NA
"SITE_1410","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","Attic","0","0","0","90","No","Unknown","R8","Yes","Foil-faced fiberglass","2","90",NA
"SITE_1411","Unknown","Unknown",NA,NA,"Yes","Crawlspace / Basement","Unknown","0","Unknown","100","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1412","All Metal","Unknown",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","0","75","No","Unknown",NA,"Yes","Fiberglass batts","1","75",NA
"SITE_1413","All Metal","Unknown",NA,NA,"Unknown","In Walls and Ceilings","In Walls and Ceilings","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1414","Metal Plenum, Flex Runs","Yes","Duct or Foil tape, Mastic",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement","100","100","0","90","No","Unknown","Unknown","Yes","Foil-faced fiberglass","1","90",NA
"SITE_1415","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","100","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1416","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Attic","Attic","0","25","100","100","No","Unknown","Unknown","Yes",NA,NA,"100",NA
"SITE_1417","All Metal","Yes","Duct or Foil tape",NA,"Unknown","In Walls and Ceilings","In Walls and Ceilings","0","0","100","Unknown","Unknown","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1418","Unknown","No",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1419","90 Flex (spider system)","Yes","Other","Zip ties at connections","Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","0","100","No","Unknown","R4","Yes",NA,NA,"100",NA
"SITE_142","All Metal","No",NA,NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings, Attic","90","90","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1420","All Metal","Yes","Caulking",NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1421","Metal Plenum, Flex Runs","Yes","Duct or Foil tape, Caulking",NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","75","100","25","100","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1424","Unknown","Unknown",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","100","100","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1426","Unknown","Unknown",NA,NA,"Unknown","Crawlspace / Basement","Unknown","0","Unknown","100","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_143","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1430","Unknown","Unknown",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","100","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1432","Metal Plenum, Flex Runs","Yes","Duct or Foil tape, Mastic",NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","50","100","0","100","No","Unknown","Unknown","Yes","Foil-faced fiberglass","2","50",NA
"SITE_1435","Unknown","No",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","0","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1436","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1437","All Metal","Yes","Mastic",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1438","Metal Plenum, Flex Runs","No",NA,NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","Attic, In Walls and Ceilings","100","75","0","90","No","Unknown","R4","Yes","Unknown","Unknown","Unknown",NA
"SITE_144","All Metal","No",NA,NA,"No","Garage, In Walls and Ceilings","Garage, Attic","90","0","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1440","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Attic, Crawlspace / Basement, In Walls and Ceilings","100","90","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1442","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Unknown","0","100","0","90","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA
"SITE_1445","All Metal","Yes","Caulking",NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings, Attic","Crawlspace / Basement, In Walls and Ceilings","90","100","Unknown","100","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1448","Unknown","No",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","100","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1449","Metal Plenum, Flex Runs","Yes","Mortite",NA,"No","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","100","100","0","100","No","Unknown","R4","Yes","Unknown","0","100",NA
"SITE_1452","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","In Walls and Ceilings, Attic","100","50","0","100","Unknown","Unknown",NA,"Yes","Fiberglass batts","3","75",NA
"SITE_1458","All Metal","No",NA,NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1459","All Metal","No",NA,NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_146","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace","Attic","0","0","0","Unknown","No","Unknown","R6","Yes","Fiberglass batts","2","100",NA
"SITE_1461","All Metal","No",NA,NA,"Yes","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","100","100","0","75","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1462","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1463","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1467","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1468","Metal Plenum, Flex Runs","No",NA,NA,"Yes","Crawlspace / Basement","Unknown","0","Unknown","0","90","No","Unknown","R8","Yes","Foil-faced fiberglass","7","90",NA
"SITE_147","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic, Crawlspace, In Walls","Attic","10","0","0","93","No","Unknown","R8","Yes","Fiberglass batts","1","90",NA
"SITE_1470","90 Flex (spider system)","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","0","90","No","Unknown","Unknown","Yes",NA,NA,"90",NA
"SITE_1473","Metal Plenum, Flex Runs","Unknown",NA,NA,"Yes","Crawlspace / Basement","Unknown","0","Unknown","100","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1474","Metal Plenum, Flex Runs","Unknown",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","100","Unknown","Unknown","Unknown","Unknown","Yes","Foil-faced fiberglass","Unknown","100",NA
"SITE_1475","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1478","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_148","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","4","90",NA
"SITE_1480","Metal Plenum, Flex Runs","Unknown",NA,NA,"Yes","Garage","Crawlspace / Basement","0","Unknown","100","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1481","Metal Plenum, Flex Runs","No",NA,NA,"Unknown","Crawlspace / Basement","Crawlspace / Basement","100","100","0","75","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1482","Unknown","Unknown",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","100","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1483","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","90","100","10","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1484","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings","In Walls and Ceilings","75","50","25","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1487","Metal Plenum, Flex Runs","No",NA,NA,"No","Garage, Attic","Attic, Garage","0","0","0","100","No","Unknown","R8","Yes","Fiberglass batts","2","100",NA
"SITE_1489","All Metal","Unknown",NA,NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"Yes","Fiberglass batts","3.5","100",NA
"SITE_1492","All Metal","No",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1494","Metal Plenum, Flex Runs","Unknown",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","100","100","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1496","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings, Garage","In Walls and Ceilings, Crawlspace / Basement, Garage","50","50","50","90","Unknown","Unknown","Unknown","Yes","Foil-faced fiberglass","2","50",NA
"SITE_1497","All Metal","No",NA,NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_15","Metal Plenum, Flex Runs","Yes","Mastic",NA,"No","Crawlspace, Garage, In Walls","In Walls","30","100","20","100","No","Unknown","R4","Yes","Fiberglass batts","1","100",NA
"SITE_150","All Metal","Yes","Duct or Foil tape",NA,"No","Attic","Attic","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","4","90",NA
"SITE_1500","All Metal","Yes","Duct or Foil tape",NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","Unknown","Unknown","Unknown","Unknown","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1504","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","0","90","100","100","No","Unknown",NA,"Yes","Fiberglass batts","4","75",NA
"SITE_1506","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_151","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","100","100","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1513","All Metal","No",NA,NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1515","90 Flex (spider system)","No",NA,NA,"No","Crawlspace / Basement","Unknown","0","Unknown","100","Unknown","No","Unknown","Unknown","Unknown",NA,NA,"Unknown",NA
"SITE_1519","Unknown","No",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","0","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_152","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace","Attic","0","0","0","75","No","Unknown",NA,"Yes","Fiberglass batts","2","90",NA
"SITE_1524","All Metal","Unknown",NA,NA,"Yes","Crawlspace / Basement","In Walls and Ceilings","0","100","0","90","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1525","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","0","100","No","Unknown",NA,"Yes","Fiberglass batts","1.5","Unknown",NA
"SITE_1526","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","100","50","Unknown","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1527","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","100","100","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1529","All Metal","Yes","Mastic",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1530","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings, Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","90","100","Unknown","100","No","Unknown","R6","Yes","Unknown","Unknown","0",NA
