"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","Audio_Wifi_Enabled","Audio_Voice_Assistant","Audio_Connected_to_TV","Contains_Subwoofer","Does_Subwoofer_have_indicator_light_or_warm_to_touch"
"SITE_1730","ROOM_33004","APPL_25603","Amazon","ECHO DOT","Unknown","Unknown","Yes","Yes","No","No",NA
"SITE_1730","ROOM_38335","APPL_110707","Amazon","ECHO DOT","Unknown","Unknown","Yes","Yes","No","No",NA
"SITE_1730","ROOM_29565","APPL_81592","Amazon","ECHO DOT","Unknown","No","Yes","Yes","Yes","No",NA
"SITE_1733","ROOM_6712","APPL_91873","Unknown","Unknown","Unknown","Unknown","No","No","Yes","Yes","No"
"SITE_1735","ROOM_990","APPL_89332","Yamaha","Unknown","Unknown","No","No","No","Yes","Yes","Unknown"
"SITE_1737","ROOM_34712","APPL_149396","Amazon","ECHO","2019","Unknown","Yes","Yes","No","No",NA
"SITE_1738","ROOM_27956","APPL_52683","JBL","Unknown","Unknown","Unknown","Unknown","No","Yes","Yes","No"
"SITE_1739","ROOM_36066","APPL_1685","Amazon","ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_1739","ROOM_7790","APPL_78322","Yamaha","YAS-203","Unknown","No","Unknown","No","Yes","Yes","No"
"SITE_174","ROOM_45423","APPL_92000","Miller and Kreisel","750THX MKLL","Unknown","No","No","No","Yes","Yes","No"
"SITE_1743","ROOM_35280","APPL_131952","Yamaha","ATS-1070","Unknown","No","No","No","Yes","No",NA
"SITE_1747","ROOM_29810","APPL_105313","Sony","SS-CNP36","Unknown","No","Unknown","Unknown","Yes","Yes","No"
"SITE_1747","ROOM_30152","APPL_70688","Panasonic","SB-HC760","Unknown","No","No","No","Yes","Yes","No"
"SITE_1751","ROOM_2211","APPL_90945","Realistic","SCT-90","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1763","ROOM_21062","APPL_16521","Bose","#418775","Unknown","No","No","No","Yes","No",NA
"SITE_1765","ROOM_13119","APPL_15991","Klipsch","PROMEDIA 21","2021","Unknown","Unknown","No","Yes","Yes","No"
"SITE_178","ROOM_27192","APPL_58476","Vizio","SWA16","Unknown","Yes","Unknown","No","Yes","No",NA
"SITE_1781","ROOM_37891","APPL_8460","Sonos","S14","Unknown","No","Yes","Yes","Yes","Yes","No"
"SITE_1785","ROOM_15488","APPL_67178","Bose","Unknown","Unknown","Unknown","Unknown","No","Yes","Yes","Yes"
"SITE_1786","ROOM_28836","APPL_82094","LG","NB3530A","2020","Unknown","Yes","No","Yes","Yes","Yes"
"SITE_179","ROOM_10664","APPL_57277","Polk Audio","SMARTBAR SPEAKER","Unknown","Unknown","Yes","No","Yes","Yes","Yes"
"SITE_179","ROOM_31730","APPL_113932","Boston","VR10","Unknown","No","No","No","Yes","No",NA
"SITE_179","ROOM_31730","APPL_124119","Miller and Kreisel","S-125","Unknown","No","No","No","Yes","No",NA
"SITE_179","ROOM_31730","APPL_56558","Bose","Unknown","Unknown","Unknown","Unknown","No","No","No",NA
"SITE_179","ROOM_31730","APPL_3296","DENON","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_179","ROOM_30046","APPL_115563","Amazon","ALEXA","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_179","ROOM_19354","APPL_4631","Polk Audio","OWM3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_179","ROOM_30046","APPL_157548","CELESTION","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1792","ROOM_31491","APPL_129946","Unknown","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1792","ROOM_37864","APPL_68089","Onkyo","TX0NR626","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_1793","ROOM_19647","APPL_147990","Jensen","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1793","ROOM_19647","APPL_46216","Amazon","ALEXA","Unknown","Unknown","Yes","Yes","No","No",NA
"SITE_1794","ROOM_26650","APPL_121194","Amazon","ALEXA","2021","Unknown","Yes","Yes","No","No",NA
"SITE_180","ROOM_11915","APPL_80691","Yamaha","ATS-1070","Unknown","No","No","No","Yes","No",NA
"SITE_1817","ROOM_46084","APPL_133234","Amazon","ECHO","Unknown","Unknown","Yes","Yes","No","No",NA
"SITE_1819","ROOM_36210","APPL_74346","Yamaha","RX-V4A","Unknown","Unknown","Unknown","No","Yes","Yes","Yes"
"SITE_1822","ROOM_28037","APPL_111401","ZVOX","AV200","Unknown","No","Yes","No","Yes","No",NA
"SITE_1823","ROOM_16091","APPL_7009","Vizio","M21D-UBER","Unknown","No","No","No","Yes","No",NA
"SITE_1823","ROOM_11702","APPL_90481","Vizio","Unknown","Unknown","Yes","No","No","Yes","Yes","Unknown"
"SITE_1825","ROOM_40182","APPL_135787","Amazon","ECHO","Unknown","No","Yes","Yes","Yes","No",NA
"SITE_1825","ROOM_40182","APPL_82803","Polk Audio","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_1829","ROOM_46119","APPL_101374","Sony","SS-CTB11","Unknown","No","Unknown","No","Yes","Yes","No"
"SITE_1832","ROOM_32452","APPL_133680","Sonos","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1832","ROOM_38427","APPL_59555","Samsung","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1832","ROOM_17728","APPL_61034","Onkyo","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1835","ROOM_29500","APPL_105983","Yamaha","ATS-1030","Unknown","No","Yes","No","Yes","No",NA
"SITE_1839","ROOM_25054","APPL_5262","Samsung","HW-A650/2A","Unknown","Yes","No","No","Yes","Yes","No"
"SITE_1845","ROOM_17055","APPL_55810","ONN","Unknown","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1847","ROOM_13345","APPL_100704","Insignia","ME-SB212","2012","No","No","Unknown","Yes","Yes","No"
"SITE_185","ROOM_23838","APPL_103540","Polk Audio","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_186","ROOM_5620","APPL_148449","Google","HOME","Unknown","No","Yes","Yes","No","No",NA
"SITE_186","ROOM_40785","APPL_121277","Polk Audio","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1864","ROOM_5612","APPL_164483","Polk Audio","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1865","ROOM_17112","APPL_72831","Sherwood","RX-5502","Unknown","No","No","No","Yes","Yes","No"
"SITE_1873","ROOM_15779","APPL_123152","Bose","#418775","Unknown","No","Yes","No","Yes","No",NA
"SITE_1873","ROOM_10282","APPL_121216","Vizio","V51-H6","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_1874","ROOM_5100","APPL_86399","Sony","Unknown","Unknown","No","No","No","No","Yes","No"
"SITE_1874","ROOM_5100","APPL_54285","Vizio","#10602081041","Unknown","Yes","Unknown","No","Yes","No",NA
"SITE_1875","ROOM_10398","APPL_127231","Samsung","HW-H550ZA","2014","No","Unknown","No","Yes","No",NA
"SITE_1879","ROOM_11937","APPL_10660","T.c. Electronic","STEREO STEEL","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1879","ROOM_39124","APPL_169968","Milkman sound","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_188","ROOM_35204","APPL_53520","Vizio","M51A-H6","Unknown","Unknown","Unknown","No","Yes","Yes","No"
"SITE_188","ROOM_20456","APPL_134757","Yamaha","YAS-207","Unknown","Unknown","No","No","Yes","Yes","No"
"SITE_1885","ROOM_35436","APPL_87073","Sony","Unknown","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1888","ROOM_4455","APPL_3957","Samsung","HW-KM45C","Unknown","No","No","No","Yes","No",NA
"SITE_189","ROOM_46592","APPL_130516","Vizio","Unknown","Unknown","Unknown","No","No","Yes","Yes","No"
"SITE_1891","ROOM_7591","APPL_103536","Sonos","Unknown","Unknown","No","Yes","Yes","Yes","Yes","No"
"SITE_1891","ROOM_4239","APPL_79344","Sonos","Unknown","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1893","ROOM_35554","APPL_105271","Vizio","V21-H8","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_1899","ROOM_3357","APPL_19125","Vizio","SB3821-D6","Unknown","No","Yes","No","Yes","No",NA
"SITE_19","ROOM_46360","APPL_25317","Google","HOME MINI","2019","Unknown","Yes","Yes","Yes","No",NA
"SITE_19","ROOM_7418","APPL_9026","Google","HOME","2018","Unknown","Yes","Yes","Yes","No",NA
"SITE_1902","ROOM_11654","APPL_166495","Polk Audio","DSB1 SOUND BAR","Unknown","No","No","No","Yes","Unknown","Unknown"
"SITE_1905","ROOM_7852","APPL_35247","Aiwa","SUPER T-BASS","Unknown","No","No","No","No","Yes","No"
"SITE_1905","ROOM_4094","APPL_3316","Midiland","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1907","ROOM_14453","APPL_111847","Bose","Unknown","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1907","ROOM_31915","APPL_119602","Skullcandy","S7LACZ-04","Unknown","No","No","No","No","No",NA
"SITE_1915","ROOM_25958","APPL_76446","Sonos","BEAM S14","Unknown","Unknown","Unknown","Yes","Yes","No",NA
"SITE_192","ROOM_46175","APPL_85303","Yamaha","ATS-1050","Unknown","No","No","No","Yes","No",NA
"SITE_192","ROOM_1655","APPL_31453","Google","HOME MINI","Unknown","No","Yes","Yes","No","No",NA
"SITE_192","ROOM_35465","APPL_20697","Other","HOME","Unknown","Unknown","Yes","Yes","No","No",NA
"SITE_1926","ROOM_25173","APPL_60860","Vizio","Unknown","Unknown","Unknown","No","No","Yes","Yes","No"
"SITE_1926","ROOM_40004","APPL_163658","Bower & Wilkins","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1931","ROOM_32882","APPL_112981","Vizio","Unknown","2011","No","No","No","Yes","No",NA
"SITE_1934","ROOM_13427","APPL_45958","Tcl","TS3100","Unknown","No","No","No","Yes","No",NA
"SITE_1935","ROOM_36896","APPL_57063","Yamaha","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","No"
"SITE_1936","ROOM_19100","APPL_99249","Bose","Unknown","Unknown","Unknown","No","No","Yes","Yes","No"
"SITE_1937","ROOM_20457","APPL_102716","Samsung","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_194","ROOM_38725","APPL_7516","Philips","HTL2160","Unknown","No","No","No","Yes","Yes","No"
"SITE_1947","ROOM_15398","APPL_47325","Bose","#424096","Unknown","No","Unknown","Unknown","Yes","Yes","No"
"SITE_1948","ROOM_16839","APPL_157885","Polk Audio","DSB1","Unknown","Yes","Yes","Unknown","Yes","Yes","No"
"SITE_195","ROOM_16427","APPL_148027","Amazon","ALEXA","Unknown","Unknown","Yes","Yes","Unknown","No",NA
"SITE_1955","ROOM_22648","APPL_146944","Vizio","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_1958","ROOM_28079","APPL_80075","Coby","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_196","ROOM_42522","APPL_45110","Bose","SOUNDOCK 10","Unknown","No","No","No","No","No",NA
"SITE_1968","ROOM_3351","APPL_3015","Polk Audio","DSBSOUNDBAR","Unknown","No","No","No","Yes","No",NA
"SITE_197","ROOM_35647","APPL_158692","Yamaha","ATS-1050","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_1974","ROOM_14270","APPL_109467","Amazon","ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_1975","ROOM_33633","APPL_136383","Samsung","HW-T40M","2020","Yes","Unknown","No","Yes","Yes","No"
"SITE_1981","ROOM_44662","APPL_62929","Vizio","Unknown","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_1984","ROOM_19776","APPL_111480","Bose","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1985","ROOM_21659","APPL_52127","Klipsch","RSB-3","Unknown","Unknown","Yes","No","No","No",NA
"SITE_1985","ROOM_29748","APPL_106947","Vizio","Unknown","Unknown","Unknown","Unknown","No","Yes","Yes","Yes"
"SITE_1991","ROOM_27048","APPL_1162","Vizio","VSB210WS","Unknown","No","Unknown","Unknown","Yes","Yes","No"
"SITE_1996","ROOM_39753","APPL_132818","Samsung","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1997","ROOM_35948","APPL_41956","Yamaha","ATS-2090","Unknown","Unknown","Unknown","No","Yes","Yes","No"
"SITE_1998","ROOM_28988","APPL_27242","Onn","#100075108","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_1999","ROOM_27940","APPL_30762","LG","Unknown","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_20","ROOM_34258","APPL_36443","Samsung","HW-K450","2016","No","No","No","Yes","No",NA
"SITE_2000","ROOM_46037","APPL_61114","Vizio","Unknown","Unknown","Unknown","Unknown","No","Yes","Yes","No"
"SITE_2011","ROOM_4371","APPL_160494","Sonos","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No",NA
"SITE_2011","ROOM_27953","APPL_139337","Amazon","RS03QR","Unknown","No","Yes","Yes","Unknown","No",NA
"SITE_2011","ROOM_27953","APPL_113987","Sonos","Unknown","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_2011","ROOM_44532","APPL_20168","Amazon","RS03QR","Unknown","No","Yes","Yes","No","No",NA
"SITE_2016","ROOM_4377","APPL_33725","Bose","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_2016","ROOM_4377","APPL_22033","Amazon","ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_2016","ROOM_37532","APPL_123907","Google","H1A 8B172AA05J7M","Unknown","No","Yes","Yes","No","No",NA
"SITE_2016","ROOM_10513","APPL_106631","Sonos","ONE","Unknown","No","Yes","Yes","No","No",NA
"SITE_2026","ROOM_200","APPL_162201","Sony","A5000","Unknown","No","No","No","Yes","No",NA
"SITE_2028","ROOM_17542","APPL_127302","Sonos","ONE SL","Unknown","No","Yes","No","No","No",NA
"SITE_2036","ROOM_32829","APPL_172625","Sonos","Unknown","Unknown","No","Unknown","No","Yes","No",NA
"SITE_2036","ROOM_46808","APPL_84246","Vizio","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_205","ROOM_42612","APPL_66296","Vizio","V21-H8","Unknown","No","Yes","No","No","Yes","No"
"SITE_205","ROOM_27682","APPL_99701","Amazon","ALEXA ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_207","ROOM_6190","APPL_65607","Sony","38-CT351","Unknown","No","No","No","Yes","No",NA
"SITE_207","ROOM_29812","APPL_49738","Google","HOME","Unknown","No","Yes","Yes","No","No",NA
"SITE_207","ROOM_6190","APPL_11371","Sony","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_211","ROOM_35048","APPL_119427","Samsung","HW-F355","Unknown","No","No","No","Yes","No",NA
"SITE_214","ROOM_13662","APPL_134836","Samsung","Unknown","Unknown","Unknown","Unknown","No","Yes","Yes","No"
"SITE_214","ROOM_13662","APPL_83558","Amazon","RS03OR","Unknown","Unknown","Yes","Yes","Unknown","No",NA
"SITE_216","ROOM_16406","APPL_94640","Yamaha","ATS-1080","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_216","ROOM_17663","APPL_15372","Amazon","ALEXA ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_216","ROOM_5773","APPL_12964","Amazon","ALEXA ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_217","ROOM_44946","APPL_32843","Polk Audio","SURROUNDBAR 6000","Unknown","No","No","No","Yes","No",NA
"SITE_217","ROOM_34959","APPL_4193","iLive","Unknown","Unknown","No","No","No","Unknown","No",NA
"SITE_218","ROOM_28781","APPL_114131","Sony","HTS350","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_22","ROOM_9488","APPL_173177","Vizio","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown"
"SITE_221","ROOM_10901","APPL_79583","Amazon","D9N29T","Unknown","No","Yes","Yes","No","No",NA
"SITE_221","ROOM_21188","APPL_28236","Amazon","Unknown","Unknown","No","Yes","Yes","No","No",NA
"SITE_221","ROOM_12534","APPL_19602","Amazon","ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_221","ROOM_44362","APPL_126012","Amazon","ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_225","ROOM_33095","APPL_166979","Unknown","Unknown","Unknown","Unknown","Yes","No","Yes","No",NA
"SITE_227","ROOM_40153","APPL_55436","Klipsch","Unknown","Unknown","Unknown","No","No","Yes","Yes","No"
"SITE_227","ROOM_12790","APPL_108004","Klipsch","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_231","ROOM_43057","APPL_133176","Samsung","Unknown","Unknown","Unknown","Yes","No","Yes","No",NA
"SITE_232","ROOM_17303","APPL_115396","iLive","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_233","ROOM_9333","APPL_120580","Panasonic","SU-HTB500","Unknown","No","No","No","Unknown","Yes","No"
"SITE_236","ROOM_17471","APPL_138692","Sonos","PLAY 1","Unknown","No","Unknown","No","Yes","No",NA
"SITE_239","ROOM_21975","APPL_95440","Samsung","Unknown","Unknown","Yes","No","No","Yes","Yes","Unknown"
"SITE_240","ROOM_7043","APPL_145742","Sonos","PLAYBAR","Unknown","No","Unknown","No","Yes","No",NA
"SITE_245","ROOM_41689","APPL_53540","Innovative Technology","TSB-100","2017","No","No","No","No","No",NA
"SITE_245","ROOM_10542","APPL_107451","Realistic","NOVA-18","Unknown","No","No","No","Yes","No",NA
"SITE_245","ROOM_10542","APPL_137032","Sanyo","GXT747A","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_245","ROOM_41689","APPL_81045","Sharper Image","ESI-P410","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_246","ROOM_13057","APPL_122987","Bose","#418775","2017","No","No","No","No","No",NA
"SITE_249","ROOM_43959","APPL_95260","Sony","SS-CT500","Unknown","No","Yes","Yes","Yes","Yes","No"
"SITE_249","ROOM_14640","APPL_76408","Ihome","IPL24","Unknown","No","Yes","No","Yes","No",NA
"SITE_249","ROOM_45974","APPL_5646","TCL","TS6110","Unknown","No","Yes","No","Yes","Yes","No"
"SITE_25","ROOM_4859","APPL_53112","TCL","TS7010","2019","Unknown","Yes","Unknown","Yes","Yes","No"
"SITE_25","ROOM_7337","APPL_66213","Sony","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_250","ROOM_26244","APPL_76916","Samsung","HW-T650","2020","Unknown","Yes","No","Yes","Yes","Yes"
"SITE_252","ROOM_16092","APPL_6138","Sonos","S22","Unknown","No","Yes","No","No","No",NA
"SITE_252","ROOM_2086","APPL_144294","Sony","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No"
"SITE_252","ROOM_34814","APPL_154440","Amazon","D9N29T (ALEXA)","Unknown","No","Yes","Yes","No","No",NA
"SITE_252","ROOM_2086","APPL_126246","Memorex","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_252","ROOM_2086","APPL_113585","Sony","SRI-ZR5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_254","ROOM_20486","APPL_163624","Bose","#418775","Unknown","No","No","No","Yes","No",NA
"SITE_255","ROOM_40730","APPL_147575","Bose","#418775","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_256","ROOM_33672","APPL_143519","Amazon","ALEXA ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_256","ROOM_33672","APPL_84857","Vizio","SB3821-C6","Unknown","No","No","No","Yes","No",NA
"SITE_256","ROOM_15014","APPL_128092","Bose","#415859","Unknown","No","No","No","No","No",NA
"SITE_256","ROOM_33672","APPL_107143","Philips","HIGH FIDELITY INTERNATIONAL","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_26","ROOM_5259","APPL_45356","Pioneer","CT-W600R","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_26","ROOM_5259","APPL_92114","Technics","SL-D2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_260","ROOM_41695","APPL_111747","Sony","BASS REFLEX","Unknown","Unknown","No","No","Yes","No",NA
"SITE_260","ROOM_45547","APPL_163419","Unknown","9101X","Unknown","No","No","No","Yes","No",NA
"SITE_263","ROOM_15949","APPL_164599","Sonos","Unknown","2019","Unknown","No","Unknown","Yes","Yes","Unknown"
"SITE_264","ROOM_35639","APPL_95858","Sony","HT-S200F","2021","No","Unknown","Unknown","Yes","No",NA
"SITE_264","ROOM_9663","APPL_154368","Insignia","NS-SB212","2012","No","Unknown","Unknown","Yes","No",NA
"SITE_265","ROOM_27474","APPL_153177","Onkyo","SKC-540C","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_266","ROOM_3553","APPL_82460","JBL","Unknown","1940","Unknown","Unknown","No","Yes","Unknown","Unknown"
"SITE_267","ROOM_35346","APPL_135831","Sonos","Unknown","Unknown","No","Unknown","No","Yes","Yes","No"
"SITE_267","ROOM_35346","APPL_51274","Sonos","PLAY1","Unknown","No","No","Yes","No","No",NA
"SITE_27","ROOM_42528","APPL_47292","Bose","#320573","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_272","ROOM_33574","APPL_158751","Samsung","HW-M360/ZA","2017","No","Unknown","No","Yes","Yes","No"
"SITE_276","ROOM_38140","APPL_174022","Sony","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown"
"SITE_28","ROOM_6394","APPL_33651","Polk Audio","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_280","ROOM_24406","APPL_136750","Samsung","HW-K950","2017","No","Yes","No","Yes","No",NA
"SITE_280","ROOM_2931","APPL_64428","Bose","SOUNDLINK MINI","Unknown","No","No","No","No","No",NA
"SITE_283","ROOM_43512","APPL_149209","tt","TT-SK016","Unknown","Unknown","No","No","Yes","Yes","No"
"SITE_284","ROOM_19980","APPL_171282","Sony","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_285","ROOM_24513","APPL_104366","Amazon","ALEXA ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_285","ROOM_17756","APPL_117908","Amazon","ALEXA ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_285","ROOM_33145","APPL_123828","Bose","#418775","Unknown","No","No","No","Yes","Yes","No"
"SITE_288","ROOM_27225","APPL_64630","Vizio","SB4051-C0","Unknown","Yes","No","No","Yes","Yes","Yes"
"SITE_289","ROOM_34916","APPL_149743","Amazon","ALEXA ECHO","Unknown","No","Yes","No","No","No",NA
"SITE_289","ROOM_34916","APPL_52727","Bose","SOUNDTOUCH 20","Unknown","No","No","No","No","No",NA
"SITE_289","ROOM_41619","APPL_9255","Amazon","ALEXA ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_298","ROOM_6926","APPL_167305","Bose","WAVE RADIO III","Unknown","No","No","No","No","No",NA
"SITE_3","ROOM_37561","APPL_83927","Fisher","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_30","ROOM_34777","APPL_51678","Amazon","ALEXA CUBE-A78V3N","Unknown","No","Yes","Yes","No","Yes","Unknown"
"SITE_30","ROOM_36935","APPL_92855","Amazon","ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_30","ROOM_43668","APPL_100941","Amazon","CEO984","Unknown","No","Yes","Yes","No","No",NA
"SITE_30","ROOM_42915","APPL_59953","Amazon","EX69VW","Unknown","No","Yes","Yes","Yes","No",NA
"SITE_30","ROOM_42915","APPL_1612","Vizio","#10602081222","Unknown","Yes","No","No","Yes","Yes","No"
"SITE_30","ROOM_11715","APPL_106135","Amazon","ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_30","ROOM_21944","APPL_154665","Apple","HOME MINI","Unknown","No","Yes","Yes","Yes","No",NA
"SITE_30","ROOM_21944","APPL_98571","Vizio","Unknown","Unknown","Yes","No","No","Yes","No",NA
"SITE_300","ROOM_5420","APPL_19357","Bose","#4040800","Unknown","No","No","No","No","No",NA
"SITE_300","ROOM_44783","APPL_58317","Bose","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_300","ROOM_39201","APPL_93154","Ion","STAR POWER ISP70","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_301","ROOM_28933","APPL_27474","Anthony Gallo Acoustics","#0725260","Unknown","No","No","No","Yes","Yes","No"
"SITE_301","ROOM_28933","APPL_152099","Rotel","RMB-1048","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_301","ROOM_11467","APPL_21205","Yamaha","K-220","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_301","ROOM_11467","APPL_32673","Sony","PS-LX250H","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_303","ROOM_11585","APPL_12726","Samsung","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_304","ROOM_24473","APPL_122756","JBL","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No"
"SITE_307","ROOM_26205","APPL_14642","Insignia","Unknown","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_309","ROOM_19451","APPL_97636","Kenwood","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_309","ROOM_19451","APPL_147014","Boston","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_31","ROOM_7489","APPL_66076","Sony","VACS","Unknown","Yes","No","No","Yes","Yes","No"
"SITE_311","ROOM_7884","APPL_62708","Bose","Unknown","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_311","ROOM_33351","APPL_7950","Sonos","Unknown","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_311","ROOM_12592","APPL_153216","Sonos","036-77-130","Unknown","Unknown","No","No","Yes","No",NA
"SITE_311","ROOM_39420","APPL_14244","Sonos","PLAYBAR","Unknown","Unknown","Unknown","No","Yes","Yes","Yes"
"SITE_312","ROOM_15938","APPL_158366","Amazon","C78MP8","Unknown","No","Yes","Yes","No","No",NA
"SITE_312","ROOM_35593","APPL_16008","Amazon","C78MP8","Unknown","No","Yes","Yes","No","No",NA
"SITE_312","ROOM_29953","APPL_20086","Amazon","SK705D","Unknown","No","Yes","Yes","No","No",NA
"SITE_312","ROOM_35593","APPL_33051","Google","AC1304","Unknown","No","Yes","Yes","No","No",NA
"SITE_313","ROOM_28266","APPL_22826","Harman/Kardon","HK195","Unknown","No","No","No","No","No",NA
"SITE_313","ROOM_42778","APPL_154800","Pioneer","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_313","ROOM_42778","APPL_149808","Sony","STR-K7100","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_313","ROOM_41904","APPL_131078","Marshall","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_313","ROOM_28266","APPL_55243","Crate","GLX212","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_313","ROOM_41904","APPL_119951","Rean","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_313","ROOM_42778","APPL_27733","Scott","SMP-30","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
