"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","Audio_Wifi_Enabled","Audio_Voice_Assistant","Audio_Connected_to_TV","Contains_Subwoofer","Does_Subwoofer_have_indicator_light_or_warm_to_touch"
"SITE_1337","ROOM_4200","APPL_166599","Unknown","Unknown","Unknown","No","No","Unknown","Yes","Yes","No"
"SITE_1337","ROOM_650","APPL_19832","Amazon","DW84JL","Unknown","No","Yes","Yes","No","No",NA
"SITE_134","ROOM_46218","APPL_57075","Bose","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1342","ROOM_19629","APPL_11638","Bose","#418775","Unknown","No","No","No","Yes","No",NA
"SITE_1342","ROOM_32243","APPL_56878","Google","HOME","Unknown","No","Yes","Yes","No","No",NA
"SITE_1343","ROOM_7385","APPL_174135","Samsung","HW-F450","2013","No","No","No","Yes","Yes","Yes"
"SITE_1344","ROOM_39863","APPL_138328","Amazon","ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_1344","ROOM_21523","APPL_92382","Amazon","RS03QR","Unknown","No","Yes","Yes","No","No",NA
"SITE_1344","ROOM_352","APPL_123857","Amazon","RS03QR","Unknown","No","Yes","Yes","No","No",NA
"SITE_1344","ROOM_31177","APPL_64289","Amazon","SK705DI","Unknown","No","Yes","Yes","No","No",NA
"SITE_1344","ROOM_31177","APPL_17678","Samsung","HW-JM45C","2016","No","No","No","Yes","Yes","No"
"SITE_1352","ROOM_13939","APPL_13861","Sonos","ONE","Unknown","No","Yes","No","No","No",NA
"SITE_1352","ROOM_34459","APPL_3931","Sonos","ONE","Unknown","No","Yes","No","No","No",NA
"SITE_1352","ROOM_38882","APPL_139098","Polk Audio","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1352","ROOM_38882","APPL_164663","Sonos","ONE","Unknown","No","Yes","No","No","No",NA
"SITE_1352","ROOM_38882","APPL_59929","Amazon","C76N8S","Unknown","No","Yes","Yes","No","No",NA
"SITE_1352","ROOM_40243","APPL_75122","Sonos","Unknown","Unknown","No","Yes","No","Yes","Yes","No"
"SITE_1352","ROOM_1340","APPL_123131","Sonos","S100","Unknown","No","Yes","No","No","No",NA
"SITE_1352","ROOM_1340","APPL_168879","Sonos","ONE","Unknown","No","Yes","No","No","No",NA
"SITE_1352","ROOM_1340","APPL_102048","Amazon","A8H3N2","Unknown","No","Yes","Yes","No","No",NA
"SITE_1352","ROOM_30249","APPL_94386","Sonos","ONE","Unknown","No","Yes","No","No","No",NA
"SITE_1352","ROOM_17586","APPL_3263","Polk Audio","Unknown","Unknown","No","Yes","No","No","No",NA
"SITE_1353","ROOM_38463","APPL_25606","Vizio","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1358","ROOM_1595","APPL_120938","Amazon","C78MP8","Unknown","No","Yes","Yes","Unknown","No",NA
"SITE_1359","ROOM_20164","APPL_73244","Samsung","HW-R450","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_136","ROOM_3520","APPL_69371","Amazon","ALEXA ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_136","ROOM_3520","APPL_172251","Polk Audio","RN1600S","Unknown","No","No","No","Yes","Yes","No"
"SITE_136","ROOM_24709","APPL_44169","Bose","COMPANION 2 SERIES 3","Unknown","No","No","No","No","No",NA
"SITE_136","ROOM_9288","APPL_161705","Vizio","SB2020NG6M","Unknown","Yes","No","No","Yes","No",NA
"SITE_1360","ROOM_34520","APPL_140235","Samsung","HW-J450","2015","No","No","No","Yes","No",NA
"SITE_1364","ROOM_11273","APPL_22724","Vizio","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_1365","ROOM_14517","APPL_22715","Vizio","V51-H6","Unknown","No","Unknown","Unknown","Yes","Yes","No"
