"SiteID","Mechanical_ID","Ventilation_Grade","Ventilation_Working","Ventilation_Controls","Ventilation_Use"
"SITE_1322","MECH_100289","Builder Grade","Yes","On/off","0"
"SITE_1323","MECH_81170","Builder Grade","Yes","On/off","0.5"
"SITE_1324","MECH_61822","Builder Grade","Yes","On/off","0.5"
"SITE_1324","MECH_38879","Builder Grade","Yes","On/off","0.5"
"SITE_1325","MECH_33265","Builder Grade","Yes","On/off","0.5"
"SITE_1325","MECH_70316","Builder Grade","Yes","On/off","0.5"
"SITE_1326","MECH_92812","Builder Grade","Yes","On/off","0.25"
"SITE_1326","MECH_2481","Builder Grade","Yes","On/off","0"
"SITE_1327","MECH_158289","Builder Grade","Yes","On/off","0"
"SITE_1327","MECH_127105","Builder Grade","Yes","On/off","0"
"SITE_1327","MECH_136976","Builder Grade","Yes","On/off","0.25"
"SITE_1327","MECH_57619","Builder Grade","Yes","On/off","0.5"
"SITE_1328","MECH_119480","Builder Grade","Yes","On/off","1"
"SITE_1328","MECH_16561","Builder Grade","Yes","On/off","1"
"SITE_1328","MECH_153797","Builder Grade","Yes","On/off","23"
"SITE_133","MECH_33273","Builder Grade","Yes","On/off","0.5"
"SITE_133","MECH_146557","Builder Grade","Yes","On/off","0.5"
"SITE_1330","MECH_159417","Builder Grade","Yes","On/off","0"
"SITE_1330","MECH_53146","Builder Grade","Yes","On/off","0"
"SITE_1331","MECH_138943","Builder Grade","Yes","On/off","0.2"
"SITE_1331","MECH_1176","Builder Grade","Yes","On/off","0.05"
"SITE_1331","MECH_163751","Builder Grade","Unknown","Timer","0"
"SITE_1331","MECH_47707","Builder Grade","Yes","On/off","0"
"SITE_1331","MECH_25297","Builder Grade","Yes","On/off","0"
"SITE_1332","MECH_79763","Builder Grade","Yes","On/off","0.25"
"SITE_1332","MECH_30887","Builder Grade","Yes","On/off","0.25"
"SITE_1332","MECH_93224","Builder Grade","Yes","On/off","0.17"
"SITE_1333","MECH_94931","Builder Grade","Yes","On/off","0"
"SITE_1333","MECH_17719","Builder Grade","Yes","On/off","0.05"
"SITE_1334","MECH_56435","Builder Grade","Yes","On/off","1"
"SITE_1334","MECH_29119","Builder Grade","Yes","On/off","0"
"SITE_1334","MECH_70395","Builder Grade","Yes","On/off","1"
"SITE_1334","MECH_24058","Builder Grade","Yes","On/off","1"
"SITE_1335","MECH_163584","Builder Grade","Yes","On/off","0"
"SITE_1335","MECH_173417","Builder Grade","Yes","On/off","0.25"
"SITE_1335","MECH_34551","Builder Grade","Yes","On/off","1"
"SITE_1336","MECH_134306","Builder Grade","Yes","On/off","Unknown"
"SITE_1336","MECH_70855","Builder Grade","Yes","On/off","Unknown"
"SITE_1336","MECH_66088","Builder Grade","Yes","On/off","Unknown"
"SITE_1336","MECH_174631","Builder Grade","Yes","On/off","Unknown"
"SITE_1337","MECH_61187","Panasonic or equivalent","Yes","On/off","0"
"SITE_1337","MECH_113430","Builder Grade","Yes","On/off","0"
"SITE_1337","MECH_98931","Builder Grade","Yes","On/off","1"
"SITE_1337","MECH_98931","Builder Grade","Yes","On/off","0.25"
"SITE_1337","MECH_20197","Builder Grade","Yes","On/off","0.17"
"SITE_1337","MECH_81322","Builder Grade","Yes","On/off","0"
"SITE_1338","MECH_112314","Builder Grade","Yes","Timer","1"
"SITE_1338","MECH_148061","Builder Grade","Yes","None","2"
"SITE_1339","MECH_57992","Builder Grade","Yes","On/off","1.5"
"SITE_1339","MECH_126601","Builder Grade","Yes","On/off","Unknown"
"SITE_134","MECH_79965","Builder Grade","Yes","On/off","1"
"SITE_1340","MECH_147260","Builder Grade","Yes","On/off","0"
"SITE_1340","MECH_140380","Builder Grade","Yes","On/off","0"
"SITE_1340","MECH_140380","Builder Grade","Yes","On/off","0"
"SITE_1340","MECH_14667","Builder Grade","Yes","On/off","0"
"SITE_1340","MECH_162262","Builder Grade","Yes","On/off","0"
"SITE_1341","MECH_12755","Builder Grade","Yes","On/off","0"
"SITE_1341","MECH_87998","Builder Grade","Yes","On/off","0"
"SITE_1342","MECH_133847","Builder Grade","Yes","Timer","Unknown"
"SITE_1342","MECH_157291","Panasonic or equivalent","No","On/off","Unknown"
"SITE_1342","MECH_14208","Builder Grade","Yes","Timer","Unknown"
"SITE_1343","MECH_174666","Builder Grade","Unknown","On/off","0"
"SITE_1343","MECH_173713","Builder Grade","Yes","Timer","0.5"
"SITE_1343","MECH_173713","Builder Grade","Yes","Timer","0.5"
"SITE_1343","MECH_113578","Builder Grade","Yes","Timer","0"
"SITE_1343","MECH_104544","Builder Grade","Yes","Timer","1"
"SITE_1343","MECH_174025","Builder Grade","Yes","On/off","0"
"SITE_1344","MECH_37854","Builder Grade","Yes","On/off","0.1"
"SITE_1344","MECH_44569","Panasonic or equivalent","Yes","On/off","0.17"
"SITE_1344","MECH_44569","Panasonic or equivalent","Yes","Timer","0.25"
"SITE_1344","MECH_25255","Builder Grade","Yes","On/off","0"
"SITE_1345","MECH_4311","Builder Grade","Yes","On/off","0"
"SITE_1345","MECH_77686","Builder Grade","Yes","On/off","0"
"SITE_1345","MECH_169807","Builder Grade","Yes","On/off","0.5"
"SITE_1345","MECH_6229","Builder Grade","Yes","On/off","0.25"
"SITE_1346","MECH_33463","Builder Grade","Yes","Timer","0.25"
"SITE_1347","MECH_34579","Builder Grade","Yes","On/off","0.3"
"SITE_1348","MECH_171759","Builder Grade","Yes","On/off","0"
"SITE_1348","MECH_46834","Builder Grade","Yes","On/off","0"
"SITE_1349","MECH_83241","Builder Grade","Yes","On/off","0.25"
"SITE_1349","MECH_65429","Builder Grade","Yes","On/off","0.15"
"SITE_1349","MECH_157417","Builder Grade","Yes","On/off","0"
"SITE_1349","MECH_50418","Builder Grade","Yes","On/off","0"
"SITE_1349","MECH_50418","Builder Grade","Yes","On/off","0"
"SITE_1349","MECH_163512","Builder Grade","Unknown","On/off","0"
"SITE_1349","MECH_26097","Builder Grade","Yes","On/off","0.1"
"SITE_135","MECH_125582","Builder Grade","Yes","On/off","0.5"
"SITE_135","MECH_78639","Builder Grade","Yes","On/off","0"
"SITE_135","MECH_131136","Builder Grade","Yes","On/off","0"
"SITE_135","MECH_154878","Builder Grade","Yes","On/off","0.5"
"SITE_135","MECH_137079","Builder Grade","Yes","On/off","1.5"
"SITE_135","MECH_32904","Builder Grade","Yes","On/off","Unknown"
"SITE_1350","MECH_11641","Builder Grade","Yes","On/off","0.25"
"SITE_1350","MECH_165256","Builder Grade","Yes","On/off","0.25"
"SITE_1351","MECH_160481","Builder Grade","Yes","On/off","0"
"SITE_1351","MECH_29190","Builder Grade","Yes","On/off","Unknown"
"SITE_1351","MECH_42936","Builder Grade","Yes","On/off","Unknown"
"SITE_1351","MECH_44653","Builder Grade","Yes","On/off","Unknown"
"SITE_1352","MECH_158628","Panasonic or equivalent","Yes","On/off","1"
"SITE_1352","MECH_47263","Builder Grade","Yes","On/off","1"
"SITE_1352","MECH_10428","Builder Grade","Yes","On/off","0.25"
"SITE_1352","MECH_100287","Builder Grade","Yes","On/off","0"
"SITE_1352","MECH_143025","Builder Grade","Yes","On/off","0"
"SITE_1353","MECH_143564","Builder Grade","Yes","On/off","1"
"SITE_1353","MECH_143564","Builder Grade","Yes","On/off","1"
"SITE_1353","MECH_81324","Builder Grade","Yes","On/off","0.5"
"SITE_1353","MECH_129628","Builder Grade","Yes","On/off","0"
"SITE_1353","MECH_158138","Builder Grade","Yes","On/off","0"
"SITE_1354","MECH_44386","Builder Grade","Yes","Timer","0.2"
"SITE_1354","MECH_852","Builder Grade","Yes","On/off","0.15"
"SITE_1354","MECH_35539","Builder Grade","Yes","Timer","0.2"
"SITE_1355","MECH_15497","Builder Grade","Yes","On/off","0"
"SITE_1355","MECH_167250","Builder Grade","Yes","On/off","0"
"SITE_1355","MECH_77232","Builder Grade","Yes","On/off","0.15"
"SITE_1355","MECH_163532","Builder Grade","Yes","On/off","0.15"
"SITE_1356","MECH_100841","Builder Grade","Yes","On/off","1"
"SITE_1356","MECH_107810","Builder Grade","Yes","On/off","0.2"
"SITE_1356","MECH_77238","Builder Grade","Unknown","On/off","Unknown"
"SITE_1358","MECH_166852","Builder Grade","Yes","On/off","0"
"SITE_1358","MECH_5806","Builder Grade","Yes","On/off","0"
"SITE_1358","MECH_64104","Builder Grade","Yes","On/off","0.5"
"SITE_1358","MECH_4102","Builder Grade","Yes","On/off","0.5"
"SITE_1359","MECH_121402","Builder Grade","Yes","On/off","0"
"SITE_1359","MECH_166998","Builder Grade","Yes","On/off","1"
"SITE_1359","MECH_112457","Builder Grade","Yes","On/off","0.5"
"SITE_1359","MECH_138869","Builder Grade","Yes","On/off","0.25"
"SITE_136","MECH_9517","Panasonic or equivalent","Yes","On/off","0"
"SITE_136","MECH_145324","Builder Grade","Yes","On/off","0"
"SITE_136","MECH_76634","Panasonic or equivalent","Yes","On/off","1"
"SITE_1360","MECH_159163","Builder Grade","Yes","On/off","0"
"SITE_1360","MECH_148524","Builder Grade","Yes","On/off","0.5"
"SITE_1361","MECH_116629","Builder Grade","Yes","On/off","0.5"
"SITE_1361","MECH_81261","Builder Grade","Yes","On/off","0.2"
"SITE_1361","MECH_51335","Builder Grade","Yes","On/off","0"
"SITE_1364","MECH_105113","Builder Grade","Yes","On/off","0.5"
"SITE_1364","MECH_7625","Builder Grade","Yes","On/off","0"
"SITE_1365","MECH_43364","Builder Grade","Yes","Timer","0.5"
"SITE_1365","MECH_68609","Builder Grade","Yes","Timer","0.2"
"SITE_1366","MECH_9033","Builder Grade","Yes","On/off","0.5"
"SITE_1366","MECH_16912","Builder Grade","Yes","On/off","0"
"SITE_1366","MECH_18233","Builder Grade","Yes","On/off","0.17"
"SITE_1367","MECH_37653","Builder Grade","Yes","On/off","0.2"
"SITE_1367","MECH_332","Builder Grade","Yes","On/off","0.33"
"SITE_1367","MECH_7155","Builder Grade","Yes","On/off","0"
"SITE_1367","MECH_22091","Builder Grade","Yes","On/off","0"
"SITE_1368","MECH_43361","Builder Grade","Yes","On/off","0"
"SITE_1368","MECH_123111","Builder Grade","Yes","On/off","0"
"SITE_1369","MECH_164159","Builder Grade","Yes","On/off","0.5"
"SITE_137","MECH_159429","Builder Grade","Yes","On/off","1"
"SITE_137","MECH_49746","Builder Grade","Yes","On/off","1"
"SITE_137","MECH_169014","Builder Grade","Yes","On/off","0"
"SITE_1370","MECH_121686","Builder Grade","Yes","On/off","0"
"SITE_1370","MECH_147439","Builder Grade","Yes","On/off","0"
"SITE_1370","MECH_10540","Builder Grade","Yes","On/off","0"
"SITE_1371","MECH_9747","Builder Grade","Yes","On/off","0"
"SITE_1371","MECH_7653","Builder Grade","Yes","On/off","0"
"SITE_1371","MECH_54022","Builder Grade","No","On/off","0"
"SITE_1372","MECH_127813","Builder Grade","Yes","On/off","0"
"SITE_1372","MECH_73137","Builder Grade","Yes","On/off","0"
"SITE_1373","MECH_15192","Builder Grade","Yes","On/off","0.5"
"SITE_1373","MECH_15192","Builder Grade","Yes","On/off","0.25"
"SITE_1373","MECH_128529","Builder Grade","Yes","On/off","0"
"SITE_1373","MECH_125783","Builder Grade","Yes","On/off","0"
"SITE_1373","MECH_34336","Builder Grade","Yes","On/off","0"
"SITE_1373","MECH_114839","Builder Grade","Yes","On/off","0"
"SITE_1374","MECH_50763","Builder Grade","Yes","On/off","0"
"SITE_1376","MECH_136073","Builder Grade","Yes","On/off","0"
"SITE_1376","MECH_135084","Builder Grade","Yes","On/off","0"
"SITE_1376","MECH_14220","Builder Grade","Yes","On/off","0"
"SITE_1377","MECH_132833","Builder Grade","Yes","On/off","0.5"
"SITE_1378","MECH_38556","Builder Grade","Yes","On/off","0.2"
"SITE_1378","MECH_111419","Builder Grade","Yes","On/off","0.5"
"SITE_1378","MECH_173063","Builder Grade","Yes","Timer","0"
"SITE_1379","MECH_78031","Builder Grade","Yes","On/off","0"
"SITE_1379","MECH_148111","Builder Grade","Yes","On/off","0"
"SITE_138","MECH_164880","Builder Grade","Yes","On/off","0"
"SITE_138","MECH_41605","Builder Grade","Yes","On/off","1"
"SITE_138","MECH_123756","Builder Grade","Yes","On/off","0"
"SITE_1380","MECH_136498","Builder Grade","No","On/off","0"
"SITE_1380","MECH_157445","Builder Grade","Yes","On/off","0"
"SITE_1381","MECH_125893","Builder Grade","Yes","On/off","0"
"SITE_1381","MECH_52969","Builder Grade","Yes","On/off","0"
"SITE_1382","MECH_90628","Builder Grade","Yes","On/off","0"
"SITE_1382","MECH_72879","Builder Grade","Yes","On/off","0.66"
"SITE_1383","MECH_35236","Builder Grade","Yes","On/off","0"
"SITE_1384","MECH_76055","Builder Grade","Yes","On/off","0"
"SITE_1384","MECH_119634","Builder Grade","Yes","On/off","0"
"SITE_1385","MECH_83407","Builder Grade","Yes","On/off","0.17"
"SITE_1385","MECH_109323","Builder Grade","Yes","On/off","0.25"
"SITE_1386","MECH_77332","Builder Grade","No","On/off","0"
"SITE_1387","MECH_147931","Builder Grade","Yes","Timer","0.17"
"SITE_1387","MECH_102443","Builder Grade","Yes","On/off","0.25"
"SITE_1387","MECH_21409","Builder Grade","Yes","Timer","0.25"
"SITE_1389","MECH_160417","Panasonic or equivalent","Yes","On/off","0.33"
"SITE_1391","MECH_10460","Builder Grade","Yes","On/off","0.5"
"SITE_1392","MECH_124265","Builder Grade","No","On/off","0"
"SITE_1393","MECH_136447","Builder Grade","Yes","On/off","1"
"SITE_1394","MECH_135591","Builder Grade","No","On/off","0"
"SITE_1394","MECH_68000","Builder Grade","Yes","On/off","0.5"
"SITE_1395","MECH_18951","Builder Grade","Yes","On/off","0"
"SITE_1395","MECH_24817","Panasonic or equivalent","Yes","On/off","0"
"SITE_1395","MECH_136867","Builder Grade","Yes","On/off","0"
"SITE_1395","MECH_136867","Builder Grade","Yes","On/off","0"
"SITE_1396","MECH_120453","Builder Grade","Yes","On/off","0.5"
"SITE_1396","MECH_165815","Builder Grade","Yes","On/off","0.33"
"SITE_1396","MECH_32163","Builder Grade","Yes","Timer","0.5"
"SITE_1397","MECH_45081","Builder Grade","No","On/off","0"
"SITE_1398","MECH_135895","Builder Grade","Yes","On/off","0.33"
"SITE_1398","MECH_145055","Builder Grade","Yes","On/off","0"
"SITE_1399","MECH_163185","Builder Grade","Yes","On/off","1"
"SITE_14","MECH_174529","Builder Grade","Yes","On/off","Unknown"
"SITE_140","MECH_77379","Builder Grade","No","On/off","0"
"SITE_1401","MECH_85825","Builder Grade","Yes","Unknown","0.2"
"SITE_1402","MECH_624","Builder Grade","Yes","On/off","0"
"SITE_1402","MECH_130122","Builder Grade","Yes","On/off","0.08"
"SITE_1403","MECH_21780","Builder Grade","Yes","On/off","0.5"
"SITE_1403","MECH_21780","Builder Grade","Yes","On/off","0.25"
"SITE_1403","MECH_124834","Builder Grade","Yes","On/off","0"
"SITE_1403","MECH_34067","Builder Grade","Yes","On/off","0"
"SITE_1403","MECH_95698","Builder Grade","Yes","On/off","0"
"SITE_1403","MECH_112344","Builder Grade","Yes","On/off","0"
"SITE_1404","MECH_115592","Builder Grade","Yes","Timer","2"
"SITE_1404","MECH_39657","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1404","MECH_87894","Panasonic or equivalent","Yes","On/off","2"
"SITE_1405","MECH_134207","Panasonic or equivalent","Yes","On/off","4"
"SITE_1405","MECH_3630","Panasonic or equivalent","Yes","On/off","2"
"SITE_1406","MECH_153280","Panasonic or equivalent","Yes","Timer","0.25"
"SITE_1406","MECH_72683","Panasonic or equivalent","Yes","Timer","2"
"SITE_1406","MECH_56094","Panasonic or equivalent","Yes","Timer","0.5"
"SITE_1408","MECH_147136","Panasonic or equivalent","Yes","On/off","2"
"SITE_1408","MECH_35480","Panasonic or equivalent","Yes","On/off","0"
"SITE_1408","MECH_50157","Panasonic or equivalent","Yes","On/off","1"
"SITE_1409","MECH_41294","Builder Grade","Yes","On/off","0"
"SITE_1409","MECH_80786","Builder Grade","Yes","On/off","0"
"SITE_141","MECH_15904","Builder Grade","Yes","On/off","0"
"SITE_141","MECH_113613","Builder Grade","Yes","On/off","1"
"SITE_141","MECH_89492","Builder Grade","Yes","On/off","1"
"SITE_1410","MECH_102466","Builder Grade","Yes","On/off","0"
"SITE_1410","MECH_132172","Builder Grade","Yes","On/off","0"
"SITE_1411","MECH_80855","Builder Grade","Yes","On/off","0"
"SITE_1411","MECH_26375","Builder Grade","Yes","On/off","0"
"SITE_1411","MECH_3977","Builder Grade","Yes","On/off","0"
"SITE_1412","MECH_135181","Builder Grade","Yes","On/off","0.25"
"SITE_1412","MECH_109190","Builder Grade","Yes","On/off","0.25"
"SITE_1413","MECH_42097","Builder Grade","Yes","On/off","0"
"SITE_1414","MECH_106217","Builder Grade","Yes","On/off","0"
"SITE_1414","MECH_164854","Builder Grade","Yes","On/off","0"
"SITE_1414","MECH_134786","Builder Grade","Yes","On/off","0"
"SITE_1414","MECH_50601","Builder Grade","Yes","On/off","0"
"SITE_1415","MECH_45791","Builder Grade","Unknown","On/off","0.5"
"SITE_1416","MECH_163009","Builder Grade","Yes","On/off","0.1"
"SITE_1416","MECH_23442","Builder Grade","Yes","On/off","0.33"
"SITE_1416","MECH_152639","Builder Grade","Yes","Timer","0.33"
"SITE_1417","MECH_123818","Builder Grade","Unknown","None","0"
"SITE_1417","MECH_44769","Builder Grade","Yes","On/off","0.5"
"SITE_1417","MECH_57092","Builder Grade","Yes","On/off","0.5"
"SITE_1418","MECH_112823","Panasonic or equivalent","Yes","On/off","0"
"SITE_1418","MECH_149258","Panasonic or equivalent","Yes","On/off","0"
"SITE_142","MECH_41882","Panasonic or equivalent","Yes","Timer","0.5"
"SITE_1420","MECH_72476","Panasonic or equivalent","Yes","On/off","0.33"
"SITE_1420","MECH_77184","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1420","MECH_69173","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1420","MECH_151924","Panasonic or equivalent","Yes","On/off","0.75"
"SITE_1420","MECH_151924","Panasonic or equivalent","Yes","On/off","0.33"
"SITE_1421","MECH_21119","Builder Grade","Yes","Timer","0"
"SITE_1421","MECH_15078","Builder Grade","Yes","On/off","0"
"SITE_1421","MECH_173537","Builder Grade","Yes","On/off","0"
"SITE_1421","MECH_150727","Builder Grade","Yes","On/off","0"
"SITE_1421","MECH_147003","Builder Grade","Yes","On/off","0"
"SITE_1422","MECH_20105","Builder Grade","Yes","On/off","0.5"
"SITE_1422","MECH_44185","Builder Grade","Yes","On/off","0"
"SITE_1423","MECH_31364","Builder Grade","Yes","Timer","0"
"SITE_1423","MECH_83218","Builder Grade","Yes","Timer","0"
"SITE_1423","MECH_59155","Builder Grade","Yes","On/off","0"
"SITE_1423","MECH_59155","Builder Grade","Yes","Timer","0.5"
"SITE_1424","MECH_69916","Builder Grade","Yes","On/off","0"
"SITE_1424","MECH_127026","Builder Grade","Yes","On/off","0.25"
"SITE_1425","MECH_99383","Builder Grade","Yes","On/off","0"
"SITE_1425","MECH_65590","Builder Grade","Yes","On/off","0"
"SITE_1426","MECH_83118","Builder Grade","No","On/off","0"
"SITE_1427","MECH_110854","Builder Grade","Yes","On/off","1"
"SITE_1428","MECH_99523","Builder Grade","Yes","On/off","0"
"SITE_1428","MECH_45373","Builder Grade","Yes","On/off","0"
"SITE_1428","MECH_113798","Builder Grade","Yes","On/off","0"
"SITE_1428","MECH_38700","Builder Grade","Yes","On/off","0"
"SITE_1429","MECH_56946","Builder Grade","Yes","On/off","0"
"SITE_1429","MECH_97126","Builder Grade","Yes","On/off","0"
"SITE_1429","MECH_47821","Builder Grade","Yes","On/off","0"
"SITE_1429","MECH_114064","Builder Grade","Yes","Manual thermostat - Analog","0"
"SITE_143","MECH_23322","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1430","MECH_137344","Builder Grade","Yes","On/off","0.2"
"SITE_1430","MECH_28900","Builder Grade","Yes","On/off","0.33"
"SITE_1432","MECH_93859","Panasonic or equivalent","Yes","On/off","1"
"SITE_1432","MECH_20560","Builder Grade","Yes","On/off","1"
"SITE_1433","MECH_2470","Builder Grade","Yes","On/off","2"
"SITE_1433","MECH_16417","Builder Grade","Yes","On/off","0"
"SITE_1433","MECH_59938","Builder Grade","Yes","On/off","0"
"SITE_1434","MECH_5362","Builder Grade","Yes","On/off","2"
"SITE_1434","MECH_44161","Builder Grade","Yes","On/off","1"
"SITE_1435","MECH_49541","Builder Grade","Yes","On/off","0"
"SITE_1435","MECH_9251","Builder Grade","Yes","On/off","0.5"
"SITE_1436","MECH_81367","Builder Grade","Yes","On/off","1"
"SITE_1436","MECH_5245","Builder Grade","Yes","On/off","12"
"SITE_1436","MECH_135987","Builder Grade","Yes","On/off","0"
"SITE_1437","MECH_14826","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1437","MECH_126896","Builder Grade","Yes","On/off","0.33"
"SITE_1437","MECH_31030","Builder Grade","Yes","On/off","0.2"
"SITE_1437","MECH_80642","Panasonic or equivalent","Yes","On/off","0"
"SITE_1437","MECH_103752","Builder Grade","Yes","On/off","0"
"SITE_1438","MECH_62513","Builder Grade","Yes","On/off","0"
"SITE_1438","MECH_167362","Builder Grade","Yes","On/off","0"
"SITE_1438","MECH_42725","Builder Grade","Yes","On/off","0"
"SITE_1438","MECH_87718","Builder Grade","Yes","On/off","0"
"SITE_1439","MECH_45990","Builder Grade","Yes","On/off","24"
"SITE_144","MECH_159495","Panasonic or equivalent","Yes","On/off","0"
"SITE_144","MECH_85062","Panasonic or equivalent","Yes","On/off","0.25"
"SITE_144","MECH_165126","Builder Grade","Yes","On/off","0.25"
"SITE_144","MECH_126987","Builder Grade","Yes","On/off","0.25"
"SITE_144","MECH_99516","Panasonic or equivalent","Yes","On/off","0"
"SITE_1440","MECH_71072","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1440","MECH_176","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1440","MECH_151291","Panasonic or equivalent","Yes","On/off","0.25"
"SITE_1440","MECH_14106","Panasonic or equivalent","Yes","On/off","0.17"
"SITE_1440","MECH_29802","Panasonic or equivalent","Yes","Timer","0.5"
"SITE_1441","MECH_19708","Builder Grade","Yes","On/off","0"
"SITE_1441","MECH_20151","Builder Grade","Yes","On/off","0"
"SITE_1441","MECH_85176","Builder Grade","Yes","On/off","0"
"SITE_1442","MECH_44941","Builder Grade","Yes","On/off","0"
"SITE_1442","MECH_96497","Panasonic or equivalent","Yes","On/off","0.66"
"SITE_1444","MECH_143556","Builder Grade","Yes","On/off","0"
"SITE_1444","MECH_23439","Builder Grade","Yes","On/off","0"
"SITE_1444","MECH_63021","Builder Grade","Yes","On/off","0"
"SITE_1445","MECH_51624","Panasonic or equivalent","Yes","On/off","2"
"SITE_1445","MECH_36511","Panasonic or equivalent","Yes","On/off","0.75"
"SITE_1445","MECH_138608","Panasonic or equivalent","Yes","On/off","0.1"
"SITE_1445","MECH_57493","Panasonic or equivalent","No","On/off","0"
"SITE_1445","MECH_24172","Panasonic or equivalent","Yes","On/off","0"
"SITE_1446","MECH_29374","Builder Grade","Yes","On/off","24"
"SITE_1446","MECH_153824","Builder Grade","Yes","On/off","0"
"SITE_1446","MECH_116712","Builder Grade","No","On/off","0"
"SITE_1447","MECH_1877","Builder Grade","Yes","On/off","0.25"
"SITE_1447","MECH_55804","Builder Grade","Yes","Timer","0.33"
"SITE_1448","MECH_2019","Builder Grade","Yes","On/off","Unknown"
"SITE_1449","MECH_84135","Builder Grade","Yes","Timer","0.03"
"SITE_1449","MECH_47233","Builder Grade","Yes","Timer","0.02"
"SITE_1449","MECH_71475","Builder Grade","Yes","On/off","0.1"
"SITE_1449","MECH_52351","Builder Grade","Yes","Programmable thermostat","0.1"
"SITE_1449","MECH_59998","Builder Grade","Yes","On/off","5"
"SITE_1449","MECH_119781","Builder Grade","Yes","On/off","0.5"
"SITE_145","MECH_34986","Builder Grade","Yes","On/off","0"
"SITE_145","MECH_70878","Builder Grade","Yes","On/off","0"
"SITE_145","MECH_166164","Builder Grade","Yes","On/off","0.66"
"SITE_1451","MECH_5891","Builder Grade","Yes","On/off","0"
"SITE_1452","MECH_74772","Builder Grade","Yes","Timer","0.03"
"SITE_1452","MECH_140736","Builder Grade","Yes","Timer","1"
"SITE_1452","MECH_152031","Builder Grade","Yes","Timer","0.2"
"SITE_1453","MECH_81443","Builder Grade","Yes","On/off","0.75"
"SITE_1453","MECH_150178","Builder Grade","Yes","On/off","0"
"SITE_1454","MECH_145693","Builder Grade","Yes","On/off","0.33"
"SITE_1454","MECH_118627","Builder Grade","Yes","On/off","0"
"SITE_1455","MECH_106305","Builder Grade","Yes","On/off","0"
"SITE_1455","MECH_46529","Builder Grade","Yes","On/off","0"
"SITE_1455","MECH_53666","Unknown","Unknown","Unknown","0"
"SITE_1456","MECH_104067","Builder Grade","Yes","On/off","0.5"
"SITE_1457","MECH_163063","Builder Grade","Yes","On/off","0"
"SITE_1457","MECH_32778","Builder Grade","Yes","On/off","0"
"SITE_1458","MECH_92809","Builder Grade","Yes","On/off","0"
"SITE_1458","MECH_70787","Builder Grade","Yes","On/off","0"
"SITE_1458","MECH_42972","Builder Grade","Yes","On/off","0"
"SITE_146","MECH_157910","Builder Grade","Yes","On/off","0.25"
"SITE_146","MECH_8875","Builder Grade","Yes","Timer","0.5"
"SITE_146","MECH_75535","Builder Grade","Yes","On/off","0.5"
"SITE_1461","MECH_15743","Builder Grade","Yes","On/off","0"
"SITE_1461","MECH_15743","Builder Grade","Yes","On/off","0"
"SITE_1461","MECH_56660","Builder Grade","No","On/off","0"
"SITE_1461","MECH_166501","Builder Grade","Yes","None","0"
"SITE_1462","MECH_111299","Builder Grade","Yes","On/off","0.17"
"SITE_1462","MECH_102290","Builder Grade","Yes","On/off","0.66"
"SITE_1463","MECH_105808","Builder Grade","Yes","Timer","0.5"
"SITE_1463","MECH_21886","Builder Grade","Yes","On/off","0.5"
"SITE_1463","MECH_156048","Builder Grade","Yes","On/off","0"
"SITE_1463","MECH_114924","Builder Grade","Yes","On/off","0"
"SITE_1464","MECH_173998","Builder Grade","Yes","On/off","0"
"SITE_1464","MECH_94930","Builder Grade","Yes","On/off","0"
"SITE_1465","MECH_9828","Builder Grade","Yes","Timer","0.75"
"SITE_1465","MECH_85036","Builder Grade","Yes","Timer","0.75"
"SITE_1465","MECH_81573","Builder Grade","Yes","Timer","0"
"SITE_1467","MECH_24476","Builder Grade","Yes","On/off","0.5"
"SITE_1467","MECH_85806","Builder Grade","Yes","On/off","0"
"SITE_1467","MECH_122079","Builder Grade","Yes","On/off","0"
"SITE_1467","MECH_73809","Builder Grade","Yes","On/off","0"
"SITE_1467","MECH_76524","Builder Grade","Yes","Timer","0"
"SITE_1469","MECH_122797","Builder Grade","Yes","On/off","0.25"
"SITE_1469","MECH_10299","Builder Grade","Yes","On/off","0.25"
"SITE_147","MECH_5688","Builder Grade","Yes","On/off","1"
"SITE_147","MECH_81408","Builder Grade","Yes","On/off","1"
"SITE_147","MECH_38218","Builder Grade","Yes","On/off","1"
"SITE_147","MECH_75155","Builder Grade","Yes","On/off","0"
"SITE_147","MECH_127188","Builder Grade","Yes","On/off","0"
"SITE_1470","MECH_163903","Builder Grade","Yes","On/off","1"
"SITE_1470","MECH_88328","Builder Grade","Yes","On/off","0"
"SITE_1470","MECH_154741","Builder Grade","Yes","On/off","2"
"SITE_1471","MECH_134174","Builder Grade","No","None","0"
"SITE_1472","MECH_71424","Builder Grade","Yes","On/off","2"
"SITE_1472","MECH_46930","Builder Grade","Yes","On/off","0"
"SITE_1472","MECH_150735","Builder Grade","Yes","On/off","0"
"SITE_1473","MECH_9354","Builder Grade","Yes","On/off","0"
"SITE_1473","MECH_136145","Builder Grade","Yes","Timer","0"
