"SiteID","Mechanical_ID","Ventilation_Grade","Ventilation_Working","Ventilation_Controls","Ventilation_Use"
"SITE_1031","MECH_109689","Panasonic or equivalent","Yes","Timer","0.125"
"SITE_1031","MECH_42695","Panasonic or equivalent","Yes","Timer","0.5"
"SITE_1031","MECH_42695","Panasonic or equivalent","Yes","Timer","0.17"
"SITE_1032","MECH_154367","Builder Grade","Yes","On/off","0"
"SITE_1032","MECH_157238","Builder Grade","Yes","On/off","0.42"
"SITE_1033","MECH_147233","Builder Grade","Yes","On/off","0"
"SITE_1033","MECH_140433","Builder Grade","Yes","On/off","0"
"SITE_1033","MECH_160637","Builder Grade","Yes","On/off","0"
"SITE_1034","MECH_127163","Builder Grade","Yes","On/off","0"
"SITE_1036","MECH_167609","Builder Grade","Yes","On/off","0.25"
"SITE_1036","MECH_45209","Builder Grade","Yes","On/off","0.5"
"SITE_1036","MECH_54188","Builder Grade","Yes","On/off","0.5"
"SITE_1039","MECH_62691","Builder Grade","Yes","On/off","1"
"SITE_1039","MECH_11541","Builder Grade","Yes","On/off","1"
"SITE_1039","MECH_50886","Builder Grade","Yes","On/off","1"
"SITE_1039","MECH_138928","Builder Grade","Yes","On/off","Unknown"
"SITE_104","MECH_109776","Panasonic or equivalent","Yes","Timer","1"
"SITE_104","MECH_27953","Builder Grade","Yes","Timer","0.1"
"SITE_104","MECH_153851","Builder Grade","Yes","On/off","1"
"SITE_104","MECH_17874","Builder Grade","Yes","Timer","1"
"SITE_104","MECH_17874","Panasonic or equivalent","Yes","Timer","1"
"SITE_1040","MECH_130318","Builder Grade","Yes","On/off","0"
"SITE_1040","MECH_21785","Builder Grade","Yes","On/off","0"
"SITE_1041","MECH_26433","Builder Grade","Yes","On/off","0.5"
"SITE_1041","MECH_64206","Builder Grade","Yes","On/off","0"
"SITE_1041","MECH_86680","Builder Grade","Yes","On/off","0"
"SITE_1041","MECH_44572","Builder Grade","Yes","On/off","0.25"
"SITE_1042","MECH_159574","Builder Grade","Yes","On/off","0"
"SITE_1042","MECH_80356","Builder Grade","Yes","Timer","0"
"SITE_1042","MECH_27129","Builder Grade","Yes","Timer","0.25"
"SITE_1042","MECH_146925","Builder Grade","Yes","Timer","0.25"
"SITE_1042","MECH_146925","Builder Grade","Yes","Timer","0.25"
"SITE_1043","MECH_50563","Panasonic or equivalent","Yes","On/off","0.08"
"SITE_1043","MECH_50563","Panasonic or equivalent","Yes","On/off","0.08"
"SITE_1043","MECH_4713","Panasonic or equivalent","Yes","On/off","0"
"SITE_1043","MECH_81832","Panasonic or equivalent","Yes","On/off","0.08"
"SITE_1044","MECH_42554","Builder Grade","Yes","On/off","0.25"
"SITE_1044","MECH_161669","Builder Grade","Yes","On/off","0.25"
"SITE_1044","MECH_161669","Builder Grade","Yes","On/off","0.25"
"SITE_1044","MECH_22053","Builder Grade","Yes","On/off","0.25"
"SITE_1045","MECH_113595","Builder Grade","Yes","On/off","0"
"SITE_1045","MECH_143849","Builder Grade","Yes","On/off","0"
"SITE_1046","MECH_136848","Builder Grade","Yes","On/off","0"
"SITE_1047","MECH_151367","Builder Grade","Yes","On/off","0.5"
"SITE_1047","MECH_36127","Builder Grade","Yes","On/off","0.5"
"SITE_1048","MECH_50473","Panasonic or equivalent","Yes","On/off","0"
"SITE_1048","MECH_92617","Unknown","No","On/off","0"
"SITE_1049","MECH_124246","Builder Grade","Yes","On/off","0.25"
"SITE_1049","MECH_71267","Builder Grade","Yes","On/off","0.5"
"SITE_105","MECH_136291","Builder Grade","Yes","On/off","0.5"
"SITE_105","MECH_43886","Builder Grade","Yes","Timer","1"
"SITE_1050","MECH_9421","Builder Grade","Yes","On/off","0"
"SITE_1050","MECH_29377","Builder Grade","Yes","On/off","1"
"SITE_1050","MECH_39393","Builder Grade","Yes","On/off","0.5"
"SITE_1050","MECH_110177","Builder Grade","Yes","Timer","0"
"SITE_1051","MECH_151089","Builder Grade","Yes","On/off","1"
"SITE_1052","MECH_10961","Builder Grade","Yes","On/off","0.1"
"SITE_1052","MECH_137984","Builder Grade","Yes","On/off","1"
"SITE_1052","MECH_75852","Builder Grade","Yes","On/off","1"
"SITE_1052","MECH_53021","Builder Grade","Yes","On/off","0.2"
"SITE_1053","MECH_11835","Builder Grade","Yes","Timer","0.17"
"SITE_1053","MECH_150","Builder Grade","Yes","Timer","8"
"SITE_1054","MECH_63227","Builder Grade","Yes","On/off","0"
"SITE_1054","MECH_118199","Builder Grade","Yes","On/off","Unknown"
"SITE_1055","MECH_62814","Builder Grade","Yes","On/off","0.01"
"SITE_1055","MECH_124840","Panasonic or equivalent","Yes","On/off","0.1"
"SITE_1055","MECH_44363","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1055","MECH_42638","Panasonic or equivalent","Yes","On/off","0.01"
"SITE_1056","MECH_73438","Builder Grade","Yes","On/off","0.1"
"SITE_1056","MECH_43526","Builder Grade","Yes","On/off","0.1"
"SITE_1056","MECH_75967","Builder Grade","Yes","On/off","1"
"SITE_1056","MECH_135949","Builder Grade","Yes","On/off","0.1"
"SITE_1056","MECH_19417","Builder Grade","Yes","On/off","0.1"
"SITE_1056","MECH_102734","Builder Grade","Yes","On/off","0.1"
"SITE_1056","MECH_17713","Builder Grade","Yes","On/off","0"
"SITE_1057","MECH_155750","Builder Grade","Yes","On/off","1"
"SITE_1057","MECH_162167","Builder Grade","Yes","On/off","0.1"
"SITE_1058","MECH_152305","Builder Grade","Yes","Timer","0"
"SITE_1058","MECH_167980","Builder Grade","Yes","Timer","0"
"SITE_1058","MECH_11697","Builder Grade","Yes","Timer","0"
"SITE_1059","MECH_27368","Builder Grade","Yes","On/off","0.5"
"SITE_1059","MECH_107419","Builder Grade","Yes","On/off","0"
"SITE_1061","MECH_159787","Panasonic or equivalent","Yes","On/off","0"
"SITE_1061","MECH_41970","Builder Grade","Yes","On/off","0.5"
"SITE_1061","MECH_41970","Panasonic or equivalent","Yes","On/off","0.16"
"SITE_1061","MECH_7059","Panasonic or equivalent","Yes","On/off","0"
"SITE_1062","MECH_116297","Builder Grade","Yes","On/off","0.2"
"SITE_1062","MECH_107501","Builder Grade","Yes","On/off","0.5"
"SITE_1063","MECH_89601","Builder Grade","Yes","On/off","0"
"SITE_1063","MECH_111537","Builder Grade","Yes","On/off","0.1"
"SITE_1063","MECH_111537","Builder Grade","Yes","On/off","0.1"
"SITE_1063","MECH_123343","Builder Grade","Yes","On/off","0"
"SITE_1063","MECH_101365","Builder Grade","Yes","On/off","0"
"SITE_1064","MECH_123869","Builder Grade","Yes","On/off","1"
"SITE_1064","MECH_2615","Builder Grade","Yes","On/off","0.5"
"SITE_1065","MECH_8902","Builder Grade","Yes","On/off","1"
