SiteID,RoomID,Mechanical_ID,System_Type,Known_to_be_Variable_Speed,Provides_Heating,Provides_Cooling,Primary_Heating_System_SelfReport,Primary_Heating_System_Prescribed,Primary_Cooling_System_SelfReport,Primary_Cooling_System_Prescribed,Central_System_Number,Mini_Split_System_Number,Fuel,Distribution_Type,Mini_Split_Has_Ducts,Ducted_Mini_Split_Rooms_Served,Mini_Split_is_Multihead,Control_Type,Zones_Served,Zones_Served_Other,Make,Model,Model_Missing,Year_of_Manufacture,Serial_Number,Energy_Star_Label_Present,Cooling_Capacity_BTUh,SEER,SEER_is_Estimated,EER,EER_is_Estimated,Ignition_Type,Fuel_Valve_Type,Venting_Type,Heating_Size_kW,Heating_Size_kW_is_Est,Heating_Size_BTUh,Heating_Size_BTUh_is_Est,Baseboard_Length,Baseboard_Length_is_Est,HSPF,HSPF_is_Est,Single_Stage_Input_Heating_Capacity_BTUh,Single_Stage_Input_Heating_Capacity_BTUh_is_Est,Single_Stage_Output_Heating_Capacity_BTUh,Single_Stage_Output_Heating_Capacity_BTUh_is_Est,COP_or_AFUE,COP_or_AFUE_is_Est,High_Input_Heating_Capacity_BTUh,High_Input_Heating_Capacity_BTUh_is_Est,High_Output_Heating_Capacity_BTUh,High_Output_Heating_Capacity_BTUh_is_Est,High_Heating_Efficiency,High_Heating_Efficiency_is_Est,Low_Input_Heating_Capacity_BTUh,Low_Input_Heating_Capacity_BTUh_is_Est,Low_Output_Heating_Capacity_BTUh,Low_Output_Heating_Capacity_BTUh_is_Est,Low_Heating_Efficiency,Low_Heating_Efficiency_is_Est,Heat_Pump_Compressor_Works_in_Heating_Mode,Lockout_HeatPump_Heating_Temp_Determined,Lockout_HeatPump_Heating_Temp,Desuperheater_Present,System_on_same_Tstat_as_Heat_Pump,System_is_Backup_for_Heatpump,Fan_Type,Filter_Type,Dehumidifer_or_Economizer_Part_of_System,Economizer,Humidifier_Present,Equipment_Use,Equipment_Use_Frequency,Days_of_Use_Per_Year,WiFi_Capable,Fireplace_Type
SITE_1,ROOM_39531,MECH_73034,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Smart thermostat,Whole Home,NA,Coleman,ac3b048f1a,NA,Unknown,w0f6567451,NA,48000,13,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_1,ROOM_28473,MECH_110270,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Natural gas,NA,NA,NA,NA,On/off,NA,NA,Superior,ssdvr3530cnm,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Standing pilot,Single Stage,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,23000,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Factory Built Insert
SITE_1,ROOM_16359,MECH_39139,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Smart thermostat,Whole Home,NA,Coleman,unknown,NA,Unknown,unknown,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,Unknown,Unknown,Unknown,Unknown,0.8,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,PSC,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_10,ROOM_9249,MECH_49486,Baseboard,No,Yes,No,Yes,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,X102,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Measured or Known,NA,NA,1,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Seldom (1-2x per month),NA,No,NA
SITE_10,ROOM_16318,MECH_101836,Window AC,No,No,Yes,NA,No,Yes,Yes,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Frigidaire,FHWW153WBE,NA,Unknown,KK20710036,No,15100,Unknown,Unknown,11.8,Known or from Nameplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,No,NA
SITE_10,ROOM_8751,MECH_118324,Portable AC,No,No,Yes,NA,No,Yes,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,DeLonghi,PAC RAN125HPEKC 3A,NA,Unknown,Unknown,No,12500,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,No,NA
SITE_10,ROOM_32539,MECH_155534,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Wood (cord),NA,NA,NA,NA,On/off,NA,NA,Unknown,Unknown,No nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,"Manual (matches, lighter, etc)",Unknown,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Open Hearth
SITE_10,ROOM_21851,MECH_25440,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Goodman,GDS80703AMA,NA,Unknown,0601745361,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,70000,Known or from Nameplate,56000,Known or from Nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Unknown,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_100,ROOM_41134,MECH_33401,Portable AC,No,No,Yes,NA,No,No,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Comfort-Cure,PSH-141D,NA,Unknown,340E2776705182902H0323,No,10000,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,No,NA
SITE_100,ROOM_40981,MECH_45999,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Bryant,280ANV048000EAAA,NA,Unknown,1416E16450,NA,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_100,ROOM_24677,MECH_148130,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Natural gas,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Monessen,Unknown,No nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Standing pilot,Modulating,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Seldom (1-2x per month),NA,No,Factory Built Insert
SITE_100,ROOM_22003,MECH_105167,Furnace,No,Yes,No,No,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Bryant,CNPVP4821ALAAAAA,NA,Unknown,0720X94366,NA,NA,NA,NA,NA,NA,Intermittent ignition,Unknown,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Unknown,Disposable thick pleated,No,NA,No,NA,NA,NA,No,NA
SITE_1000,ROOM_16306,MECH_62856,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Lennox,13ACX - 042 - 230 - 13,NA,Unknown,1910M10002,NA,42000,13,Known or from Nameplate,11.5,Model number lookup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_1000,ROOM_15550,MECH_20730,Unit Heater,No,Yes,No,No,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RCP502S,NA,2019,Unknown,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,5,Measured or Known,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Seldom (1-2x per month),NA,No,NA
SITE_1000,ROOM_14413,MECH_46649,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Natural gas,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Unknown,CDVT36NSC7,NA,Unknown,10-X-008737,NA,NA,NA,NA,NA,NA,Standing pilot,Dual Stage,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,20000,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,15000,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Factory Built Insert
SITE_1000,ROOM_15550,MECH_3464,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Lennox,G40UH-48B-090-15,NA,Unknown,5910B14237,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,88000,Known or from Nameplate,71000,Known or from Nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,ECM,Disposable thick pleated,No,NA,No,NA,NA,NA,No,NA
SITE_1001,ROOM_10692,MECH_93371,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Natural gas,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Travis Industries,Fireplace xtroardinaire 36 dv xl,NA,Unknown,324521,NA,NA,NA,NA,NA,NA,Standing pilot,Single Stage,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,42678,NA,34142,Known or from Nameplate,0.8,Known or from Nameplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Unknown
SITE_1001,ROOM_25336,MECH_72594,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Trane,4ttx6048b1000ba,NA,2008,8344u8s1f,NA,60000,17,Known or from Nameplate,15,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_1001,ROOM_13091,MECH_45910,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Natural gas,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Kozy Heat,Unknown,Nameplate is illegible,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Standing pilot,Single Stage,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,35000,Estimated,28000,Estimated,0.8,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Factory Built Insert
SITE_1001,ROOM_5711,MECH_122155,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Smart/Wi-Fi thermostat,Whole Home,NA,Trane,Tdh2d120a9v5vaa,NA,2008,8254k9p7g,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Condensing,NA,NA,Unknown,Unknown,NA,NA,NA,NA,120000,Known or from Nameplate,108000,Known or from Nameplate,0.9,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,PSC,Electronic air cleaner,No,NA,No,NA,NA,NA,No,NA
SITE_1002,ROOM_4473,MECH_106371,Baseboard,No,Yes,No,No,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,1004db,NA,2020,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Measured or Known,NA,NA,4,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1002,ROOM_37151,MECH_83541,Baseboard,No,Yes,No,No,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,1004DB,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Measured or Known,NA,NA,4,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1002,ROOM_15852,MECH_83629,Fireplace or Stove,No,Yes,No,Yes,No,NA,No,NA,NA,Wood (cord),NA,NA,NA,NA,None,NA,NA,Quadra-Fire,Unknown,No nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,"Manual (matches, lighter, etc)",Unknown,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For Heat,All the time (daily / almost daily),NA,No,Stove
SITE_1002,ROOM_12670,MECH_76094,Unit Heater,No,Yes,No,No,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,Cs152t,NA,2020,Unknown,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,1.5,Measured or Known,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1002,ROOM_36738,MECH_119058,Unit Heater,No,Yes,No,No,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,CST302T,NA,2020,Unknown,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,3,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,All the time (daily / almost daily),NA,No,NA
SITE_1002,ROOM_42232,MECH_55990,Unit Heater,No,Yes,No,No,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,Unknown,Nameplate is inaccessible,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,3,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,All the time (daily / almost daily),NA,No,NA
SITE_1002,ROOM_30551,MECH_102521,Unit Heater,No,Yes,No,No,No,NA,No,NA,NA,Propane,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Rinnai,EX22CTP,NA,Unknown,LB-002354,NA,NA,NA,NA,NA,NA,Intermittent ignition,Modulating,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,20700,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,8200,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1002,ROOM_38310,MECH_71026,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Propane,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Unknown,Unknown,No nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Standing pilot,Single Stage,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For Heat,All the time (daily / almost daily),NA,NA,Stove
SITE_1003,ROOM_5470,MECH_114311,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #3,NA,Electric,Ducts / Forced Air,NA,NA,NA,Smart/Wi-Fi thermostat,Other,Serves about half of home,Heil/ICP,N4a360akc300,NA,2011,E110914675,NA,60000,13,Known or from Nameplate,11,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_1003,ROOM_5470,MECH_30716,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Smart/Wi-Fi thermostat,Other,"About 65% of house, not sure how divided",Heil/ICP,N4a336akb200,NA,Unknown,E212506109,NA,36000,13,Known or from Nameplate,11,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_1003,ROOM_35109,MECH_169676,Unit Heater,No,Yes,No,No,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Qmark,Muh102,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,2,Estimated,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1003,ROOM_37800,MECH_60265,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Propane,Ducts / Forced Air,NA,NA,NA,Smart/Wi-Fi thermostat,Other,Zone 3 (2nd floor above grade),ICP,C9mvx060f12a1,NA,2010,A104161435,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Condensing,NA,NA,Unknown,Unknown,NA,NA,NA,NA,60000,Known or from Nameplate,42000,Known or from Nameplate,0.7,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,PSC,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_1003,ROOM_37800,MECH_171503,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #2,NA,Propane,Ducts / Forced Air,NA,NA,NA,Smart/Wi-Fi thermostat,Other,ZOne 2 ( basement  floor),ICP,C9mvx060f12a1,NA,2010,A104161429,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Condensing,NA,NA,Unknown,Unknown,NA,NA,NA,NA,60000,Estimated,42000,Estimated,0.7,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,PSC,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_1003,ROOM_37800,MECH_47603,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #3,NA,Propane,Ducts / Forced Air,NA,NA,NA,Smart/Wi-Fi thermostat,Other,Zone 1 (main floor),ICP,C9mvx100l20a1,NA,2010,A100460015,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Condensing,NA,NA,Unknown,Unknown,NA,NA,NA,NA,1e+05,Known or from Nameplate,Unknown,Known or from Nameplate,0.7,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,PSC,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_1003,ROOM_31860,MECH_122313,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Wood (cord),NA,NA,NA,NA,None,NA,NA,Ironhaus,Unknown,No nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,"Manual (matches, lighter, etc)",Unknown,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Unknown,NA,NA,Glass Open Hearth
SITE_1004,ROOM_28187,MECH_138495,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Amana,ASX130421CH,NA,Unknown,1910743717,NA,42000,13,Known or from Nameplate,12,Known or from Nameplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_1004,ROOM_32133,MECH_39486,Window AC,No,No,Yes,NA,No,Yes,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,LG,LW8016ER,NA,Unknown,012HAMG71787,No,8000,Unknown,Unknown,12,Known or from Nameplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,No,NA
SITE_1004,ROOM_16710,MECH_154533,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Natural gas,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Hearth & Home,6000BE,NA,Unknown,002497509,NA,NA,NA,NA,NA,NA,Standing pilot,Dual Stage,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,27000,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,18500,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Factory Built Insert
SITE_1004,ROOM_7703,MECH_59605,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Amana,ACVC960804CNBA,NA,Unknown,1912628435,NA,NA,NA,NA,NA,NA,Intermittent ignition,Dual Stage,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,80000,Known or from Nameplate,76880,Known or from Nameplate,Unknown,Unknown,56000,Known or from Nameplate,53816,Known or from Nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,No,ECM,Disposable thick pleated,No,NA,Yes,NA,NA,NA,No,NA
SITE_1005,ROOM_10679,MECH_129177,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Smart thermostat,Whole Home,NA,ICP,N4a336akf101,NA,2020,E200522054,NA,36000,13,Known or from Nameplate,11,Known or from Nameplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_1005,ROOM_45688,MECH_70571,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Houselux,Ef33t,NA,2017,Vh2017110001,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,1.5,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Factory Built Insert
SITE_1005,ROOM_45177,MECH_48890,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Smart thermostat,Whole Home,NA,ICP,Unknown,Nameplate is inaccessible,2019,Unknown,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,10,Measured or Known,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Unknown,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_1006,ROOM_625,MECH_140120,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Smart thermostat,Whole Home,NA,Lennox,el16xc1s036-230b03,NA,2020,5820l03401,NA,36000,15.5,Model number lookup,12.5,Model number lookup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA
