SiteID,RoomID,Mechanical_ID,System_Type,Known_to_be_Variable_Speed,Provides_Heating,Provides_Cooling,Primary_Heating_System_SelfReport,Primary_Heating_System_Prescribed,Primary_Cooling_System_SelfReport,Primary_Cooling_System_Prescribed,Central_System_Number,Mini_Split_System_Number,Fuel,Distribution_Type,Mini_Split_Has_Ducts,Ducted_Mini_Split_Rooms_Served,Mini_Split_is_Multihead,Control_Type,Zones_Served,Zones_Served_Other,Make,Model,Model_Missing,Year_of_Manufacture,Serial_Number,Energy_Star_Label_Present,Cooling_Capacity_BTUh,SEER,SEER_is_Estimated,EER,EER_is_Estimated,Ignition_Type,Fuel_Valve_Type,Venting_Type,Heating_Size_kW,Heating_Size_kW_is_Est,Heating_Size_BTUh,Heating_Size_BTUh_is_Est,Baseboard_Length,Baseboard_Length_is_Est,HSPF,HSPF_is_Est,Single_Stage_Input_Heating_Capacity_BTUh,Single_Stage_Input_Heating_Capacity_BTUh_is_Est,Single_Stage_Output_Heating_Capacity_BTUh,Single_Stage_Output_Heating_Capacity_BTUh_is_Est,COP_or_AFUE,COP_or_AFUE_is_Est,High_Input_Heating_Capacity_BTUh,High_Input_Heating_Capacity_BTUh_is_Est,High_Output_Heating_Capacity_BTUh,High_Output_Heating_Capacity_BTUh_is_Est,High_Heating_Efficiency,High_Heating_Efficiency_is_Est,Low_Input_Heating_Capacity_BTUh,Low_Input_Heating_Capacity_BTUh_is_Est,Low_Output_Heating_Capacity_BTUh,Low_Output_Heating_Capacity_BTUh_is_Est,Low_Heating_Efficiency,Low_Heating_Efficiency_is_Est,Heat_Pump_Compressor_Works_in_Heating_Mode,Lockout_HeatPump_Heating_Temp_Determined,Lockout_HeatPump_Heating_Temp,Desuperheater_Present,System_on_same_Tstat_as_Heat_Pump,System_is_Backup_for_Heatpump,Fan_Type,Filter_Type,Dehumidifer_or_Economizer_Part_of_System,Economizer,Humidifier_Present,Equipment_Use,Equipment_Use_Frequency,Days_of_Use_Per_Year,WiFi_Capable,Fireplace_Type
SITE_1268,ROOM_29085,MECH_98592,Fireplace or Stove,No,Yes,No,Yes,Yes,NA,No,NA,NA,Propane,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Quadra-Fire,HUDBAY-FS,No nameplate,2021,HF1203769,NA,NA,NA,NA,NA,NA,Standing pilot,Modulating,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,40500,Unknown,Unknown,Unknown,0.8571,Known or from Nameplate,31000,Unknown,Unknown,Unknown,0.6543,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For Heat,Seldom (1-2x per month),NA,No,Stove
SITE_1268,ROOM_43964,MECH_5063,Fireplace or Stove,No,Yes,No,Yes,Yes,NA,No,NA,NA,Propane,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Empire,DV-232-1MH,NA,Unknown,N 52 350940,NA,NA,NA,NA,NA,NA,Standing pilot,Modulating,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,32000,Known or from Nameplate,22560,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For Heat,All the time (daily / almost daily),NA,No,Stove
SITE_1268,ROOM_5220,MECH_7967,Window AC,No,No,Yes,NA,No,Yes,Yes,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Frigidaire,Unknown,Other,Unknown,Unknown,No,6000,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,No,NA
SITE_1269,ROOM_19680,MECH_34837,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Wood (cord),NA,NA,NA,NA,On/off,NA,NA,Earth Stove,3340,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,"Manual (matches, lighter, etc)",Unknown,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Unknown
SITE_1269,ROOM_19680,MECH_72687,Baseboard,No,Yes,No,No,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,4F 1000,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Measured or Known,NA,NA,4,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1269,ROOM_37600,MECH_7178,Baseboard,No,Yes,No,No,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Markel,H2704,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Measured or Known,NA,NA,4,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1269,ROOM_34552,MECH_108793,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Wood (cord),NA,NA,NA,NA,None,NA,NA,Unknown,Unknown,No nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,"Manual (matches, lighter, etc)",Unknown,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Glass Open Hearth
SITE_1269,ROOM_24412,MECH_39267,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Wood (cord),NA,NA,NA,NA,None,NA,NA,Unknown,Unknown,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,"Manual (matches, lighter, etc)",Unknown,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For Heat,Seldom (1-2x per month),NA,No,Unknown
SITE_1269,ROOM_5140,MECH_30840,Portable Heater,No,Yes,No,Unknown,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,On/off,NA,NA,Lakewood,750,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,1.5,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_127,ROOM_19309,MECH_135549,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Carrier,59sc2b060s171116,NA,2013,3913a54399,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Condensing,NA,NA,Unknown,Unknown,NA,NA,NA,NA,60000,Known or from Nameplate,56000,Known or from Nameplate,0.93,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,ECM,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_1270,ROOM_28298,MECH_93910,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,2021,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Seldom (1-2x per month),NA,No,NA
SITE_1270,ROOM_6131,MECH_109580,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,2021,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_6131,MECH_128364,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,2021,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_27655,MECH_32179,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_6230,MECH_88935,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_6230,MECH_114816,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_33956,MECH_65224,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_9279,MECH_172727,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_38041,MECH_23852,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_31999,MECH_75480,Baseboard,No,Yes,No,Yes,Yes,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,RM202,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Measured or Known,NA,NA,1.5,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
SITE_1270,ROOM_13017,MECH_17197,Unit Heater,No,Yes,No,No,No,NA,No,NA,NA,Natural gas,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Modine,PDP150AE0130SBAN,NA,Unknown,43010917094520-1441,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,150000,Known or from Nameplate,124500,Known or from Nameplate,0.83,Known or from Nameplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A little (1-2x per week),NA,No,NA
