"SiteID","Construction_Type","Framing_Type","Framing_Type_Other","Foundation_Type","Foundation_Type_Other","Total_Building_Levels","Area","Average_Height","Volume"
"SITE_1384","Frame","Wood",NA,">90% Crawlspace",NA,"1","1200","8.39829956638203","10077.9594796584"
"SITE_1385","Frame","Wood",NA,">90% Crawlspace",NA,"1","1800","8.26890772525716","14884.0339054629"
"SITE_1386","Solid masonry","Masonry",NA,">90% Slab",NA,"1","375","8","3000"
"SITE_1387","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","4200","7.88177478601379","33103.4541012579"
"SITE_1388","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","1950","7.81666923546772","15242.5050091621"
"SITE_1389","Frame","Unknown",NA,">90% Slab",NA,"1","900","9.40409075283603","8463.68167755242"
"SITE_139","Frame","Wood",NA,"Other","Basement and garage","1","2000","8.23350985862216","16467.0197172443"
"SITE_1390","Frame","Wood",NA,">90% Slab",NA,"1","870","7.5","6525"
"SITE_1391","Frame","Wood",NA,">90% Crawlspace",NA,"1.5","1027","8.45012995609723","8678.28346491185"
"SITE_1392","Frame","Wood",NA,"Mixed Crawlspace and Slab",NA,"1","1200","7.88605877295657","9463.27052754788"
"SITE_1393","Frame","Wood",NA,">90% Unconditioned Basement",NA,"2","1450","7.26292016432415","10531.23423827"
"SITE_1394","Unknown","Unknown",NA,"Unknown",NA,"Unknown","1030","8","8240"
"SITE_1395","Frame","Wood",NA,">90% Crawlspace",NA,"2","3438","9.89855239647016","34031.2231390644"
"SITE_1396","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","4800","8.63562072912612","41450.9794998054"
