"SiteID","Floor_Type","Floor_Area","Is_Space_Conditioned","Floor_Area_Is_Estimated","Perimeter","Perimeter_Is_Estimated","Type_of_Area_Below","Area_Below_Heated","Framing_Type","Framing_Size","Framing_Spacing","Framing_Spacing_Other","Crawlspace_Vents_Present","Crawlspace_Vents_Blocked","Basement_Percent_Below_Grade","Central_Heating_Equipment_in_Basement","Ducting_in_Basement","Slab_Heated","Slab_Insulated","Slab_Insulation_Position","Slab_Insulation_Type","Slab_Insulation_Thickness","Slab_Insulation_Condition","Slab_Insulation_Source","Slab_Insulation_Source_Other","Floor_Insulated","Floor_Insulation_Type","Floor_Insulation_Thickness","Floor_Insulation_Condition","Crawlspace_Walls_Insulated","Crawlspace_Wall_Insulation_Type","Crawlspace_Wall_Insulation_Condition","Crawlspace_Wall_Insulation_Thickness","Crawlspace_Wall_Insulation_Source","Crawlspace_Wall_Insulation_Source_Other","Crawlspace_Wall_Exteriors_Insulated","Crawlspace_Wall_Exterior_Insulation_Type","Crawlspace_Wall_Exterior_Insulation_Thickness","Crawlspace_Wall_Exterior_Insulation_Condition","Crawlspace_Wall_Exterior_Insulation_Source","Crawlspace_Wall_Exterior_Insulation_Source_Other","Basement_Floor_Above_Insulated","Basement_Floor_Above_Insulation_Type","Basement_Floor_Above_Insulation_Thickness","Basement_Floor_Above_Insulation_Condition","Floor_Above_Insulation_Source","Floor_Above_Insulation_Source_Other","Basement_Floor_Above_Insulation_Source","Basement_Floor_Above_Insulation_Source_Other","Floor_Insulation_U-Value","Floor_Insulation_R-Value","Floor_U-Value_for_Heat_Loss","Slab_F-Value_for_Heat_Loss","Floor_Heat_Loss_Rate_UA"
"SITE_1506","Floor over other - Frame","212",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1506","Basement","854","Yes","Measured or Known","90.1","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"40","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.309039308140556",NA,"0","0.73","47.753"
"SITE_1507","Crawlspace","Unknown","No","Measured or Known","145","Measured or Known",NA,NA,"Joist","2x8 or 4x8","30 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mineral wool batts","9","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0502989533989041","29.16","Unknown",NA,"Unknown"
"SITE_151","Basement","1552","Yes","Measured or Known","187","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"20","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","110.33"
"SITE_1510","Crawlspace","1060.4","No","Measured or Known","160.4","Measured or Known",NA,NA,"Unknown","Unknown","Unknown",NA,"Yes","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1510","Slab","497.1",NA,"Measured or Known","95.2","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","69.496"
"SITE_1511","Basement","1104","Yes","Estimated","135","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"80","No","No","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","62.1"
"SITE_1513","Basement","697","Yes","Estimated","105","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"100","Yes","No","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.75",NA,NA,"Visual inspection",NA,"0.264174265450861","15.345","0","0.73","48.3"
"SITE_1514","Crawlspace","1544.4","No","Measured or Known","159.6","Measured or Known",NA,NA,"Post and Beam","2x6 or 4x6","Other","38 inches","Yes","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","5","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0545769273487783","17.05","0.0545769273487783",NA,"84.2886065974532"
"SITE_1515","Crawlspace","2100","No","Measured or Known","200","Measured or Known",NA,NA,"Post and Beam","Unknown","Unknown",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"0.75","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.229846494698528",NA,"0.229846494698528",NA,"482.677638866909"
"SITE_1516","Floor over other - Frame","1007",NA,"Estimated",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1516","Cantilever","180",NA,"Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1516","Basement","890","Yes","Estimated","140","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"45","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","74.2"
"SITE_1517","Basement","922","No","Estimated","121","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"100","No","No","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,"0.301035437430786",NA,"0.0958026030368764","0.73","88.33"
"SITE_1518","Basement","945","Yes","Measured or Known","125.4","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"90","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.324862300819748",NA,"0","0.73","57.684"
"SITE_1519","Crawlspace","960","No","Measured or Known","152","Measured or Known",NA,NA,"Post and Beam","2x12 or 4x12","Other","99 inches","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.229846494698528",NA,"0.229846494698528",NA,"220.652634910587"
"SITE_152","Crawlspace","1000","No","Estimated","215","Unknown",NA,NA,"Post and Beam","2x6 or 4x6","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.5","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.130502407314145","10.23","0.130502407314145",NA,"130.502407314145"
"SITE_1520","Slab","512",NA,"Measured or Known","91","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","66.43"
"SITE_1520","Basement","807","Yes","Measured or Known","116","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"30","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,"0.338715646885473",NA,"0","0.73","68.44"
"SITE_1521","Basement","1209","Yes","Measured or Known","144","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"50","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","76.32"
"SITE_1522","Basement","159","No","Measured or Known","57","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"25","No","No","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","5.5","0.5",NA,NA,"Visual inspection",NA,"0.506014321444479","9.3775","0.261698113207547","0.73","41.61"
"SITE_1522","Crawlspace","555","No","Measured or Known","104","Measured or Known",NA,NA,"Post and Beam","2x10 or 4x10","16 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1523","Basement","314","No","Measured or Known","68","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"100","No","No","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.9",NA,NA,"Visual inspection",NA,"0.214512525492345","18.414","0.158089171974522","0.73","49.64"
"SITE_1524","Crawlspace","1210","No","Measured or Known","145.5","Measured or Known",NA,NA,"Joist","2x12 or 4x12","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","12","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0261612761498626","40.92","0.0261612761498626",NA,"31.6551441413338"
"SITE_1525","Crawlspace","1800","No","Measured or Known","182","Measured or Known",NA,NA,"Joist","2x10 or 4x10","Unknown",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","10","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR Camera",NA,NA,NA,"0.0307134988497675","34.1","0.0307134988497675",NA,"55.2842979295815"
"SITE_1526","Crawlspace","1040","No","Measured or Known","112","Measured or Known",NA,NA,"Joist","2x10 or 4x10","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Yes","Expanded polystyrene foam board (white)","0.75",NA,"Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1527","Slab","575",NA,"Measured or Known","96","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","70.08"
"SITE_1527","Floor over other - Frame","751",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1527","Floor over other - Frame","575",NA,"Measured or Known",NA,NA,"Garage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1527","Basement","Unknown","Yes",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,"0.300088533384375",NA,"0","0.73","Unknown"
"SITE_1528","Slab","529",NA,"Measured or Known","92","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","67.16"
"SITE_1528","Floor over other - Frame","544",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1528","Basement","1031","Yes","Measured or Known","131","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"50","No","No","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.19",NA,"0","0.73","69.43"
"SITE_1529","Slab","518",NA,"Measured or Known","91","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","66.43"
"SITE_1529","Basement","1700","Yes","Measured or Known","172","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"50","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","10",NA,NA,NA,"Visual inspection",NA,"0.130056157240273",NA,"0","0.73","91.16"
"SITE_153","Slab","1055",NA,"Measured or Known","130","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","94.9"
"SITE_1530","Cantilever","75.3",NA,"Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1530","Basement","2136.8","Yes","Measured or Known","185","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"100","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.75",NA,NA,"Visual inspection",NA,"0.19","15.345","0","0.73","85.1"
"SITE_1531","Slab","834",NA,"Measured or Known","116","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","84.68"
"SITE_1531","Floor over other - Frame","416",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1532","Slab","568.2",NA,"Measured or Known","96","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","70.08"
"SITE_1532","Floor over other - Frame","886.8",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1532","Floor over other - Frame","568.2",NA,"Measured or Known",NA,NA,"Garage","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0543065059194091","18.414","0",NA,"30.8569566634083"
"SITE_1532","Crawlspace","886.8","Yes","Measured or Known","120","Measured or Known",NA,NA,"Post and Beam","2x10 or 4x10","16 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Yes","Expanded polystyrene foam board (white)","1","2","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.120481927710843","8.3","0.120481927710843",NA,"106.843373493976"
"SITE_1534","Floor over other - Frame","901",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1534","Basement","901","Yes","Measured or Known","120.6","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"50","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.0648857291826272",NA,"0","0.73","63.918"
"SITE_1535","Crawlspace","803","No","Estimated","113","Estimated",NA,NA,"Post and Beam","2x12 or 4x12","Unknown",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"0.75","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.229846494698528",NA,"0.229846494698528",NA,"184.566735242918"
"SITE_1536","Crawlspace","1207.9","No","Measured or Known","145.4","Measured or Known",NA,NA,"Joist","2x12 or 4x12","30 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown","10","1","Yes","Expanded polystyrene foam board (white)","1","0.5","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.033667208106135","30","0.033667208106135",NA,"40.6666206714004"
"SITE_1537","Slab","330",NA,"Estimated","86","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","62.78"
"SITE_1537","Basement","950","Yes","Estimated","217","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"50","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","115.01"
"SITE_1538","Slab","1710",NA,"Estimated","276","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","201.48"
"SITE_1538","Crawlspace","269","Yes","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,"Unknown"
"SITE_1539","Crawlspace","960","Yes","Measured or Known","133.5","Measured or Known",NA,NA,"Post and Beam","2x12 or 4x12","12 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Yes","Extruded polystyrene foam board (pink or blue)","1","5","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0373831775700934","26.75","0.0373831775700934",NA,"35.8878504672897"
"SITE_154","Crawlspace","Unknown","No",NA,"Unknown",NA,NA,NA,"Post and Beam","2x6 or 4x6","24 inches on center",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","5.5","0.9","Yes","Fiberglass batts","0.9","5.5",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0592434610029918","16.8795","Unknown",NA,"Unknown"
"SITE_1540","Slab","790",NA,"Estimated","120","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","87.6"
"SITE_1541","Crawlspace","790","No","Measured or Known","115","Measured or Known",NA,NA,"Post and Beam","2x10 or 4x10","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","10","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0307134988497675","34.1","0.0307134988497675",NA,"24.2636640913163"
"SITE_1542","Slab","519.4",NA,"Measured or Known","91.4","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","66.722"
"SITE_1542","Crawlspace","1053.1","No","Measured or Known","151","Measured or Known",NA,NA,"Unknown","Unknown","Unknown",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1542","Floor over other - Frame","1053.1",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1542","Floor over other - Frame","519.4",NA,"Measured or Known",NA,NA,"Garage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0488758553274682","20.46","0",NA,"25.386119257087"
"SITE_1542","Cantilever","343.2",NA,"Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1543","Basement","1597","Yes","Estimated","159","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"100","Yes","Uninsulated","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","73.14"
"SITE_1544","Basement","1702","No","Estimated","173","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"50","No","No","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","12",NA,NA,NA,"Other","Homeowner detailed",NA,NA,"0.0742009400705053","0.73","126.29"
"SITE_1545","Basement","1414.4","Yes","Measured or Known","158.4","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"80","Yes","Insulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","8","0.25",NA,NA,"Visual inspection",NA,"0.29358386562779","6.82","0","0.73","72.864"
"SITE_1546","Crawlspace","645","No","Estimated","101","Estimated",NA,NA,"Post and Beam","2x6 or 4x6","Unknown",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.75","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0888540304674194","15.345","0.0888540304674194",NA,"57.3108496514855"
"SITE_1547","Basement","871","Yes","Estimated","118","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"90","No","No","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","54.28"
