"SiteID","RoomID","ApplianceID","TV_Screen_Type","TV_Screen_Type_Other","Make","Make_Other","Model","Vintage","Energy_Star","Primary","TV_Screen_Surface","TV_Resolution","Size","Size_Is_Estimated","Wattage","Wattage_Is_Estimated","TV_Wifi","TV_Qty_of_Streaming_Devices","TV_Qty_of_External_Media_Devices","STB_Present","DVR_Present","Room_Type"
"SITE_1937","ROOM_21774","APPL_99557","LCD – LED",NA,"Vizio",NA,"V505-G9","Unknown","No","Secondary","Flat","FHD (1080p)","50","Measured or Known","145","Estimated","Yes","0","0","Yes","No","Bedroom"
"SITE_1937","ROOM_15729","APPL_22419","LCD – LED",NA,"Vizio",NA,"#E43-E2","Unknown","No","Used less","Flat","FHD (1080p)","43","Measured or Known","145","Estimated","Yes","1","0","No","No","Bedroom"
"SITE_1937","ROOM_15729","APPL_136207","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","No","Used less","Flat","UHD (4080p) – 4K","60","Measured or Known","185","Estimated","Yes","0","0","No","No","Bedroom"
"SITE_1937","ROOM_26393","APPL_173211","LCD – LED",NA,"Insignia",NA,"NS-42D240A13","Unknown","Yes","Used less","Flat","FHD (1080p)","42","Measured or Known","135","Estimated","No","0","0","Yes","No","Bedroom"
"SITE_1938","ROOM_18729","APPL_16353","LCD – LED",NA,"Samsung",NA,"LN32B460B2D","2009","No","Used less","Flat","High Definition (720p)","32","Measured or Known","100","Measured or Known","No","0","0","Yes","No","Bedroom"
"SITE_1938","ROOM_6338","APPL_1042","Unknown",NA,"LG",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","0","1","Yes","No","Living Room"
"SITE_1938","ROOM_28138","APPL_105780","LCD – Fluorescent",NA,"Vizio",NA,"E32-A1","Unknown","No","Used less","Flat","High Definition (720p)","34","Measured or Known","Unknown","Unknown","No","0","0","No","No","Bedroom"
"SITE_1939","ROOM_16269","APPL_28569","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","42","Estimated","Unknown","Unknown","Unknown","1","1","No","No","Living Room"
"SITE_194","ROOM_38725","APPL_36070","Plasma",NA,"LG",NA,"50PN6500","2013","No","Primary","Flat","FHD (1080p)","50","Measured or Known","225","Estimated","No","0","4","Yes","No","Living Room"
"SITE_1940","ROOM_6000","APPL_95684","LCD – LED",NA,"Samsung",NA,"UN32J4000CF","Unknown","No","Primary","Flat","High Definition (720p)","32","Measured or Known","48","Measured or Known","No","1","0","No","No","Living Room"
