"SiteID","Performed_Conservation_Measures_on_Their_Own_in_Last_2_Years","Participated_in_Utility_Conservation_Program_in_Last_2_Years","Received_Tax_Credit_for_Conservation","Federal_Tax_Credit","State_Tax_Credit","Other_Tax_Credit","Conservation_Air_Sealing","Conservation_Energy_Audit","Conservation_Cooling_Equipment","Conservation_Door_Replacement","Conservation_Heating_Equipment","Conservation_Lighting","Conservation_Major_Appliance","Conservation_Major_Appliance_Type","Conservation_Replacement_Windows","Conservation_Showerhead","Conservation_Water_Heating","Conservation_Weatherization","Conservation_Ceiling_Insulation","Conservation_Duct_Insulation","Conservation_Duct_Sealing","Conservation_Floor_Insulation","Conservation_Wall_Insulation"
"SITE_692","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_693","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Clothes Washer, Dishwasher, Refrigerator / Freezer, Stove / Oven","Yes","Yes","Yes","No","Yes","No","No","No","No"
"SITE_694","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_695","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer","No","No","Yes","No","No","No","No","No","No"
"SITE_696","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_697","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","TV","No","No","No","No","No","No","No","No","No"
"SITE_698","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_699","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No",NA,"Yes","No","Yes","No","No","No","No","No","Yes"
"SITE_7","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_70","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_700","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_701","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_702","Yes","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Refrigerator / Freezer, Clothes Washer, Dryer, Stove / Oven, TV","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"SITE_703","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Refrigerator / Freezer, Dishwasher","No","No","No","No","No","No","No","No","No"
"SITE_704","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_705","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_706","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_707","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer, Dishwasher","No","No","No","No","No","No","No","No","No"
"SITE_708","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_709","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_71","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_710","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_711","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_712","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_713","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_714","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_715","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_716","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_717","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_718","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_719","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
