"SiteID","Performed_Conservation_Measures_on_Their_Own_in_Last_2_Years","Participated_in_Utility_Conservation_Program_in_Last_2_Years","Received_Tax_Credit_for_Conservation","Federal_Tax_Credit","State_Tax_Credit","Other_Tax_Credit","Conservation_Air_Sealing","Conservation_Energy_Audit","Conservation_Cooling_Equipment","Conservation_Door_Replacement","Conservation_Heating_Equipment","Conservation_Lighting","Conservation_Major_Appliance","Conservation_Major_Appliance_Type","Conservation_Replacement_Windows","Conservation_Showerhead","Conservation_Water_Heating","Conservation_Weatherization","Conservation_Ceiling_Insulation","Conservation_Duct_Insulation","Conservation_Duct_Sealing","Conservation_Floor_Insulation","Conservation_Wall_Insulation"
"SITE_1","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_10","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Dishwasher","No","No","No","No","No","No","No","No","No"
"SITE_100","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1000","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1001","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1002","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Stove / Oven","No","No","Yes","No","No","No","No","No","Yes"
"SITE_1003","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1004","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1005","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1006","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","Dishwasher, Refrigerator / Freezer, Stove / Oven, Other","No","No","No","No","No","Yes","No","No","No"
"SITE_1007","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1008","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_1009","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_101","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1010","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1011","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1012","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1013","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer, Dryer, Clothes Washer, Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_1014","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","Yes","No","No","No","No","No","No"
"SITE_1015","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1016","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1017","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1018","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1019","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_102","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1020","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1021","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No",NA,"Yes","No","No","No","Yes","No","No","No","Yes"
"SITE_1022","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1023","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1024","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1025","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Dishwasher, Clothes Washer, Dryer","No","No","No","No","No","No","No","No","No"
"SITE_1026","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1027","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Other","No","No","No","No","No","No","No","No","No"
"SITE_1028","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1029","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_103","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1030","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","Yes","No","No"
"SITE_1031","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1032","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1033","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Dishwasher","No","Yes","No","No","No","No","No","No","No"
"SITE_1034","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1035","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Clothes Washer, Dryer","Yes","No","No","No","No","No","No","No","No"
"SITE_1036","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1037","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1038","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1039","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_104","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1040","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1041","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1042","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Dishwasher","No","No","No","No","No","No","No","No","No"
"SITE_1043","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1044","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Yes","No","No","Yes","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_1045","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1046","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1047","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1048","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1049","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_105","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1050","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1051","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_1052","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1053","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1054","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1055","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1056","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","No","No","Yes","No","No"
"SITE_1057","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1058","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1059","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_106","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No",NA,"Yes","No","No","No","Yes","No","No","No","No"
"SITE_1060","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1061","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1062","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1063","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1064","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1065","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1066","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1067","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1068","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1069","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_107","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1070","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1071","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1072","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1073","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1074","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1075","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1076","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1077","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No",NA,"Yes","No","No","No","Yes","No","No","No","Yes"
"SITE_1078","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Dishwasher, Stove / Oven, Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1079","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_108","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_1080","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_1081","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1082","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","No","No","No","No","Yes","No","No"
"SITE_1083","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1084","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1085","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1086","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1087","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Other","No","No","No","No","No","No","No","No","Yes"
"SITE_1088","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1089","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_109","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1090","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1091","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1092","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1093","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1094","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1095","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Dishwasher, Refrigerator / Freezer, Clothes Washer, Stove / Oven, Dryer","No","No","No","No","No","No","No","No","No"
"SITE_1096","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1097","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1098","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1099","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes","Yes","Yes","Dishwasher","No","No","Yes","No","No","No","No","No","No"
"SITE_11","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_110","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1100","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No",NA,"No","No","No","No","No","No","No","No","Yes"
"SITE_1101","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1102","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1103","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1104","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1105","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No",NA,"Yes","No","Yes","No","No","No","No","No","No"
"SITE_1106","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1107","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1108","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1109","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_111","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","Yes","No"
"SITE_1110","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1111","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1112","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1113","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1114","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1115","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1116","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1117","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Stove / Oven","No","No","Yes","No","No","No","No","No","No"
"SITE_1118","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","Yes","No","No","No","Yes"
"SITE_1119","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_112","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1120","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1121","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1122","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1123","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1124","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1125","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","Yes","No"
"SITE_1126","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1127","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","Yes","No","No","No","No","No","No"
"SITE_1128","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Refrigerator / Freezer","No","No","No","No","No","No","No","No","Yes"
"SITE_1129","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_113","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1130","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1131","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Stove / Oven","No","No","Yes","No","Yes","No","No","Yes","No"
"SITE_1132","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1133","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1134","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1135","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Dryer","No","No","Yes","No","No","No","No","No","No"
"SITE_1136","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1137","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1138","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_1139","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_114","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1140","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1141","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1142","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1143","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1144","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1145","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1146","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Dishwasher, Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1147","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1148","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1149","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_115","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Stove / Oven, Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1150","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer, Stove / Oven, Dishwasher","No","No","Yes","No","No","No","No","No","No"
"SITE_1151","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Dishwasher","Yes","No","No","No","No","No","No","No","No"
"SITE_1152","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1153","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1154","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1155","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1156","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1157","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1158","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1159","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_116","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1160","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Dishwasher, Refrigerator / Freezer, Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_1161","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1162","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1163","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No",NA,"Yes","No","No","No","No","No","No","Yes","No"
"SITE_1164","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1165","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","No","No","No","No","Yes"
"SITE_1166","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1167","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1168","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Dishwasher","No","No","No","No","No","No","No","No","No"
