"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Vintage","Model","Energy_Star","Primary_Computer","Computer_Wifi","Internet_Access","Computer_Number_of_Screens","Computer_Primary_External_Monitor","Primary_Monitor_Size","Primary_Monitor_Size_Is_Estimated","Primary_Monitor_Type","Secondary_Monitor_External","Secondary_Monitor_Size","Secondary_Monitor_Size_Is_Estimated","Secondary_Monitor_Type","Third_Monitor_Size","Third_Monitor_Size_Is_Estimated","Computer_Printer","Computer_External_Drive","Computer_Number_of_Modems_Routers_Switches","Computer_Number_of_Other_Accessories","Computer_Other_Accessory_Description","Computer_In_single_strip","Computer_Uninterruptible_Power","Uninterruptible_Power_Size_kW","Room_Type","Computer_Hours_of_Use","Computer_Is_Left_On"
"SITE_1016","ROOM_24055","APPL_112312","Desktop","Dell",NA,"Unknown","Unknown","No","Unknown","Yes","Yes","1","Yes","22","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","1","3","Speaker,  mouse,  keyboard","Yes","Yes","Unknown","Bedroom","8","No"
"SITE_1017","ROOM_2309","APPL_22316","Desktop","Custom",NA,"Unknown","CUSTOM","No","Yes","Yes","Yes","2","Yes","30","Measured or Known","LCD – LED","Yes","24","Measured or Known","LCD – LED",NA,NA,"No","No","1","3","Headset,  vr goggles,  came controler","Yes","No","Unknown","Living Room","5","No"
"SITE_1017","ROOM_2309","APPL_22267","Desktop","Custom",NA,"Unknown","CUSTOM","No","Yes","Yes","Yes","2","Yes","42","Measured or Known","LCD – LED","Yes","32","Measured or Known","LCD – LED",NA,NA,"No","No","1","2","Headset,  vr goggles","Yes","No","Unknown","Living Room","8","Yes"
"SITE_1019","ROOM_17325","APPL_126131","Integrated","Apple",NA,"Unknown","IMAC","No","Yes","Yes","Yes","1","No","27","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","2","0",NA,"Yes","No","Unknown","Office","7","No"
"SITE_1019","ROOM_17325","APPL_61485","Laptop","Apple",NA,"Unknown","MACBOOK AIR","No","No","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"No","No","Unknown","Office","7","Yes"
"SITE_102","ROOM_1756","APPL_53961","Desktop","HP",NA,"Unknown","TP01-0014","No","Yes","Yes","Yes","1","Yes","24","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","1","Unknown","Yes","No","Unknown","Bedroom","4","No"
"SITE_1022","ROOM_33303","APPL_105605","Laptop","Microsoft",NA,"Unknown","SURFACE LAPTOP","Unknown","Yes","Yes","Yes","2","Yes","27","Measured or Known","LCD – LED","No","12","Measured or Known","Unknown",NA,NA,"Yes","No","1","0",NA,"No","No","Unknown","Office","3","Yes"
"SITE_1023","ROOM_45209","APPL_163423","Desktop","HP",NA,"Unknown","Unknown","No","Yes","No","Yes","2","Yes","22","Measured or Known","LCD – Fluorescent","Yes","22","Measured or Known","LCD – Fluorescent",NA,NA,"Yes","No","2","0",NA,"Yes","No","Unknown","Office","1","Yes"
"SITE_1024","ROOM_30076","APPL_117068","Laptop","Dell",NA,"2021","83B7SG3","No","Yes","Yes","Yes","1","No","16","Estimated","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"No","No","Unknown","Kitchen","8","No"
"SITE_1025","ROOM_9421","APPL_834","Desktop","Dell",NA,"2019","Unknown","No","Yes","Yes","Yes","1","Yes","26","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","Yes","1","1","Unknown","No","No","Unknown","Office","1","Yes"
"SITE_1025","ROOM_9421","APPL_123745","Desktop","Dell",NA,"Unknown","INSPIRON 530","No","No","Yes","Yes","1","Yes","26","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","Unknown","Unknown","Unknown","Yes","No","Unknown","Office","0","No"
"SITE_1026","ROOM_132","APPL_115044","Laptop","Dell",NA,"Unknown","PRECISION","No","No","Yes","Unknown","1","No","16","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","1","0",NA,"Yes","No","Unknown","Office","24","Yes"
"SITE_1026","ROOM_11236","APPL_9513","Desktop","Custom",NA,"Unknown","Unknown","Unknown","No","Yes","Yes","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","No","1","0",NA,"Yes","No","Unknown","Garage","24","Yes"
"SITE_1026","ROOM_11236","APPL_72855","Desktop","Dell",NA,"Unknown","PRO OA","Unknown","No","Yes","Yes","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","1","0",NA,"Yes","Yes","1.5","Garage","24","Yes"
"SITE_1026","ROOM_15248","APPL_126017","Laptop","HP",NA,"Unknown","PAVILION","No","No","Yes","Yes","2","No","14","Measured or Known","Unknown","Yes","24","Measured or Known","Unknown",NA,NA,"No","No","1","0",NA,"Yes","No","Unknown","Bedroom","24","Yes"
"SITE_1026","ROOM_132","APPL_127829","Laptop","Apple",NA,"Unknown","MACBOOK PRO","No","Yes","Yes","Yes","1","No","14","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","1","0",NA,"No","No","Unknown","Office","24","Yes"
"SITE_1026","ROOM_6545","APPL_140866","Desktop","Dell",NA,"Unknown","OPTIPLEX 7010","No","No","Yes","Yes","2","Yes","55","Measured or Known","Unknown","Yes","20","Measured or Known","Unknown",NA,NA,"No","No","1","1","Unknown","Yes","No","Unknown","Living Room","24","Yes"
"SITE_1026","ROOM_132","APPL_16348","Desktop","Dell",NA,"Unknown","XPS","Unknown","Yes","Yes","Yes","4","Yes","25","Measured or Known","Unknown","Yes","24","Measured or Known","Unknown","24","Measured or Known","Yes","No","1","Unknown","Unknown","Yes","No","Unknown","Office","24","Yes"
