"SiteID","Primary_Home","Move_In_Year","Business_Operated_Out_of_the_Home","Any_Occupants_Moved_In_within_Last_Year","Any_Occupant_Moved_Out_within_Last_Year","Planning_to_Move_Within_Six_Months","Qty_Occupants_Less_than_1_Year","Qty_Occupants_Between_1_and_5_Years","Qty_Occupants_Between_6_and_10_Years","Qty_Occupants_Between_11_and_18_Years","Qty_Occupants_Between_19_and_45_Years","Qty_Occupants_Between_46_and_64_Years","Qty_Occupants_65_Years_or_Older","Qty_Occupants_Work_Outside_the_Home","Qty_Occupants","Qty_Adults","Do_you_own_or_rent_your_home","Who_pays_the_electric_bill","Who_pays_the_gas_bill","Qty_Occupants_Moved_Out_Past_Year","Qty_Occupants_Moved_In_Past_Year","Home_Usage_Type","Household_Education_Level","Household_Education_Level_Other","Household_Income","Race_Ethnicity"
"SITE_271","Primary","2019","No","No","No","Yes","0","0","0","3","1","0","0","1","4","1","Rent","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$35,000 to less than $49,999","Black or African American"
"SITE_272","Primary","2020","Yes","Yes","No","No","1","0","0","0","2","0","0","1","3","2","Own","Occupant","Occupant",NA,"1",NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$200,000 and over","White or Caucasian"
"SITE_273","Primary","2008","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Other","trade specific","Less than $15,000 per year","White or Caucasian"
"SITE_274","Primary","2021","No","Yes","Yes","No","0","0","0","0","2","0","0","0","2","2","Rent","Landlord","Landlord","1","1",NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"Refused","Unknown"
"SITE_275","Primary","1980","No","No","Yes","Unknown","0","0","0","0","1","0","2","2","3","3","Own","Occupant","Occupant","3",NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_276","Primary","2003","No","No","No","No","0","0","0","0","4","1","0","3","5","5","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$200,000 and over","White or Caucasian, Korean"
"SITE_277","Primary","2017","No","No","No","No","0","0","0","1","0","1","0","1","2","1","Rent","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_278","Primary","2017","No","No","No","No","0","0","0","0","0","2","0","1","2","2","Rent","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian, Black or African American"
"SITE_279","Primary","2001","No","No","No","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Associate’s Degree, academic (e.g., AS, AA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_28","Primary","2007","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"Some college, no degree",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_280","Primary","2013","No","No","Yes","No","0","0","0","0","0","1","1","1","2","2","Rent","Occupant","Unknown","2",NA,NA,"Some college, no degree",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_281","Primary","2013","No","Yes","Yes","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant","2","1",NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_282","Primary","1998","No","No","No","No","0","0","0","0","0","1","1","1","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_283","Primary","2008","No","No","Yes","No","0","0","0","0","0","2","0","0","3","2","Own","Occupant","Occupant","1",NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_284","Primary","2011","No","Yes","No","No","0","0","2","0","3","0","0","2","5","3","Own","Occupant","Occupant",NA,"1",NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_285","Primary","1988","No","Unknown","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_286","Primary","2019","No","No","No","No","0","0","0","0","2","0","0","2","2","2","Rent","Occupant","Occupant",NA,NA,NA,"Professional Degree (e.g., MD, DDS, DVM, LLB, JD)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_287","Primary","2020","No","No","No","No","0","0","0","0","0","1","0","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Professional Degree (e.g., MD, DDS, DVM, LLB, JD)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_288","Primary","2019","No","No","No","No","0","0","0","0","2","0","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$200,000 and over","White or Caucasian, Japanese"
"SITE_289","Primary","2020","Yes","No","No","No","0","0","0","1","1","0","0","1","2","1","Rent","Occupant","Occupant",NA,NA,NA,"Some college, no degree",NA,"$75,000 to less than $99,999","Hispanic, Latino or Spanish, White or Caucasian"
"SITE_29","Primary","2020","No","No","Yes","No","0","0","0","0","5","0","0","1","5","5","Rent","Landlord","Unknown","1",NA,NA,"High School graduate/GED",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_290","Primary","2017","No","No","No","Unknown","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_291","Primary","2007","No","No","No","No","0","0","0","0","0","1","0","0","1","1","Rent","Occupant","Unknown",NA,NA,NA,"Less than High School",NA,"Less than $15,000 per year","White or Caucasian"
"SITE_292","Primary","2018","No","No","No","No","0","1","1","0","2","0","0","0","4","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$50,000 to less than $74,999","Hispanic, Latino or Spanish, White or Caucasian"
"SITE_293","Primary","2019","No","No","No","No","0","0","0","0","1","0","0","1","1","1","Rent","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_294","Primary","2011","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"Refused","White or Caucasian"
"SITE_295","Primary","2018","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_296","Primary","2015","No","No","No","No","0","0","0","0","2","0","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_297","Primary","1992","No","No","No","No","0","0","0","0","1","1","0","1","2","2","Own","Occupant","Unknown",NA,NA,NA,"Professional Degree (e.g., MD, DDS, DVM, LLB, JD)",NA,"$200,000 and over","White or Caucasian"
"SITE_298","Primary","2016","No","No","No","No","0","0","0","0","1","1","0","1","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_299","Primary","2019","No","No","No","No","0","2","0","0","2","0","0","0","4","2","Own","Occupant","Occupant",NA,NA,NA,"Associate’s Degree, academic (e.g., AS, AA)",NA,"$75,000 to less than $99,999","Unknown"
"SITE_3","Primary","2018","No","No","No","No","0","1","0","0","2","0","0","1","3","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_30","Primary","2014","No","No","No","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
