"SiteID","Primary_Home","Move_In_Year","Business_Operated_Out_of_the_Home","Any_Occupants_Moved_In_within_Last_Year","Any_Occupant_Moved_Out_within_Last_Year","Planning_to_Move_Within_Six_Months","Qty_Occupants_Less_than_1_Year","Qty_Occupants_Between_1_and_5_Years","Qty_Occupants_Between_6_and_10_Years","Qty_Occupants_Between_11_and_18_Years","Qty_Occupants_Between_19_and_45_Years","Qty_Occupants_Between_46_and_64_Years","Qty_Occupants_65_Years_or_Older","Qty_Occupants_Work_Outside_the_Home","Qty_Occupants","Qty_Adults","Do_you_own_or_rent_your_home","Who_pays_the_electric_bill","Who_pays_the_gas_bill","Qty_Occupants_Moved_Out_Past_Year","Qty_Occupants_Moved_In_Past_Year","Home_Usage_Type","Household_Education_Level","Household_Education_Level_Other","Household_Income","Race_Ethnicity"
"SITE_1","Primary","2016","No","No","No","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$150,000 to less than $199,999","White or Caucasian, Black or African American, Native Hawaiian or Other Pacific Islander"
"SITE_10","Primary","2021","Yes","Yes","No","No","0","0","0","0","2","0","0","1","2","2","Own","Occupant","Occupant",NA,"2",NA,"Some college, no degree",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_100","Primary","2012","No","Unknown","Unknown","Unknown","1","2","1","0","2","0","0","2","6","2","Own","Occupant","Occupant","0","0",NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1000","Primary","2015","Yes","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_1001","Primary","2008","No","No","No","No","0","0","0","0","0","2","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$200,000 and over","White or Caucasian"
"SITE_1002","Primary","2000","No","No","No","No","0","0","0","0","0","2","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$200,000 and over","White or Caucasian"
"SITE_1003","Secondary","2011","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,"Second home where I live PART of the time","High School graduate/GED",NA,"$200,000 and over","White or Caucasian"
"SITE_1004","Primary","2004","No","No","No","No","0","0","0","0","0","0","2","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"High School graduate/GED",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_1005","Primary","2020","No","No","Yes","No","0","1","0","0","2","0","0","2","3","2","Own","Occupant","Unknown","1",NA,NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1006","Primary","2004","Yes","No","No","No","0","0","0","0","2","2","0","2","4","4","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian, Hispanic, Latino or Spanish"
"SITE_1007","Primary","1996","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1008","Primary","2021","No","No","No","No","1","0","0","0","2","0","0","2","3","2","Rent","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_1009","Primary","2021","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Rent","Occupant","Occupant",NA,NA,NA,"High School graduate/GED",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_101","Primary","1986","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Associate’s Degree, occupational (e.g., AAS, AAA)",NA,"Refused","White or Caucasian"
"SITE_1010","Primary","2016","No","No","No","No","0","0","0","0","0","0","2","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Professional Degree (e.g., MD, DDS, DVM, LLB, JD)",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_1011","Primary","2017","No","No","No","No","0","1","1","0","2","0","0","0","4","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_1012","Primary","2017","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"High School graduate/GED",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_1013","Primary","2020","No","No","No","No","0","0","0","0","0","2","1","0","3","3","Own","Occupant","Unknown",NA,NA,NA,"Associate’s Degree, occupational (e.g., AAS, AAA)",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_1014","Primary","2013","No","No","No","No","0","0","0","0","0","1","0","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Some college, no degree",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1015","Primary","2020","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1016","Primary","2010","No","No","No","No","0","0","0","0","1","0","0","1","1","1","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1017","Primary","2022","No","No","No","No","0","0","0","0","3","0","0","2","3","3","Own","Occupant","Occupant",NA,NA,NA,"Some college, no degree",NA,"$100,000 to less than $149,999","White or Caucasian, Black or African American"
"SITE_1018","Primary","2006","No","No","No","No","0","0","0","0","2","0","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1019","Primary","2017","No","No","No","No","Unknown","2","2","0","2","0","0","2","6","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_102","Primary","2018","No","No","No","No","0","0","0","0","0","1","0","1","1","1","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1020","Primary","2012","Yes","No","No","No","0","1","1","0","2","0","0","2","4","2","Own","Occupant","Unknown",NA,NA,NA,"High School graduate/GED",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1021","Primary","2019","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1022","Primary","2016","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1023","Primary","2020","No","No","Yes","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown","1",NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"Refused","White or Caucasian"
"SITE_1024","Primary","2021","Yes","No","Yes","No","0","0","0","0","0","1","0","1","1","1","Own","Occupant","Occupant","1",NA,NA,"Some college, no degree",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1025","Primary","2011","No","Unknown","No","No","0","0","0","0","0","0","3","2","3","3","Own","Occupant","Occupant",NA,"1",NA,"Associate’s Degree, occupational (e.g., AAS, AAA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1026","Primary","2019","No","No","No","No","1","0","0","2","3","1","0","0","7","4","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1027","Primary","2018","No","No","No","No","0","0","0","0","0","1","1","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1028","Primary","2020","No","No","No","No","0","0","2","1","2","0","0","1","5","2","Own","Occupant","Occupant",NA,NA,NA,"High School graduate/GED",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1029","Primary","1967","No","Yes","Yes","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Occupant","1","1",NA,"High School graduate/GED",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_103","Primary","2016","No","Yes","No","No","0","1","0","0","2","0","1","0","4","3","Own","Occupant","Unknown",NA,"3",NA,"Some college, no degree",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1030","Primary","2017","No","No","No","No","0","0","0","0","0","1","1","1","2","2","Own","Occupant","Occupant",NA,NA,NA,"Some college, no degree",NA,"$200,000 and over","White or Caucasian"
"SITE_1031","Primary","2020","No","No","No","No","0","0","0","1","0","1","0","1","2","1","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1032","Primary","2021","No","No","No","No","0","0","0","0","2","0","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1033","Primary","2018","No","No","No","No","0","0","3","2","2","0","0","1","7","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1034","Primary","1967","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"High School graduate/GED",NA,"Refused","Unknown"
"SITE_1035","Primary","1987","No","No","No","No","0","0","0","0","1","0","0","1","1","1","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1036","Primary","2015","No","No","No","No","0","0","1","1","2","0","0","2","4","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1037","Primary","2014","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Rent","Occupant","Unknown",NA,NA,NA,"High School graduate/GED",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1038","Primary","1990","No","No","No","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1039","Primary","2019","No","No","No","No","0","0","1","0","0","2","0","2","3","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_104","Primary","1988","No","Yes","Yes","No","0","0","0","1","5","0","2","2","8","7","Own","Occupant","Occupant","1","1",NA,"Professional Degree (e.g., MD, DDS, DVM, LLB, JD)",NA,"$200,000 and over","White or Caucasian, Asian Indian, Chinese"
"SITE_1040","Primary","1994","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1041","Primary","2020","No","No","No","No","0","0","0","0","0","2","1","0","3","3","Own","Occupant","Occupant",NA,NA,NA,"Refused",NA,"Refused","White or Caucasian"
"SITE_1042","Primary","2016","Yes","No","No","Yes","0","0","0","0","2","0","0","1","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$200,000 and over","White or Caucasian"
"SITE_1043","Primary","2021","No","Yes","No","No","0","0","0","0","0","1","1","1","2","2","Own","Occupant","Occupant",NA,"2",NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1044","Primary","2018","No","Yes","Yes","No","0","0","0","1","0","2","0","1","3","2","Own","Occupant","Occupant","2","2",NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$200,000 and over","White or Caucasian"
"SITE_1045","Primary","2017","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"Associate’s Degree, academic (e.g., AS, AA)",NA,"Less than $15,000 per year","White or Caucasian"
"SITE_1046","Primary","2018","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_1047","Primary","2015","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1048","Primary","1991","Yes","No","No","No","0","0","0","0","2","2","0","2","4","4","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian, Korean"
"SITE_1049","Primary","2007","No","No","No","No","0","0","0","0","0","2","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Associate’s Degree, academic (e.g., AS, AA)",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_105","Primary","1998","No","No","Yes","No","0","0","0","0","1","1","1","3","3","3","Own","Occupant","Occupant","1",NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_1050","Primary","2010","No","No","No","No","0","0","0","0","0","1","1","1","2","2","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1051","Primary","2002","No","No","No","No","0","0","0","0","0","2","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1052","Primary","2018","Yes","Yes","No","No","0","1","1","0","1","0","2","1","5","3","Own","Occupant","Occupant",NA,"3",NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1053","Primary","2020","No","Yes","No","No","0","0","0","0","1","1","0","1","2","2","Own","Occupant","Occupant",NA,"1",NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1054","Primary","2020","No","Yes","No","No","0","1","3","1","1","1","0","0","7","2","Own","Occupant","Unknown",NA,"1",NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"Less than $15,000 per year","White or Caucasian"
"SITE_1055","Primary","2020","No","No","No","Yes","0","0","0","0","0","2","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Some college, no degree",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1056","Primary","2009","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1057","Primary","2007","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1058","Primary","1997","No","No","No","No","0","0","0","0","2","0","2","2","4","4","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1059","Primary","2021","No","No","No","No","0","0","0","0","0","1","0","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_106","Primary","1977","Yes","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1060","Primary","2008","No","No","No","No","0","0","0","2","2","0","0","2","4","2","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1061","Primary","2010","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1062","Primary","2020","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1063","Primary","2012","No","No","No","No","0","0","0","0","0","1","1","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$200,000 and over","White or Caucasian"
"SITE_1064","Primary","2019","No","No","No","No","0","1","0","3","2","0","0","3","6","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","Some other race, ethnicity or origin, White or Caucasian, Hispanic, Latino or Spanish"
"SITE_1065","Primary","2005","No","Yes","Yes","No","0","0","0","0","3","0","0","3","3","3","Own","Landlord","Unknown","1","1",NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1066","Secondary","1986","No","No","No","No","0","0","0","0","0","0","2","1","2","2","Own","Occupant","Unknown",NA,NA,"Second home where I live PART of the time","Doctorate Degree (e.g., PhD, EdD)",NA,"$100,000 to less than $149,999","White or Caucasian, Japanese"
"SITE_1067","Primary","1990","No","No","No","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Associate’s Degree, academic (e.g., AS, AA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1068","Primary","2016","No","No","Yes","No","0","0","0","0","1","2","0","2","3","3","Own","Occupant","Occupant","1",NA,NA,"Other","MEDICAL TRAINING CERTIFICATES","$35,000 to less than $49,999","White or Caucasian"
"SITE_1069","Primary","2009","No","No","Yes","No","0","0","0","3","1","1","0","3","5","2","Own","Occupant","Occupant","1",NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_107","Primary","2010","No","No","No","Unknown","0","0","1","0","2","1","0","3","4","3","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_1070","Primary","2020","No","No","No","No","0","0","0","0","2","0","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","Korean, White or Caucasian"
"SITE_1071","Primary","2011","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Associate’s Degree, occupational (e.g., AAS, AAA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1072","Primary","2020","No","No","No","No","0","0","0","3","2","0","0","2","5","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1073","Primary","2021","No","No","No","No","0","0","0","0","0","1","1","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1074","Primary","2019","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1075","Primary","2021","Yes","No","No","No","0","1","1","0","2","0","0","0","4","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1076","Primary","2009","No","No","No","No","0","0","1","4","1","0","0","1","6","1","Rent","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_1077","Primary","1975","No","No","Yes","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown","1",NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1078","Primary","2014","No","No","Yes","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant","1",NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1079","Primary","2021","No","No","Yes","No","0","0","0","3","1","0","0","0","4","1","Rent","Occupant","Unknown","1",NA,NA,"High School graduate/GED",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_108","Primary","2016","No","No","No","No","2","0","0","0","1","1","0","0","4","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1080","Primary","1974","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"High School graduate/GED",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1081","Primary","2014","No","No","No","No","0","0","0","0","0","1","0","0","1","1","Rent","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"Less than $15,000 per year","Black or African American"
"SITE_1082","Primary","2018","No","No","No","No","0","2","0","0","2","0","0","1","4","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1083","Primary","2021","No","No","No","No","0","1","1","0","2","0","0","1","4","2","Rent","Occupant","Occupant",NA,NA,NA,"Associate’s Degree, occupational (e.g., AAS, AAA)",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_1084","Primary","2004","No","No","No","No","0","0","0","0","0","1","1","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Associate’s Degree, academic (e.g., AS, AA)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1085","Primary","2010","No","No","No","No","0","0","0","0","2","0","0","2","2","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian, Japanese"
"SITE_1086","Primary","1998","No","No","No","No","0","0","0","0","3","0","1","2","4","4","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1087","Primary","2003","No","No","No","No","0","0","0","3","1","1","0","4","5","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_1088","Primary","2016","Yes","No","No","No","0","1","1","0","2","0","0","2","4","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1089","Primary","2009","Yes","No","No","No","0","0","0","2","3","0","0","1","5","3","Own","Occupant","Unknown",NA,NA,NA,"High School graduate/GED",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_109","Primary","1994","No","No","No","No","0","0","0","0","2","0","2","3","4","4","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$200,000 and over","White or Caucasian"
"SITE_1090","Primary","2019","No","Yes","Yes","Yes","0","0","0","0","2","0","0","2","2","2","Rent","Occupant","Occupant","1","2",NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_1091","Primary","2010","No","No","Yes","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown","1",NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"Less than $15,000 per year","White or Caucasian"
"SITE_1092","Primary","2016","No","No","No","No","0","0","0","0","0","2","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1093","Primary","2018","No","No","Yes","No","0","0","0","1","0","2","0","0","3","2","Own","Occupant","Occupant","1",NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1094","Primary","2013","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1095","Primary","2001","No","No","Yes","No","0","0","0","0","2","2","0","3","4","4","Own","Occupant","Unknown","2",NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"Refused","White or Caucasian"
"SITE_1096","Primary","2015","No","No","No","No","0","0","0","0","0","1","0","1","1","1","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1097","Primary","2016","No","No","No","No","0","8","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1098","Primary","2022","No","No","No","No","0","0","2","2","1","1","0","2","6","2","Own","Occupant","Occupant",NA,NA,NA,"Refused",NA,"Don’t know","White or Caucasian"
"SITE_1099","Primary","2021","No","Yes","Unknown","No","0","0","0","0","0","1","1","0","2","2","Own","Occupant","Unknown","0","2",NA,"Professional Degree (e.g., MD, DDS, DVM, LLB, JD)",NA,"$50,000 to less than $74,999","Native Hawaiian or Other Pacific Islander, White or Caucasian, Filipino"
"SITE_11","Primary","2001","No","No","No","No","0","0","0","2","1","1","0","0","4","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_110","Primary","2014","No","No","No","No","0","0","0","0","1","0","0","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_1100","Primary","1986","Yes","No","No","No","0","0","0","0","0","0","2","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"Refused","White or Caucasian"
"SITE_1101","Primary","1996","No","No","No","No","0","0","0","0","0","1","1","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Some college, no degree",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_1102","Primary","2022","No","No","No","No","1","1","0","0","2","0","0","2","4","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$200,000 and over","White or Caucasian"
