"SiteID","Mechanical_ID","Make","Model","Well_Pump_Missing_Model_Reason","Well_Pump_Missing_Model_Reason_Other","Vintage","Serial","Wifi_Enabled","Well_Pump_Controlled_by_VSD","Motor_Input","Units_of_Motor_Input"
"SITE_490","MECH_60776","Pro source","PSC-20-6",NA,NA,"Unknown","#22309459","No","Unknown","Unknown","Unknown"
"SITE_494","MECH_63201","Berkeley","B10P4MS07231-03",NA,NA,"Unknown","Unknown","No","Unknown","0.75","HP"
"SITE_495","MECH_77992","Grundfos","Unknown","Unknown",NA,"Unknown","Unknown","No","No","1.5","HP"
"SITE_501","MECH_142375","WELLXTROL","WX-255",NA,NA,"2014","036-20914-11494","No","Unknown","Unknown","Unknown"
"SITE_516","MECH_156223","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","2","HP"
"SITE_524","MECH_126100","Berkeley","5SN",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_533","MECH_49228","Grundfos","#99053534",NA,NA,"Unknown","Unknown","No","Unknown","3","HP"
"SITE_536","MECH_32662","Red Lion","RJS-50-PREM",NA,NA,"Unknown","Unknown","No","Unknown","0.5","HP"
"SITE_543","MECH_129806","Franklin Electric","#2821139310",NA,NA,"Unknown","Unknown","No","Yes","5","HP"
"SITE_559","MECH_84843","PROJET","SND-L",NA,NA,"Unknown","Unknown","No","Unknown","0.75","HP"
"SITE_561","MECH_27290","Challenger","#66",NA,NA,"2001","Unknown","No","Unknown","Unknown","Unknown"
"SITE_563","MECH_91126","Grundfos","B",NA,NA,"Unknown","#00219037","No","Yes","5","HP"
"SITE_570","MECH_83012","Unknown","Unknown","NAMEPLATE IS INACCESSIBLE",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_582","MECH_26644","Unknown","Unknown","Unknown",NA,"2008","Unknown","No","No","0.5","HP"
"SITE_590","MECH_153370","AO Smith","C48L2N131",NA,NA,"Unknown","Unknown","No","No","0.75","HP"
"SITE_614","MECH_105326","Challenger","PC244R",NA,NA,"Unknown","Unknown","No","No","1.25","HP"
"SITE_634","MECH_85895","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Unknown","Unknown","Unknown"
"SITE_658","MECH_61379","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Unknown","1","HP"
"SITE_660","MECH_126145","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","0.75","HP"
"SITE_667","MECH_1606","Pentair","Unknown",NA,NA,"Unknown","PID20","No","Yes","2","HP"
"SITE_674","MECH_118157","WELLXTROL","WX-255",NA,NA,"2019","#0362591940985","No","Unknown","Unknown","Unknown"
"SITE_700","MECH_10738","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_707","MECH_89612","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_722","MECH_172999","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","Unknown","No","Unknown","Unknown"
"SITE_726","MECH_51175","FlexLite","FL22",NA,NA,"2016","FL2221525","No","Unknown","Unknown","Unknown"
"SITE_735","MECH_47439","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_740","MECH_144852","Grundfos","#98315259",NA,NA,"Unknown","SA-SPM6","No","No","3","HP"
"SITE_748","MECH_75111","Franklin Electric","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_750","MECH_165697","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_752","MECH_21580","Grundfos","CU301  96438895",NA,NA,"Unknown","#7889","Unknown","No","0.33","HP"
"SITE_756","MECH_73476","Challenger","Unknown","NAMEPLATE IS INACCESSIBLE",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_761","MECH_18066","Goulds","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","Unknown","Yes","2","HP"
"SITE_763","MECH_43846","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown","Unknown"
"SITE_779","MECH_9143","Goulds","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","0.75","HP"
"SITE_780","MECH_9380","Franklin Electric","#2801054910",NA,NA,"1991","Unknown","No","No","0.5","HP"
"SITE_784","MECH_167147","CHAMPIONCR","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_790","MECH_58318","Franklin Electric","#5870204104",NA,NA,"Unknown","Unknown","No","Yes","2","HP"
"SITE_808","MECH_150287","Amtrol","ST-5",NA,NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_812","MECH_29934","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Unknown","Unknown","Unknown"
"SITE_817","MECH_16415","Franklin Electric","#2823008110",NA,NA,"Unknown","Unknown","No","No","1.5","HP"
"SITE_823","MECH_101228","Century","C48D47Z01",NA,NA,"Unknown","05517J2","No","Unknown","0.5","HP"
"SITE_834","MECH_143009","Grundfos","225QE10-190",NA,NA,"Unknown","Unknown","No","No","1","HP"
"SITE_84","MECH_9515","Grundfos","#82456903",NA,NA,"Unknown","#9436","No","No","0.75","HP"
"SITE_840","MECH_98216","Little Giant","25LGIL1100N4",NA,NA,"Unknown","15M141700009U","No","No","1.2","HP"
"SITE_849","MECH_148565","Well-Rite","WR240R",NA,NA,"1998","Unknown","No","No","Unknown","Unknown"
"SITE_853","MECH_36722","Goulds","13GS10412",NA,NA,"1995","G9404197","No","No","1.8","kW"
"SITE_855","MECH_9252","Unknown","4F10B07301",NA,NA,"1993","Unknown","No","No","0.76","HP"
"SITE_856","MECH_87052","Franklin Electric","#580002100",NA,NA,"Unknown","Unknown","No","No","1.5","HP"
"SITE_862","MECH_59687","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","Unknown","No","Unknown","Unknown"
"SITE_885","MECH_100353","Myers","HJ50S",NA,NA,"Unknown","Unknown","No","No","0.5","HP"
"SITE_900","MECH_25874","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_904","MECH_173389","FlexLite","FL28","NO NAMEPLATE",NA,"2018","FL2847363","No","No","Unknown","Unknown"
"SITE_911","MECH_30642","Franklin Electric","Unknown",NA,NA,"Unknown","Unknown","No","Unknown","1.5","HP"
"SITE_942","MECH_42128","Franklin Electric","#2801074815",NA,NA,"Unknown","Unknown","No","No","0.75","HP"
"SITE_947","MECH_139022","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_956","MECH_113007","Sears","SHALLOW WELL JET PUMP",NA,NA,"Unknown","Unknown","No","Unknown","0.5","HP"
"SITE_966","MECH_15845","DAB","S 16/30",NA,NA,"Unknown","#21420","No","No","3","HP"
"SITE_976","MECH_170052","FLEXCON","H2P45",NA,NA,"Unknown","Unknown","No","Unknown","1.5","HP"
"SITE_981","MECH_148616","Franklin Electric","SUBDRIVE20 5870205303",NA,NA,"Unknown","Unknown","Unknown","Yes","3.6","kW"
"SITE_983","MECH_153460","Grundfos","SP4”",NA,NA,"Unknown","Unknown","No","Unknown","1","HP"
"SITE_985","MECH_63680","Wellxtrol","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_991","MECH_22943","Grundfos","Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","1.5","HP"
"SITE_992","MECH_10696","Unknown","P42B0005A2",NA,NA,"Unknown","Unknown","No","Unknown","0.5","HP"
