"SiteID","Interior_or_Exterior","Door_Type","Door_Construction","Door_Mechanism","Door_Window_Type","Door_Window_Type_Other","Door_Height_Inches","Door_Width_Inches","Door_Dimensions_Are_Estimated","Door_Area","Door_U_Value","Door_UA"
"SITE_3153","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Estimated","2880","0.4","8"
"SITE_3154","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3155","Exterior","Wood Solid Core","Single","Hinge","Half window",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3156","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3157","Exterior","Unknown","Single","Slider","> 80% window (glass French door)",NA,"80","72","Estimated","5760","Unknown","Unknown"
"SITE_3157","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Estimated","2880","0.4","8"
"SITE_3158","Interior","Wood Solid Core","Single","Hinge","None",NA,"79","35","Measured or Known","2765","0.4","7.68055555555556"
"SITE_3158","Exterior","Unknown","Single","Hinge","> 80% window (glass French door)",NA,"81","38","Measured or Known","3078","Unknown","Unknown"
"SITE_3159","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3159","Exterior","Fiberglass","Double","Hinge","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","0.853333333333333","33.1851851851852"
"SITE_3160","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3161","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","1.22666666666666","47.7037037037034"
"SITE_3162","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3163","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3164","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3165","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3165","Exterior","Wood Solid Core","Single","Hinge","Unknown",NA,"80","32","Measured or Known","2560","0.4","7.11111111111111"
"SITE_3166","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"78","104","Measured or Known","8112","1.22666666666666","69.1022222222218"
"SITE_3166","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3167","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","1.22666666666666","47.7037037037034"
