"SiteID","Wall_Type","Wall_Sub_Type","Wall_Area","Wall_Area_is_Estimated","Wall_Framing_Spacing","Wall_Framing_Spacing_Other","Wall_Framing_Size","Wall_Framing_Material","Wall_Thickness","Furred_Wall","Furred_Wall_Insulated","Furred_Wall_Insulation_Type","Furred_Wall_Insulation_Thickness","Furred_Wall_Insulation_Condition","Furred_Wall_Insulation_Source","Furred_Wall_Insulation_Source_Other","Wall_Cavity_Insulated","Wall_Cavity_Insulation_Type","Wall_Cavity_Depth","Wall_Cavity_Insulation_Thickness","Wall_Cavity_Insulation_Condition","Wall_Cavity_Insulation_Source","Wall_Cavity_Source_Other","Wall_Exterior_Insulated","Wall_Exterior_Insulation_Type","Wall_Exterior_Insulation_Thickness","Wall_Exterior_Insulation_Condition","Basement_Wall_Area_Sq_Ft_Is_Estimated","Basement_Walls_-_Depth_Below_Grade","Wall_Exterior_Insulation_Source","Wall_Exterior_Insulation_Source_Other","Basement_Walls_-_Height_Above_Grade","Basement_Walls_-_Percent_Below_Grade","Wall_Insulation_R-Value","Wall_Insulation_U-Value","Basement_Walls_-_Additional_U-Value_from_Soil","Wall_U-Value_for_Heat_Loss_without_Soil","Wall_U-Value_for_Heat_Loss_including_Soil","Wall_U-Value_for_Heat_Loss","Wall_Heat_Loss_Rate_UA"
"SITE_1","Framed",NA,"2592","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0852674819554826","221.013313228611"
"SITE_10","Framed",NA,"1510","Estimated","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","0.75","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.143528385916229","216.727862733506"
"SITE_100","Framed",NA,"1727.1","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"6","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","0.0555555555555556",NA,NA,"Unknown","0.0677384901856074","116.991146399563"
"SITE_1000","Framed",NA,"2263","Estimated",NA,NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","0.9","IR Camera",NA,"Yes","Extruded polystyrene foam board (pink or blue)","0.75","1",NA,NA,"Visual inspection",NA,NA,NA,"24.4725","0.0408621922566146",NA,NA,"Unknown","0.0532500473006036","120.504857041266"
"SITE_1001","Framed",NA,"Unknown","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","IR Camera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","Unknown"
"SITE_1002","Log",NA,"1606","Unknown",NA,NA,NA,NA,"6 to 9",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.156494522691706","251.33020344288"
"SITE_1003","Log",NA,"Unknown","Unknown",NA,NA,NA,NA,"10 to 14",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"IR Camera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.156494522691706","Unknown"
"SITE_1003","Framed",NA,"Unknown","Unknown","16 inches on center",NA,"2x8","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"7.5","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.5","0.0444444444444444",NA,NA,"Unknown","0.0552454362051388","Unknown"
"SITE_1004","Framed",NA,"2039","Estimated","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"4","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.64","0.0733137829912023",NA,NA,"Unknown","0.108984136713704","222.218654759243"
"SITE_1005","Framed",NA,"Unknown","Unknown","16 inches on center",NA,"2x8","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Blown mineral wool",NA,"7.5","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.6225","0.0462481211700775",NA,NA,"Unknown","0.0563965774713873","Unknown"
"SITE_1006","Framed",NA,"464","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"6",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.280377314252698","130.095073813252"
"SITE_1006","Framed",NA,"392","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"6",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.280377314252698","109.907907187058"
"SITE_1006","Framed",NA,"464","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"6",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.280377314252698","130.095073813252"
"SITE_1006","Framed",NA,"224","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"6",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.280377314252698","62.8045183926044"
"SITE_1007","Other",NA,"1280","Measured or Known",NA,NA,NA,"Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,NA,"0.9","Unknown",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","1.0752688172043","1376.34408602151"
"SITE_1007","Masonry (Basement)",NA,"Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Yes","Fiberglass batts",NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,"8","0.5","0",NA,"0.19","0.207422044545974","0.198711022272987","0.207422044545974","Unknown"
"SITE_1008","Framed",NA,"624","Measured or Known","24 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.0946602571307528","59.0680004495897"
"SITE_1008","Adiabatic (Framed)","Wall to other living space","483","Measured or Known","16 inches on center",NA,"Unknown","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,NA,"0.9","IR Camera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0","0"
"SITE_1008","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Measured or Known","3.4",NA,NA,"0.5","0.871794871794872","0",NA,"0.28","0.709219858156028","0.335028186943081","0.709219858156028","Unknown"
"SITE_1008","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Unknown",NA,NA,"0.9",NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Measured or Known","3.4",NA,NA,"0.5","0.871794871794872","0",NA,"0.28","0.320177066768749","0.285150905995994","0.320177066768749","Unknown"
"SITE_1008","Framed",NA,"312","Measured or Known","24 inches on center",NA,"2x8","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"8","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.28","0.0366568914956012",NA,NA,"Unknown","0.0501794480132985","15.6559877801491"
"SITE_1009","Adiabatic (Framed)","Wall to other living space","577","Measured or Known","16 inches on center",NA,"Unknown","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0","0"
"SITE_1009","Framed",NA,"310","Measured or Known","Unknown",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.114057259367733","35.3577504039973"
"SITE_101","Framed",NA,"427","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.114282633283548","48.7986844120751"
"SITE_101","Framed",NA,"225","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.0946602571307528","21.2985578544194"
"SITE_101","Framed",NA,"427","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.0946602571307528","40.4199297948314"
"SITE_101","Framed",NA,"225","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.0946602571307528","21.2985578544194"
"SITE_1010","Framed",NA,"1352","Estimated","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.114057259367733","154.205414665175"
"SITE_1011","Framed",NA,"2705","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0635886117002364","172.007194649139"
"SITE_1012","Alternative Framing",NA,"936","Measured or Known","24 inches on center",NA,NA,"Wood","9.5",NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","5.5",NA,"1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.394908396088569","369.634258738901"
"SITE_1012","Framed",NA,"684","Measured or Known","24 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0635886117002364","43.4946104029617"
"SITE_1013","Framed",NA,"1178","Measured or Known","Unknown",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"6","0.9","Unknown",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","0.0555555555555556",NA,NA,"Unknown","0.0890023725923165","104.844794913749"
"SITE_1013","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Measured or Known","4.5",NA,NA,"4.5","0.5","0",NA,"0.28","0.709219858156028","0.494609929078014","0.709219858156028","Unknown"
"SITE_1014","Framed",NA,"3612","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"5.5","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.5","0.0606060606060606",NA,NA,"Unknown","0.0917627869492329","331.447186460629"
"SITE_1015","Framed",NA,"1540","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","Other","Build report","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","102.196048440845"
"SITE_1016","Framed",NA,"1179","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.0944098416687363","111.30920332744"
"SITE_1017","Framed",NA,"1782","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","1","IR Camera",NA,"Yes","Rigid Insulation Sheathing","1.5","1",NA,NA,"Visual inspection",NA,NA,NA,"29.76","0.0336021505376344",NA,NA,"Unknown","0.0363749759696892","64.8202071779862"
"SITE_1018","Masonry (Basement)","Concrete Block","Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Yes","Extruded polystyrene foam board (pink or blue)","2","0.9",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"1.75","0.740740740740741","10.7","0.0934579439252337","0.28","0.0907177360667292","0.230926820461745","0.0907177360667292","Unknown"
"SITE_1018","Masonry (Basement)","Concrete Block","Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Yes","Fiberglass batts","3.5","0.9",NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"5",NA,NA,"1.75","0.740740740740741","11.935","0.0837871805613741","0.04","0.0871806445568771","0.0522320189591904","0.0871806445568771","Unknown"
"SITE_1018","Framed",NA,"1620","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mineral wool batts",NA,"3.5","0.9","Unknown",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.6","0.0793650793650794",NA,NA,"Unknown","0.112070550915526","181.554292483153"
"SITE_1019","Framed",NA,"3346","Estimated","16 inches on center",NA,"2x8","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"7.5","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.575","0.0391006842619746",NA,NA,"Unknown","0.0517861860694679","173.27657858844"
"SITE_102","Framed",NA,"1350","Estimated","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"4","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.64","0.0733137829912023",NA,NA,"Unknown","0.0887730387198152","119.843602271751"
"SITE_1020","Framed",NA,"3352","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","222.442308034878"
"SITE_1020","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Yes","Fiberglass batts","3.5","1","Visual inspection",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Measured or Known",NA,NA,NA,NA,NA,"11.935","0.0837871805613741","0.04","0.0897714583652544","Unknown","0.0897714583652544","Unknown"
"SITE_1021","Framed",NA,"1180","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"6","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","0.0555555555555556",NA,NA,"Unknown","0.0677384901856074","79.9314184190168"
"SITE_1021","Masonry","Unknown","100","Unknown",NA,NA,NA,NA,NA,"Yes","Unknown",NA,NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.207422044545974","20.7422044545974"
"SITE_1022","Framed",NA,"1827","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Blown fiberglass",NA,"6","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.95","0.0589970501474926",NA,NA,"Unknown","0.069834948532338","127.588450968582"
"SITE_1023","Framed",NA,"1440","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.0946602571307528","136.310770268284"
"SITE_1024","Framed",NA,"Unknown","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","0.9","IR Camera",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.114282633283548","Unknown"
"SITE_1025","Framed",NA,"1926","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Open-cell spray foam",NA,"5.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.1216666666667","0.0522966965919986",NA,NA,"Unknown","0.0657273655667852","126.590906081628"
"SITE_1026","Framed",NA,"2746","Estimated","24 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.114057259367733","313.201234223796"
"SITE_1027","Framed",NA,"1332","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0852674819554826","113.576285964703"
"SITE_1028","Framed",NA,"996","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Blown fiberglass",NA,"3.5","0.75","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.8875","0.101137800252845",NA,NA,"Unknown","0.150668770198728","150.066095117934"
"SITE_1029","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Measured or Known","5.5",NA,NA,"2.7","0.670731707317073","0",NA,"0.19","0.709219858156028","0.360962636222107","0.709219858156028","Unknown"
"SITE_1029","Framed",NA,"952","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.0944098416687363","89.8781692686369"
"SITE_103","Framed",NA,"2865.6","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","190.164283384471"
"SITE_103","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Measured or Known","7",NA,NA,"2","0.777777777777778","0",NA,"0.19","0.709219858156028","0.30538219070134","0.709219858156028","Unknown"
"SITE_1030","Framed",NA,"980","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","65.0338490078104"
"SITE_1031","Framed",NA,"1511","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.0946602571307528","143.031648524567"
"SITE_1032","Adiabatic (Framed)","Wall to other living space","531","Measured or Known","16 inches on center",NA,"Unknown","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,NA,"0.9","IR Camera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0","0"
"SITE_1032","Framed",NA,"1072","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"6","1","IR Camera",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","0.0555555555555556",NA,NA,"Unknown","0.0677384901856074","72.6156614789712"
"SITE_1033","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Estimated","5.8",NA,NA,"1.8","0.763157894736842","0",NA,"0.19","0.709219858156028","0.312973124300112","0.709219858156028","Unknown"
"SITE_1033","Framed",NA,"3022","Estimated","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.114057259367733","344.68103780929"
"SITE_1034","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Estimated","7",NA,NA,"0","1","0",NA,"0.19","0.709219858156028","0.19","0.709219858156028","Unknown"
"SITE_1034","Framed",NA,"1113","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","0.9","IR Camera",NA,"Yes","Expanded polystyrene foam board (white)","1","0.75",NA,NA,"Visual inspection",NA,NA,NA,"16.15","0.0619195046439628",NA,NA,"Unknown","0.0789969584765786","87.923614784432"
"SITE_1035","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Extruded polystyrene foam board (pink or blue)",NA,NA,"1","Visual inspection",NA,"No",NA,NA,NA,"Estimated","6",NA,NA,"8","0.428571428571429","0",NA,"0.19","0.709219858156028","0.486697061803445","0.709219858156028","Unknown"
"SITE_1035","Framed",NA,"2948","Estimated","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.0946602571307528","279.058438021459"
"SITE_1036","Framed",NA,"2458.8","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"5.5","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.5","0.0606060606060606",NA,NA,"Unknown","0.0917627869492329","225.626340550774"
"SITE_1037","Masonry","Concrete Block","961","Estimated",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown","0.332225913621262","319.269102990033"
"SITE_1038","Framed",NA,"1280","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","0.9","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.0877626947997896","112.336249343731"
"SITE_104","Framed",NA,"3080","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3","0.75","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.23","0.0977517106549365",NA,NA,"Unknown","0.1493458501182","459.985218364057"
"SITE_1040","Framed",NA,"1140","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","0.9","Unknown",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.114282633283548","130.282201943245"
"SITE_1040","Framed",NA,"683","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","0.9","Unknown",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.0877626947997896","59.9419205482563"
"SITE_1041","Masonry (Basement)","ICF","Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Yes","Fiberglass batts","4","1","IR Camera",NA,"Yes","Expanded polystyrene foam board (white)",NA,NA,"0.75","Visual inspection",NA,"No",NA,NA,NA,NA,"6",NA,NA,"3","0.666666666666667","13.64","0.0733137829912023","0.05","0.02935129062589","0.0431170968752967","0.02935129062589","Unknown"
"SITE_1041","Framed",NA,"1710","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0635886117002364","108.736526007404"
"SITE_1042","Framed",NA,"2355","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","156.280320829993"
"SITE_1043","Framed",NA,"2093","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"5.5","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.755","0.0533191149026926",NA,NA,"Unknown","0.066361070416133","138.893720380966"
