"SiteID","Wall_Type","Wall_Sub_Type","Wall_Area","Wall_Area_is_Estimated","Wall_Framing_Spacing","Wall_Framing_Spacing_Other","Wall_Framing_Size","Wall_Framing_Material","Wall_Thickness","Furred_Wall","Furred_Wall_Insulated","Furred_Wall_Insulation_Type","Furred_Wall_Insulation_Thickness","Furred_Wall_Insulation_Condition","Furred_Wall_Insulation_Source","Furred_Wall_Insulation_Source_Other","Wall_Cavity_Insulated","Wall_Cavity_Insulation_Type","Wall_Cavity_Depth","Wall_Cavity_Insulation_Thickness","Wall_Cavity_Insulation_Condition","Wall_Cavity_Insulation_Source","Wall_Cavity_Source_Other","Wall_Exterior_Insulated","Wall_Exterior_Insulation_Type","Wall_Exterior_Insulation_Thickness","Wall_Exterior_Insulation_Condition","Basement_Wall_Area_Sq_Ft_Is_Estimated","Basement_Walls_-_Depth_Below_Grade","Wall_Exterior_Insulation_Source","Wall_Exterior_Insulation_Source_Other","Basement_Walls_-_Height_Above_Grade","Basement_Walls_-_Percent_Below_Grade","Wall_Insulation_R-Value","Wall_Insulation_U-Value","Basement_Walls_-_Additional_U-Value_from_Soil","Wall_U-Value_for_Heat_Loss_without_Soil","Wall_U-Value_for_Heat_Loss_including_Soil","Wall_U-Value_for_Heat_Loss","Wall_Heat_Loss_Rate_UA"
"SITE_840","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Yes","Fiberglass batts","3.5","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Measured or Known","5.8",NA,NA,"1.1","0.840579710144927","11.935","0.0837871805613741","0.05","0.106182202569941","0.0589565830183964","0.106182202569941","Unknown"
"SITE_840","Framed",NA,"156","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"3.5","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.935","0.0837871805613741",NA,NA,"Unknown","0.114282633283548","17.8280907922335"
"SITE_840","Framed",NA,"1157","Measured or Known","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mixed",NA,"4","1","IR Camera",NA,"Yes","Expanded polystyrene foam board (white)","1",NA,NA,NA,"Visual inspection",NA,NA,NA,"19.1846386946387","0.0521250369067132",NA,NA,"Unknown","0.0848250581261017","98.1425922518997"
"SITE_840","Framed",NA,"315","Measured or Known","24 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"4",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.290884018658707","91.6284658774927"
"SITE_840","Framed",NA,"381","Measured or Known","24 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mixed",NA,"4","1","IR Camera",NA,"Yes","Expanded polystyrene foam board (white)","1",NA,NA,NA,"Visual inspection",NA,NA,NA,"19.1846386946387","0.0521250369067132",NA,NA,"Unknown","0.0848250581261017","32.3183471460448"
"SITE_840","Knee Wall",NA,"213","Unknown","24 inches on center",NA,NA,"Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Closed-cell spray foam","55",NA,"1","Visual inspection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"Unknown",NA,"Unknown"
"SITE_841","Framed",NA,"1544","Estimated","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"4","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","0.0833333333333333",NA,NA,"Unknown","0.114057259367733","176.10440846378"
"SITE_842","Framed",NA,"1031","Measured or Known","24 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Blown fiberglass",NA,"3.5","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.8875","0.101137800252845",NA,NA,"Unknown","0.103930354045402","107.15219502081"
"SITE_843","Framed",NA,"904","Measured or Known","24 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mineral wool batts",NA,"3","0.75","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.8","0.0925925925925926",NA,NA,"Unknown","0.147299098308814","133.158384871168"
"SITE_844","Framed",NA,"5023","Estimated","24 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"6","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","0.0555555555555556",NA,NA,"Unknown","0.0890023725923165","447.058917531206"
