"SiteID","Occupant_Controls_Heating_Cooling","Heating_Equipment_Operator","Heating_Equipment_Used_The_Most","Heating_Setpoint","Overnight_Heating_Setpoint","Open_Windows_When_Heating","Block_Off_Part_of_Home_In_Heating_Season","Percent_of_Home_At_Different_Temp","Use_Portable_Heating_Equipment","Is_Portable_Heating_In_Storage","Cooling_Setpoint","Overnight_Cooling_Setpoint","Outdoor_Temp_for_Cooling","Use_Portable_Cooling_Equipment","Is_Portable_Cooling_Equipment_In_Storage","Use_Portable_HP_Equipment","Is_Portable_HP_Equipment_In_Storage","Use_Non_Utility_Fuels_For_Heat","Air_Quality","Location_of_Spare_Lamps","Qty_TVs","TVs_Used_Most","Primary_TV_Hours_per_Day","Primary_TV_Age","Secondary_TVs_Hours_per_Day","Secondary_TV_Age","Smart_Home_Devices_Present","Smart_Home_Hubs_in_Use","Smart_Home_Hub_Communication","Qty_Other_Smart_Hubs","Other_Smart_Hub_Names","Smart_Large_Appliances","Smart_Power_Strips","Qty_Smart_Socket_Plugs","Qty_Smart_Wall_Switches","Qty_Clothes_Washer_Loads_per_Week","Qty_Dishwasher_Loads_per_Week","Percent_Clothes_Washer_Loads_Washed_in_Hot_Water","Showerhead_Used_The_Most","Electric_Vehicle_Present","Pool_Present","Pool_Type","Pool_Location","Pool_Availability_Months_Per_Year","Pool_Area_Sq_Ft","Pool_Area_Is_Estimated","Pool_Cover","Pool_Heat_Primary_Fuel_Type","Pool_Heat_Primary_Fuel_Type_Other","Pool_Solar_Assist","Hot_Tub_Present","Hot_Tub_Area","Hot_Tub_Area_Is_Estimated","Onsite_Power_Generation_Present","Onsite_Power_Generation_Type","Onsite_Power_Generation_Type_Other","Fossil_Fuel_System_Power_Rating","Generator_Fuel","PV_Power_Rating","PV_Financing","PV_Financing_Other","Power_Storage_Present","Power_Storage_Type","Power_Storage_Type_Other","Backup_Battery_Capacity_kW","Backup_Battery_Capacity_kWh","Capacity_of_Hot_Water_Thermal_Storage"
"SITE_1282","Yes",NA,"Fireplace or Stove","70","70","No","No","Unknown","No",NA,NA,NA,"Unknown",NA,"No",NA,"No","Yes","No, no air quality problems","Downstairs","2","Unknown","4","8","1","8","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features), Phone App (using a phone application to start and stop devices and routines)",NA,NA,NA,"Unknown","Unknown","Unknown","4","7","25","UNKNOWN","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1283","Yes",NA,"Fireplace or Stove","68","65","No","No","0","No",NA,"75","75","82",NA,"No",NA,"No","Yes","No, no air quality problems","Hall closet","3","Kitchen and family","6","13","1.25","6","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","4","1","0","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1284","Yes",NA,"Furnace","80","80","Yes","No","0","No",NA,"80","80","80",NA,"No",NA,"No","Yes","No, no air quality problems","Utility room","2","Unknown","12","8","11","24","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","5","2","0","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1285","Yes",NA,"Geothermal Heat Pump","68","68","No","Yes","20","Yes","Unknown","70","70","87",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry","4","Upstairs living and family room","12","22","4","18","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","7","2","90","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1286","Yes",NA,"Fireplace or Stove","70","70","Yes","No","0","Yes","Unknown","68",NA,"77","No","Yes",NA,"No","Yes","Mildew","Bathroom sink","2","Unknown","2","10","2","15","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","5","0","0","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1287","Yes",NA,"Fireplace or Stove","70","67","Yes","Yes","5","Yes","Unknown","67",NA,"80","Yes","Yes",NA,"No","No","No, no air quality problems","Laundry","3","Living room,  downstairs","10","3","10","6","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","3","0","DOWNSTAIRS","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,"Petrol",NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1288","Yes",NA,"Central Air Source Heat Pump","Unknown","72","No","No","0","No",NA,"66",NA,"75",NA,"No",NA,"No","Yes","No, no air quality problems","Basement","1",NA,"2.5","8",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","2","0.25","0","MAIN BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"Yes","Battery",NA,"7",NA,NA
"SITE_1289","Yes",NA,"Fireplace or Stove","68","65","Yes","No","0","No",NA,"65",NA,"75",NA,"No",NA,"No","Yes","No, no air quality problems","Pantry closet","3","Primary","8","3","1","3","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","4","3","100","UPSTAIRS BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_129","Yes",NA,"Furnace","73","Unknown","No","No","0","No",NA,"76",NA,"85",NA,"No",NA,"No","No","No, no air quality problems","LAUNDRY ROOM","2","Unknown","4","Unknown","1","Unknown","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features), Phone App (using a phone application to start and stop devices and routines)",NA,NA,"Vacuum or Mop, Washer, Dryer","Unknown","Unknown","Unknown","2","3","0","MASTER BED","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1290","Yes",NA,"Furnace","73","67","No","No","0","No",NA,"73","73","83",NA,"No",NA,"No","No","No, no air quality problems","Upstair hallway closet","1",NA,"2","1",NA,NA,"Yes","Unknown","Unknown",NA,NA,"Thermostat","Unknown","Unknown","Unknown","5","3","0","DOWNSTAIR BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
