"SiteID","Occupant_Controls_Heating_Cooling","Heating_Equipment_Operator","Heating_Equipment_Used_The_Most","Heating_Setpoint","Overnight_Heating_Setpoint","Open_Windows_When_Heating","Block_Off_Part_of_Home_In_Heating_Season","Percent_of_Home_At_Different_Temp","Use_Portable_Heating_Equipment","Is_Portable_Heating_In_Storage","Cooling_Setpoint","Overnight_Cooling_Setpoint","Outdoor_Temp_for_Cooling","Use_Portable_Cooling_Equipment","Is_Portable_Cooling_Equipment_In_Storage","Use_Portable_HP_Equipment","Is_Portable_HP_Equipment_In_Storage","Use_Non_Utility_Fuels_For_Heat","Air_Quality","Location_of_Spare_Lamps","Qty_TVs","TVs_Used_Most","Primary_TV_Hours_per_Day","Primary_TV_Age","Secondary_TVs_Hours_per_Day","Secondary_TV_Age","Smart_Home_Devices_Present","Smart_Home_Hubs_in_Use","Smart_Home_Hub_Communication","Qty_Other_Smart_Hubs","Other_Smart_Hub_Names","Smart_Large_Appliances","Smart_Power_Strips","Qty_Smart_Socket_Plugs","Qty_Smart_Wall_Switches","Qty_Clothes_Washer_Loads_per_Week","Qty_Dishwasher_Loads_per_Week","Percent_Clothes_Washer_Loads_Washed_in_Hot_Water","Showerhead_Used_The_Most","Electric_Vehicle_Present","Pool_Present","Pool_Type","Pool_Location","Pool_Availability_Months_Per_Year","Pool_Area_Sq_Ft","Pool_Area_Is_Estimated","Pool_Cover","Pool_Heat_Primary_Fuel_Type","Pool_Heat_Primary_Fuel_Type_Other","Pool_Solar_Assist","Hot_Tub_Present","Hot_Tub_Area","Hot_Tub_Area_Is_Estimated","Onsite_Power_Generation_Present","Onsite_Power_Generation_Type","Onsite_Power_Generation_Type_Other","Fossil_Fuel_System_Power_Rating","Generator_Fuel","PV_Power_Rating","PV_Financing","PV_Financing_Other","Power_Storage_Present","Power_Storage_Type","Power_Storage_Type_Other","Backup_Battery_Capacity_kW","Backup_Battery_Capacity_kWh","Capacity_of_Hot_Water_Thermal_Storage"
"SITE_1","Yes",NA,"Furnace","68","62","No","No","Unknown","No",NA,"68","68","70",NA,"No",NA,"No","No","No, no air quality problems","Garage","4","Primary & secondary","3","2","0.5","12","Yes","Apple Homekit, Philips Hue, Google Home / Nest","Phone App (using a phone application to start and stop devices and routines), Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,"Refrigerator / Freezer, Thermostat, Lamps/Fixtures","0","3","0","5","5","10","PRIMARY BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_10","Yes",NA,"Furnace","68","50","No","No","0","No",NA,"70","70","85","No","Yes",NA,"No","Yes","No, no air quality problems","Unknown","1",NA,"3","1",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","2","2","0","MAIN BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_100","Yes",NA,"Central Air Source Heat Pump","70","68","Unknown","Unknown","0","Unknown","Unknown","74","74","80","No","Yes",NA,"No","Unknown","No, no air quality problems","Unknown","1",NA,"0","0",NA,NA,"Unknown","Unknown","Unknown",NA,NA,NA,"Unknown","Unknown","Unknown","6","5","85","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1000","Yes",NA,"Furnace","70","68","No","No","0","No",NA,"72","69","Unknown",NA,"No",NA,"No","No","No, no air quality problems","Garage","2","Unknown","12","7","3","16","Yes","Alexa Echo, Google Home / Nest","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features), Phone App (using a phone application to start and stop devices and routines)",NA,NA,NA,"0","0","0","4","3","50","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1001","Yes",NA,"Furnace","68","67","Yes","No","0","No",NA,"72","68","75",NA,"No",NA,"No","No","No, no air quality problems","Utility room","3","Primary and secondary","3","12","1","17","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"0","1","0","3","3","0","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1002","Yes",NA,"Fireplace or Stove","70","58","Yes","Yes","25","No",NA,NA,NA,"Unknown",NA,"No",NA,"No","Yes","Stuffy","Shed","1",NA,"0.25","2",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","0.75","0","25","MAIN","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1003","Yes",NA,"Furnace","68","66","No","Yes","0","No",NA,"74",NA,"80",NA,"No",NA,"No","Yes","No, no air quality problems","Utility","7","Primary and secondary","8","10","3","10","Yes","Other","Phone App (using a phone application to start and stop devices and routines)","2","Levitron,  Hai system",NA,"0","0","0","4","6","75","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1004","Yes",NA,"Furnace","75","68","No","Yes","5","No",NA,"77","77","85",NA,"No",NA,"No","No","No, no air quality problems","Unknown","2","Unknown","7","6","4","5","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","4","3","0","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Solar / PV System",NA,NA,NA,"10.23","Bank loan",NA,"No",NA,NA,NA,NA,NA
"SITE_1005","Yes",NA,"Furnace","68","68","No","No","0","No",NA,"75","68","80",NA,"No",NA,"No","No","No, no air quality problems","Laundry","1",NA,"3","2",NA,NA,"Yes","Google Home / Nest","Phone App (using a phone application to start and stop devices and routines)",NA,NA,NA,"0","Unknown","0","3","6","100","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1006","Yes",NA,"Central Air Source Heat Pump","70","70","No","No","0","No",NA,"70","70","80",NA,"No",NA,"No","No","No, no air quality problems","Kitchen cabinet - LED","2","Unknown","2.5","2","2.5","2","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","5","2","90","BOTH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Solar / PV System",NA,NA,NA,"4","Bank loan",NA,"No",NA,NA,NA,NA,NA
"SITE_1007","Yes",NA,"Ductless Mini-split Heat Pump","73","60","No","Yes","50","Yes","Yes","72","72","80",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry","4","Living and basement","4","Unknown","2","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","10","5","25","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1008","Yes",NA,"Furnace","70","70","Yes","No","0","Yes","Unknown",NA,NA,"Unknown",NA,"No",NA,"No","No","No, no air quality problems","None","2","Unknown","3","1","0","4","Yes","Other","Phone App (using a phone application to start and stop devices and routines)","1","Simplisafe",NA,"0","0","0","2","Unknown","100","DOWNSTAIRS","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1009","Yes",NA,"Unknown","74","71","No","No","0","No",NA,"65","65","85","No","Yes",NA,"No","No","No, no air quality problems","None","1",NA,"5","12",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_101","Yes",NA,"Furnace","70","68","No","No","Unknown","No",NA,"80","80","95",NA,"No",NA,"No","No","No, no air quality problems","Closet","1",NA,"3","5",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","2","0","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1010","Yes",NA,"Furnace","Unknown","60","No","Yes","5","No",NA,"77",NA,"90",NA,"No",NA,"No","No","Mildew, Persistent Odor","Landry cabinet","1",NA,"3","10",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","2","0","MAIN HOUSE BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1011","Yes",NA,"Furnace","68","66","No","Yes","5","No",NA,"74","72","85",NA,"No",NA,"No","No","Drafty","Garage","2","Unknown","2","8","0","14","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","10","5","0","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1012","Yes",NA,"Fireplace or Stove","72","72","No","No","0","No",NA,"72",NA,"90","No","Yes",NA,"No","Yes","No, no air quality problems","None","2","Unknown","12","5","3","5","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","Unknown","100","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1013","Yes",NA,"Boiler","68","62","Yes","No","0","No",NA,"70","70","85",NA,"No",NA,"No","Yes","No, no air quality problems","Mechanical","1",NA,"4","Unknown",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","4","0","50","UPSTAIRS","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Fossil Fuel generator – hardwired with grid disconnects, NOT an emergency use unit",NA,"6.5","Petrol",NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1014","Yes",NA,"Furnace","72","59","No","No","0","No",NA,"72",NA,"100",NA,"No",NA,"No","No","No, no air quality problems","Closet","1",NA,"1","12",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","0","0","DOWNSTAIRS","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Solar / PV System",NA,NA,NA,"Unknown","Bank loan",NA,"No",NA,NA,NA,NA,NA
"SITE_1015","Yes",NA,"Central Air Source Heat Pump","70","65","No","No","0","No",NA,"76",NA,"100",NA,"No",NA,"No","No","No, no air quality problems","Laundry","1",NA,"0.17","2",NA,NA,"Yes","Unknown","Unknown",NA,NA,"Thermostat","Unknown","Unknown","Unknown","2.5","1.5","0","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1016","Yes",NA,"Portable Heater","Unknown","65","Unknown","Yes","50","Yes","Unknown",NA,NA,"Unknown",NA,"No",NA,"No","No","No, no air quality problems","Garage","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","1","1","50","UNKNOWN","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1017","Yes",NA,"Furnace","68","68","No","No","0","Yes","Yes","74","74","85",NA,"No",NA,"No","No","No, no air quality problems","Hall closet","3","Primary","4","1","2","1","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"Unknown","0","0","2","1","0","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1018","Yes",NA,"Furnace","68","62","No","No","0","Yes","Unknown","70","70","90","Yes","Yes",NA,"No","No","Stuffy, Mildew","Basement","1",NA,"2","3",NA,NA,"No",NA,NA,"1","Water leak detection system. Govee brand.",NA,"Unknown","Unknown","Unknown","2","3","0","MAIN FLOOR","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1019","Yes",NA,"Furnace","72","72","No","No","0","No",NA,"72","72","78",NA,"No",NA,"No","No","No, no air quality problems","Pantry","3","Unknown","0.5","6","0.5","5","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","7","15","3","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","60","Measured or Known","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_102","Yes",NA,"Ductless Mini-split Heat Pump","Unknown","65","Yes","Yes","30","No",NA,"72","78","85",NA,"No",NA,"No","No","Drafty, Persistent Odor","garage","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","6","3","30","FULL TUB","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1020","Yes",NA,"Furnace","70","65","No","No","0","Yes","Yes","70",NA,"95","Yes","Yes",NA,"No","Yes","No, no air quality problems","Laundry","2","Unknown","2","Unknown","1","Unknown","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"Unknown","Unknown","Unknown","6","3.5","0","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1021","Yes",NA,"Wall Heater","68","65","Unknown","No","0","No",NA,NA,NA,"Unknown",NA,"No",NA,"No","No","No, no air quality problems","Garage","3","Dining and living","10","Unknown","3","8","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"Unknown","0","0","4","3","5","UNKNOWN","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1022","Yes",NA,"Furnace","Unknown","60","No","No","0","Yes","Unknown","74","68","78",NA,"No",NA,"No","No","No, no air quality problems","Cabinet in pantry","2","Unknown","4","6","1","9","Yes","Alexa Echo, Other","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)","2","Zygby,  Ring,","Thermostat","0","7","0","6","4","0","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1023","Yes",NA,"Furnace","Unknown","65","No","No","0","No",NA,"77",NA,"85",NA,"No",NA,"No","Yes","No, no air quality problems","Garage","1",NA,"3","2",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","2","3","0","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1024","Yes",NA,"Furnace","70","58","No","No","0","Yes","Yes","70",NA,"80","Yes","Yes",NA,"No","No","No, no air quality problems","Unknown","2","Unknown","4","17","1","10","Yes","Google Home / Nest","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"0","0","0","3","0","50","MAIN BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1025","Yes",NA,"Furnace","68","65","No","No","0","No",NA,NA,NA,"Unknown",NA,"No",NA,"No","No","No, no air quality problems","Utility","4","Bedroom and living","4","0","4","5","Yes","Alexa Echo, Google Home / Nest","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"0","0","0","3","2","33","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1026","Yes",NA,"Furnace","68","68","No","Yes","20","Yes","Unknown","72","72","88",NA,"No",NA,"No","No","No, no air quality problems","Laundry","4","Primary","8","2","1","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","10","14","20","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1027","Yes",NA,"Boiler","68","62","No","Yes","25","Yes","Yes",NA,NA,"Unknown",NA,"No",NA,"No","Yes","Drafty","Garage","1",NA,"4","10",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","5","0","0","DOWNSTAIRS","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1028","Yes",NA,"Furnace","Unknown","64","No","No","0","No",NA,"66",NA,"88",NA,"No",NA,"No","No","No, no air quality problems","Don’t have any","6","Down bedrooms","18","6","18","7","Yes","Unknown","Unknown",NA,NA,"Washer, Dryer","0","0","0","20","4","5","EQUAL","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1029","Yes",NA,"Furnace","70","70","Yes","Yes","25","Yes","Unknown","60",NA,"85",NA,"No",NA,"No","No","No, no air quality problems","None","2","Unknown","5","2","4","10","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","1","Unknown","100","UPSTAIRS","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_103","Yes",NA,"Unknown","68","68","No","No","0","Yes","Yes",NA,NA,"Unknown",NA,"No",NA,"No","Yes","No, no air quality problems","Basement","1",NA,"0","4",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","1","1","0","UPSTAIRS MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1030","Yes",NA,"Central Air Source Heat Pump","68","65","No","No","0","No",NA,"74","75","76",NA,"No",NA,"No","No","No, no air quality problems","Garage","2","Unknown","4","12","2","12","Yes","Google Home / Nest","Phone App (using a phone application to start and stop devices and routines)",NA,NA,"Thermostat","0","0","0","6","7","0","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1031","Yes",NA,"Central Air Source Heat Pump","69","62","No","No","0","No",NA,"74",NA,"100",NA,"No",NA,"No","No","No, no air quality problems","Laundry","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","2","3.5","1","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1032","Yes",NA,"Furnace","68","65","No","No","0","Yes","Unknown","80","70","85",NA,"No",NA,"No","No","No, no air quality problems","Upstairs","1",NA,"1.5","10",NA,NA,"Yes","Unknown","Unknown",NA,NA,"Thermostat","0","0","0","2.5","1","0","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1033","Yes",NA,"Furnace","68","64","No","Yes","10","Yes","Yes","68",NA,"85","Yes","Yes",NA,"No","Yes","No, no air quality problems","Laundry","3","Primary","2","4","2","Unknown","Yes","Unknown","Unknown",NA,NA,"Vacuum or Mop","Unknown","Unknown","Unknown","6","4","0","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1034","Yes",NA,"Furnace","72","68","No","No","0","No",NA,NA,NA,"Unknown",NA,"No",NA,"No","No","No, no air quality problems","Laundry/basement","1",NA,"16","1.5",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","3","0","MAIN SHOWER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1035","Yes",NA,"Ductless Mini-split Heat Pump","69","65","Yes","Yes","30","Yes","Yes","74","74","83",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry","3","Downstairs family room,  bedroom","2","Unknown","1","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","3","0","MAIN FLOOR","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown","Unknown","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1036","Yes",NA,"Furnace","68","65","No","No","0","No",NA,"75","72","85",NA,"No",NA,"No","No","No, no air quality problems","Above the washer","2","Unknown","2","6","0.5","6","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features), Phone App (using a phone application to start and stop devices and routines)",NA,NA,NA,"0","0","0","5","7","20","MASTER","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","36","Measured or Known","Yes","Solar / PV System",NA,NA,NA,"Unknown","Unknown",NA,"No",NA,NA,NA,NA,NA
"SITE_1037","Yes",NA,"Fireplace or Stove","70","68","No","Yes","10","Yes","Unknown","68","68","80","Yes","Yes",NA,"No","Yes","No, no air quality problems","Laundry","2","Unknown","3","3","0","8","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","4","Unknown","0","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Fossil Fuel generator – hardwired with grid disconnects, NOT an emergency use unit",NA,"35","Petrol",NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1038","Yes",NA,"Furnace","72","72","No","Unknown","0","Yes","Yes","76","76","83",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry","5","Primary and secondary","3","3","2","1","Yes","Google Home / Nest","Phone App (using a phone application to start and stop devices and routines), Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"0","0","0","4","7","2","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Solar / PV System",NA,NA,NA,"6.8","Bank loan",NA,"No",NA,NA,NA,NA,NA
"SITE_1039","Yes",NA,"Furnace","68","65","No","Yes","5","No",NA,"71","71","80",NA,"No",NA,"No","No","No, no air quality problems","Front closet","2","Unknown","5","9","1","10","Yes","Unknown","Unknown",NA,NA,"Thermostat","2","2","Unknown","3","4","66","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_104","Yes",NA,"Furnace","70","70","No","No","0","Yes","Yes",NA,NA,"Unknown",NA,"No",NA,"No","No","Mildew, Persistent Odor","Mechanical room","1",NA,"3","5",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","7","14","50","PRIMARY BATH","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1040","Yes",NA,"Fireplace or Stove","72","Unknown","No","Yes","20","Yes","Yes",NA,NA,"Unknown",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry","2","Unknown","6","Unknown","1","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","2","0","0","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","36","Measured or Known","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1041","Yes",NA,"Furnace","70","64","Yes","Yes","20","Yes","Yes","72","74","85",NA,"No",NA,"No","Yes","No, no air quality problems","Box in the garage","2","Primary","24","5","3","1","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,"Vacuum or Mop","Unknown","0","0","3","2","0","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1042","Yes",NA,"Furnace","Unknown","66","No","No","0","No",NA,"74","71","88",NA,"No",NA,"No","No","No, no air quality problems","None","1",NA,"0","5",NA,NA,"Yes","Unknown","Unknown",NA,NA,"Washer, Dryer","0","0","0","7","1","25","EQUALLY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","50","Measured or Known","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1043","Yes",NA,"Furnace","Unknown","62","Yes","No","0","Yes","Unknown","74","72","95",NA,"No",NA,"No","No","No, no air quality problems","None","3","Office and living","4.5","1","0.5","1","Yes","Unknown","Unknown",NA,NA,"Washer, Dryer","0","0","0","4","3","50","EQUALLY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1044","Yes",NA,"Furnace","Unknown","62","No","Yes","10","Yes","Unknown","74","69","83","Unknown","Yes",NA,"No","No","Mildew","Downstairs","2","Unknown","3","4","0.1","12","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","4.5","5","0","SAME","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","30","Estimated","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1045","Yes",NA,"Furnace","68","64","No","Yes","40","Yes","Unknown",NA,NA,"Unknown",NA,"No",NA,"No","No","No, no air quality problems","Laundry","1",NA,"0","8",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","0.8","Unknown","20","UNKNOWN","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1046","Yes",NA,"Baseboard","68","68","No","No","0","No",NA,NA,NA,"85",NA,"No",NA,"No","No","No, no air quality problems","Unknown","2","Unknown","15","4","0.5","4","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","1","1","0","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
