"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Stove_Oven_Missing_Model_Reason","Stove_Oven_Missing_Model_Reason_Other","Vintage","Serial","Wifi_Enabled","Primary","Stove_Fuel","Stove_Type","Stove_Type_Other","Stove_Number_Burners","Oven_Fuel","Oven_Fuel_Other","Oven_Type","Oven_Single_Or_Double","Room_Type"
"SITE_1022","ROOM_45248","APPL_137147","Oven (standalone / wall)","Whirlpool",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1023","ROOM_23428","APPL_136868","Stove / Oven combo","General Electric",NA,"JB910S L6SS",NA,NA,"Unknown","MR2490650","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1024","ROOM_30076","APPL_160689","Stove / Oven combo","General Electric",NA,"JB750EJ2ES",NA,NA,"Unknown","RG260076Q","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1025","ROOM_23312","APPL_88139","Stove / Oven combo","Frigidaire",NA,"FPES3085KFC",NA,NA,"Unknown","NF02428614","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Both","Single Oven","Living Room"
"SITE_1026","ROOM_18850","APPL_148732","Stove / Oven combo","General Electric",NA,"JBS86SP3SS",NA,NA,"Unknown","TS0983290","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1027","ROOM_30027","APPL_133838","Stove / Oven combo","Kenmore",NA,"#66575133301",NA,NA,"Unknown","RR3112014","No","Yes","Propane","Combustion",NA,"4","Propane",NA,"Radiant","Single Oven","Kitchen"
"SITE_1028","ROOM_38264","APPL_127002","Stove / Oven combo","General Electric",NA,"JGBS66DEK3WW",NA,NA,"Unknown","MM108003P","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1029","ROOM_23507","APPL_155197","Stove / Oven combo","Samsung",NA,"NE59R4321SS/AA",NA,NA,"2020","0GG67DAN809509B","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_103","ROOM_10789","APPL_6668","Stove / Oven combo","Whirlpool",NA,"RY160LXTQ02",NA,NA,"Unknown","D31760865","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1030","ROOM_32047","APPL_45764","Stove / Oven combo","Whirlpool",NA,"WEE745H0LZ1",NA,NA,"Unknown","RB0216944","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1031","ROOM_653","APPL_165298","Stove / Oven combo","Whirlpool",NA,"WFE515S0JS0",NA,NA,"2020","RX0330540","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1032","ROOM_1889","APPL_168529","Stove / Oven combo","HotPoint",NA,"RG3533WEH4WW",NA,NA,"Unknown","ZG129008R","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1033","ROOM_30980","APPL_166950","Stove / Oven combo","General Electric",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Unknown","Natural Gas","Combustion",NA,"9","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1034","ROOM_37510","APPL_107790","Stove / Oven combo","Amana",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1035","ROOM_29893","APPL_148748","Stove / Oven combo","Samsung",NA,"NES8F9500SS",NA,NA,"2013","11967DDDC01507F","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Convection","Single Oven","Kitchen"
