"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Refrigerator_Freezer_Missing_Model_Reason","Vintage","Serial","Energy_Star","Wifi_Enabled","Primary","Size_Cubic_Feet","Size_Is_Estimated","Percent_of_Year_Used","Door_in_Door","Integrated_Screen","Icemaker_Present","Icemaker_type","Icemaker_Working","Room_Type"
"SITE_60","ROOM_4266","APPL_145634","Chest Freezer","General Electric",NA,"FCMS FCM7",NA,"Unknown","Unknown","Yes","No","No","7","Measured or Known","100",NA,"No","No",NA,NA,"Kitchen"
"SITE_600","ROOM_20876","APPL_37194","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS6R5EMB8",NA,"Unknown","4A63916786","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_600","ROOM_46462","APPL_131451","Chest Freezer","General Electric",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","15.5","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_601","ROOM_33972","APPL_32155","R/F Bottom Freezer","LG",NA,"LFCS22520S/05",NA,"2021","110MREN2J492","No","No","Yes","25.5","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_602","ROOM_1770","APPL_52938","R/F Bottom Freezer","Samsung",NA,"RFN220NCTASG",NA,"2021","Unknown","No","No","Yes","35.1","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_602","ROOM_17479","APPL_85870","R/F Bottom Freezer","RCA",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","Yes","7","Measured or Known","100","No","No","No",NA,NA,"Mechanical"
"SITE_603","ROOM_397","APPL_91272","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFU09M2AW2",NA,"2002","WB22436446","No","No","No","17.7","Measured or Known","100",NA,"No","No",NA,NA,"Laundry"
"SITE_603","ROOM_15969","APPL_80798","R/F Top Freezer","Americana",NA,"A3316ABSDRWW",NA,"Unknown","HS756300","No","No","Yes","15.6","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_604","ROOM_14662","APPL_165052","R/F Top Freezer","General Electric",NA,"GTH16BBXZLWW",NA,"1997","MS825880","Unknown","No","Yes","16","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_605","ROOM_33508","APPL_29485","R/F Bottom Freezer","KitchenAid",NA,"KBFS20EVMS13",NA,"2013","K30516061","Yes","No","Yes","20","Unknown","100","No","No","Yes","In freezer","Unknown","Kitchen"
"SITE_606","ROOM_15890","APPL_158540","R/F Top Freezer","Kenmore",NA,"#25368893010",NA,"2012","BA24844511","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_607","ROOM_3584","APPL_144298","R/F Bottom Freezer","LG",NA,"LFX25974SW/03",NA,"2013","305TRPT1S248","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_607","ROOM_5496","APPL_156732","Chest Freezer","Kenmore",NA,"#25321401101",NA,"Unknown","WB22821086","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Garage"
"SITE_608","ROOM_37429","APPL_41015","R/F Bottom Freezer","General Electric",NA,"GLE12HSPARSS",NA,"Unknown","MS713833","No","No","Yes","15","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_609","ROOM_22623","APPL_34615","Side by Side w/ Bottom Freezer","Whirlpool",NA,"WRX735SDBM04",NA,"Unknown","K71409551","Unknown","No","Yes","24.5","Measured or Known","100","No","Yes","Yes","Through door","Yes","Kitchen"
"SITE_609","ROOM_22623","APPL_1494","Chest Freezer","Kenmore",NA,"#25312502410",NA,"Unknown","1D50437577","No","No","No","7","Measured or Known","100",NA,"No","No",NA,NA,"Kitchen"
"SITE_61","ROOM_4353","APPL_115135","Side by Side Refrigerator/Freezer","Whirlpool",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","Yes","20","Estimated","100","No","No","Yes","Through door","No","Kitchen"
"SITE_61","ROOM_25421","APPL_126342","Chest Freezer","Unknown",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","30","Estimated","100",NA,"Unknown","No",NA,NA,"Garage"
"SITE_610","ROOM_21268","APPL_124521","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FFSS2615TP0",NA,"2017","4A74631063","Yes","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_611","ROOM_14387","APPL_153545","R/F Bottom Freezer","Samsung",NA,"RF197ACRS",NA,"2014","Y4G54ADF300682E","No","No","No","18","Measured or Known","100","No","No","No",NA,NA,"Family Room"
"SITE_611","ROOM_15008","APPL_75988","R/F Bottom Freezer","Kenmore",NA,"#79572183315",NA,"Unknown","312KR00089","No","No","Yes","34","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_611","ROOM_4777","APPL_146188","R/F Bottom Freezer","Samsung",NA,"RF197ACRS",NA,"Unknown","Y4G54ADF300670Z","No","No","No","21","Measured or Known","100","No","No","No",NA,NA,"Living Room"
"SITE_612","ROOM_9011","APPL_90214","R/F Top Freezer","General Electric",NA,"TBX18JATJRWH",NA,"1996","RL571057","No","No","Yes","18","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_613","ROOM_2899","APPL_120363","R/F Bottom Freezer","Fisher & Paykel",NA,"#20550",NA,"2014","BLQ808900","Yes","No","Yes","20","Estimated","100","No","No","No",NA,NA,"Kitchen"
"SITE_614","ROOM_24032","APPL_128784","Mini-Fridge","Franklin chef",NA,"FC5O1VW",NA,"Unknown","#033603571","No","No","No","5","Measured or Known","Unknown",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_614","ROOM_16254","APPL_141118","Upright Full Size Single Freezer Only","Frigidaire",NA,"LFFU1424DW2",NA,"2004","WB4283I304","No","No","No","14","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_614","ROOM_18990","APPL_81016","R/F Top Freezer","Kenmore",NA,"#25360412614",NA,"2018","BA80413609","No","No","No","18","Measured or Known","100","No","No","No",NA,NA,"Outbuilding / Addition"
"SITE_614","ROOM_22575","APPL_119458","Upright Full Size Single Freezer Only","Kenmore",NA,"#25328712809",NA,"2012","WB24549466","Yes","No","No","20","Estimated","100",NA,"No","No",NA,NA,"Laundry"
"SITE_614","ROOM_34632","APPL_122580","Side by Side Refrigerator/Freezer","Whirlpool",NA,"ED5HAXVS01",NA,"Unknown","SY0422636","No","No","Yes","20","Estimated","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_615","ROOM_613","APPL_82227","R/F Top Freezer","General Electric",NA,"TB15SLBR AD",NA,"Unknown","GD783534","No","No","No","16.5","Measured or Known","100","No","No","No",NA,NA,"Entry/Entryway"
"SITE_615","ROOM_34810","APPL_70413","R/F Top Freezer","Frigidaire",NA,"FPES19TPL0",NA,"Unknown","LA13609448","No","No","Yes","16","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_616","ROOM_46034","APPL_10139","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS6HR35KW0",NA,"2009","4A91205411","No","No","Yes","26.5","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_616","ROOM_42963","APPL_102738","Chest Freezer","General Electric",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","7.8","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_617","ROOM_15732","APPL_58912","Side by Side w/ Bottom Freezer","Samsung",NA,"RF28HMEDBSR",NA,"2017","065L43BJA08317T","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_617","ROOM_27693","APPL_103064","Mini-Fridge","HiSense",NA,"RT33D6AAE",NA,"Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Office"
"SITE_618","ROOM_590","APPL_106680","R/F Bottom Freezer","Kenmore",NA,"#79571012010",NA,"2010","009KR0055","No","No","Yes","48.2","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_618","ROOM_43646","APPL_4009","Side by Side Refrigerator/Freezer","Kenmore",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","41.2","Measured or Known","100","No","No","Yes","Through door","Yes","Garage"
"SITE_619","ROOM_38423","APPL_132505","R/F Bottom Freezer","Sub-Zero",NA,"736TC",NA,"2008","Unknown","Yes","No","Yes","20.4","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
