"SiteID","RoomID","ApplianceID","Model","Vintage","Wifi_Enabled","Used_for_DVD_or_Bluray","Room_Type"
"SITE_1926","ROOM_25173","APPL_162103","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_193","ROOM_2067","APPL_24244","NINTENDO WII","Unknown","Yes","Unknown","Kitchen"
"SITE_193","ROOM_29822","APPL_158165","MICROSOFT XBOX 360","Unknown","Yes","No","Living Room"
"SITE_1932","ROOM_41250","APPL_78875","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1932","ROOM_11726","APPL_150430","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_1933","ROOM_991","APPL_90882","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1936","ROOM_41661","APPL_54588","NINTENDO WII","Unknown","Yes","Yes","Mechanical"
"SITE_1937","ROOM_15729","APPL_85888","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_194","ROOM_38725","APPL_170447","NINTENDO WII-U","Unknown","Yes","No","Living Room"
"SITE_1940","ROOM_6000","APPL_101167","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1947","ROOM_15398","APPL_94130","NINTENDO WII-U","Unknown","Yes","Unknown","Basement"
"SITE_1947","ROOM_25108","APPL_89695","NINTENDO SWITCH","Unknown","Yes","No","Family Room"
"SITE_1948","ROOM_16839","APPL_13604","NINTENDO WII","2006","Yes","Yes","Family Room"
"SITE_1948","ROOM_16839","APPL_104855","MICROSOFT XBOX ONE","2020","Yes","Yes","Family Room"
"SITE_195","ROOM_8957","APPL_98419","NINTENDO WII","Unknown","Yes","Unknown","Living Room"
"SITE_195","ROOM_8957","APPL_41100","MICROSOFT XBOX","Unknown","No","Unknown","Living Room"
"SITE_1956","ROOM_25302","APPL_172495","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1958","ROOM_28079","APPL_92781","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_1958","ROOM_25069","APPL_63943","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_1973","ROOM_26179","APPL_100794","SONY PLAYSTATION4","Unknown","Yes","No","Family Room"
"SITE_1974","ROOM_41543","APPL_77948","MICROSOFT XBOX 360","Unknown","Yes","No","Family Room"
"SITE_1975","ROOM_41753","APPL_14282","SONY PLAYSTATION3","Unknown","Yes","No","Bedroom"
"SITE_1975","ROOM_41753","APPL_20591","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1979","ROOM_43701","APPL_143903","MICROSOFT XBOX ONE","Unknown","Yes","No","Bedroom"
"SITE_198","ROOM_5018","APPL_13382","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_198","ROOM_5018","APPL_140338","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_198","ROOM_5018","APPL_13117","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_198","ROOM_20110","APPL_150092","MICROSOFT XBOX ONE","2017","Yes","Yes","Office"
"SITE_1981","ROOM_39449","APPL_47599","MICROSOFT XBOX","Unknown","No","No","Family Room"
"SITE_1982","ROOM_33053","APPL_95819","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1982","ROOM_33053","APPL_50739","SONY PLAYSTATION5","Unknown","Yes","No","Bedroom"
"SITE_1982","ROOM_33053","APPL_34818","MICROSOFT XBOX SERIES X","Unknown","Yes","No","Bedroom"
"SITE_1982","ROOM_37474","APPL_97532","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_1984","ROOM_18192","APPL_55229","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1984","ROOM_19776","APPL_53734","SONY PLAYSTATION4","Unknown","Yes","Unknown","Living Room"
"SITE_1985","ROOM_21659","APPL_44798","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Living Room"
"SITE_1991","ROOM_31314","APPL_133337","SONY PLAYSTATION3","Unknown","Yes","No","Living Room"
"SITE_1991","ROOM_27048","APPL_116412","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1992","ROOM_44479","APPL_167073","SONY PLAYSTATION5","Unknown","Yes","No","Living Room"
"SITE_1995","ROOM_18918","APPL_64861","MICROSOFT XBOX 360","2009","Yes","No","Living Room"
"SITE_1998","ROOM_28988","APPL_141391","MICROSOFT XBOX 360","Unknown","Yes","No","Living Room"
"SITE_20","ROOM_8514","APPL_85544","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_20","ROOM_5170","APPL_8165","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_20","ROOM_8514","APPL_136698","MICROSOFT XBOX 360","Unknown","Yes","Yes","Bedroom"
"SITE_20","ROOM_34258","APPL_115436","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_20","ROOM_36115","APPL_89861","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_200","ROOM_43420","APPL_68880","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_2007","ROOM_43122","APPL_46122","MICROSOFT XBOX SERIES X","Unknown","Yes","Yes","Living Room"
"SITE_2007","ROOM_10576","APPL_143752","NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Bedroom"
"SITE_2008","ROOM_33607","APPL_7227","SONY PLAYSTATION3","Unknown","Yes","Yes","Living Room"
"SITE_2018","ROOM_22049","APPL_78969","NINTENDO SWITCH","Unknown","Yes","No","Family Room"
"SITE_2022","ROOM_43203","APPL_55577","NINTENDO GAME CUBE","Unknown","No","Yes","Family Room"
"SITE_2022","ROOM_25972","APPL_19906","MICROSOFT XBOX 360","Unknown","Yes","Yes","Bedroom"
"SITE_2028","ROOM_2917","APPL_82705","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Bedroom"
"SITE_203","ROOM_32779","APPL_119284","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_2032","ROOM_2719","APPL_93060","MICROSOFT XBOX ONE","Unknown","Yes","No","Bedroom"
"SITE_2038","ROOM_22525","APPL_126249","MICROSOFT XBOX 360","Unknown","Yes","Yes","Other"
"SITE_2038","ROOM_34306","APPL_134061","MICROSOFT XBOX 360","Unknown","Yes","Yes","Family Room"
"SITE_208","ROOM_7570","APPL_129989","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_210","ROOM_41969","APPL_81459","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_212","ROOM_26905","APPL_28928","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Living Room"
"SITE_212","ROOM_26905","APPL_40696","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Living Room"
"SITE_218","ROOM_28781","APPL_83752","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_225","ROOM_41139","APPL_119902","NINTENDO WII-U","Unknown","Yes","Unknown","Bedroom"
"SITE_225","ROOM_41139","APPL_125045","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_226","ROOM_29874","APPL_138168","MICROSOFT XBOX SERIES X","Unknown","Yes","Yes","Living Room"
"SITE_233","ROOM_9333","APPL_145188","NINTENDO WII","Unknown","Yes","No","Other"
"SITE_233","ROOM_9333","APPL_62007","MICROSOFT XBOX 360","Unknown","Yes","No","Other"
"SITE_235","ROOM_33289","APPL_101501","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Living Room"
"SITE_235","ROOM_33289","APPL_161593","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_235","ROOM_10140","APPL_70194","MICROSOFT XBOX 360","Unknown","Yes","No","Family Room"
"SITE_235","ROOM_10140","APPL_25770","ARCADE GAME","Unknown","No","No","Family Room"
"SITE_236","ROOM_45862","APPL_42157","NINTENDO WII","Unknown","Yes","Yes","Family Room"
"SITE_238","ROOM_708","APPL_132646","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_238","ROOM_23842","APPL_155348","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Bedroom"
"SITE_24","ROOM_41759","APPL_19782","NINTENDO WII-U","Unknown","Yes","No","Living Room"
"SITE_244","ROOM_34301","APPL_28617","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Garage"
"SITE_244","ROOM_34301","APPL_168096","SONY PLAYSTATION4","Unknown","Yes","Yes","Garage"
"SITE_246","ROOM_37327","APPL_5527","NINTENDO SWITCH","2021","Yes","No","Living Room"
"SITE_249","ROOM_43959","APPL_111189","SONY PLAYSTATION5","Unknown","Yes","No","Bedroom"
"SITE_249","ROOM_43959","APPL_117360","MICROSOFT XBOX","Unknown","No","Unknown","Bedroom"
"SITE_249","ROOM_14640","APPL_33396","NINTENDO WII","Unknown","Yes","Unknown","Garage"
"SITE_252","ROOM_2086","APPL_139785","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_252","ROOM_2086","APPL_99766","SONY PLAYSTATION4","Unknown","Yes","No","Living Room"
"SITE_256","ROOM_33672","APPL_133344","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_26","ROOM_5259","APPL_54304","NINTENDO WII-U","Unknown","Yes","No","Living Room"
"SITE_260","ROOM_41695","APPL_23057","NINTENDO WII","Unknown","Yes","Unknown","Living Room"
"SITE_260","ROOM_41695","APPL_516","NINTENDO GAME CUBE","Unknown","No","No","Living Room"
"SITE_260","ROOM_20559","APPL_137756","SONY PLAYSTATION4","Unknown","Yes","No","Bedroom"
"SITE_260","ROOM_22316","APPL_987","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_260","ROOM_22316","APPL_102412","SONY PLAYSTATION2","Unknown","No","Yes","Bedroom"
"SITE_260","ROOM_22316","APPL_40206","MICROSOFT XBOX 360","Unknown","Yes","Yes","Bedroom"
"SITE_260","ROOM_41695","APPL_28502","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Living Room"
"SITE_260","ROOM_20559","APPL_51061","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_260","ROOM_46141","APPL_145319","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_260","ROOM_8676","APPL_109386","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_260","ROOM_22316","APPL_143858","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Bedroom"
"SITE_267","ROOM_35346","APPL_78885","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_267","ROOM_35346","APPL_4507","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_268","ROOM_9526","APPL_51578","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_268","ROOM_18932","APPL_35753","NINTENDO WII","Unknown","Yes","No","Bedroom"
"SITE_271","ROOM_28990","APPL_17151","MICROSOFT XBOX SERIES S","2021","Yes","Yes","Living Room"
"SITE_271","ROOM_28990","APPL_87046","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Living Room"
"SITE_272","ROOM_11845","APPL_139186","MICROSOFT XBOX","Unknown","No","Unknown","Living Room"
"SITE_272","ROOM_11845","APPL_170069","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_275","ROOM_29800","APPL_69985","NINTENDO GAME CUBE","Unknown","No","No","Family Room"
"SITE_276","ROOM_38140","APPL_41669","NINTENDO WII-U","Unknown","Yes","Unknown","Living Room"
"SITE_283","ROOM_43512","APPL_145410","SONY PLAYSTATION3","Unknown","Yes","No","Basement"
"SITE_286","ROOM_29149","APPL_65500","NINTENDO SUPER NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Living Room"
"SITE_286","ROOM_29149","APPL_44370","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_288","ROOM_27225","APPL_122734","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_288","ROOM_27225","APPL_142832","SONY PLAYSTATION5","Unknown","Yes","No","Living Room"
"SITE_288","ROOM_27225","APPL_54127","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_289","ROOM_25048","APPL_139317","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_29","ROOM_11320","APPL_59323","MICROSOFT XBOX ONE","Unknown","Yes","No","Bedroom"
"SITE_29","ROOM_20294","APPL_155674","MICROSOFT XBOX","Unknown","No","Yes","Living Room"
"SITE_29","ROOM_15341","APPL_107916","ARCADE GAME","Unknown","No","No","Bedroom"
"SITE_3","ROOM_41663","APPL_87100","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_302","ROOM_8945","APPL_100707","MICROSOFT XBOX 360","2012","Yes","Yes","Bedroom"
"SITE_302","ROOM_4421","APPL_4819","NINTENDO 64","Unknown","No","No","Bedroom"
"SITE_303","ROOM_10884","APPL_94539","MICROSOFT XBOX 360","Unknown","Yes","No","Bedroom"
"SITE_303","ROOM_10884","APPL_97077","NINTENDO 64","Unknown","No","No","Bedroom"
"SITE_303","ROOM_10884","APPL_17864","NINTENDO WII-U","Unknown","Yes","No","Bedroom"
"SITE_306","ROOM_10836","APPL_48401","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_306","ROOM_10836","APPL_40672","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Family Room"
"SITE_306","ROOM_10836","APPL_118263","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Family Room"
"SITE_31","ROOM_7489","APPL_133784","SONY PLAYSTATION4","Unknown","Yes","No","Living Room"
"SITE_311","ROOM_39420","APPL_166128","MICROSOFT XBOX ONE","Unknown","Yes","No","Hallway"
"SITE_314","ROOM_244","APPL_107190","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Family Room"
"SITE_316","ROOM_7749","APPL_124933","NINTENDO SWITCH","Unknown","Yes","No","Family Room"
"SITE_316","ROOM_7749","APPL_167848","NINTENDO WII","Unknown","Yes","Unknown","Family Room"
"SITE_316","ROOM_26751","APPL_64354","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_316","ROOM_7749","APPL_31435","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Family Room"
"SITE_316","ROOM_26751","APPL_102622","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Bedroom"
"SITE_320","ROOM_31306","APPL_21790","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_323","ROOM_2998","APPL_174570","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_330","ROOM_3061","APPL_91007","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_338","ROOM_28224","APPL_16309","NINTENDO WII","2009","Yes","No","Living Room"
"SITE_34","ROOM_14686","APPL_56746","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Family Room"
"SITE_343","ROOM_18942","APPL_998","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Living Room"
"SITE_344","ROOM_22945","APPL_52561","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Bedroom"
"SITE_345","ROOM_17462","APPL_102985","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_345","ROOM_18700","APPL_144306","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_347","ROOM_25301","APPL_162960","MICROSOFT XBOX 360","Unknown","Yes","No","Bedroom"
"SITE_360","ROOM_1180","APPL_106362","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_366","ROOM_14875","APPL_166292","SONY PLAYSTATION2","Unknown","No","No","Living Room"
"SITE_367","ROOM_32772","APPL_26838","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_367","ROOM_32772","APPL_16194","SONY PLAYSTATION2","Unknown","No","No","Bedroom"
"SITE_368","ROOM_16558","APPL_167403","MICROSOFT XBOX ONE","Unknown","Yes","No","Family Room"
"SITE_371","ROOM_22244","APPL_23078","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_371","ROOM_22244","APPL_113272","SONY PLAYSTATION2","Unknown","No","No","Living Room"
"SITE_375","ROOM_16168","APPL_171198","NINTENDO SWITCH","Unknown","Yes","No","Family Room"
"SITE_38","ROOM_1021","APPL_45596","SONY PLAYSTATION4","Unknown","Yes","No","Family Room"
"SITE_38","ROOM_20359","APPL_78873","SONY PLAYSTATION3","Unknown","Yes","No","Office"
"SITE_38","ROOM_20359","APPL_77427","Unknown","Unknown","Unknown","Unknown","Office"
"SITE_39","ROOM_43894","APPL_3859","Unknown","Unknown","Unknown","No","Bedroom"
"SITE_395","ROOM_40273","APPL_6452","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_397","ROOM_46675","APPL_77449","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_397","ROOM_41625","APPL_138227","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_397","ROOM_41625","APPL_77984","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_40","ROOM_24654","APPL_107643","NINTENDO WII-U","Unknown","Yes","No","Bedroom"
"SITE_401","ROOM_18857","APPL_5533","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Bedroom"
"SITE_408","ROOM_17875","APPL_32258","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_41","ROOM_34782","APPL_26504","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_410","ROOM_27790","APPL_83400","MICROSOFT XBOX ONE","Unknown","Yes","No","Family Room"
"SITE_411","ROOM_38688","APPL_61334","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Family Room"
"SITE_413","ROOM_2637","APPL_158512","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_420","ROOM_419","APPL_146161","MICROSOFT XBOX 360","2010","Yes","No","Family Room"
"SITE_421","ROOM_42453","APPL_36839","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_422","ROOM_27664","APPL_41493","MICROSOFT XBOX 360","Unknown","Yes","Yes","Laundry"
"SITE_422","ROOM_31528","APPL_16980","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_423","ROOM_39435","APPL_57309","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_430","ROOM_30098","APPL_26115","MICROSOFT XBOX ONE","Unknown","Yes","No","Basement"
"SITE_432","ROOM_24165","APPL_340","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_435","ROOM_28514","APPL_82473","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_435","ROOM_28514","APPL_63316","MICROSOFT XBOX ONE","Unknown","Yes","No","Bedroom"
"SITE_438","ROOM_16027","APPL_166182","SEGA GENESIS","Unknown","No","No","Living Room"
"SITE_439","ROOM_31453","APPL_23252","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Living Room"
"SITE_441","ROOM_16822","APPL_44841","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_441","ROOM_16822","APPL_13565","SEGA GENESIS","Unknown","No","No","Family Room"
"SITE_441","ROOM_46660","APPL_14248","NINTENDO SUPER NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Living Room"
"SITE_444","ROOM_1446","APPL_19405","MICROSOFT XBOX 360","Unknown","Yes","No","Family Room"
"SITE_449","ROOM_45269","APPL_36736","MICROSOFT XBOX SERIES S","Unknown","Yes","Yes","Living Room"
"SITE_449","ROOM_16251","APPL_130991","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_450","ROOM_40339","APPL_89961","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Living Room"
"SITE_455","ROOM_14669","APPL_12277","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Bedroom"
"SITE_455","ROOM_8527","APPL_42598","MICROSOFT XBOX ONE","Unknown","Yes","No","Family Room"
"SITE_456","ROOM_15788","APPL_103282","SONY PLAYSTATION3","Unknown","Yes","No","Family Room"
"SITE_457","ROOM_15404","APPL_145356","SONY PLAYSTATION4","Unknown","Yes","Unknown","Basement"
"SITE_457","ROOM_15404","APPL_118126","NINTENDO 64","Unknown","No","No","Basement"
"SITE_458","ROOM_42631","APPL_58826","SONY PLAYSTATION4","Unknown","Yes","No","Bedroom"
"SITE_459","ROOM_13696","APPL_164196","NINTENDO SWITCH","Unknown","Yes","No","Kitchen"
"SITE_46","ROOM_35079","APPL_4887","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_464","ROOM_8852","APPL_51968","MICROSOFT XBOX SERIES X","Unknown","Yes","Unknown","Family Room"
"SITE_464","ROOM_25568","APPL_23487","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Living Room"
"SITE_466","ROOM_16360","APPL_173302","MICROSOFT XBOX 360","2010","Yes","Yes","Bedroom"
"SITE_466","ROOM_39258","APPL_31131","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_467","ROOM_20310","APPL_172220","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_468","ROOM_14647","APPL_51848","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_472","ROOM_7754","APPL_149576","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_472","ROOM_9674","APPL_9842","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_472","ROOM_32315","APPL_142530","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_474","ROOM_30310","APPL_65694","SONY PLAYSTATION3","Unknown","Yes","Unknown","Family Room"
"SITE_474","ROOM_30310","APPL_156385","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Family Room"
"SITE_482","ROOM_44792","APPL_26836","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_484","ROOM_16550","APPL_8915","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Bedroom"
"SITE_485","ROOM_18839","APPL_56395","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_485","ROOM_19947","APPL_136656","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_485","ROOM_19947","APPL_12605","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_487","ROOM_476","APPL_39505","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_490","ROOM_38363","APPL_38714","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_490","ROOM_38363","APPL_96388","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_492","ROOM_29726","APPL_6509","SONY PLAYSTATION4","Unknown","Yes","Unknown","Kitchen"
"SITE_492","ROOM_29726","APPL_93564","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Kitchen"
"SITE_498","ROOM_39003","APPL_139233","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_498","ROOM_39003","APPL_103874","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_499","ROOM_35412","APPL_49528","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_5","ROOM_17041","APPL_96331","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_506","ROOM_6603","APPL_122168","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_508","ROOM_28858","APPL_85874","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_53","ROOM_34110","APPL_82339","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_53","ROOM_17124","APPL_49373","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_532","ROOM_38009","APPL_158652","SONY PLAYSTATION4","2014","Yes","Yes","Family Room"
"SITE_535","ROOM_32041","APPL_159804","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_535","ROOM_32041","APPL_159875","NINTENDO SUPER NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Living Room"
"SITE_538","ROOM_21754","APPL_132091","MICROSOFT XBOX 360","Unknown","Yes","No","Living Room"
"SITE_540","ROOM_14208","APPL_96987","MICROSOFT XBOX ONE","2016","Yes","Unknown","Living Room"
"SITE_544","ROOM_43411","APPL_174922","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_544","ROOM_43411","APPL_159830","MICROSOFT XBOX","Unknown","No","Unknown","Bedroom"
"SITE_544","ROOM_20409","APPL_61643","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Bedroom"
"SITE_544","ROOM_20596","APPL_135770","MICROSOFT XBOX","Unknown","No","No","Living Room"
"SITE_544","ROOM_1203","APPL_99647","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_553","ROOM_28154","APPL_129282","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_556","ROOM_41598","APPL_58437","SONY PLAYSTATION2","Unknown","No","Unknown","Living Room"
"SITE_556","ROOM_41598","APPL_27906","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_556","ROOM_41598","APPL_2254","NINTENDO 64","Unknown","No","No","Living Room"
"SITE_556","ROOM_41598","APPL_28478","NINTENDO SUPER NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Living Room"
"SITE_556","ROOM_41598","APPL_158381","NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Living Room"
"SITE_556","ROOM_24869","APPL_149445","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_56","ROOM_19180","APPL_174621","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_57","ROOM_34310","APPL_108742","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_571","ROOM_45329","APPL_167596","NINTENDO SUPER NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Living Room"
"SITE_573","ROOM_770","APPL_121703","NINTENDO SWITCH","Unknown","Yes","No","Family Room"
"SITE_587","ROOM_2818","APPL_8997","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_589","ROOM_6572","APPL_172486","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_590","ROOM_25299","APPL_15180","NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Family Room"
"SITE_597","ROOM_21889","APPL_149719","NINTENDO WII","Unknown","Yes","No","Bedroom"
"SITE_600","ROOM_10221","APPL_59888","SONY PLAYSTATION5","Unknown","Yes","No","Bedroom"
"SITE_605","ROOM_4869","APPL_57518","NINTENDO SWITCH","2020","Yes","No","Bedroom"
"SITE_605","ROOM_5533","APPL_123613","MICROSOFT XBOX SERIES X","2021","Yes","No","Living Room"
"SITE_605","ROOM_5533","APPL_165477","SONY PLAYSTATION5","2021","Yes","Unknown","Living Room"
"SITE_609","ROOM_3819","APPL_96776","SONY PLAYSTATION4","2019","Yes","Yes","Bedroom"
"SITE_61","ROOM_36814","APPL_68510","MICROSOFT XBOX SERIES S","Unknown","Yes","Yes","Living Room"
"SITE_61","ROOM_2705","APPL_84119","SONY PLAYSTATION4","Unknown","Yes","No","Bedroom"
"SITE_61","ROOM_7127","APPL_161450","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_610","ROOM_17282","APPL_35009","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_618","ROOM_9371","APPL_151319","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Family Room"
"SITE_626","ROOM_12252","APPL_87156","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_634","ROOM_29090","APPL_102903","MICROSOFT XBOX 360","Unknown","Yes","No","Living Room"
"SITE_636","ROOM_26543","APPL_17958","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
