"SiteID","RoomID","ApplianceID","Model","Vintage","Wifi_Enabled","Used_for_DVD_or_Bluray","Room_Type"
"SITE_1476","ROOM_24345","APPL_7311","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Bedroom"
"SITE_1478","ROOM_9120","APPL_42032","MICROSOFT XBOX SERIES X","Unknown","Yes","No","Family Room"
"SITE_1480","ROOM_18015","APPL_82525","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_1480","ROOM_3217","APPL_112033","SONY PLAYSTATION3","Unknown","Yes","No","Bedroom"
"SITE_1491","ROOM_46349","APPL_153016","NINTENDO WII-U","Unknown","Yes","No","Bedroom"
"SITE_1491","ROOM_13779","APPL_173793","MICROSOFT XBOX 360","Unknown","Yes","No","Family Room"
"SITE_1491","ROOM_46788","APPL_91566","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1491","ROOM_46788","APPL_118975","SONY PLAYSTATION2","Unknown","No","No","Living Room"
"SITE_1505","ROOM_23159","APPL_71876","MICROSOFT XBOX 360","Unknown","Yes","No","Living Room"
"SITE_1506","ROOM_5087","APPL_161554","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_1510","ROOM_36264","APPL_8186","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1510","ROOM_36264","APPL_153823","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1511","ROOM_37095","APPL_102952","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_1513","ROOM_19407","APPL_119246","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1513","ROOM_19407","APPL_98349","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1514","ROOM_21640","APPL_21464","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1516","ROOM_11541","APPL_45183","MICROSOFT XBOX ONE","Unknown","Yes","No","Living Room"
"SITE_1518","ROOM_39088","APPL_14253","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1518","ROOM_39088","APPL_49100","NINTENDO WII","Unknown","Yes","Unknown","Bedroom"
