"SiteID","RoomID","WaterDetail_ID","Room_Type","Fixture_Type","Rated_GPM","Primary_Shower","Usage"
"SITE_493","ROOM_34141","APPL_104232","Bathroom","Shower","1.5","Primary","Daily / Almost Daily"
"SITE_493","ROOM_34141","APPL_82710","Bathroom","Faucet","1.5",NA,NA
"SITE_493","ROOM_34141","APPL_22758","Bathroom","Faucet","1.5",NA,NA
"SITE_494","ROOM_44507","APPL_8268","Kitchen","Faucet","1.5",NA,NA
"SITE_494","ROOM_442","APPL_75727","Bathroom","Faucet","1",NA,NA
"SITE_494","ROOM_442","APPL_39071","Bathroom","Shower / Bathtub combo with Diverter Valve","2","Primary","Daily / Almost Daily"
"SITE_494","ROOM_6051","APPL_136566","Bathroom","Faucet","1",NA,NA
"SITE_494","ROOM_6051","APPL_9130","Bathroom","Bathtub","Unknown","Secondary","A few times per year or less"
"SITE_494","ROOM_6051","APPL_94071","Bathroom","Shower","2","Primary","Daily / Almost Daily"
"SITE_495","ROOM_43073","APPL_156081","Bathroom","Faucet","1.5",NA,NA
"SITE_495","ROOM_43073","APPL_159110","Bathroom","Faucet","1.5",NA,NA
"SITE_495","ROOM_43073","APPL_95256","Bathroom","Shower","Unknown","Primary","Daily / Almost Daily"
"SITE_495","ROOM_43073","APPL_160669","Bathroom","Bathtub","Unknown","Primary","Daily / Almost Daily"
"SITE_495","ROOM_27672","APPL_168138","Laundry","Faucet","Unknown",NA,NA
"SITE_495","ROOM_26139","APPL_77178","Bathroom","Faucet","Unknown",NA,NA
"SITE_495","ROOM_15191","APPL_92993","Kitchen","Faucet","Unknown",NA,NA
"SITE_495","ROOM_10595","APPL_140859","Bathroom","Faucet","1.5",NA,NA
"SITE_495","ROOM_10595","APPL_132945","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Secondary","A few times per year or less"
"SITE_496","ROOM_45947","APPL_166491","Bathroom","Faucet","1.2",NA,NA
"SITE_496","ROOM_45947","APPL_108200","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Primary","Daily / Almost Daily"
"SITE_496","ROOM_28637","APPL_37222","Kitchen","Faucet","1.8",NA,NA
"SITE_496","ROOM_43858","APPL_21760","Laundry","Faucet","2",NA,NA
"SITE_497","ROOM_16142","APPL_38103","Kitchen","Faucet","1.8",NA,NA
"SITE_497","ROOM_19357","APPL_111134","Bathroom","Faucet","2",NA,NA
"SITE_497","ROOM_19357","APPL_22109","Bathroom","Shower / Bathtub combo with Diverter Valve","1.8","Secondary","A few times per month"
"SITE_497","ROOM_9784","APPL_103613","Bathroom","Faucet","2",NA,NA
"SITE_497","ROOM_9784","APPL_143468","Bathroom","Faucet","2",NA,NA
"SITE_497","ROOM_9784","APPL_15262","Bathroom","Shower","1.8","Primary","Daily / Almost Daily"
