"SiteID","Mechanical_ID","Technology_Description","Storage_Tankless","Fuel_Type","Make","Make_Other","Model","Water_Heater_Missing_Model_Reason","Size","Size_Is_Estimated","Year_Manufactured","Serial_Number","Wifi_Enabled","Serves_Whole_House","Location","Provided_by_Heating_System","Supplemental_Solar_Water_Heating","Capacity_BTUH","Capacity_BTUH_Is_Estimated","Capacity_kW","Capacity_kW_Is_Estimated","Water_Heater_Efficiency_Type","Water_Heater_Efficiency","Water_Heater_MEF","Tank_Wrap","Tank_Wrap_Thickness","Pipe_Wrap","Pipe_Wrap_Type","Pipe_Wrap_Type_Other","Pipe_Wrap_Length","Pipe_Wrap_Length_Is_Estimated","Pipe_Wrap_Thickness","Pipe_Wrap_Thickness_Is_Estimated","Circulator_Present","Space_Is_Conditioned","HPWH_Conditioned_Space_Size","Relation_to_Space_Heating_Unit","Air_Supply_From_Inside_House","HPWH_Ducting","Within_4_feet_of_a_drain","Drain_Type","Can_Exhaust_to_Garage_or_Get_Supply_Air_from_Home_Interior","In_A_Room_Greater_Than_1.000_Cubic_Feet","Eight_feet_of_Vertical_Space","HPWH_Current_Mode","HPWH_Port_Present","Indirect_Water_Heater_Fuel"
"SITE_1899","MECH_129392","Fossil Fuel Non-Condensing","Storage","Natural Gas","Kenmore",NA,"#153331444",NA,"40","Measured or Known","2008","0807A001222","No","Yes","Garage","No","No","40000","Unknown",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"Yes","Floor drain","Yes","Yes","Yes",NA,NA,NA
"SITE_19","MECH_87683","Electric Resistance","Storage","Electric","General Electric",NA,"PE50M09AAH",NA,"50","Measured or Known","2008","1108R10439","No","Yes","Basement","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Same room","No",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_190","MECH_69194","Electric Resistance","Storage","Electric","American Water Heaters",NA,"E123-50H-045DC",NA,"50","Measured or Known","Unknown","#0027108593","No","Yes","Garage","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"6","Estimated","0.5","Estimated","No","No",NA,"Same room","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1901","MECH_31170","Electric Resistance","Storage","Electric","Reliance",NA,"Unknown","Unknown","50","Unknown","Unknown","Unknown","No","Yes","Kitchen","No","No",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Adjacent rooms","Yes",NA,"No","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_1902","MECH_133738","Electric Resistance","Storage","Electric","Rheem",NA,"61V52D",NA,"50","Measured or Known","Unknown","C489B26202","No","Yes","Living Room","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_1903","MECH_113453","Fossil Fuel Non-Condensing","Tankless","Propane","Rinnai",NA,"V651IP",NA,NA,NA,"Unknown","Unknown","Unknown","Yes","Laundry","Yes","No","150000","Measured or Known",NA,NA,"Unknown","0.82","0.8","No","Unknown","No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","Yes","No","No",NA,NA,NA
"SITE_1904","MECH_153855","Electric Resistance","Storage","Electric","Bradford White",NA,"RE35016-1NCWW",NA,"50","Measured or Known","Unknown","PH40005129","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Unknown","Unknown","No","No","Yes",NA,NA,NA
"SITE_1905","MECH_22116","Fossil Fuel Non-Condensing","Storage","Natural Gas","Kenmore",NA,"#153335451",NA,"40","Measured or Known","1991","#895236251","No","Yes","Basement","No","No","40000","Unknown",NA,NA,"Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"30","Estimated","0.5","Measured or Known","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1906","MECH_88515","Fossil Fuel Non-Condensing","Storage","Propane","Richmond",NA,"6G40-32PF3",NA,"40","Measured or Known","2021","Q222146683","No","Yes","Mechanical","No","No","32000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1907","MECH_33938","Electric Resistance","Storage","Electric","AO Smith",NA,"ECRT52200",NA,"50","Measured or Known","2019","1313J005681","No","Yes","Mechanical","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"Yes","Floor drain","No","No","No",NA,NA,NA
"SITE_1908","MECH_80308","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG240T6N",NA,"40","Measured or Known","Unknown","TK44074224","No","Yes","Basement","No","No","40000","Unknown",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1909","MECH_129766","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"MI40T6FBN",NA,"40","Measured or Known","Unknown","#JE16605296","No","Yes","Garage","Yes","No","40000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","No",NA,"No","Unknown","Yes","Yes","No",NA,NA,NA
"SITE_191","MECH_152561","Fossil Fuel Non-Condensing","Tankless","Natural Gas","Takagi",NA,"T-KJR",NA,NA,NA,"2010","#24014066","No","Yes","Bedroom","No","No","140000","Measured or Known",NA,NA,"Unknown","0.83","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","Yes","Yes","No",NA,NA,NA
