"SiteID","Mechanical_ID","Technology_Description","Storage_Tankless","Fuel_Type","Make","Make_Other","Model","Water_Heater_Missing_Model_Reason","Size","Size_Is_Estimated","Year_Manufactured","Serial_Number","Wifi_Enabled","Serves_Whole_House","Location","Provided_by_Heating_System","Supplemental_Solar_Water_Heating","Capacity_BTUH","Capacity_BTUH_Is_Estimated","Capacity_kW","Capacity_kW_Is_Estimated","Water_Heater_Efficiency_Type","Water_Heater_Efficiency","Water_Heater_MEF","Tank_Wrap","Tank_Wrap_Thickness","Pipe_Wrap","Pipe_Wrap_Type","Pipe_Wrap_Type_Other","Pipe_Wrap_Length","Pipe_Wrap_Length_Is_Estimated","Pipe_Wrap_Thickness","Pipe_Wrap_Thickness_Is_Estimated","Circulator_Present","Space_Is_Conditioned","HPWH_Conditioned_Space_Size","Relation_to_Space_Heating_Unit","Air_Supply_From_Inside_House","HPWH_Ducting","Within_4_feet_of_a_drain","Drain_Type","Can_Exhaust_to_Garage_or_Get_Supply_Air_from_Home_Interior","In_A_Room_Greater_Than_1.000_Cubic_Feet","Eight_feet_of_Vertical_Space","HPWH_Current_Mode","HPWH_Port_Present","Indirect_Water_Heater_Fuel"
"SITE_1","MECH_5878","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","PC39194525","No","Yes","Garage","No","No","40000","Measured or Known",NA,NA,"Unknown","0.58","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Same room","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_10","MECH_125531","Electric Resistance","Storage","Electric","Rheem",NA,"81VR52D",NA,"50","Measured or Known","Unknown","R 0688111265","No","Yes","Bedroom","Yes","No",NA,NA,"4","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_100","MECH_41791","Fossil Fuel Condensing","Tankless","Natural Gas","Rinnai",NA,"Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Yes","Garage","No","No","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Polyethylene Foam",NA,"8","Estimated","0.25","Estimated","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1000","MECH_10472","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","TL44210708","No","Yes","Garage","No","No","40000","Measured or Known",NA,NA,"Unknown","0.63","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"7","Estimated","0.5","Estimated","No","No",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1001","MECH_159407","Fossil Fuel Condensing","Storage","Natural Gas","Rheem",NA,"PRO+G75-75N RH",NA,"75","Measured or Known","2014","RHLNM241410465","No","Yes","Garage","Unknown","No","75100","Measured or Known",NA,NA,"Unknown","0.67","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1002","MECH_163417","Electric Resistance","Storage","Electric","Rheem",NA,"XE30S0GST46UT",NA,"30","Measured or Known","2022","M20220GG88","No","Yes","Kitchen","No","Unknown",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","No",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1002","MECH_106977","Electric Resistance","Storage","Electric","Rheem",NA,"XE30S0GST45U1",NA,"30","Measured or Known","Unknown","M20220GG88","No","Yes","Outbuilding / Addition","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Unknown","Unknown",NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1003","MECH_131427","Electric Resistance","Storage","Electric","Bradford White",NA,"M250T6DS-1NCWW",NA,"50","Measured or Known","Unknown","#HE150111295","No","Unknown","Mechanical","Unknown","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.9","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Same room","Yes",NA,"Yes","Floor drain","Yes","No","Yes",NA,NA,NA
"SITE_1003","MECH_36623","Electric Resistance","Storage","Electric","Bradford White",NA,"M250T6DS-1NCWW",NA,"50","Measured or Known","Unknown","#HE15011272","No","Unknown","Mechanical","Unknown","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.9","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes – captured with previous water heater","Yes",NA,"Next to each other","Yes",NA,"Yes","Floor drain","Yes","No","Yes",NA,NA,NA
"SITE_1004","MECH_73243","Fossil Fuel Non-Condensing","Storage","Natural Gas","Rheem",NA,"PROG50-38N RH60",NA,"50","Measured or Known","2015","M201502917","No","Yes","Garage","Yes","No","38000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","No",NA,"Unknown","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_1005","MECH_15357","Electric Resistance","Storage","Electric","Ruud",NA,"PROE50 T2 RU95",NA,"50","Measured or Known","2020","M062010538","Unknown","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.93","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Yes","Floor drain","Yes","No","Yes",NA,NA,NA
"SITE_1006","MECH_98728","Electric Resistance","Storage","Electric","Bradford White",NA,"RE250T6-1NCWW",NA,"50","Measured or Known","Unknown","WK46702732","No","Yes","Mechanical","Yes","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.93","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Same room","Yes",NA,"Yes","Pumped drain","No","No","Yes",NA,NA,NA
"SITE_1007","MECH_7776","Electric Resistance","Storage","Electric","Unknown",NA,"Unknown","NO NAMEPLATE","50","Estimated","Unknown","Unknown","Unknown","Yes","Mechanical","Unknown","Unknown",NA,NA,"4.5","Estimated","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Polyethylene Foam",NA,"3","Measured or Known","1","Measured or Known","No","Yes",NA,"None of the above","Yes",NA,"Yes","Floor drain","No","No","No",NA,NA,NA
"SITE_1008","MECH_1659","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","#NE37728155","No","Yes","Mechanical","No","No","40000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"Yes","Floor drain","No","No","No",NA,NA,NA
"SITE_101","MECH_70282","Electric Resistance","Storage","Electric","Bradford White",NA,"M440T6FBN",NA,"40","Measured or Known","2006","HL15837611","No","Yes","Laundry","No","No",NA,NA,"4","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","No",NA,"Yes","Floor drain","No","No","No",NA,NA,NA
"SITE_1010","MECH_100857","Fossil Fuel Non-Condensing","Storage","Natural Gas","Rheem",NA,"PROG40-38N RH62",NA,"50","Measured or Known","Unknown","M171512488","No","Yes","Mechanical","Yes","No","38000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Same room","Yes",NA,"No","Unknown","Yes","No","No",NA,NA,NA
"SITE_1011","MECH_163151","Fossil Fuel Non-Condensing","Storage","Natural Gas","Reliance",NA,"650GORT 300",NA,"50","Measured or Known","2015","1506J012444","No","Yes","Kitchen","No","No","35500","Unknown",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"Yes","Floor drain","No","Yes","Yes",NA,NA,NA
"SITE_1012","MECH_81369","Fossil Fuel Non-Condensing","Tankless","Propane","Takagi",NA,"AT-K4-IN-P",NA,NA,NA,"Unknown","#74004887","No","Yes","Hallway","No","No","190000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","No","No",NA,NA,NA
"SITE_1013","MECH_167545","Electric Resistance","Storage","Electric","Everkleen",NA,"82SV50-2",NA,"55","Measured or Known","Unknown","Unknown","Unknown","Yes","Mechanical","No","No",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1014","MECH_39997","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG240T6N",NA,"40","Measured or Known","Unknown","WF45456371","No","Yes","Garage","No","No","40000","Measured or Known",NA,NA,"Unknown","0.62","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"Yes","Floor drain","Yes","Yes","Yes",NA,NA,NA
"SITE_1015","MECH_104249","Electric Resistance","Storage","Electric","Bradford White",NA,"RE250T6-1NCWW",NA,"50","Measured or Known","2020","TB42847371","No","Yes","Garage","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Adjacent rooms","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1016","MECH_93618","Electric Resistance","Storage","Electric","Bradford White",NA,"M250T6DS-1NCWW",NA,"50","Measured or Known","Unknown","EG10817963","No","Yes","Garage","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1017","MECH_141626","Electric Resistance","Storage","Electric","Rheem",NA,"E40 2 RH95",NA,"40","Measured or Known","2021","Q262137163","No","Yes","Bathroom","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"Yes","Floor drain","No","Yes","Yes",NA,NA,NA
"SITE_1018","MECH_141941","Fossil Fuel Non-Condensing","Storage","Natural Gas","Reliance",NA,"650YORT4",NA,"50","Measured or Known","Unknown","#9211680008","No","Yes","Mechanical","No","No","35500","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","Yes","2.0 inches","Yes","Polyethylene Foam",NA,"5","Estimated","0.75","Estimated","No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1019","MECH_55087","Electric Heat Pump (Packaged)","Storage","Electric","Ruud",NA,"PROUH8O T2 RU350 D",NA,"80","Measured or Known","2017","Q141727932","Unknown","Yes","Basement","No","No",NA,NA,"5","Measured or Known","Energy Factor (EF)","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"80","Estimated","0.75","Measured or Known","No","Yes","62.5","Next to each other","Yes","None","Yes","Floor drain","No","No","Yes","Other","Yes",NA
"SITE_102","MECH_46559","Electric Resistance","Storage","Electric","Ruud",NA,"PE3R-52-2",NA,"50","Measured or Known","2007","RU 1207R08198","No","Yes","Garage","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Adjacent rooms","No",NA,"No","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_1020","MECH_510","Electric Resistance","Storage","Electric","Whirlpool",NA,"E2F80HD045V",NA,"80","Measured or Known","Unknown","1138T483158","No","Yes","Basement","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1020","MECH_510","Electric Resistance","Storage","Electric","Whirlpool",NA,"E2F80HD045V",NA,"80","Measured or Known","Unknown","1138T483158","No","Yes",NA,"No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA
"SITE_1021","MECH_35743","Electric Resistance","Storage","Electric","Bradford White",NA,"RE240S6",NA,"40","Measured or Known","Unknown","NF37868482","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Unknown","Unknown","No","No","Yes",NA,NA,NA
"SITE_1022","MECH_60981","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","NH38050406","No","Yes","Mechanical","No","No","40000","Measured or Known",NA,NA,"Unknown","0.63","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","No","Yes",NA,NA,NA
"SITE_1023","MECH_107873","Electric Resistance","Storage","Electric","American Water Heaters",NA,"E6N-50R110",NA,"50","Measured or Known","Unknown","#1736107492136","No","Yes","Hallway","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Same room","Yes",NA,"Unknown","Unknown","No","No","Yes",NA,NA,NA
"SITE_1024","MECH_53775","Electric Resistance","Storage","Electric","Reliance",NA,"650DORT",NA,"55","Measured or Known","Unknown","D07A010349","No","Yes","Bathroom","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","No","No","No",NA,NA,NA
"SITE_1025","MECH_30965","Fossil Fuel Non-Condensing","Storage","Natural Gas","Unknown",NA,"Unknown","Unknown","50","Estimated","Unknown","Unknown","No","Yes","Garage","No","No","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Yes","1.5 inches","Yes","Polyethylene Foam",NA,"1","Estimated","1","Estimated","No","No",NA,"Same room","Yes",NA,"Yes","Pumped drain","Yes","Yes","Yes",NA,NA,NA
"SITE_1026","MECH_12118","Fossil Fuel Condensing","Tankless","Natural Gas","Navien",NA,"NPE-240S2",NA,NA,NA,"Unknown","#2089E2210361027","Unknown","Yes","Garage","Yes","No","199900","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","No",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1027","MECH_29530","Electric Resistance","Storage","Electric","AO Smith",NA,"ELJF 50 918",NA,"50","Measured or Known","Unknown","GJ02-0968232-918","Yes","Yes","Crawlspace","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","Unknown","0.92","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1028","MECH_39772","Fossil Fuel Condensing","Storage","Natural Gas","AO Smith",NA,"GPVT-50 200",NA,"50","Measured or Known","Unknown","#201411882410","Unknown","Yes","Laundry","No","No","50000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"Unknown","Estimated","0.5","Measured or Known","No","Yes",NA,"None of the above","Yes",NA,"Yes","Plumbed drain","Yes","No","No",NA,NA,NA
"SITE_1029","MECH_19020","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"MI40T6FBN",NA,"40","Measured or Known","Unknown","HF15167743","No","Yes","Mechanical","No","No","40000","Measured or Known",NA,NA,"Unknown","0.59","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_103","MECH_88438","Electric Resistance","Storage","Electric","Rheem",NA,"MR85245",NA,"85","Measured or Known","Unknown","A031515510","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"0.5","Estimated","Unknown","Estimated","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1030","MECH_18298","Electric Resistance","Storage","Electric","Rheem",NA,"82V52-2",NA,"50","Measured or Known","2013","RH M271305779","No","Yes","Garage","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"Unknown","Estimated","0.75","Measured or Known","No","No",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Unknown","Yes",NA,NA,NA
"SITE_1031","MECH_79320","Electric Resistance","Storage","Electric","Bradford White",NA,"RE250S6-1NCWW",NA,"50","Measured or Known","2020","WL46933385","No","Yes","Garage","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1032","MECH_4708","Fossil Fuel Non-Condensing","Storage","Natural Gas","Rheem",NA,"PROG40-38N RH59",NA,"40","Measured or Known","2014","M521401105","No","Yes","Mechanical","No","No","38000","Measured or Known",NA,NA,"Unknown","0.62","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Same room","Yes",NA,"Yes","Floor drain","No","No","Yes",NA,NA,NA
"SITE_1033","MECH_94951","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"MI7556CN10",NA,"75","Measured or Known","Unknown","NL7959622","No","Yes","Basement","Yes","No","75000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Adjacent rooms","No",NA,"No","Unknown","Yes","Yes","No",NA,NA,NA
"SITE_1034","MECH_87147","Fossil Fuel Non-Condensing","Storage","Natural Gas","Reliance",NA,"640XROS",NA,"40","Measured or Known","2004","Unknown","No","Yes","Basement","Yes","No","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Yes","2.0 inches","Yes","Polyethylene Foam",NA,"40","Estimated","0.5","Measured or Known","No","No",NA,"Next to each other","No",NA,"Yes","Floor drain","Unknown","Unknown","No",NA,NA,NA
"SITE_1035","MECH_25233","Electric Resistance","Storage","Electric","General Electric",NA,"GESOTOSTAG",NA,"50","Measured or Known","Unknown","#GE0405240672","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"1.75","Measured or Known","1","Measured or Known","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1036","MECH_1943","Fossil Fuel Non-Condensing","Storage","Natural Gas","AO Smith",NA,"GCG50400",NA,"50","Measured or Known","Unknown","#9212119001","No","Yes","Garage","No","No","40000","Measured or Known",NA,NA,"Unknown","0.62","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"Yes","Floor drain","Yes","Yes","Yes",NA,NA,NA
"SITE_1037","MECH_147177","Electric Resistance","Storage","Electric","Craftmaster",NA,"E3E50HD045",NA,"50","Measured or Known","1993","#9339306757","No","Yes","Entry/Entryway","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Yes","Plumbed drain","No","No","No",NA,NA,NA
"SITE_1038","MECH_155514","Fossil Fuel Non-Condensing","Tankless","Propane","Rinnai",NA,"R53DI-0(REU-V2520FFUD-US)",NA,NA,NA,"2005","#0512131534","Unknown","Yes","Laundry","Unknown","No","180000","Measured or Known",NA,NA,"Unknown","0.81","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Adjacent rooms","Yes",NA,"Yes","Floor drain","Yes","Yes","Yes",NA,NA,NA
"SITE_1039","MECH_12992","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","SK42204726","No","Yes","Garage","No","No","40000","Unknown",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","No",NA,"Yes","Plumbed drain","Yes","Yes","Yes",NA,NA,NA
"SITE_104","MECH_124699","Fossil Fuel Non-Condensing","Storage","Natural Gas","American Water Heaters",NA,"G52100T884N",NA,"100","Measured or Known","Unknown","WM2693743","No","Yes","Mechanical","No","No","88000","Unknown",NA,NA,"Unknown","0.53","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1040","MECH_140075","Electric Resistance","Storage","Electric","Rheem",NA,"81V52D",NA,"50","Measured or Known","Unknown","RH 0499176994","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"5","Estimated","1","Estimated","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1041","MECH_120052","Fossil Fuel Non-Condensing","Tankless","Propane","Navien",NA,"Unknown","Unknown",NA,NA,"Unknown","Unknown","No","Yes","Mechanical","No","No","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"Next to each other","Yes",NA,"Yes","Floor drain","Yes","Yes","Yes",NA,NA,NA
"SITE_1042","MECH_145778","Electric Resistance","Storage","Electric","Bradford White",NA,"M250S6DS-1NCWW",NA,"50","Measured or Known","Unknown","KD18141352","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"Yes","Floor drain","No","No","No",NA,NA,NA
"SITE_1043","MECH_50947","Fossil Fuel Condensing","Tankless","Natural Gas","Navien",NA,"NPE-240A2",NA,NA,NA,"Unknown","2087X2151411690","No","Yes","Garage","No","No","199900","Measured or Known",NA,NA,"Unknown","0.95","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1044","MECH_126897","Electric Resistance","Storage","Electric","AO Smith",NA,"EES 52 930",NA,"50","Measured or Known","Unknown","GM030013118","No","Yes","Mechanical","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1045","MECH_156709","Electric Resistance","Storage","Electric","AO Smith",NA,"EES 52 913",NA,"50","Measured or Known","Unknown","CL90-0644158-913","No","Yes","Bathroom","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"None of the above","Yes",NA,"Unknown","Unknown","No","No","No",NA,NA,NA
"SITE_1046","MECH_129540","Electric Resistance","Storage","Electric","Bradford White",NA,"RE340S61NCWW",NA,"40","Measured or Known","Unknown","WM47040996","No","Yes","Bathroom","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","Yes",NA,"Yes","Floor drain","No","Yes","Unknown",NA,NA,NA
"SITE_1047","MECH_94675","Electric Resistance","Storage","Electric","Bradford White",NA,"M250S6DS-1NCWW",NA,"50","Measured or Known","Unknown","FC11655344 D/N","No","Yes","Garage","No","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.78","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"Next to each other","Yes",NA,"Unknown","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1047","MECH_2514","Fossil Fuel Non-Condensing","Tankless","Propane","Takagi",NA,"T-KJR",NA,NA,NA,"Unknown","Unknown","No","Yes","Garage","No","No","140000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"None of the above","Yes",NA,"Unknown","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1048","MECH_40503","Electric Resistance","Storage","Electric","AO Smith",NA,"EEH 52 916",NA,"50","Estimated","Unknown","Unknown","No","Yes","Mechanical","No","No",NA,NA,"4.5","Estimated","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Same room","Yes",NA,"Yes","Plumbed drain","No","Yes","No",NA,NA,NA
"SITE_1049","MECH_161821","Fossil Fuel Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","2014","TA4271481","No","Yes","Garage","No","Unknown","40000","Measured or Known",NA,NA,"Unknown","0.62","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_105","MECH_90333","Fossil Fuel Non-Condensing","Storage","Natural Gas","American Water Heaters",NA,"G62-50T35-3N",NA,"50","Measured or Known","Unknown","#0102131066","No","Yes","Garage","No","No","30000","Measured or Known",NA,NA,"Unknown","0.61","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","No",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1050","MECH_90911","Electric Resistance","Tankless","Electric","InSinkErator",NA,"SST",NA,NA,NA,"Unknown","#10049211516","No","No","Kitchen","No","No",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1050","MECH_102348","Electric Resistance","Storage","Electric","Bradford White",NA,"M280R6DS-1NCWW",NA,"80","Measured or Known","Unknown","EC10274007","No","Yes","Mechanical","Yes","Unknown",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1051","MECH_143151","Fossil Fuel Non-Condensing","Tankless","Propane","Rinnai",NA,"REU-V2532FFU-US",NA,NA,NA,"Unknown","02 03-001108","Unknown","Yes","Other","Yes","No","180000","Unknown",NA,NA,"Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
