"SiteID","Ceiling_Type","Ceiling_Type_Other","Ceiling_Area","Ceiling_Accessible","Type_of_Area_Above_Ceiling","Ceiling_Framing_Size","Ceiling_Framing_Material","Ceiling_Framing_Material_Other","Ceiling_Framing_Spacing","Ceiling_Framing_Spacing_Other","Ceiling_Insulated","Ceiling_Insulation_Type_1","Ceiling_Insulation_Thickness_1","Ceiling_Insulation_Condition_1","Ceiling_Insulation_Type_2","Ceiling_Insulation_Thickness_2","Ceiling_Insulation_Condition_2","Ceiling_Insulation_Type_3","Ceiling_Insulation_Thickness_3","Ceiling_Insulation_Condition_3","Ceiling_Insulation_Source","Ceiling_Insulation_Source_Other","Ceiling_Insulation_U-Value","Ceiling_Insulation_R-Value","Ceiling_U-Value_for_Heat_Loss","Ceiling_Heat_Loss_Rate_UA"
"SITE_1390","Adiabatic",NA,"896","No","Residential occupancy","Unknown","Wood",NA,"Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"0"
"SITE_1391","Sloped / Vaulted (no Attic)",NA,"831","Yes",NA,"Unknown","Wood",NA,"Unknown",NA,"Yes","Blown cellulose","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,"Visual inspection",NA,"Unknown","Unknown",NA,NA
"SITE_1392","Attic",NA,"306","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","3.5","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0837871805613741","11.935","0.0802355344512288","24.552073542076"
"SITE_1392","Attic",NA,"594","Yes",NA,"2x4","Wood",NA,"16 inches on center",NA,"Yes","Blown cellulose","10","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0292654375182909","34.17","0.0338308066122656","20.0954991276857"
"SITE_1392","Sloped / Vaulted (no Attic)",NA,"114","No",NA,"Unknown","Wood",NA,"16 inches on center",NA,"Yes","Fiberglass batts","Unknown","0.75",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1393","Attic",NA,"536","No",NA,"Unknown","Wood",NA,"Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1393","Sloped / Vaulted (no Attic)",NA,"200","No",NA,"Scissor Truss","Wood",NA,"30 inches on center",NA,"Yes","Unknown","Unknown","0.9",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1394","Adiabatic","Apt above","1030","No",NA,"Unknown","Unknown",NA,"Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"0"
"SITE_1395","Attic",NA,"738","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown mineral wool","16","0.9","None","0","Unknown","None","0","Unknown","Visual inspection",NA,"0.0216788067984738","46.128","0.0787906464609364","58.147497088171"
"SITE_1395","Sloped / Vaulted (no Attic)",NA,"1179","No",NA,"Unknown","Wood",NA,"16 inches on center",NA,"Yes","Closed-cell spray foam","6","0.9","None","0","Unknown","None","0","Unknown","IR Camera",NA,"0.0289809252819054","34.5054545454545","0.0572454561519964","67.4923928032038"
"SITE_1396","Attic",NA,"1022","Yes",NA,"2x8","Wood",NA,"16 inches on center",NA,"Yes","Blown cellulose","12","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0243878645985757","41.004","0.0301634575506074","30.8270536167208"
"SITE_1396","Sloped / Vaulted (no Attic)",NA,"819","Unknown",NA,"2x8","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","5.5","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"0.0533191149026926","18.755","0.0743947438597961","60.929295221173"
"SITE_1397","Attic",NA,"829","No",NA,"2x6","Wood",NA,"30 inches on center",NA,"Yes","Mineral wool batts","8","0.75","None","0","Unknown","None","0","Unknown","Visual inspection",NA,"0.0347222222222222","28.8","0.159233595794297","132.004650913472"
"SITE_1398","Sloped / Vaulted (no Attic)",NA,"1479","No",NA,"2x6","Wood",NA,"30 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"SITE_1399","Attic",NA,"1600","No",NA,"Unknown","Wood",NA,"24 inches on center",NA,"Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA
"SITE_14","Attic",NA,"950","Yes",NA,"2x4","Wood",NA,"16 inches on center",NA,"Yes","Blown cellulose","12","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0243878645985757","41.004","0.0301634575506074","28.6552846730771"
"SITE_140","Sloped / Vaulted (no Attic)",NA,"682","No",NA,"Unknown","Unknown",NA,"Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA
"SITE_1400","Attic",NA,"510.5","Yes",NA,"2x4","Wood",NA,"16 inches on center",NA,"Yes","Fiberglass batts","16","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0183284457478006","54.56","0.025955215853526","13.250137693225"
"SITE_1401","Attic",NA,"737.5","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","6","0.9",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0488758553274682","20.46","0.0970046862347714","71.5409560981439"
"SITE_1402","Sloped / Vaulted (no Attic)",NA,"1352","No",NA,"Unknown","Wood",NA,"Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"Unknown","Unknown",NA,NA
"SITE_1403","Attic",NA,"1608.3","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","6","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0487757291971515","20.502","0.0495365467164008","79.6696280839875"
"SITE_1404","Attic",NA,"1668","Yes",NA,"2x4","Wood",NA,"Unknown",NA,"Yes","Fiberglass batts","20","1","Blown cellulose","5","0.5",NA,NA,NA,"Visual inspection",NA,"0.0117253913349358","85.285","0.0223072588808925","37.2085078133287"
"SITE_1405","Adiabatic","Upstairs apartment floor","1018.7","No",NA,"Unknown","Unknown",NA,"Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"0"
"SITE_1406","Attic",NA,"709.1","Yes",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","12","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0243878645985757","41.004","0.0301634575506074","21.3889077491357"
"SITE_1406","Sloped / Vaulted (no Attic)",NA,"230.8","No",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Unknown","Unknown","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1407","Attic",NA,"638","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown fiberglass","4","0.9","None","0","Unknown","None","0","Unknown","Visual inspection",NA,"0.088495575221239","11.3","0.126145272426044","80.4806838078163"
"SITE_1408","Attic",NA,"4038","Yes",NA,"2x4","Wood",NA,"16 inches on center",NA,"Yes","Blown cellulose","5","0.9","Fiberglass batts","5","0.9",NA,NA,NA,"Visual inspection",NA,"0.0292954445583712","34.135","0.0827834255415632","334.279472336832"
"SITE_1409","Attic",NA,"755","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","3","0.75","Blown cellulose","5","0.75","None","0","Unknown","Visual inspection",NA,"0.0366099212886692","27.315","0.160480712670496","121.162938066224"
"SITE_141","Attic",NA,"1432","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","6","1","Blown fiberglass","10","0.9",NA,NA,NA,NA,NA,"0.0205296653664545","48.71","0.028237946875416","40.4367399255958"
"SITE_1410","Attic",NA,"2297","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","16","0.9","None","0","Unknown","None","0","Unknown","Visual inspection",NA,"0.0182908984489318","54.672","0.075667474731601","173.808189458487"
"SITE_1411","Sloped / Vaulted (no Attic)",NA,"1420","No",NA,"Unknown","Wood",NA,"16 inches on center",NA,"Yes","Unknown","Unknown","0.9","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1412","Sloped / Vaulted (no Attic)",NA,"1512","No",NA,"2x8","Wood",NA,"24 inches on center",NA,"Yes","Blown fiberglass","8","0.75",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"0.0442477876106195","22.6","0.0663846862931192","100.373645675196"
"SITE_1413","Attic",NA,"1200","Yes",NA,"Unknown","Wood",NA,"Unknown",NA,"Yes","Fiberglass batts","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"Unknown","Unknown",NA,NA
"SITE_1414","Attic",NA,"1852","Yes",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","14","0.9","None","0","Unknown","None","0","Unknown","Visual inspection",NA,"0.0209467951403435","47.74","0.0772766432359141","143.116343272913"
"SITE_1415","Attic",NA,"822.5","Yes",NA,"2x8","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","12","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0244379276637341","40.92","0.0302116572405691","24.8490880803681"
"SITE_1416","Attic",NA,"1706.1","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown mineral wool","12","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0289050757312984","34.596","0.0344702051487563","58.8096170042931"
"SITE_1416","Sloped / Vaulted (no Attic)",NA,"679.8","No",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Unknown","5.5","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"0.0606060606060606","16.5","0.0790267584285051","53.7223903796977"
"SITE_1417","Attic",NA,"1760","Yes",NA,"2x6","Wood",NA,"16 inches on center",NA,"Yes","Fiberglass batts","12","0.25","Blown fiberglass","12","0.75",NA,NA,NA,"Visual inspection",NA,"0.0133654103180968","74.82","0.148872914153449","262.016328910071"
"SITE_1418","Attic",NA,"489","No",NA,"Unknown","Wood",NA,"16 inches on center",NA,"Yes","Unknown","Unknown","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1418","Sloped / Vaulted (no Attic)",NA,"1227","No",NA,"Unknown","Wood",NA,"16 inches on center",NA,"Yes","Unknown","Unknown","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1419","Sloped / Vaulted (no Attic)",NA,"492","No",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","9","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0325839035516455","30.69","0.0577432729518063","28.4096902922887"
"SITE_142","Attic",NA,"194","Yes",NA,"2x8","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","10","Unknown",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0293255131964809","34.1","0.0828083309833204","16.0648162107642"
"SITE_1420","Attic",NA,"2737","Yes",NA,"2x2","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","10","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0292654375182909","34.17","0.0338308066122656","92.5949176977708"
"SITE_1420","Sloped / Vaulted (no Attic)",NA,"523.7","No",NA,"2x6","Wood",NA,"Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1421","Attic",NA,"818","Yes",NA,"2x4","Wood",NA,"16 inches on center",NA,"Yes","Fiberglass batts","6","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0488758553274682","20.46","0.0496207780129755","40.589796414614"
"SITE_1421","Sloped / Vaulted (no Attic)",NA,"1109","No",NA,"Unknown","Unknown",NA,"Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA
"SITE_1422","Attic",NA,"731.8","No",NA,"Unknown","Wood",NA,"Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1422","Sloped / Vaulted (no Attic)",NA,"459.7","No",NA,"2x6","Wood",NA,"16 inches on center",NA,"Yes","Unknown","Unknown","0.9",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1423","Attic",NA,"773","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","12","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0243878645985757","41.004","0.0301634575506074","23.3163526866195"
"SITE_1423","Other","Below garage","572","No",NA,"2x12","Wood",NA,"16 inches on center",NA,"Yes","Fiberglass batts","12","1",NA,NA,NA,NA,NA,NA,"Other","Spoke to homeowner","0.0244379276637341","40.92","0.0873683120960446","49.9746745189375"
"SITE_1424","Attic",NA,"589","No",NA,"Unknown","Wood",NA,"16 inches on center",NA,"Yes","Fiberglass batts","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1424","Sloped / Vaulted (no Attic)",NA,"531","No",NA,"Unknown","Wood",NA,"16 inches on center",NA,"Yes","Fiberglass batts","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1425","Attic",NA,"1140","Yes",NA,"2x12","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","8","0.5","None","0","Unknown","None","0","Unknown","Visual inspection",NA,"0.0365817968978636","27.336","0.281345535313112","320.733910256948"
"SITE_1426","Attic",NA,"1087","Yes",NA,"2x4","Wood",NA,"Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA
"SITE_1427","Attic",NA,"851.4","No",NA,"2x4","Wood",NA,"16 inches on center",NA,"Yes","Mineral wool batts","12","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0231481481481481","43.2","0.0289666244744173","24.6621840775189"
"SITE_1428","Attic",NA,"335","Yes",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","12","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0244379276637341","40.92","0.0302116572405691","10.1209051755906"
"SITE_1428","Attic",NA,"267","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","6","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0488758553274682","20.46","0.0496207780129755","13.2487477294645"
"SITE_1428","Sloped / Vaulted (no Attic)",NA,"857","No",NA,"Unknown","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","Unknown","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1429","Attic",NA,"860","No",NA,"Unknown","Wood",NA,"24 inches on center",NA,"Yes","Unknown","Unknown","0.9","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_143","Attic",NA,"362","Yes",NA,"2x4","Wood",NA,"Unknown",NA,"Yes","Fiberglass batts","10","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0293255131964809","34.1","0.0338863936501365","12.2668745013494"
"SITE_1430","Other","Flat roof","1062.6","No",NA,"Unknown","Unknown",NA,"Unknown",NA,"Yes","Unknown","Unknown","0.9",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1431","Attic",NA,"667","No",NA,"Unknown","Wood",NA,"Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1432","Other","Open insulation to outdoors above ceiling,  no attic","1598","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","18","0.75",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0162919517758227","61.38","0.0430719401556646","68.8289603687521"
"SITE_1433","Sloped / Vaulted (no Attic)",NA,"2024.4","No",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Unknown","Unknown","0.9",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1434","Attic",NA,"850","Yes",NA,"2x4","Wood",NA,"30 inches on center",NA,"Yes","Fiberglass batts","6","0.75",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0488758553274682","20.46","0.168080548567465","142.868466282346"
"SITE_1435","Sloped / Vaulted (no Attic)",NA,"2476","No",NA,"Unknown","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
