"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_190","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","SE","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_1902","1","Fixed","648","Estimated","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"36","18","No",NA,NA,"648","Unknown","Unknown"
"SITE_191","1","Fixed","1200","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"50","24","Yes","No","No","1200","0.38","3.17"
"SITE_191","1","Fixed","1200","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"50","24","Yes","No","No","1200","0.38","3.17"
"SITE_191","1","Fixed","2500","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"50","50","Yes","No","No","2500","0.38","6.6"
"SITE_191","1","Fixed","1152","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"48","24","Yes","No","No","1152","0.38","3.04"
"SITE_192","2","Fixed","254","Measured or Known","Vinyl","Double","Unknown","Unknown","Circle",NA,"18","18","No",NA,NA,"254","0.38","1.34"
"SITE_192","1","Fixed","452","Measured or Known","Vinyl","Double","Unknown","North","Circle",NA,"24","24","No",NA,NA,"452","0.38","1.19"
"SITE_192","1","Fixed","452","Measured or Known","Vinyl","Double","Unknown","South","Circle",NA,"24","24","No",NA,NA,"452","0.38","1.19"
"SITE_192","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_1924","1","Fixed","1260","Unknown","Unknown","Single","Unknown","West","Rectangle / Square",NA,"45","28","No",NA,NA,"1260","Unknown","Unknown"
"SITE_1924","1","Fixed","1296","Estimated","Unknown","Single","Unknown","East","Rectangle / Square",NA,"36","36","No",NA,NA,"1296","Unknown","Unknown"
"SITE_1928","1","Fixed","1564","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"46","34","No",NA,NA,"1564","0.38","4.13"
"SITE_1928","1","Fixed","1564","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"46","34","No",NA,NA,"1564","0.38","4.13"
"SITE_193","1","Fixed","1260","Estimated","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"42","30","No",NA,NA,"1260","Unknown","Unknown"
"SITE_193","1","Fixed","576","Estimated","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","Unknown","Unknown"
"SITE_193","1","Fixed","864","Estimated","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"48","18","No",NA,NA,"864","Unknown","Unknown"
"SITE_197","1","Fixed","990","Estimated","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"55","18","No",NA,NA,"990","Unknown","Unknown"
"SITE_1981","1","Open","1292","Estimated","Vinyl","Unknown","Electric","East","Rectangle / Square",NA,"68","19","Yes","No","No","1292","Unknown","Unknown"
"SITE_1981","1","Fixed","1292","Measured or Known","Wood - bare","Unknown","Unknown","East","Rectangle / Square",NA,"68","19","Yes","No","No","1292","Unknown","Unknown"
"SITE_1981","2","Open","1292","Estimated","Vinyl","Unknown","Electric","East","Rectangle / Square",NA,"68","19","Yes","No","No","1292","Unknown","Unknown"
"SITE_1981","1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Rectangle / Square",NA,"Unknown","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown"
