"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_327","2","Fixed","1000","Measured or Known","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"50","20","No",NA,NA,"1000","Unknown","Unknown"
"SITE_334","1","Fixed","1152","Estimated","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.7","5.6"
"SITE_334","1","Fixed","1152","Measured or Known","Aluminum","Double","Unknown","North","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.7","5.6"
"SITE_335","1","Fixed","864","Estimated","Unknown","Double","Unknown","East","Rectangle / Square",NA,"48","18","No",NA,NA,"864","Unknown","Unknown"
"SITE_335","2","Fixed","864","Measured or Known","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"48","18","No",NA,NA,"864","0.38","4.56"
"SITE_335","1","Fixed","756","Estimated","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"42","18","No",NA,NA,"756","0.38","2"
"SITE_339","1","Fixed","314","Measured or Known","Unknown","Unknown","Unknown","West","Circle",NA,"20","20","No",NA,NA,"314","Unknown","Unknown"
"SITE_339","1","Fixed","1764","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"42","42","Yes","Unknown","Yes","1764","Unknown","Unknown"
"SITE_339","1","Fixed","314","Measured or Known","Unknown","Unknown","Unknown","East","Circle",NA,"20","20","No",NA,NA,"314","Unknown","Unknown"
"SITE_339","1","Fixed","960","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"48","20","No",NA,NA,"960","Unknown","Unknown"
