"SiteID","RoomID","Room_Type","Room_Type_Other","Area","Area_Is_Estimated","Space_Cooling","Space_Heating","Ceiling_Height","Ceiling_Height_Is_Estimated","Duct_Registers_Present"
"SITE_768","ROOM_4404","Bedroom",NA,"105","Measured or Known","Directly Cooled","Directly Heated","7.9","Measured or Known","Yes"
"SITE_768","ROOM_21381","Bedroom",NA,"189","Measured or Known","Directly Cooled","Directly Heated","7.9","Measured or Known","Yes"
"SITE_768","ROOM_4733","Bathroom",NA,"41.16","Measured or Known","Directly Cooled","Directly Heated","7.9","Measured or Known","Yes"
"SITE_768","ROOM_38701","Bedroom",NA,"96","Measured or Known","Directly Cooled","Directly Heated","7.9","Measured or Known","Yes"
"SITE_768","ROOM_22179","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_769","ROOM_10952","Living Room",NA,"310","Measured or Known","Directly Cooled","Directly Heated","10","Measured or Known","Yes"
"SITE_769","ROOM_16290","Hallway",NA,"41.65","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Equipment in the Space","9","Measured or Known","No"
"SITE_769","ROOM_44382","Bedroom",NA,"118.25","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_769","ROOM_17895","Bathroom",NA,"36.75","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_769","ROOM_28668","Office",NA,"143","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_769","ROOM_7740","Office",NA,"115.5","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_769","ROOM_26878","Dining Room",NA,"174.9","Measured or Known","Directly Cooled","Directly Heated","10","Measured or Known","Yes"
"SITE_769","ROOM_21963","Kitchen",NA,"159.33","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_769","ROOM_26656","Hallway",NA,"58.5","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_769","ROOM_45035","Closet",NA,"25.65","Measured or Known","Not Cooled","Unheated","9","Measured or Known","No"
"SITE_769","ROOM_26020","Laundry",NA,"22.05","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Equipment in the Space","9","Measured or Known","No"
"SITE_769","ROOM_41591","Garage",NA,"730.51","Measured or Known","Not Cooled","Unheated","10","Measured or Known","No"
"SITE_769","ROOM_25796","Bedroom",NA,"215.45","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_769","ROOM_27526","Bathroom",NA,"223","Estimated","Directly Cooled","Directly Heated","11","Measured or Known","Yes"
"SITE_769","ROOM_26594","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_77","ROOM_9435","Closet",NA,"59.125","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","No"
"SITE_77","ROOM_36840","Laundry",NA,"142.8","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_37090","Bathroom",NA,"80.34","Measured or Known","Directly Cooled","Directly Heated","7.9",NA,"Yes"
"SITE_77","ROOM_7247","Bedroom",NA,"126.38","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_9888","Hallway",NA,"169.46","Measured or Known","Directly Cooled","Directly Heated","7.9","Measured or Known","Yes"
"SITE_77","ROOM_11833","Dining Room",NA,"189.6","Measured or Known","Directly Cooled","Directly Heated","7.9","Measured or Known","Yes"
"SITE_77","ROOM_41117","Kitchen",NA,"175.2","Measured or Known","Directly Cooled","Directly Heated","7.9","Measured or Known","Yes"
"SITE_77","ROOM_41406","Dining Room",NA,"375.23","Measured or Known","Directly Cooled","Directly Heated","13.9","Measured or Known","Yes"
"SITE_77","ROOM_8079","Entry/Entryway",NA,"116.9","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_40667","Family Room",NA,"298.85","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_20665","Basement",NA,"462","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_44263","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_77","ROOM_31308","Garage",NA,"736","Measured or Known","Not Cooled","Unheated","11","Measured or Known","No"
"SITE_77","ROOM_11847","Hallway",NA,"101.25","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_28506","Bedroom",NA,"133.875","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_37457","Closet",NA,"133.875","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_10066","Bedroom",NA,"133.875","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_13884","Bedroom",NA,"133.875","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_5204","Closet",NA,"23.625","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_77","ROOM_19473","Bathroom",NA,"108","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_17209","Basement",NA,"144","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_77","ROOM_15060","Hallway",NA,"152","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_77","ROOM_14806","Bedroom",NA,"156","Measured or Known","Directly Cooled","Directly Heated","10","Measured or Known","Yes"
"SITE_77","ROOM_7693","Bathroom",NA,"48.125","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_77","ROOM_7814","Bedroom",NA,"259","Measured or Known","Directly Cooled","Directly Heated","10","Measured or Known","Yes"
"SITE_77","ROOM_46356","Bathroom",NA,"84","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_770","ROOM_28830","Bedroom",NA,"166.95","Measured or Known","Not Cooled","Directly Heated","8.25","Measured or Known","Yes"
"SITE_770","ROOM_13977","Bathroom",NA,"73","Measured or Known","Not Cooled","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8",NA,"No"
"SITE_770","ROOM_13961","Bedroom",NA,"124.08","Measured or Known","Not Cooled","Directly Heated","8.3","Measured or Known","Yes"
"SITE_770","ROOM_5666","Family Room",NA,"321","Measured or Known","Not Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_770","ROOM_24245","Laundry",NA,"112","Measured or Known","Not Cooled","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","9","Measured or Known","No"
"SITE_770","ROOM_6707","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_770","ROOM_16873","Bedroom",NA,"110.92","Measured or Known","Not Cooled","Directly Heated","8.3","Measured or Known","Yes"
"SITE_770","ROOM_43829","Bedroom",NA,"42.5","Measured or Known","Not Cooled","Directly Heated","8.5",NA,"Yes"
"SITE_770","ROOM_10921","Hallway",NA,"792","Measured or Known","Not Cooled","Directly Heated","8.5","Measured or Known","Yes"
"SITE_770","ROOM_12541","Kitchen",NA,"290.4","Measured or Known","Not Cooled","Directly Heated","8.5","Measured or Known","Yes"
"SITE_771","ROOM_790","Bathroom",NA,"94.25","Measured or Known","Directly Cooled","Directly Heated","7.75","Measured or Known","Yes"
"SITE_771","ROOM_32046","Bedroom",NA,"195.75","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_1135","Bedroom",NA,"192.125","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_17723","Family Room",NA,"491.5625","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_35700","Mechanical",NA,"83.125","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_771","ROOM_33594","Bedroom",NA,"324.0625","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_271","Bathroom",NA,"99.875","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_21259","Hallway",NA,"56.875","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_771","ROOM_214","Bedroom",NA,"168.75","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_7787","Bathroom",NA,"86.625","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_6561","Living Room",NA,"309.375","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_43867","Dining Room",NA,"140.25","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_17887","Entry/Entryway",NA,"140.25","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_43371","Laundry",NA,"75.5625","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_25088","Kitchen",NA,"175","Measured or Known","Directly Cooled","Directly Heated","10","Measured or Known","Yes"
"SITE_771","ROOM_6384","Garage",NA,"911.625","Measured or Known","Not Cooled","Directly Heated","9.5","Measured or Known","Yes"
"SITE_771","ROOM_3968","Garage",NA,"627.75","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","13.5","Measured or Known","No"
"SITE_771","ROOM_30647","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_771","ROOM_11143","Other","Storage","455","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_771","ROOM_27245","Hallway","Stairway","136","Measured or Known","Directly Cooled","Directly Heated","10","Measured or Known","Yes"
"SITE_772","ROOM_26686","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_772","ROOM_21522","Bedroom",NA,"136.8","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_772","ROOM_25053","Bedroom",NA,"331","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_772","ROOM_33250","Bathroom",NA,"131","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_772","ROOM_29352","Bathroom",NA,"51.59","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_772","ROOM_31960","Laundry",NA,"106.92","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_772","ROOM_28834","Family Room",NA,"385","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_772","ROOM_17327","Kitchen",NA,"356.44","Measured or Known","Directly Cooled","Directly Heated","8",NA,"Yes"
"SITE_772","ROOM_21831","Other","Photo studio","328.8","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","7.5","Measured or Known","No"
"SITE_772","ROOM_30936","Bedroom",NA,"156.35","Measured or Known","Directly Cooled","Directly Heated","7.3","Measured or Known","Yes"
"SITE_772","ROOM_13255","Bathroom",NA,"100","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","7.4","Measured or Known","No"
"SITE_772","ROOM_9868","Mechanical",NA,"204.33","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Equipment in the Space","8.1","Measured or Known","No"
"SITE_772","ROOM_32827","Entry/Entryway",NA,"288.1","Measured or Known","Directly Cooled","Directly Heated","7.4","Measured or Known","Yes"
"SITE_772","ROOM_12290","Garage",NA,"655.65","Measured or Known","Not Cooled","Unheated","8.3","Measured or Known","No"
"SITE_772","ROOM_7342","Hallway",NA,"80","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_772","ROOM_30400","Office",NA,"159.3","Measured or Known","Unknown","Directly Heated","7.4","Measured or Known","Yes"
"SITE_773","ROOM_34247","Bedroom",NA,"126","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_773","ROOM_45314","Bedroom",NA,"318","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_773","ROOM_13301","Bathroom",NA,"135","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_773","ROOM_5903","Closet",NA,"105","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_773","ROOM_9179","Bathroom",NA,"55","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_773","ROOM_5238","Bedroom",NA,"149.5","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_773","ROOM_36690","Hallway",NA,"94","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_773","ROOM_13549","Entry/Entryway",NA,"191.25","Measured or Known","Directly Cooled","Directly Heated","18","Measured or Known","Yes"
"SITE_773","ROOM_46366","Office",NA,"147","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_773","ROOM_15271","Bathroom",NA,"32.5","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_773","ROOM_27772","Living Room",NA,"229.5","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_773","ROOM_682","Kitchen",NA,"385","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_773","ROOM_25821","Family Room",NA,"155","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_773","ROOM_35886","Laundry",NA,"56","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_773","ROOM_8675","Garage",NA,"750.75","Measured or Known","Not Cooled","Unheated","10","Measured or Known","No"
"SITE_773","ROOM_22762","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_774","ROOM_3417","Kitchen",NA,"119.84","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","7.6","Measured or Known","No"
"SITE_774","ROOM_39371","Dining Room",NA,"229.84","Measured or Known","Directly Cooled","Directly Heated","7.6","Measured or Known","Yes"
"SITE_774","ROOM_8479","Family Room",NA,"296.48","Measured or Known","Directly Cooled","Directly Heated","7.6","Measured or Known","Yes"
"SITE_774","ROOM_2563","Hallway",NA,"53.1","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","7.6","Measured or Known","Yes"
"SITE_774","ROOM_37867","Bedroom",NA,"160.95","Measured or Known","Directly Cooled","Directly Heated","7.6","Measured or Known","Yes"
"SITE_774","ROOM_35566","Bathroom",NA,"26","Measured or Known","Directly Cooled","Directly Heated","7.6","Measured or Known","Yes"
"SITE_774","ROOM_3905","Bedroom",NA,"124.3","Measured or Known","Directly Cooled","Directly Heated","7.6","Measured or Known","Yes"
"SITE_774","ROOM_33060","Bedroom",NA,"123.21","Measured or Known","Directly Cooled","Directly Heated","7.6","Measured or Known","Yes"
"SITE_774","ROOM_42140","Bathroom",NA,"52","Measured or Known","Directly Cooled","Directly Heated","7.6","Measured or Known","Yes"
"SITE_774","ROOM_35128","Closet",NA,"6.09","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Equipment in the Space","7.7","Measured or Known","Yes"
"SITE_774","ROOM_22785","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_774","ROOM_44386","Garage",NA,"438.48","Measured or Known","Not Cooled","Unheated","8.3","Measured or Known","No"
"SITE_775","ROOM_31133","Garage",NA,"501.4","Measured or Known","Not Cooled","Indirectly Heated from Equipment in the Space","9.6","Measured or Known","No"
"SITE_775","ROOM_18531","Laundry",NA,"84","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_775","ROOM_38772","Kitchen",NA,"189.28","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_775","ROOM_41320","Entry/Entryway",NA,"69.3","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_775","ROOM_38096","Hallway",NA,"107.2","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","Yes"
"SITE_775","ROOM_8683","Bathroom",NA,"44.5","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_775","ROOM_641","Bedroom",NA,"152","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_775","ROOM_3330","Bedroom",NA,"238.68","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_775","ROOM_14516","Closet",NA,"45","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8","Measured or Known","No"
"SITE_775","ROOM_7362","Bathroom",NA,"105.93","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_775","ROOM_45778","Bedroom",NA,"131.3","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_775","ROOM_15525","Family Room",NA,"141.45","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_775","ROOM_36745","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_775","ROOM_2152","Living Room",NA,"484.8","Measured or Known","Directly Cooled","Directly Heated","9.4","Measured or Known","Yes"
"SITE_776","ROOM_18716","Garage",NA,"805","Measured or Known","Not Cooled","Unheated","9.3","Measured or Known","Yes"
