NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36438,,185,,21930,,463,,1441,,234,,1400,,275,,1855,,284,,2260,,332,,1659,,293,,1456,,273,,2055,,278,,2325,,257,,57,,41,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",157541,,232,,108892,,1048,,6563,,498,,1809,,339,,4734,,475,,7232,,651,,6899,,597,,3553,,339,,7315,,540,,10283,,635,,261,,137,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21601,,115,,15068,,408,,662,,157,,814,,224,,1296,,200,,586,,170,,705,,217,,721,,160,,527,,157,,1207,,182,,15,,15,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20614,,83,,15152,,380,,353,,90,,703,,188,,663,,156,,329,,105,,342,,135,,257,,92,,150,,60,,2544,,278,,121,,82,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30467,,94,,21707,,596,,532,,158,,931,,201,,637,,172,,859,,195,,365,,130,,498,,164,,369,,90,,4395,,432,,174,,106,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",156118,,381,,98226,,1143,,8261,,578,,5069,,472,,6283,,628,,6408,,598,,5814,,644,,4676,,484,,6578,,389,,14157,,735,,646,,213,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30550,,143,,20659,,568,,498,,132,,701,,158,,1054,,193,,1252,,220,,508,,141,,621,,133,,494,,136,,4531,,428,,232,,97,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48795,,97,,32871,,531,,1540,,243,,2156,,324,,2295,,365,,1511,,316,,956,,224,,716,,141,,779,,169,,5790,,477,,181,,93,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",121245,,260,,76679,,1104,,5472,,553,,3041,,408,,5859,,584,,7007,,729,,4831,,609,,2940,,392,,4900,,423,,10357,,550,,159,,90,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",325163,,490,,183587,,1453,,13874,,767,,13589,,979,,19328,,1006,,18052,,983,,17286,,877,,18026,,889,,34147,,1039,,6734,,483,,540,,147,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30283,,155,,20863,,505,,955,,183,,751,,199,,1456,,250,,1474,,314,,1077,,247,,674,,206,,803,,172,,2187,,348,,43,,38,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",213520,,208,,125710,,1180,,16196,,766,,4503,,537,,10782,,785,,14617,,818,,13658,,949,,8753,,741,,13323,,793,,5868,,493,,110,,91,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37137,,194,,25323,,655,,1953,,287,,1024,,185,,1067,,209,,892,,233,,948,,237,,1002,,232,,1128,,212,,3677,,328,,123,,86,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",168178,,178,,112670,,983,,8919,,522,,5510,,496,,6689,,549,,8744,,757,,6244,,561,,4215,,497,,7196,,494,,7762,,504,,229,,99,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9797,,54,,7249,,329,,160,,96,,348,,150,,226,,99,,212,,103,,82,,77,,43,,39,,0,,22,,1475,,244,,2,,4,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5614,,23,,4101,,173,,37,,21,,122,,57,,147,,57,,53,,31,,18,,18,,65,,27,,0,,19,,1045,,171,,26,,26,,0500000US53059,"Skamania County, Washington",0500000US53059
