NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36301,,202,,21334,,461,,1350,,218,,1412,,252,,1868,,299,,2275,,284,,1973,,317,,1643,,273,,1979,,248,,2425,,257,,42,,32,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",156933,,190,,108371,,1082,,6393,,479,,1877,,301,,4605,,471,,7432,,709,,7202,,626,,3210,,408,,7834,,626,,9752,,542,,257,,130,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21563,,110,,15069,,503,,600,,144,,965,,233,,1354,,259,,551,,168,,601,,188,,593,,121,,522,,157,,1282,,202,,26,,26,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20639,,70,,15246,,353,,331,,90,,613,,162,,775,,176,,345,,110,,287,,112,,175,,66,,139,,73,,2599,,267,,129,,78,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30569,,121,,21556,,564,,549,,176,,1038,,222,,664,,184,,832,,190,,387,,139,,522,,175,,424,,112,,4468,,391,,129,,85,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",155815,,374,,97381,,1232,,8466,,620,,5225,,528,,6663,,518,,6795,,617,,5765,,545,,4738,,493,,6145,,535,,14024,,636,,613,,193,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30516,,123,,20565,,516,,433,,115,,634,,183,,1020,,188,,1314,,252,,582,,167,,764,,148,,463,,127,,4490,,364,,251,,89,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48718,,94,,32473,,532,,1549,,222,,2331,,366,,2451,,358,,1386,,279,,855,,223,,738,,162,,614,,153,,6170,,424,,151,,74,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",121057,,294,,76491,,975,,5685,,594,,3253,,463,,5828,,566,,7153,,582,,4370,,477,,2986,,422,,4916,,464,,10213,,571,,162,,84,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",324192,,382,,183489,,1572,,13103,,644,,13603,,809,,19028,,928,,17615,,963,,18054,,937,,18223,,845,,33881,,809,,6657,,513,,539,,166,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30190,,158,,20983,,450,,939,,181,,842,,193,,1487,,305,,1305,,273,,960,,264,,596,,167,,814,,204,,2198,,296,,66,,63,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",212386,,226,,125870,,1286,,16215,,886,,4311,,488,,10077,,818,,14823,,971,,14222,,808,,8844,,660,,12209,,719,,5740,,396,,75,,64,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37056,,156,,25257,,544,,1826,,250,,1123,,225,,1066,,211,,983,,214,,1019,,269,,903,,175,,1099,,209,,3676,,300,,104,,65,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",167412,,215,,112388,,1039,,9146,,488,,5278,,523,,6540,,556,,9049,,596,,6344,,549,,3662,,385,,6939,,460,,7763,,548,,303,,127,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9774,,67,,7235,,256,,130,,76,,312,,112,,192,,93,,222,,95,,89,,90,,30,,33,,0,,22,,1563,,206,,1,,4,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5607,,25,,4115,,164,,26,,20,,105,,53,,160,,56,,76,,46,,13,,15,,50,,28,,0,,19,,1029,,165,,33,,23,,0500000US53059,"Skamania County, Washington",0500000US53059
