NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",38713,,249,,22684,,620,,2008,,276,,1052,,275,,2290,,273,,3088,,412,,1624,,315,,1515,,285,,1965,,265,,2366,,282,,121,,53,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",168828,,180,,115639,,1516,,8228,,684,,1997,,333,,5006,,564,,7424,,724,,5901,,519,,5032,,772,,9503,,748,,9695,,721,,403,,153,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22609,,81,,15606,,473,,613,,170,,1218,,293,,1438,,291,,655,,170,,379,,135,,721,,186,,604,,192,,1331,,188,,44,,43,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21421,,70,,15568,,492,,316,,137,,766,,242,,654,,195,,366,,143,,329,,150,,139,,71,,355,,167,,2801,,334,,127,,93,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",31246,,83,,21159,,574,,628,,153,,1255,,328,,806,,225,,800,,215,,756,,271,,400,,144,,455,,176,,4897,,473,,90,,68,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",163617,,250,,101558,,1129,,8691,,552,,5060,,605,,7003,,638,,8015,,671,,6307,,657,,4859,,627,,7937,,616,,13371,,729,,816,,242,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31751,,74,,21234,,699,,1349,,227,,639,,147,,917,,195,,1333,,255,,534,,163,,586,,143,,250,,73,,4470,,546,,439,,119,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",50936,,144,,33714,,742,,2085,,433,,1242,,290,,1879,,322,,1667,,264,,1519,,290,,1023,,273,,893,,227,,6681,,604,,233,,133,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",127505,,367,,79676,,1292,,4566,,539,,3461,,537,,7149,,667,,8015,,704,,5709,,705,,3467,,663,,4711,,634,,10481,,774,,270,,153,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",353735,,399,,195299,,1894,,16196,,882,,11820,,937,,18375,,1091,,16904,,1032,,20240,,1027,,23470,,1140,,45137,,1601,,5625,,541,,669,,208,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",32572,,114,,21912,,660,,1259,,288,,1283,,333,,1725,,350,,1251,,339,,972,,267,,777,,289,,850,,191,,2345,,344,,198,,105,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",232032,,236,,135416,,1579,,19820,,934,,3833,,512,,11961,,918,,17060,,1216,,14550,,910,,8043,,694,,16013,,1093,,5155,,445,,181,,196,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",39504,,199,,27559,,565,,2090,,355,,1026,,259,,1121,,273,,911,,188,,824,,197,,826,,256,,1145,,278,,3798,,386,,204,,97,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",186317,,171,,128798,,1362,,9115,,613,,5493,,553,,6517,,751,,8532,,785,,6655,,682,,4194,,463,,9235,,648,,7528,,535,,250,,115,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10626,,58,,7800,,298,,129,,86,,341,,123,,264,,120,,53,,38,,110,,94,,88,,54,,58,,57,,1737,,280,,46,,67,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5937,,31,,4499,,189,,60,,29,,130,,64,,137,,62,,43,,28,,21,,18,,30,,23,,3,,5,,921,,186,,93,,48,,0500000US53059,"Skamania County, Washington",0500000US53059
