NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",40092,,72,,23297,,623,,2134,,321,,985,,264,,2477,,352,,3088,,404,,1661,,306,,1782,,302,,2243,,321,,2303,,271,,122,,67,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",170723,,213,,116962,,1655,,7864,,707,,2231,,363,,5457,,651,,7766,,723,,6370,,657,,4781,,595,,9400,,754,,9536,,753,,356,,165,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",23060,,37,,15783,,553,,601,,167,,1338,,395,,1462,,339,,753,,215,,409,,160,,835,,208,,498,,193,,1256,,223,,125,,97,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21773,,60,,16001,,480,,484,,153,,676,,242,,588,,190,,293,,137,,280,,171,,136,,68,,213,,134,,2894,,344,,208,,128,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",31476,,45,,21503,,674,,512,,148,,1243,,356,,923,,233,,707,,213,,753,,282,,521,,189,,584,,220,,4524,,469,,206,,115,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",166750,,170,,103013,,1390,,8792,,690,,5375,,597,,7373,,750,,8011,,766,,6033,,640,,4699,,562,,8891,,618,,13755,,941,,808,,179,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",32094,,37,,21196,,569,,1320,,215,,622,,176,,953,,225,,1435,,269,,524,,147,,597,,148,,342,,117,,4601,,437,,504,,128,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",52145,,58,,33782,,913,,2242,,418,,1309,,234,,2148,,398,,1530,,329,,1684,,339,,1075,,257,,809,,213,,7212,,746,,354,,171,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",129065,,110,,80320,,1365,,4682,,607,,3448,,563,,7032,,753,,8289,,811,,6287,,818,,3664,,649,,4863,,605,,10142,,708,,338,,208,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",363661,,163,,196542,,2438,,18475,,952,,12238,,1060,,18449,,1355,,17251,,1207,,20091,,1029,,23610,,1286,,50515,,1564,,5849,,531,,641,,158,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",33916,,42,,23097,,696,,1069,,274,,1419,,356,,1536,,412,,1501,,322,,1152,,316,,767,,214,,1063,,229,,1994,,323,,318,,112,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",237586,,157,,137697,,1509,,20175,,1130,,3649,,478,,12939,,1158,,17588,,1157,,14618,,980,,8440,,717,,17328,,1042,,4833,,463,,319,,206,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",40239,,93,,27763,,610,,2017,,397,,864,,237,,1355,,281,,1256,,292,,878,,249,,1099,,256,,1085,,304,,3819,,486,,103,,72,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",196557,,120,,133821,,1351,,10885,,771,,5638,,603,,6383,,689,,9091,,749,,6474,,668,,4866,,555,,11186,,737,,7870,,619,,343,,150,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10602,,27,,7995,,376,,160,,91,,145,,74,,207,,99,,162,,132,,33,,32,,57,,45,,35,,52,,1740,,331,,68,,83,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5830,,27,,4545,,189,,71,,38,,158,,58,,122,,50,,23,,17,,29,,29,,55,,31,,7,,10,,730,,146,,90,,56,,0500000US53059,"Skamania County, Washington",0500000US53059
