NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",38037,,202,,22372,,474,,1879,,263,,1261,,224,,1992,,358,,3176,,383,,1985,,361,,1278,,237,,1638,,234,,2363,,279,,93,,46,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",165422,,205,,114069,,946,,7066,,558,,2394,,412,,4946,,581,,7473,,649,,6951,,602,,4306,,442,,7947,,492,,9976,,486,,294,,126,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22303,,89,,15572,,429,,688,,193,,953,,204,,1312,,255,,717,,167,,290,,111,,773,,206,,608,,154,,1359,,207,,31,,37,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21116,,85,,15187,,423,,377,,134,,669,,173,,512,,173,,451,,181,,330,,147,,249,,119,,217,,99,,3074,,312,,50,,34,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30971,,89,,20927,,494,,905,,208,,928,,216,,670,,175,,1032,,222,,354,,115,,631,,196,,413,,121,,4990,,431,,121,,70,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",161531,,280,,100317,,1183,,8488,,623,,4895,,491,,6942,,592,,7640,,628,,6386,,606,,4971,,433,,7369,,549,,13761,,691,,762,,232,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31328,,111,,21383,,492,,1141,,231,,818,,178,,905,,195,,1004,,186,,745,,184,,646,,145,,278,,84,,3981,,338,,427,,133,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",50011,,171,,33826,,701,,1711,,303,,1375,,258,,2007,,334,,1646,,293,,1441,,288,,1042,,243,,995,,199,,5882,,408,,86,,70,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",125190,,321,,78460,,1032,,4472,,434,,3446,,434,,7390,,603,,8245,,719,,4895,,567,,2774,,412,,4247,,441,,10991,,577,,270,,85,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",342746,,434,,189720,,1665,,15521,,864,,12562,,889,,19026,,975,,17332,,1107,,19858,,975,,22144,,1086,,39608,,1173,,6324,,448,,651,,193,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",31762,,95,,21526,,477,,1305,,261,,1061,,243,,1407,,250,,1214,,221,,851,,206,,777,,192,,1046,,253,,2431,,295,,144,,98,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",226355,,246,,132753,,1069,,18291,,735,,4215,,564,,10790,,704,,16741,,895,,13958,,810,,8874,,664,,15168,,846,,5466,,414,,99,,49,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",38632,,194,,26383,,519,,1785,,270,,1146,,256,,789,,219,,1209,,246,,1060,,280,,696,,199,,1118,,202,,4276,,438,,170,,101,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",179523,,185,,123675,,1034,,8241,,554,,5451,,426,,6600,,581,,7995,,573,,7139,,659,,3525,,402,,8474,,511,,8104,,472,,319,,163,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10301,,81,,7600,,334,,84,,51,,403,,161,,261,,125,,133,,59,,82,,75,,142,,94,,30,,35,,1522,,283,,44,,66,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5818,,44,,4006,,171,,33,,25,,220,,96,,152,,64,,61,,34,,36,,25,,66,,30,,3,,4,,1131,,169,,110,,58,,0500000US53059,"Skamania County, Washington",0500000US53059
