NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36701,,216,,21706,,534,,1409,,221,,1364,,247,,1970,,330,,2409,,324,,1707,,285,,1487,,274,,2168,,262,,2418,,282,,63,,34,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",158669,,153,,108969,,978,,6578,,509,,2174,,377,,4925,,556,,7381,,553,,6554,,578,,3678,,419,,7285,,542,,10888,,608,,237,,114,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21693,,118,,15238,,418,,707,,166,,885,,203,,1244,,232,,547,,140,,551,,184,,756,,171,,516,,166,,1227,,187,,22,,20,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20678,,60,,15167,,378,,317,,85,,674,,174,,579,,144,,374,,99,,333,,142,,257,,118,,126,,59,,2756,,317,,95,,56,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30511,,134,,21355,,505,,583,,192,,885,,169,,655,,176,,1010,,233,,374,,122,,539,,154,,475,,109,,4478,,400,,157,,111,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",156815,,437,,98756,,1044,,8261,,533,,5222,,476,,6344,,510,,6580,,606,,5404,,530,,4732,,456,,6767,,502,,14161,,634,,588,,196,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30656,,102,,20503,,473,,627,,142,,733,,178,,1098,,197,,1256,,226,,505,,130,,579,,146,,514,,129,,4591,,386,,250,,104,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48988,,99,,33417,,645,,1410,,241,,1993,,339,,2283,,357,,1506,,326,,1043,,223,,713,,160,,877,,221,,5604,,426,,142,,68,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",121706,,295,,77001,,1078,,5676,,622,,2707,,423,,6246,,601,,6507,,593,,4747,,551,,2951,,359,,5284,,468,,10316,,536,,271,,125,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",326952,,358,,183478,,1519,,13966,,761,,13717,,844,,19650,,1039,,18351,,802,,17186,,969,,18628,,851,,34775,,1140,,6610,,460,,591,,169,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30445,,122,,20670,,415,,1030,,232,,811,,231,,1486,,282,,1297,,269,,1158,,253,,811,,221,,907,,199,,2247,,263,,28,,31,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",215140,,236,,126285,,1260,,16828,,863,,4420,,473,,10735,,747,,14882,,803,,13830,,794,,8750,,671,,13373,,714,,5908,,514,,129,,76,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37292,,175,,25013,,613,,2160,,332,,951,,227,,899,,188,,1135,,254,,1173,,286,,974,,234,,1198,,232,,3667,,332,,122,,73,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",169520,,206,,114630,,964,,8605,,511,,5590,,522,,6594,,523,,8717,,632,,6494,,556,,3526,,354,,7175,,465,,8031,,479,,158,,69,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9857,,79,,7334,,304,,163,,90,,311,,109,,254,,126,,180,,81,,32,,30,,105,,81,,0,,22,,1476,,231,,2,,4,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5637,,32,,4039,,180,,32,,24,,182,,81,,142,,46,,67,,36,,18,,14,,73,,27,,0,,19,,1040,,146,,44,,25,,0500000US53059,"Skamania County, Washington",0500000US53059
