NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36097,,251,,21171,,501,,1341,,212,,1360,,257,,1779,,319,,2367,,328,,2166,,355,,1540,,229,,1824,,276,,2503,,247,,46,,34,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",156150,,169,,107999,,1161,,6133,,495,,1915,,331,,4432,,469,,7460,,716,,7403,,596,,3200,,333,,7665,,560,,9639,,628,,304,,148,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21461,,131,,14800,,447,,660,,180,,948,,211,,1238,,244,,565,,137,,589,,179,,713,,198,,529,,139,,1394,,204,,25,,25,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20600,,73,,15403,,364,,359,,90,,490,,139,,740,,152,,348,,131,,266,,123,,139,,70,,155,,80,,2586,,320,,114,,83,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30557,,182,,21377,,541,,429,,147,,1056,,258,,645,,174,,950,,269,,396,,139,,463,,167,,371,,116,,4723,,419,,147,,116,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",155320,,612,,96322,,1166,,8504,,531,,4949,,580,,6988,,659,,6979,,640,,6111,,637,,4437,,459,,6113,,467,,14333,,643,,584,,193,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30383,,141,,20348,,578,,506,,165,,758,,243,,1067,,240,,1144,,244,,591,,170,,1019,,236,,364,,125,,4425,,449,,161,,74,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",48461,,118,,32450,,647,,1606,,213,,2105,,336,,2441,,382,,1371,,264,,866,,222,,752,,181,,657,,155,,6034,,476,,179,,88,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",120482,,284,,76059,,1022,,5200,,524,,3463,,487,,5902,,562,,7464,,627,,4001,,505,,3054,,402,,5178,,487,,9978,,609,,183,,79,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",322567,,551,,183725,,1440,,12880,,784,,13440,,899,,18920,,902,,18099,,865,,18523,,1003,,18127,,790,,31844,,864,,6410,,471,,599,,183,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30044,,176,,21009,,498,,891,,192,,924,,193,,1358,,260,,1358,,305,,922,,235,,604,,199,,794,,188,,2087,,263,,97,,88,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",211045,,365,,124339,,1347,,15642,,831,,4696,,590,,9946,,733,,15057,,879,,14372,,939,,8913,,666,,12213,,752,,5733,,462,,134,,88,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",36831,,204,,24756,,600,,1800,,304,,1339,,255,,1243,,248,,894,,225,,955,,270,,747,,230,,1050,,198,,3956,,393,,91,,67,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",166270,,229,,111772,,1049,,9043,,553,,5021,,477,,6384,,585,,8655,,687,,6765,,717,,3702,,449,,6592,,507,,7960,,536,,376,,153,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9713,,53,,6779,,322,,128,,98,,344,,154,,208,,109,,277,,119,,68,,81,,59,,61,,0,,92,,1848,,265,,2,,3,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5577,,22,,4116,,192,,29,,22,,63,,40,,141,,63,,74,,33,,15,,17,,30,,22,,8,,13,,1072,,175,,29,,27,,0500000US53059,"Skamania County, Washington",0500000US53059
