NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",38399,,220,,22681,,500,,2011,,308,,1058,,209,,2173,,307,,3280,,478,,1654,,262,,1424,,331,,1569,,235,,2433,,286,,116,,58,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",167104,,296,,115307,,1166,,7313,,527,,2209,,390,,4550,,434,,7117,,605,,6647,,522,,4756,,508,,9429,,640,,9496,,598,,280,,147,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22447,,79,,15709,,418,,630,,145,,768,,181,,1287,,222,,749,,173,,390,,144,,823,,195,,651,,154,,1416,,200,,24,,36,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21315,,99,,15500,,481,,399,,150,,623,,169,,693,,177,,436,,192,,303,,152,,223,,96,,261,,102,,2788,,310,,89,,49,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",31124,,85,,21037,,493,,941,,198,,971,,245,,743,,219,,943,,214,,491,,187,,484,,149,,445,,155,,4969,,403,,100,,62,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",162611,,289,,100559,,1109,,8599,,616,,4550,,544,,7110,,551,,8024,,589,,6526,,559,,4924,,512,,7953,,543,,13593,,558,,773,,229,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31525,,64,,21505,,477,,1253,,226,,846,,200,,824,,151,,1083,,178,,615,,171,,626,,119,,266,,74,,4045,,378,,462,,134,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",50416,,158,,34196,,659,,1851,,362,,1329,,267,,1836,,319,,1787,,283,,1513,,279,,902,,230,,942,,185,,5872,,446,,188,,122,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",126210,,425,,79203,,1048,,4437,,471,,3889,,496,,7391,,737,,8466,,720,,4845,,523,,2946,,406,,4176,,433,,10618,,600,,239,,108,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",348029,,388,,192281,,1551,,16069,,735,,12147,,1007,,18049,,930,,17042,,1069,,20081,,922,,22613,,978,,42895,,1259,,6230,,530,,622,,197,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",32104,,142,,21866,,480,,1242,,248,,977,,242,,1357,,238,,1417,,287,,879,,222,,816,,219,,942,,212,,2467,,303,,141,,93,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",229077,,276,,134652,,1230,,18781,,935,,3774,,512,,10992,,801,,16442,,818,,14137,,783,,8800,,638,,16027,,779,,5399,,359,,73,,48,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",39069,,213,,26976,,636,,1800,,271,,1141,,263,,1044,,232,,1073,,270,,811,,199,,706,,192,,1118,,230,,4175,,386,,225,,118,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",182742,,406,,125652,,1030,,8566,,479,,5375,,477,,6475,,543,,8100,,569,,6954,,564,,4044,,401,,9030,,474,,8170,,483,,376,,160,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10424,,56,,7773,,280,,79,,55,,394,,122,,224,,96,,135,,61,,82,,69,,123,,67,,27,,33,,1538,,243,,49,,72,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5865,,53,,4216,,176,,50,,28,,140,,67,,164,,53,,36,,27,,39,,29,,56,,30,,3,,4,,1070,,127,,91,,44,,0500000US53059,"Skamania County, Washington",0500000US53059
