NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",36992,,153,,21747,,487,,1434,,210,,1363,,239,,1920,,305,,2698,,336,,1732,,280,,1433,,253,,2077,,261,,2544,,250,,44,,31,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",159754,,172,,109940,,934,,6394,,454,,2160,,373,,4938,,455,,6826,,598,,6566,,570,,4063,,410,,7738,,580,,10894,,556,,235,,133,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21779,,121,,15200,,399,,694,,150,,952,,220,,1287,,223,,600,,134,,493,,161,,765,,165,,598,,200,,1166,,170,,24,,22,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20692,,69,,15043,,421,,380,,102,,654,,193,,527,,149,,404,,145,,310,,131,,272,,120,,125,,64,,2931,,300,,46,,33,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30482,,94,,21294,,588,,790,,251,,799,,194,,648,,184,,1080,,255,,358,,151,,526,,168,,448,,119,,4437,,412,,102,,83,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",157510,,310,,98806,,1018,,8055,,594,,5316,,553,,6476,,487,,6808,,585,,5457,,446,,4978,,437,,6936,,483,,14049,,641,,629,,198,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30703,,101,,20688,,436,,586,,139,,815,,173,,1087,,213,,1206,,220,,592,,167,,634,,163,,403,,99,,4392,,379,,300,,124,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",49005,,102,,33303,,648,,1430,,229,,1894,,302,,2005,,318,,1755,,358,,1098,,201,,782,,192,,833,,207,,5794,,380,,111,,60,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",122315,,318,,77427,,1054,,5245,,456,,2890,,381,,6222,,658,,7309,,703,,4533,,572,,2822,,385,,4946,,484,,10605,,626,,316,,130,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",329504,,456,,184793,,1416,,14778,,756,,13700,,768,,19444,,938,,17665,,897,,17493,,858,,19152,,959,,35287,,789,,6588,,478,,604,,165,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30651,,147,,20918,,518,,1053,,217,,901,,218,,1475,,260,,1439,,298,,904,,193,,710,,213,,996,,223,,2224,,248,,31,,37,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",217085,,279,,128439,,1323,,16478,,773,,4518,,552,,10563,,585,,15190,,728,,13370,,854,,8871,,550,,14291,,674,,5275,,423,,90,,47,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37495,,218,,24989,,593,,2047,,314,,967,,180,,695,,183,,1242,,264,,1196,,283,,968,,203,,1223,,240,,4077,,383,,91,,62,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",170937,,226,,115776,,997,,8351,,477,,5532,,605,,6701,,649,,8521,,684,,6574,,521,,3708,,398,,7237,,454,,8320,,459,,217,,118,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9894,,75,,7465,,327,,102,,57,,301,,123,,249,,114,,211,,88,,41,,42,,108,,71,,0,,22,,1416,,256,,1,,4,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5653,,29,,3925,,138,,31,,20,,205,,73,,153,,54,,74,,43,,31,,23,,80,,26,,0,,19,,1094,,130,,60,,29,,0500000US53059,"Skamania County, Washington",0500000US53059
