NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",37270,,218,,22040,,450,,1559,,248,,1324,,238,,1896,,334,,2854,,379,,1814,,288,,1275,,233,,2054,,299,,2401,,289,,53,,39,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",161005,,163,,110795,,1104,,6731,,490,,2315,,356,,4783,,504,,6790,,513,,6484,,611,,4213,,373,,8006,,551,,10659,,607,,229,,115,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",21869,,105,,15220,,399,,795,,203,,1022,,232,,1202,,207,,695,,181,,435,,170,,709,,193,,601,,144,,1173,,168,,17,,16,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",20707,,77,,14791,,429,,388,,117,,735,,176,,546,,173,,419,,151,,197,,100,,321,,122,,154,,78,,3118,,335,,38,,27,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30481,,92,,21076,,552,,809,,217,,868,,191,,631,,181,,1006,,250,,295,,118,,494,,174,,458,,115,,4717,,411,,127,,104,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",158237,,320,,99028,,941,,8022,,520,,5201,,533,,6673,,540,,6625,,587,,5517,,548,,4896,,472,,7375,,563,,14266,,727,,634,,187,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",30798,,87,,20832,,376,,797,,158,,856,,167,,993,,179,,1133,,203,,663,,166,,602,,173,,451,,90,,4156,,336,,315,,116,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",49096,,106,,33383,,664,,1589,,230,,1759,,289,,1911,,285,,1755,,319,,1188,,186,,866,,226,,797,,183,,5773,,436,,75,,56,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",122874,,312,,77453,,1004,,4805,,412,,3441,,491,,6794,,670,,7900,,626,,4698,,560,,2627,,340,,3867,,464,,10987,,629,,302,,146,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",332417,,388,,186703,,1617,,15370,,751,,13208,,904,,18804,,1018,,17684,,926,,18157,,971,,19584,,911,,35909,,862,,6438,,484,,560,,200,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",30859,,156,,21211,,523,,1333,,272,,840,,187,,1583,,265,,1117,,239,,871,,221,,623,,174,,935,,215,,2285,,293,,61,,59,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",219819,,264,,128525,,1186,,17018,,818,,4378,,414,,11228,,703,,15367,,911,,13606,,859,,9267,,654,,14811,,750,,5524,,452,,95,,52,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",37701,,214,,25395,,524,,1944,,279,,1068,,223,,762,,222,,1360,,322,,907,,235,,1020,,237,,1138,,200,,3960,,358,,147,,92,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",172874,,173,,117431,,1014,,8135,,497,,5960,,549,,6823,,556,,8280,,587,,6390,,453,,3671,,401,,7602,,473,,8334,,546,,248,,141,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9958,,63,,7282,,349,,91,,46,,380,,131,,295,,131,,138,,68,,84,,89,,130,,77,,23,,27,,1496,,227,,39,,56,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5680,,58,,3787,,149,,27,,18,,241,,78,,139,,53,,57,,34,,32,,23,,88,,26,,0,,19,,1244,,128,,65,,30,,0500000US53059,"Skamania County, Washington",0500000US53059
