NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",39636,,227,,23185,,572,,2308,,354,,1002,,298,,2615,,431,,3001,,416,,1542,,281,,1577,,279,,2045,,388,,2225,,292,,136,,74,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",169113,,177,,116490,,1290,,7926,,798,,2094,,391,,5293,,664,,7750,,609,,5969,,567,,4692,,555,,8914,,627,,9615,,815,,370,,153,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22882,,92,,15712,,509,,491,,126,,1283,,344,,1341,,266,,752,,199,,461,,193,,820,,181,,556,,215,,1365,,210,,101,,75,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21586,,78,,15908,,498,,370,,127,,754,,263,,622,,205,,260,,111,,465,,211,,110,,64,,287,,143,,2664,,357,,146,,83,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",31283,,83,,21307,,761,,585,,181,,1145,,311,,946,,238,,772,,216,,772,,256,,472,,166,,561,,162,,4580,,437,,143,,106,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",165271,,292,,102396,,1276,,8612,,709,,5220,,518,,7493,,701,,8140,,768,,5851,,680,,4853,,506,,8243,,536,,13690,,910,,773,,206,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31862,,74,,21267,,554,,1371,,219,,606,,165,,952,,216,,1410,,258,,473,,121,,592,,147,,224,,83,,4549,,408,,418,,143,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",51515,,118,,33933,,808,,2155,,341,,1264,,277,,1987,,311,,1504,,286,,1526,,318,,1020,,266,,827,,213,,6978,,661,,321,,162,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",127743,,353,,79922,,1293,,4615,,623,,3509,,520,,7316,,636,,8180,,760,,6109,,755,,3222,,520,,4520,,545,,10041,,783,,309,,195,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",358675,,480,,196060,,1770,,17362,,783,,12218,,945,,18597,,1212,,16721,,1104,,19753,,1095,,23736,,1206,,47636,,1575,,5850,,435,,742,,245,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",33406,,111,,22486,,632,,1079,,288,,1414,,408,,1714,,359,,1285,,319,,890,,258,,823,,214,,1094,,230,,2365,,368,,256,,92,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",234852,,182,,136900,,1489,,19906,,982,,3808,,554,,12329,,906,,17255,,1012,,14112,,1110,,7850,,743,,17258,,921,,5122,,440,,312,,205,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",39742,,143,,27873,,678,,2080,,380,,682,,160,,1251,,262,,957,,239,,687,,171,,983,,273,,1120,,267,,3947,,501,,162,,96,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",192003,,165,,131811,,1352,,10127,,736,,5769,,543,,6493,,579,,8599,,767,,6598,,627,,4422,,436,,9995,,673,,7850,,550,,339,,141,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10485,,76,,7837,,341,,154,,94,,184,,76,,277,,125,,122,,59,,116,,81,,79,,51,,33,,52,,1683,,266,,0,,24,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5785,,39,,4469,,161,,64,,32,,157,,71,,99,,49,,30,,22,,29,,23,,34,,22,,8,,9,,784,,128,,111,,55,,0500000US53059,"Skamania County, Washington",0500000US53059
