NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",37789,,229,,22583,,501,,1880,,276,,1225,,255,,1984,,307,,2821,,341,,1783,,253,,1300,,257,,1847,,300,,2263,,306,,103,,46,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",163650,,200,,112736,,937,,6834,,431,,2376,,397,,4954,,502,,7379,,659,,6557,,606,,4343,,401,,7713,,517,,10471,,520,,287,,122,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",22174,,97,,15538,,409,,678,,143,,914,,172,,1064,,222,,782,,185,,410,,153,,868,,211,,649,,155,,1236,,184,,35,,33,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21007,,54,,15207,,419,,388,,138,,662,,173,,506,,144,,342,,152,,302,,144,,300,,117,,226,,91,,3036,,316,,38,,27,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30870,,96,,21200,,592,,837,,205,,881,,243,,700,,203,,1033,,250,,299,,117,,561,,171,,392,,98,,4798,,514,,169,,115,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",160440,,244,,99818,,992,,8493,,544,,4836,,465,,6856,,608,,7005,,614,,6104,,622,,4824,,487,,7653,,554,,14162,,624,,689,,204,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",31200,,67,,21188,,472,,981,,189,,989,,229,,1043,,151,,1056,,178,,715,,179,,630,,149,,381,,77,,3945,,352,,272,,101,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",49688,,142,,34056,,613,,1673,,270,,1438,,274,,1954,,329,,1717,,253,,1195,,220,,845,,230,,983,,213,,5736,,437,,91,,73,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",124317,,335,,78169,,1152,,4391,,387,,3668,,483,,7119,,571,,8146,,730,,4926,,552,,2584,,304,,4029,,405,,11009,,623,,276,,129,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",337821,,437,,189295,,1370,,15518,,840,,13011,,787,,18756,,973,,17835,,950,,19303,,895,,20665,,938,,36340,,1038,,6453,,608,,645,,189,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",31403,,99,,21575,,576,,1212,,267,,833,,206,,1599,,303,,1272,,281,,817,,215,,709,,203,,942,,234,,2373,,302,,71,,67,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",223394,,239,,131060,,1115,,17438,,846,,4273,,505,,11039,,785,,15688,,872,,13475,,799,,9278,,729,,15548,,866,,5504,,402,,91,,51,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",38286,,199,,26060,,628,,2118,,302,,1075,,275,,799,,173,,1219,,260,,829,,270,,871,,249,,1046,,196,,4053,,376,,216,,112,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",176422,,230,,121092,,1036,,8018,,548,,5664,,568,,6964,,487,,7778,,674,,6711,,638,,3875,,439,,7887,,493,,8157,,479,,276,,144,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10196,,78,,7413,,352,,72,,48,,422,,132,,306,,139,,129,,60,,100,,91,,172,,82,,27,,33,,1512,,257,,43,,63,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5766,,71,,3894,,186,,26,,21,,192,,72,,135,,47,,51,,32,,37,,23,,78,,30,,3,,4,,1263,,132,,87,,38,,0500000US53059,"Skamania County, Washington",0500000US53059
