NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",35202,,554,,20746,,514,,1168,,189,,1528,,299,,1597,,295,,2493,,381,,2337,,414,,1483,,273,,1662,,200,,2149,,237,,39,,32,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",151160,,320,,104210,,1039,,5274,,475,,2154,,303,,4105,,362,,7391,,761,,7204,,610,,3032,,349,,7547,,628,,10029,,599,,214,,141,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",20950,,222,,14044,,414,,628,,166,,984,,196,,1356,,264,,700,,217,,503,,152,,584,,173,,684,,165,,1402,,160,,65,,54,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",19662,,88,,14327,,358,,426,,112,,482,,108,,674,,140,,283,,119,,203,,103,,211,,95,,131,,66,,2802,,250,,123,,78,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",30056,,224,,20059,,553,,481,,143,,761,,192,,922,,199,,980,,205,,399,,156,,471,,123,,529,,167,,5184,,450,,270,,121,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",149234,,812,,91705,,1010,,8749,,622,,4347,,461,,6781,,599,,6609,,652,,6050,,572,,4169,,408,,6037,,562,,14211,,671,,576,,200,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",29024,,389,,19001,,537,,530,,128,,666,,166,,962,,197,,1113,,263,,585,,173,,962,,196,,420,,167,,4518,,361,,267,,124,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",46925,,388,,31150,,572,,1530,,211,,1899,,256,,2137,,336,,1225,,246,,978,,215,,629,,167,,660,,151,,6603,,512,,114,,74,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",118759,,500,,74640,,1070,,3939,,389,,3983,,485,,6761,,620,,8423,,685,,4294,,571,,2896,,444,,3681,,469,,9952,,586,,190,,88,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",310409,,741,,180105,,1338,,12351,,715,,12702,,921,,17674,,768,,17111,,927,,18667,,1149,,17744,,830,,27357,,707,,6155,,447,,543,,144,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",27379,,794,,19330,,697,,908,,160,,777,,203,,1208,,215,,1287,,301,,590,,177,,418,,131,,546,,179,,2200,,277,,115,,69,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",203503,,524,,119554,,1329,,14124,,634,,4890,,413,,9046,,660,,14569,,891,,14711,,1003,,8455,,663,,12236,,714,,5733,,399,,185,,107,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",35646,,219,,23359,,497,,1613,,259,,1344,,278,,1223,,267,,1069,,249,,533,,148,,898,,259,,918,,199,,4509,,418,,180,,115,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",159638,,1034,,108861,,1008,,7692,,489,,5399,,535,,5842,,556,,7970,,569,,6060,,682,,3364,,445,,5888,,408,,8181,,552,,381,,168,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",9335,,80,,6100,,353,,7,,7,,272,,124,,406,,160,,336,,139,,72,,74,,65,,68,,0,,119,,2077,,274,,0,,119,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5109,,16,,3651,,197,,51,,52,,62,,36,,97,,52,,81,,45,,19,,22,,20,,16,,8,,11,,1058,,162,,62,,52,,0500000US53059,"Skamania County, Washington",0500000US53059
