HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,NHSLDMEM,ANSWERHH,HOUSEHLD,HHSEX,ZHHSEX,HHAGE1,ZHHAGE,EMPLOYHH,ZEMPLYHH,ANSWER02,KIN02,ZKIN02,YEAR02,ZYEARS02,ANSWER03,KIN03,ZKIN03,YEAR03,ZYEARS03,ANSWER04,KIN04,ZKIN04,YEAR04,ZYEARS04,ANSWER05,KIN05,ZKIN05,YEAR05,ZYEARS05,ANSWER06,KIN06,ZKIN06,YEAR06,ZYEARS06,ANSWER07,KIN07,ZKIN07,YEAR07,ZYEARS07,ANSWER08,KIN08,ZKIN08,YEAR08,ZYEARS08,ANSWER09,KIN09,YEAR09,ANSWER10,KIN10,YEAR10,ANSWER11,KIN11,YEAR11,ANSWER12,KIN12,YEAR12,DRIVEMON,ZDRIVEMO,DRIVECAR,ZDRIVECA,VEHICLES,ZVEHICLE,GRADHH,ZGRADHH,MARRIED,ZMARRIED,SDESCENT,ZSDESCEN,ORIGIN,ZORIGIN,WAGES,ZWAGES,SELFHIRE,ZSELFHIR,SSECURTY,ZSSECURT,PENSIONS,ZPENSION,FSTAMPS,ZFSTAMPS,AFDC,ZAFDC,UNEMPLOY,ZUNEMPLO,SSI,ZSSI,OTHERAID,ZOTHERAI,MONEYPY,ZMONEYPY,INC45PLU,SPOUSE,SPSEX,SPAGE,EMPLOYSP,NYR0012,NYR1320,NYR2133,NYR3464,NYR6595,FAMILY
1011, 32608,9,4,9,0, 135, 4598,5, 1,1,1,1,0,*,0,1,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 1,0,1,0, 1,0,16,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0, 0,0,0,1,0,0,1
1012,  9383,9,3,7,3,2846, 2483,5, 2,1,1,2,0,*,0,1,0,0, 2,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,1,0, 1,0,11,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,1,1,*,10,0,0,0,2,0,4
1013, 12645,9,1,1,0, 649, 6557,2, 3,1,1,2,0,*,0,1,0,0, 2,0,*,0,0, 4,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,1,0, 2,0,18,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,2,*,11,1,0,0,1,1,5
1014, 13096,9,1,2,1,1337, 4722,2, 5,1,1,2,0,*,0,1,0,0, 2,0,*,0,0, 3,0,*,0,0, 3,0,*,0,0, 3,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 0,0,0,0,99,0,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,9,1,1,*,11,2,1,0,2,0,5
1015,  9649,9,3,6,0,1533, 4481,2, 1,1,1,2,0,*,0,2,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 1,0,1,0, 1,0,16,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 7,0,9,0,0,0, 0,0,0,1,0,0,1
1016,  9563,9,3,5,0,1649, 3335,4, 2,1,1,2,0,*,0,1,0,0, 2,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,0,0,99,0,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 7,0,9,1,1,*,12,0,0,2,0,0,4
1017, 14196,9,2,4,0,1155, 5584,5, 1,1,1,1,0,*,0,1,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 1,0,1,0, 1,0,16,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0, 0,0,0,0,1,0,1
1018, 37018,9,1,2,0, 611, 6323,2, 1,1,1,2,0,*,0,1,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 1,0,1,0, 1,0,12,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,0, 0,0,0,0,1,0,1
1019,  8350,9,3,7,0,2067, 3748,2, 2,1,1,1,0,*,0,0,0,0, 3,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 0,0,0,0,99,0,12,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 4,0,9,0,0,0, 0,1,0,1,0,0,2
1020, 14566,9,3,6,0,1848, 3043,3, 4,0,1,2,0,*,0,1,0,1, 2,0,*,0,0, 3,0,*,0,0, 3,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,1,0, 2,0,16,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,9,1,2,*,11,1,1,0,2,0,5
