HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,KAVALKER,PERIODKR,ORIGKERQ,SCALEKER,ORIGKRC,ORIGKERS,KAVALEL,PERIODEL,ORIGELQ,SCALEEL,ORIGELC,ORIGELS,BEGINELR,ENDELR,KAVALNG,PERIODNG,ORIGNGQ,SCALENG,ORIGNGC,ORIGNGS,BEGINNGR,ENDNGR,KAVALFO,PERIODFO,ORIGFOQ,SCALEFO,ORIGFOC,ORIGFOS,TYPEFO1,TYPEFO2,KAVALPG,PERIODLP,ORIGLPQ,SCALELP,ORIGLPC,ORIGLPS,TYPELP1,TYPELP2 
1013, 12645,9,1,1,0, 649, 6557,2,9,9,9,9,9,99,1,1,1,1,1,11,1,1,1,1,2,0,1,11,2,1,3,5,8,0,3,41,9,9,9,9,9,9,9,99,9,9
1014, 13096,9,1,2,1,1337, 4722,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1015,  9649,9,3,6,0,1533, 4481,2,9,9,9,9,9,99,1,2,5,0,1,21,1,1,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1016,  9563,9,3,5,0,1649, 3335,4,1,1,3,0,4,15,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1017, 14196,9,2,4,0,1155, 5584,5,9,9,9,9,9,99,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1018, 37018,9,1,2,0, 611, 6323,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1019,  8350,9,3,7,0,2067, 3748,2,9,9,9,9,9,99,1,3,8,0,3,31,9,9,1,3,8,0,3,31,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1020, 14566,9,3,6,0,1848, 3043,3,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1021, 21095,9,4,9,2, 279, 1299,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1022, 12615,9,4,8,0, 585, 5752,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,3,5,8,0,3,43,9,9,9,9,9,9,9,99,9,9
1023, 15062,9,1,2,0, 803, 5731,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,1,1,1,0,1,11,2,9,9,9,9,9,9,99,9,9
1024, 21904,9,1,2,1,1130, 4867,3,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1025, 14540,9,4,9,0, 141, 8015,4,9,9,9,9,9,99,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1026,  4554,9,4,9,2, 123, 5930,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1027, 16558,9,2,3,0, 885, 6511,5,9,9,9,9,9,99,1,3,8,0,3,31,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1028, 22372,9,3,5,4,3581,  175,5,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1029,  6969,9,4,8,0,1864, 2817,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1030, 18522,9,2,3,0, 751, 6581,3,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1031, 14540,9,2,3,0,1156, 5588,1,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1032, 23573,9,2,3,0,1019, 5869,2,9,9,9,9,9,99,1,3,8,0,3,31,9,9,1,3,8,0,3,31,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1033,  9183,9,2,4,0, 414, 8745,5,9,9,9,9,9,99,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1034, 14582,9,4,8,0,1940, 2530,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1035, 19113,9,2,4,0, 463, 8234,5,9,9,9,9,9,99,1,2,5,0,1,21,1,1,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1036, 14900,9,2,4,0,1063, 5743,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,1,1,1,0,1,11,1,9
1037, 10365,9,2,3,0, 710, 6451,3,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1038,  8045,9,1,1,0, 701, 6324,5,9,9,9,9,9,99,2,1,7,0,1,25,1,1,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1039, 25347,9,4,9,2, 857, 2024,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1040,  7623,9,4,8,0,1919, 2609,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1041, 23573,9,2,3,0,1035, 5850,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1042,  9204,9,3,7,0,1947, 3852,5,9,9,9,9,9,99,1,2,5,0,1,21,1,1,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1043, 24904,9,2,3,0,1128, 5618,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1044,  4481,9,2,4,0,1289, 5468,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1045,  4332,9,4,9,2, 209, 5743,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1046,  4041,9,2,4,0, 823, 6635,1,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,1,1,1,0,1,11,1,9
1047, 10436,9,3,5,4,2627, 1323,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1048,  4663,9,3,5,0,1723, 3259,2,9,9,9,9,9,99,1,1,1,1,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1049,  3979,9,3,5,0,1570, 3528,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1050, 10128,9,4,8,0,   0,10614,3,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1051, 21335,9,4,9,2, 858, 2023,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1052, 13505,9,1,2,1, 916, 5563,4,9,9,9,9,9,99,1,1,1,0,1,11,1,1,2,1,7,0,1,25,1,1,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9
1053,  7587,9,2,3,0, 445, 7986,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1054, 23786,9,2,3,0, 849, 6161,4,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1055,  5371,9,3,5,4,3346,  548,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1056,  4156,9,2,3,0, 695, 6844,1,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1057, 17029,9,2,4,0,1102, 5634,2,9,9,9,9,9,99,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1058,  6927,9,4,9,0,  95, 6025,5,9,9,9,9,9,99,3,5,8,0,3,41,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1059,  3757,9,3,6,0,1483, 4156,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1060, 17925,9,1,2,1, 365, 7835,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1061, 19899,9,1,2,0,1030, 5399,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1062,  4102,9,3,6,0,2800, 1473,2,9,9,9,9,9,99,1,3,8,0,3,31,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
1063,  7817,9,2,3,0, 720, 6748,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
