HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,FUELH2O,ZFUELH2O,WHEATOTH,ZWHEATOT,WHEATSIZ,ZWHEATSI,WHEATAGE,ZWHEATAG,WHEATNEW,ZWHEATNE,WHEATSEL,ZWHEATSE,WHTSAME,ZWHTSAME,WHPRICE,ZWHPRICE,WHAVAIL,ZWHAVAIL,WHEFFICT,ZWHEFFIC,WHREBATE,ZWHREBAT,SHOWERS,ZSHOWERS,UAUXH2OF,ZUAUXH2O,FAUXH2O,ZFAUXH2O,CENACHP,ZCENACHP,COOLMAIN,ZCOOLMAI,COOLUNIT,ZCOOLUNI,AIRCOND,ZAIRCOND,ACHOUSE,ZACHOUSE,ACROOMS,ZACROOMS,USECENAC,ZUSECENA,FUELCOOL,ZFUELCOO,ACOTHERS,ZACOTHER,AGECENAC,ZAGECENA,ACNEW,ZACNEW,ACSELECT,ZACSELEC,ACREPLAC,ZACREPLA,ACWORK,ZACWORK,ACPRICE,ZACPRICE,ACREPUTE,ZACREPUT,ACEFFICT,ZACEFFIC,ACREBATE,ZACREBAT,NUMBERAC,ZNUMBERA,WWHTPUMP,ZWWHTPUM,WWACAGE,ZWWACAGE,USEWWAC,ZUSEWWAC,LGT12,ZLGT12,FLRLGT12,ZFLLGT12,LGT4,ZLGT4,FLRLGT4,ZFLRLGT4,LGT1,ZLGT1,FLRLGT1,ZFLRLGT1,OUTLGTNO,OUTLGTEV,OUTLGTNT,OUTLGTTI,GASLIGHT,OUTLGTHI,OUTLGTLW,OUTLGTDK
1012,  9383,9,3,7,3,2840, 2488,5, 1,0,0,0,2,0,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 0,0,99,0, 0,0,99,0,0,1,0,0,0,0,1,0
1013, 12645,9,1,1,0, 643, 6614,2, 1,0,0,0,3,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,0,0,1,0,0,0,1,0,1,0,99,0,3,0, 5,0,0,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0,25,0, 0,0,75,0, 0,0,25,0,10,0,0,1,1,1,0,0,0,0
1014, 13096,9,1,2,1,1358, 4707,2, 1,0,0,0,3,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,0,0,0,0,1,0,1,0,2,0, 2,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 2,0,0,0,3,0,2,0, 0,0,99,0, 3,0, 0,0, 4,0, 0,0,1,1,0,0,0,0,0,0
1015,  9649,9,3,6,0,1557, 4467,2, 1,0,0,0,2,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,0,0,1,0,0,0,1,0,1,0,99,0,3,0, 5,0,0,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 2,0, 0,0, 1,0, 0,0,1,0,0,0,0,0,0,0
1016,  9563,9,3,5,0,1653, 3326,4, 5,0,0,0,2,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,0,0,0,0,1,0,1,0,1,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,3,0,3,0, 1,0, 0,0, 0,0,99,0, 1,0, 0,0,0,0,1,0,0,0,1,0
1017, 14196,9,2,4,0,1167, 5548,5, 5,0,0,0,2,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,0,0,1,0,0,0,1,0,1,0,99,0,1,0, 5,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 2,0, 1,0, 2,0, 0,0,1,0,0,0,0,0,1,0
1018, 37018,9,1,2,0, 555, 6454,2, 5,0,0,0,2,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 3,0, 1,0, 3,0, 0,0,1,0,0,0,0,0,0,0
1019,  8350,9,3,7,0,1997, 3808,2, 1,0,0,0,6,0,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,0,0,0,0,1,0,1,0,1,1,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,6,0,2,1, 1,0, 0,0, 1,0, 0,0, 1,0, 0,0,0,1,0,0,0,0,0,0
1020, 14566,9,3,6,0,2028, 2990,3, 1,0,0,0,2,0,1,0,1,0,9,0,1,0,2,0,1,0,1,0,3,0,3,0,0,0,99,0,0,0,1,0,0,0,1,0,1,0,99,0,3,0, 5,0,0,0,2,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 2,0, 2,0, 6,0, 2,0, 6,0, 1,0,0,0,1,1,0,1,0,0
1021, 21095,9,4,9,2, 268, 1356,2, 1,0,0,0,3,0,2,0,1,0,9,0,1,0,2,0,1,0,1,0,3,0,2,0,0,0,99,0,0,0,1,0,0,0,1,0,1,0,99,0,1,0, 5,0,0,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 2,0, 0,0, 3,0, 0,0, 3,0, 0,0,1,0,0,0,0,0,0,0
