HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,ADQINSUL,ZADQINSU,HINATTIC,ZHINATTI,WALLINS,ZWALLINS,WATERINS,ZWATERIN,PIPEINS,ZPIPEINS,DUCTS,ZDUCTS,STRIP,ZSTRIP,CAULKADD,ZCAULKAD,SETBACK,ZSETBACK,EQPTUNUP,ZEQPTUNU,TREESHAD,ZTREESHA,KLOWE,ZKLOWE,ULOWE,ZULOWE,KINSTWH,ZKINSTWH,UINSTWH,ZUINSTWH,KGRUNDHP,ZKGRUNDH,UGRUNDHP,ZUGRUNDH,KWATERHP,ZKWATERH,UWATERHP,ZUWATERH,KHTSTORE,ZKHTSTOR,UHTSTORE,ZUHTSTOR,KHPWHTR,ZKHPWHTR,UHPWHTR,ZUHPWHTR,KCOMBO,ZKCOMBO,UCOMBO,ZUCOMBO,KHALOGEN,ZKHALOGE,UHALOGEN,ZUHALOGE,KCFLUOR,ZKCFLUOR,UCFLUOR,ZUCFLUOR,DOOR1SUM,ZDOOR1SU,DOOR1GLS,ZDOOR1GL,WINDOWS,ZWINDOWS,WINDOWGL,ZWINDOWG,STRMPLAC,ZSTRMPLA,WFRAME,ZWFRAME,ORIGWIND,ZORIGWIN,WINDREP,ZWINDREP,WINDAGE,ZWINDAGE,WINDFAN,ZWINDFAN,PORTFAN,ZPORTFAN,ATTICEXH,ZATTICEX,ATTICFAN,ZATTICFA,CFAN,ZCFAN,NUMCFAN,ZNUMCFAN,HBUSNESS,ZHBUSNES,OTHWORK,ZOTHWORK,ATHOME,ZATHOME,DSMPROG,ZDSMPROG,DSMPARTI,ZDSMPART,ELPROG,ZELPROG,NGPROG,ZNGPROG,ENGAUPGM,ZENGAUPG,LDCNTPGM,ZLDCNTPG,LOADAC,ZLOADAC,LOADWH,ZLOADWH,LOADOTH,ZLOADOTH,CONSEPGM,ZCONSEPG,CONCFLOR,ZCONCFLO,CONSHOWR,ZCONSHOW,CONWH,ZCONWH,CONINS,ZCONINS,CONCAULK,ZCONCAUL,CONWIND,ZCONWIND,CONMAINH,ZCONMAIN,CONOTH,ZCONOTH,REBATPGM,ZREBATPG,MONAC,ZMONAC,MONWH,ZMONWH,MONFURN,ZMONFURN,MONFRIG,ZMONFRIG,MONCFLOR,ZMONCFLO,MONOTH,ZMONOTH,MONIMPOR,ZMONIMPO,FUELPGM,ZFUELPGM,TOU,ZTOU
1011, 32608,9,4,9,0, 135, 4598,5,1,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,1,0,0,0,1,0,2,0, 2,0,2,0,0,0,1,0,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1012,  9383,9,3,7,3,2846, 2483,5,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0, 6,0,1,0,0,0,1,0,0,0,9,0,9,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1013, 12645,9,1,1,0, 649, 6557,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,6,0,2,1,84,0,1,0,1,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1014, 13096,9,1,2,1,1337, 4722,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,12,0,2,0,0,0,1,0,1,1,9,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1015,  9649,9,3,6,0,1533, 4481,2,3,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0,1,0,1,0,1,0,0,0,0,0,9,0,10,0,1,0,1,0,2,0,1,1,9,0,4,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1016,  9563,9,3,5,0,1649, 3335,4,1,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,0,0,0,1,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0, 5,0,1,0,1,0,2,0,0,0,9,0,9,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1017, 14196,9,2,4,0,1155, 5584,5,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,0,1,1,0,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0, 2,0,1,0,0,0,2,0,0,0,9,0,9,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1018, 37018,9,1,2,0, 611, 6323,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,15,0,2,0,0,0,2,0,0,0,9,0,9,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1019,  8350,9,3,7,0,2067, 3748,2,4,1,6,0,6,0,6,0,6,0,6,0,6,0,6,0,0,0,0,0,1,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0, 9,0,1,1,1,0,1,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1020, 14566,9,3,6,0,1848, 3043,3,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,9,0,1,0,1,0,1,0,0,0,0,0,9,0,15,0,1,0,1,0,1,0,0,0,9,0,9,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
