year,month,end_use,scenario_name,total_therms,use_per_customer,premise_count,irp_upc_therms
2025,1,space_heating,baseline_monthly,22344432.036887173,520.8798813563137,213725,648.0
2025,2,space_heating,baseline_monthly,16392259.572703708,520.8798813563137,213725,648.0
2025,3,space_heating,baseline_monthly,14019213.901039077,520.8798813563137,213725,648.0
2025,4,space_heating,baseline_monthly,9830170.609305575,520.8798813563137,213725,648.0
2025,5,space_heating,baseline_monthly,6270274.426361588,520.8798813563137,213725,648.0
2025,6,space_heating,baseline_monthly,1617641.3282567433,520.8798813563137,213725,648.0
2025,7,space_heating,baseline_monthly,4823.380787269849,520.8798813563137,213725,648.0
2025,8,space_heating,baseline_monthly,183891.39215652566,520.8798813563137,213725,648.0
2025,9,space_heating,baseline_monthly,1045467.7835787373,520.8798813563137,213725,648.0
2025,10,space_heating,baseline_monthly,7094469.616747574,520.8798813563137,213725,648.0
2025,11,space_heating,baseline_monthly,14407599.16209359,520.8798813563137,213725,648.0
2025,12,space_heating,baseline_monthly,18114809.432960577,520.8798813563137,213725,648.0
2026,1,space_heating,baseline_monthly,21215639.17915892,489.67001777461064,213725,640.3
2026,2,space_heating,baseline_monthly,15564157.721775062,489.67001777461064,213725,640.3
2026,3,space_heating,baseline_monthly,13310993.235759541,489.67001777461064,213725,640.3
2026,4,space_heating,baseline_monthly,9333571.440630523,489.67001777461064,213725,640.3
2026,5,space_heating,baseline_monthly,5953513.589622095,489.67001777461064,213725,640.3
2026,6,space_heating,baseline_monthly,1535921.552399928,489.67001777461064,213725,640.3
2026,7,space_heating,baseline_monthly,4579.71391877278,489.67001777461064,213725,640.3
2026,8,space_heating,baseline_monthly,174601.5928131672,489.67001777461064,213725,640.3
2026,9,space_heating,baseline_monthly,992652.9899361653,489.67001777461064,213725,640.3
2026,10,space_heating,baseline_monthly,6736072.20393643,489.67001777461064,213725,640.3
2026,11,space_heating,baseline_monthly,13679758.105120879,489.67001777461064,213725,640.3
2026,12,space_heating,baseline_monthly,17199688.05179152,489.67001777461064,213725,640.3
2027,1,space_heating,baseline_monthly,20551498.701169647,469.6439799822828,213725,632.7
2027,2,space_heating,baseline_monthly,15076932.846693553,469.6439799822828,213725,632.7
2027,3,space_heating,baseline_monthly,12894302.07055564,469.6439799822828,213725,632.7
2027,4,space_heating,baseline_monthly,9041390.63261524,469.6439799822828,213725,632.7
2027,5,space_heating,baseline_monthly,5767143.085875435,469.6439799822828,213725,632.7
2027,6,space_heating,baseline_monthly,1487840.6218490838,469.6439799822828,213725,632.7
2027,7,space_heating,baseline_monthly,4436.349235513284,469.6439799822828,213725,632.7
2027,8,space_heating,baseline_monthly,169135.81427454378,469.6439799822828,213725,632.7
2027,9,space_heating,baseline_monthly,961578.6949009582,469.6439799822828,213725,632.7
2027,10,space_heating,baseline_monthly,6525204.259986511,469.6439799822828,213725,632.7
2027,11,space_heating,baseline_monthly,13251523.018259227,469.6439799822828,213725,632.7
2027,12,space_heating,baseline_monthly,16661264.064301927,469.6439799822828,213725,632.7
2028,1,space_heating,baseline_monthly,20326488.95361341,459.9034532916947,213725,625.1
2028,2,space_heating,baseline_monthly,14911861.82666309,459.9034532916947,213725,625.1
2028,3,space_heating,baseline_monthly,12753127.760302322,459.9034532916947,213725,625.1
2028,4,space_heating,baseline_monthly,8942400.235205134,459.9034532916947,213725,625.1
2028,5,space_heating,baseline_monthly,5704001.052842113,459.9034532916947,213725,625.1
2028,6,space_heating,baseline_monthly,1471550.8783323679,459.9034532916947,213725,625.1
2028,7,space_heating,baseline_monthly,4387.7775067031935,459.9034532916947,213725,625.1
2028,8,space_heating,baseline_monthly,167284.01711726558,459.9034532916947,213725,625.1
2028,9,space_heating,baseline_monthly,951050.7727021356,459.9034532916947,213725,625.1
2028,10,space_heating,baseline_monthly,6453762.532809269,459.9034532916947,213725,625.1
2028,11,space_heating,baseline_monthly,13106437.64553629,459.9034532916947,213725,625.1
2028,12,space_heating,baseline_monthly,16478846.865654366,459.9034532916947,213725,625.1
2029,1,space_heating,baseline_monthly,20244908.00270518,453.52241394578084,213725,617.7
2029,2,space_heating,baseline_monthly,14852012.63822688,453.52241394578084,213725,617.7
2029,3,space_heating,baseline_monthly,12701942.71343496,453.52241394578084,213725,617.7
2029,4,space_heating,baseline_monthly,8906509.653400531,453.52241394578084,213725,617.7
2029,5,space_heating,baseline_monthly,5681107.8797548,453.52241394578084,213725,617.7
2029,6,space_heating,baseline_monthly,1465644.766350207,453.52241394578084,213725,617.7
2029,7,space_heating,baseline_monthly,4370.167034860884,453.52241394578084,213725,617.7
2029,8,space_heating,baseline_monthly,166612.61787958513,453.52241394578084,213725,617.7
2029,9,space_heating,baseline_monthly,947233.7029378437,453.52241394578084,213725,617.7
2029,10,space_heating,baseline_monthly,6427860.170351884,453.52241394578084,213725,617.7
2029,11,space_heating,baseline_monthly,13053834.579232886,453.52241394578084,213725,617.7
2029,12,space_heating,baseline_monthly,16412708.537473874,453.52241394578084,213725,617.7
2030,1,space_heating,baseline_monthly,20213469.354661915,448.33484362721236,213725,610.3
2030,2,space_heating,baseline_monthly,14828948.705409555,448.33484362721236,213725,610.3
2030,3,space_heating,baseline_monthly,12682217.659293938,448.33484362721236,213725,610.3
2030,4,space_heating,baseline_monthly,8892678.589201583,448.33484362721236,213725,610.3
2030,5,space_heating,baseline_monthly,5672285.594610133,448.33484362721236,213725,610.3
2030,6,space_heating,baseline_monthly,1463368.74267257,448.33484362721236,213725,610.3
2030,7,space_heating,baseline_monthly,4363.380531149388,448.33484362721236,213725,610.3
2030,8,space_heating,baseline_monthly,166353.88242608824,448.33484362721236,213725,610.3
2030,9,space_heating,baseline_monthly,945762.7282612781,448.33484362721236,213725,610.3
2030,10,space_heating,baseline_monthly,6417878.241387822,448.33484362721236,213725,610.3
2030,11,space_heating,baseline_monthly,13033563.066470437,448.33484362721236,213725,610.3
2030,12,space_heating,baseline_monthly,16387220.97452336,448.33484362721236,213725,610.3
2031,1,space_heating,baseline_monthly,20167212.14332595,442.8805849558201,213725,603.1
2031,2,space_heating,baseline_monthly,14795013.619743615,442.8805849558201,213725,603.1
2031,3,space_heating,baseline_monthly,12653195.228152527,442.8805849558201,213725,603.1
2031,4,space_heating,baseline_monthly,8872328.272013277,442.8805849558201,213725,603.1
2031,5,space_heating,baseline_monthly,5659304.937558932,442.8805849558201,213725,603.1
2031,6,space_heating,baseline_monthly,1460019.9183809776,442.8805849558201,213725,603.1
2031,7,space_heating,baseline_monthly,4353.395218295508,442.8805849558201,213725,603.1
2031,8,space_heating,baseline_monthly,165973.19237427547,442.8805849558201,213725,603.1
2031,9,space_heating,baseline_monthly,943598.4117044684,442.8805849558201,213725,603.1
2031,10,space_heating,baseline_monthly,6403191.344006105,442.8805849558201,213725,603.1
2031,11,space_heating,baseline_monthly,13003736.604191842,442.8805849558201,213725,603.1
2031,12,space_heating,baseline_monthly,16349719.88401151,442.8805849558201,213725,603.1
2032,1,space_heating,baseline_monthly,20177183.389857594,438.7119165116927,213725,595.9
2032,2,space_heating,baseline_monthly,14802328.697662815,438.7119165116927,213725,595.9
2032,3,space_heating,baseline_monthly,12659451.329795942,438.7119165116927,213725,595.9
2032,4,space_heating,baseline_monthly,8876715.004888458,438.7119165116927,213725,595.9
2032,5,space_heating,baseline_monthly,5662103.059794623,438.7119165116927,213725,595.9
2032,6,space_heating,baseline_monthly,1460741.7939899524,438.7119165116927,213725,595.9
2032,7,space_heating,baseline_monthly,4355.547661412723,438.7119165116927,213725,595.9
2032,8,space_heating,baseline_monthly,166055.25426795945,438.7119165116927,213725,595.9
2032,9,space_heating,baseline_monthly,944064.9537492045,438.7119165116927,213725,595.9
2032,10,space_heating,baseline_monthly,6406357.26495872,438.7119165116927,213725,595.9
2032,11,space_heating,baseline_monthly,13010166.023518194,438.7119165116927,213725,595.9
2032,12,space_heating,baseline_monthly,16357803.65317743,438.7119165116927,213725,595.9
2033,1,space_heating,baseline_monthly,20109566.628951833,432.91151628893954,213725,588.8
2033,2,space_heating,baseline_monthly,14752723.879137872,432.91151628893954,213725,588.8
2033,3,space_heating,baseline_monthly,12617027.613996478,432.91151628893954,213725,588.8
2033,4,space_heating,baseline_monthly,8846967.804572292,432.91151628893954,213725,588.8
2033,5,space_heating,baseline_monthly,5643128.505149381,432.91151628893954,213725,588.8
2033,6,space_heating,baseline_monthly,1455846.62964908,432.91151628893954,213725,588.8
2033,7,space_heating,baseline_monthly,4340.951569423816,432.91151628893954,213725,588.8
2033,8,space_heating,baseline_monthly,165498.77826196616,432.91151628893954,213725,588.8
2033,9,space_heating,baseline_monthly,940901.2508168488,432.91151628893954,213725,588.8
2033,10,space_heating,baseline_monthly,6384888.603099832,432.91151628893954,213725,588.8
2033,11,space_heating,baseline_monthly,12966567.010298207,432.91151628893954,213725,588.8
2033,12,space_heating,baseline_monthly,16302986.205311228,432.91151628893954,213725,588.8
2034,1,space_heating,baseline_monthly,20155180.307827134,429.5981210714281,213725,581.8
2034,2,space_heating,baseline_monthly,14786186.858324613,429.5981210714281,213725,581.8
2034,3,space_heating,baseline_monthly,12645646.283735342,429.5981210714281,213725,581.8
2034,4,space_heating,baseline_monthly,8867035.007207923,429.5981210714281,213725,581.8
2034,5,space_heating,baseline_monthly,5655928.574700127,429.5981210714281,213725,581.8
2034,6,space_heating,baseline_monthly,1459148.86494245,429.5981210714281,213725,581.8
2034,7,space_heating,baseline_monthly,4350.797966144065,429.5981210714281,213725,581.8
2034,8,space_heating,baseline_monthly,165874.17213619454,429.5981210714281,213725,581.8
2034,9,space_heating,baseline_monthly,943035.4573017535,429.5981210714281,213725,581.8
2034,10,space_heating,baseline_monthly,6399371.175686806,429.5981210714281,213725,581.8
2034,11,space_heating,baseline_monthly,12995978.525455939,429.5981210714281,213725,581.8
2034,12,space_heating,baseline_monthly,16339965.578919753,429.5981210714281,213725,581.8
2035,1,space_heating,baseline_monthly,20210038.800866798,426.5032472144723,213725,574.9
2035,2,space_heating,baseline_monthly,14826431.992154332,426.5032472144723,213725,574.9
2035,3,space_heating,baseline_monthly,12680065.28113667,426.5032472144723,213725,574.9
2035,4,space_heating,baseline_monthly,8891169.357325172,426.5032472144723,213725,574.9
2035,5,space_heating,baseline_monthly,5671322.915688858,426.5032472144723,213725,574.9
2035,6,space_heating,baseline_monthly,1463120.3852478375,426.5032472144723,213725,574.9
2035,7,space_heating,baseline_monthly,4362.639994659683,426.5032472144723,213725,574.9
2035,8,space_heating,baseline_monthly,166325.6494724732,426.5032472144723,213725,574.9
2035,9,space_heating,baseline_monthly,945602.216977451,426.5032472144723,213725,574.9
2035,10,space_heating,baseline_monthly,6416789.023294119,426.5032472144723,213725,574.9
