vintage_era,month,total_therms,equipment_count,avg_therms,year
2000-2009,5,1618163.2955441775,73137,22.125098042634747,2027
2000-2009,6,417374.3164150462,73137,5.706746467793951,2027
2000-2009,7,1244.5845141428233,73137,0.01701716660709112,2027
2000-2009,8,47455.29904699654,73137,0.6488548757400021,2027
2000-2009,9,269843.7157402043,73137,3.6895650045832387,2027
2000-2009,10,1830938.541822061,73137,25.03436758168999,2027
2000-2009,11,3717086.4297985435,73137,50.823610891867915,2027
2000-2009,12,4675663.237676532,73137,63.930202738374994,2027
2010-2014,1,1598196.314149989,22504,71.01832181612109,2027
2010-2014,2,1172449.3491072168,22504,52.09959780959904,2027
2010-2014,3,1002708.7311313503,22504,44.556911266057156,2027
2010-2014,4,703107.9726819332,22504,31.243688796744276,2027
2010-2014,5,448481.03424480685,22504,19.928947486882638,2027
2010-2014,6,115701.22966869114,22504,5.141362854101099,2027
2010-2014,7,344.9856532474839,22504,0.015329970371822073,2027
2010-2014,8,13152.473677893908,22504,0.5844504833760179,2027
2010-2014,9,74777.3906480652,22504,3.322848855673,2027
2010-2014,10,507422.0777763335,22504,22.548083797384177,2027
2010-2014,11,1030508.4091109175,22504,45.79223289685911,2027
2010-2014,12,1295647.8096306114,22504,57.57411169705881,2027
2015+,1,1161858.116476409,20822,55.799544543099074,2027
2015+,2,852343.4660067593,20822,40.934754874976434,2027
2015+,3,728958.8258934269,20822,35.00906857618994,2027
2015+,4,511131.1990113235,20822,24.547651474945898,2027
2015+,5,326041.38278205704,20822,15.65850460004116,2027
2015+,6,84113.35156443076,20822,4.039638438403168,2027
2015+,7,250.80249494118482,20822,0.012045072276495285,2027
2015+,8,9561.999295335347,20822,0.4592257850031384,2027
2015+,9,54362.1585179363,20822,2.6108038861750216,2027
2015+,10,368893.2268169145,20822,17.716512670104432,2027
2015+,11,749157.2737200233,20822,35.97912178080988,2027
2015+,12,941923.2014913787,20822,45.23692255745743,2027
pre-1980,1,7393581.036428638,76424,96.74423003805921,2027
pre-1980,2,5426762.497774868,76424,71.0086163741085,2027
pre-1980,3,4639507.486938613,76424,60.70746737855402,2027
pre-1980,4,3252478.366880632,76424,42.55833726160149,2027
pre-1980,5,2075032.1880639945,76424,27.151577882131196,2027
pre-1980,6,535142.9605879433,76424,7.0022893408869376,2027
pre-1980,7,1596.544586512592,76424,0.020890617953948917,2027
pre-1980,8,60853.37745677862,76424,0.7962600420912098,2027
pre-1980,9,346002.3192486098,76424,4.527403947040326,2027
pre-1980,10,2348826.8439347968,76424,30.734152150303526,2027
pre-1980,11,4768658.181668546,76424,62.39739063211224,2027
pre-1980,12,5995080.947636489,76424,78.4450035019953,2027
1980-1999,1,4720826.556388427,53715,87.8865597391497,2028
1980-1999,2,3463894.2040164005,53715,64.48653456234572,2028
1980-1999,3,2963144.1376125766,53715,55.16418388927816,2028
1980-1999,4,2076694.9150385982,53715,38.66135930445124,2028
1980-1999,5,1325327.723929464,53715,24.673326332113263,2028
1980-1999,6,341982.97213410167,53715,6.366619605959261,2028
1980-1999,7,1019.3408499180828,53715,0.01897683793945979,2028
1980-1999,8,38867.026850681774,53715,0.7235786437807274,2028
1980-1999,9,220917.2014814357,53715,4.112765549314637,2028
1980-1999,10,1498708.8939162027,53715,27.901124339871593,2028
1980-1999,11,3043414.029115098,53715,56.65855029535694,2028
1980-1999,12,3829130.757090777,53715,71.2860608226897,2028
2000-2009,1,5701977.69118494,73137,77.96296937507609,2028
2000-2009,2,4184474.5601019347,73137,57.21419473183115,2028
2000-2009,3,3577973.4588207896,73137,48.9215234261836,2028
2000-2009,4,2509396.7284772643,73137,34.31090595016564,2028
2000-2009,5,1600558.6829038064,73137,21.884390703799806,2028
2000-2009,6,412815.56755758607,73137,5.644414831857829,2028
2000-2009,7,1231.102728016379,73137,0.016832830551107906,2028
2000-2009,8,46928.93184418182,73137,0.6416578728165199,2028
2000-2009,9,266806.97466470127,73137,3.648043735246199,2028
2000-2009,10,1810690.0809855224,73137,24.757510986033367,2028
2000-2009,11,3676962.0925529175,73137,50.27499203621857,2028
2000-2009,12,4623980.266667016,73137,63.223543031119895,2028
2010-2014,1,1583275.4954966626,22504,70.3552921923508,2028
2010-2014,2,1161477.607215633,22504,51.61205151153719,2028
2010-2014,3,993339.6531924644,22504,44.140581816231084,2028
2010-2014,4,696567.8630527359,22504,30.953068923424098,2028
2010-2014,5,444305.5135040316,22504,19.74340177319728,2028
2010-2014,6,114628.4852625333,22504,5.093693799437136,2028
2010-2014,7,341.77626294087383,22504,0.01518735615627772,2028
2010-2014,8,13030.27672467262,22504,0.5790204730124697,2028
2010-2014,9,74080.79708880371,22504,3.2918946448988495,2028
2010-2014,10,502689.3098868434,22504,22.337775945913766,2028
2010-2014,11,1020899.15764932,22504,45.3652309655759,2028
2010-2014,12,1283602.8542507966,22504,57.03887549994653,2028
2015+,1,1152373.1517646317,20822,55.34401843072864,2028
2015+,2,845401.0997881914,20822,40.601339918748984,2028
2015+,3,723039.91232736,20822,34.724806086224184,2028
2015+,4,506981.33673679223,20822,24.348349665584106,2028
2015+,5,323380.8933582629,20822,15.530731599186577,2028
2015+,6,83427.56691006443,20822,4.006702858037865,2028
2015+,7,248.76616055984613,20822,0.011947275024485934,2028
2015+,8,9484.019016716435,20822,0.4554806943000881,2028
2015+,9,53918.35368811641,20822,2.5894896594043035,2028
2015+,10,365895.93591281894,20822,17.572564398848282,2028
2015+,11,743060.8476598628,20822,35.68633405339846,2028
2015+,12,934250.8156780353,20822,44.86844758803358,2028
pre-1980,1,7307052.892458764,76424,95.61201837719517,2028
pre-1980,2,5358946.320501139,76424,70.12124882891682,2028
pre-1980,3,4582771.8421423305,76424,59.96508743512942,2028
pre-1980,4,3214937.2309137797,76424,42.06711544689861,2028
pre-1980,5,2050375.63553344,76424,26.828949486201193,2028
pre-1980,6,528776.334287818,76424,6.9189827055351465,2028
pre-1980,7,1577.1496190838175,76424,0.020636836845543512,2028
pre-1980,8,60111.026472891055,76424,0.7865464575642607,2028
pre-1980,9,341847.3449383718,76424,4.473036545304771,2028
pre-1980,10,2319668.334036699,76424,30.352616115836636,2028
pre-1980,11,4711089.258201868,76424,61.64410732494856,2028
pre-1980,12,5923172.137235298,76424,77.50408428288624,2028
1980-1999,1,4668888.068549486,53715,86.91963266405075,2029
1980-1999,2,3427183.7532611,53715,63.80310440772782,2029
1980-1999,3,2930411.721848209,53715,54.55481191190932,2029
1980-1999,4,2055130.061249621,53715,38.25989130130542,2029
1980-1999,5,1310037.234478066,53715,24.388666750033806,2029
1980-1999,6,338238.30437261227,53715,6.296905973612813,2029
1980-1999,7,1007.9284215905866,53715,0.018764375343769648,2029
1980-1999,8,38423.170845823435,53715,0.7153154769770722,2029
1980-1999,9,218542.3250795804,53715,4.068553012744678,2029
1980-1999,10,1482349.9470616907,53715,27.59657352809626,2029
