year,month,total_therms,premise_count,irp_upc_therms,use_per_customer,scenario_name,month_name
2025,1,22344432.036887173,213725,648.0,104.54758234594536,baseline_monthly,Jan
2025,2,16392259.572703708,213725,648.0,76.69790418857741,baseline_monthly,Feb
2025,3,14019213.901039077,213725,648.0,65.5946375063239,baseline_monthly,Mar
2025,4,9830170.609305575,213725,648.0,45.9944817373053,baseline_monthly,Apr
2025,5,6270274.426361588,213725,648.0,29.338048550060066,baseline_monthly,May
2025,6,1617641.3282567433,213725,648.0,7.568797886334043,baseline_monthly,Jun
2025,7,4823.380787269849,213725,648.0,0.02256816370228026,baseline_monthly,Jul
2025,8,183891.39215652566,213725,648.0,0.8604112394737428,baseline_monthly,Aug
2025,9,1045467.7835787373,213725,648.0,4.891649472821324,baseline_monthly,Sep
2025,10,7094469.616747574,213725,648.0,33.194383515019645,baseline_monthly,Oct
2025,11,14407599.16209359,213725,648.0,67.41185711589,baseline_monthly,Nov
2025,12,18114809.432960577,213725,648.0,84.75755963486058,baseline_monthly,Dec
2026,1,21037891.599974424,213725,640.3,98.43439747326903,baseline_monthly,Jan
2026,2,15435425.643146913,213725,640.3,72.22096452519318,baseline_monthly,Feb
2026,3,13198752.545089409,213725,640.3,61.75577281595232,baseline_monthly,Mar
2026,4,9254489.306687236,213725,640.3,43.300920840740375,baseline_monthly,Apr
2026,5,5904799.6658617025,213725,640.3,27.62802510638298,baseline_monthly,May
2026,6,1523057.1654486703,213725,640.3,7.126247118721115,baseline_monthly,Jun
2026,7,4542.094613654402,213725,640.3,0.021252051064004688,baseline_monthly,Jul
2026,8,173160.1553836085,213725,640.3,0.8102007504204398,baseline_monthly,Aug
2026,9,984092.435450899,213725,640.3,4.604479754127495,baseline_monthly,Sep
2026,10,6680813.72829894,213725,640.3,31.258924918932927,baseline_monthly,Oct
2026,11,13568085.34269226,213725,640.3,63.4838476672933,baseline_monthly,Nov
2026,12,17056150.17127976,213725,640.3,79.80418842568608,baseline_monthly,Dec
2027,1,20700189.395210806,213725,632.7,96.85431931318661,baseline_monthly,Jan
2027,2,15188332.601180354,213725,632.7,71.06483846616145,baseline_monthly,Feb
2027,3,12988783.885668451,213725,632.7,60.773348394752375,baseline_monthly,Mar
2027,4,9107119.265347833,213725,632.7,42.61138970802589,baseline_monthly,Apr
2027,5,5808664.7637103535,213725,632.7,27.17821856923782,baseline_monthly,May
2027,6,1498491.101974417,213725,632.7,7.011304723239757,baseline_monthly,Jun
2027,7,4468.185613866156,213725,632.7,0.020906237519551556,baseline_monthly,Jul
2027,8,170355.5905526843,213725,632.7,0.7970784445089919,baseline_monthly,Aug
2027,9,968648.7290937415,213725,632.7,4.532220044888251,baseline_monthly,Sep
2027,10,6573259.508979084,213725,632.7,30.75568842661871,baseline_monthly,Oct
2027,11,13346993.45483236,213725,632.7,62.449378663386874,baseline_monthly,Nov
2027,12,16783824.199669663,213725,632.7,78.52999976450889,baseline_monthly,Dec
2028,1,20465505.787293423,213725,625.1,95.7562558769139,baseline_monthly,Jan
2028,2,15014193.7916233,213725,625.1,70.25005868112434,baseline_monthly,Feb
2028,3,12840269.00409552,213725,625.1,60.07846065783376,baseline_monthly,Mar
2028,4,9004578.074219171,213725,625.1,42.13160872251338,baseline_monthly,Apr
2028,5,5743948.449229005,213725,625.1,26.875416770284268,baseline_monthly,May
2028,6,1481630.9261521036,213725,625.1,6.932417481118744,baseline_monthly,Jun
2028,7,4418.1356205189995,213725,625.1,0.020672058114488242,baseline_monthly,Jul
2028,8,168421.2809091437,213725,625.1,0.7880279841344893,baseline_monthly,Aug
2028,9,957570.6718614289,213725,625.1,4.480386814183782,baseline_monthly,Sep
2028,10,6497652.554738086,213725,625.1,30.401930306412847,baseline_monthly,Oct
2028,11,13195425.385179067,213725,625.1,61.74020533479503,baseline_monthly,Nov
2028,12,16594136.830921922,213725,625.1,77.64246967328071,baseline_monthly,Dec
2029,1,20256529.607703622,213725,617.7,94.77847517933617,baseline_monthly,Jan
2029,2,14859626.54815798,213725,617.7,69.52685248874947,baseline_monthly,Feb
2029,3,12712988.986700997,213725,617.7,59.48292893531873,baseline_monthly,Mar
2029,4,8911793.524945086,213725,617.7,41.69747818432605,baseline_monthly,Apr
2029,5,5684668.505499957,213725,617.7,26.598051259796268,baseline_monthly,May
2029,6,1466814.692146727,213725,617.7,6.863093658424269,baseline_monthly,Jun
2029,7,4372.267020009886,213725,617.7,0.020457443069411097,baseline_monthly,Jul
2029,8,166712.2366692991,213725,617.7,0.7800315202680973,baseline_monthly,Aug
2029,9,947876.5044257025,213725,617.7,4.435028679030074,baseline_monthly,Sep
2029,10,6430843.425305519,213725,617.7,30.089336415045125,baseline_monthly,Oct
2029,11,13060684.508385582,213725,617.7,61.10976492401723,baseline_monthly,Nov
2029,12,16421599.410415508,213725,617.7,76.83518264318872,baseline_monthly,Dec
2030,1,20077994.00365243,213725,610.3,93.94312318939025,baseline_monthly,Jan
2030,2,14726532.518065356,213725,610.3,68.9041175251625,baseline_monthly,Feb
2030,3,12595522.45936353,213725,610.3,58.93331364774139,baseline_monthly,Mar
2030,4,8831240.29946206,213725,610.3,41.32057690706309,baseline_monthly,Apr
2030,5,5633743.420000656,213725,610.3,26.359777377474117,baseline_monthly,May
2030,6,1453197.1015707192,213725,610.3,6.799378180234971,baseline_monthly,Jun
2030,7,4333.885033048941,213725,610.3,0.020277857213938197,baseline_monthly,Jul
2030,8,165226.11568032668,213725,610.3,0.773078094187983,baseline_monthly,Aug
2030,9,939213.5804531274,213725,610.3,4.394495639036741,baseline_monthly,Sep
2030,10,6374269.634139903,213725,610.3,29.82463274834438,baseline_monthly,Oct
2030,11,12945412.246584632,213725,610.3,60.570416406993246,baseline_monthly,Nov
2030,12,16275289.542584714,213725,610.3,76.15061196670821,baseline_monthly,Dec
2031,1,19904123.291231796,213725,603.1,93.12959780667585,baseline_monthly,Jan
2031,2,14602561.545778703,213725,603.1,68.32406852627771,baseline_monthly,Feb
2031,3,12488142.195707612,213725,603.1,58.43089107829038,baseline_monthly,Mar
2031,4,8756477.665598901,213725,603.1,40.970769285759275,baseline_monthly,Apr
2031,5,5585036.82560386,213725,603.1,26.131883614943785,baseline_monthly,May
2031,6,1440819.9573098836,213725,603.1,6.741466638483488,baseline_monthly,Jun
2031,7,4296.235514937867,213725,603.1,0.02010169851415542,baseline_monthly,Jul
2031,8,163814.7105746794,213725,603.1,0.7664742569876215,baseline_monthly,Aug
2031,9,931307.2084638445,213725,603.1,4.357502437542845,baseline_monthly,Sep
2031,10,6319080.963054262,213725,603.1,29.566409933579422,baseline_monthly,Oct
2031,11,12833450.53147066,213725,603.1,60.04655763935272,baseline_monthly,Nov
2031,12,16136145.063364977,213725,603.1,75.49956749732122,baseline_monthly,Dec
2032,1,19738285.140784588,213725,595.9,92.35365605701058,baseline_monthly,Jan
2032,2,14479108.292202525,213725,595.9,67.74644188654825,baseline_monthly,Feb
2032,3,12381387.885538133,213725,595.9,57.93139728875018,baseline_monthly,Mar
