Age,Reservation,Year,Population,Source
40-44,Siletz,2020,43,Estimate
45-49,Siletz,2020,37,Estimate
50-54,Siletz,2020,28,Estimate
55-59,Siletz,2020,20,Estimate
60-64,Siletz,2020,42,Estimate
65-69,Siletz,2020,35,Estimate
70-74,Siletz,2020,17,Estimate
75-79,Siletz,2020,11,Estimate
80-84,Siletz,2020,7,Estimate
85+,Siletz,2020,7,Estimate
0-4,"Coos, Lower Umpqua, and Siuslaw",2030,3,Forecast
5-9,"Coos, Lower Umpqua, and Siuslaw",2030,6,Forecast
10-14,"Coos, Lower Umpqua, and Siuslaw",2030,8,Forecast
15-19,"Coos, Lower Umpqua, and Siuslaw",2030,8,Forecast
20-24,"Coos, Lower Umpqua, and Siuslaw",2030,6,Forecast
25-29,"Coos, Lower Umpqua, and Siuslaw",2030,11,Forecast
30-34,"Coos, Lower Umpqua, and Siuslaw",2030,4,Forecast
35-39,"Coos, Lower Umpqua, and Siuslaw",2030,3,Forecast
40-44,"Coos, Lower Umpqua, and Siuslaw",2030,5,Forecast
45-49,"Coos, Lower Umpqua, and Siuslaw",2030,0,Forecast
50-54,"Coos, Lower Umpqua, and Siuslaw",2030,0,Forecast
55-59,"Coos, Lower Umpqua, and Siuslaw",2030,8,Forecast
60-64,"Coos, Lower Umpqua, and Siuslaw",2030,0,Forecast
65-69,"Coos, Lower Umpqua, and Siuslaw",2030,6,Forecast
70-74,"Coos, Lower Umpqua, and Siuslaw",2030,4,Forecast
75-79,"Coos, Lower Umpqua, and Siuslaw",2030,9,Forecast
80-84,"Coos, Lower Umpqua, and Siuslaw",2030,0,Forecast
85+,"Coos, Lower Umpqua, and Siuslaw",2030,3,Forecast
0-4,Siletz,2030,56,Forecast
5-9,Siletz,2030,70,Forecast
10-14,Siletz,2030,67,Forecast
15-19,Siletz,2030,49,Forecast
20-24,Siletz,2030,54,Forecast
25-29,Siletz,2030,33,Forecast
30-34,Siletz,2030,62,Forecast
35-39,Siletz,2030,37,Forecast
40-44,Siletz,2030,43,Forecast
45-49,Siletz,2030,59,Forecast
50-54,Siletz,2030,27,Forecast
55-59,Siletz,2030,20,Forecast
60-64,Siletz,2030,43,Forecast
65-69,Siletz,2030,32,Forecast
70-74,Siletz,2030,20,Forecast
75-79,Siletz,2030,21,Forecast
80-84,Siletz,2030,9,Forecast
85+,Siletz,2030,11,Forecast
